,year,subject,content
0,2005,position for a postdoctoral researcher,"applications are called for the following position :
postdoctoral research fellow / research academic in sensor networks
a sound theoretical knowledge in communications/control is desirable.
http://www.deakin.edu.au/hrs/employment/#acad
ref no: 50489 (click on 'ref no' for position description)

personal details form (click on 'personal details form' and please attach to
your application)

salary range $42,091 - $57,120 p.a. (plus 17% superannuation)
salary range $60,130 - $71,403 p.a. (plus 17% superannuation)
geelong campus at waurn ponds
the position is full time and fixed term for 3 years
further information is available from dr pubudu pathirana, on (03) 5227
2914, pubudu at deakin.edu.au.
applications (quoting ref no: 50489) should include a full resume and should
be forwarded to
chris russo, personnel consultant, human resources services division,
burwood or via email on
psm-applications at deakin.edu.au by 21 january 2006




best rgds
dr pubudu n pathirana
senior lecturer
director of mechatronics and robotics programmes.
school of engineerng and technology
deakin university
geelong, victoria 3217.
australia
tel : +61 3 52272914
fax : +61 3 52272167
mobile: 0407842140
http://www.deakin.edu.au/~pubudu
"
1,2006,phd and msc positions,"phd and msc positions

intelligent systems for medicine laboratory
school of mechanical engineering
the university of western australia
http://www.mech.uwa.edu.au/isml/

""biomechanics for computer integrated medicine""

applications are invited for phd and msc positions in the intelligent
systems for medicine laboratory, school of mechanical engineering, the
university of western australia.

the university of western australia is a medium-size research university
located in perth, on the banks of swan river, 7 km from the indian ocean
beach. according to melbourne institute report on the international standing
of australian universities, the university of western australia has the
highest research output (measured by a number of publications in major
journals) per academic staff in australia.

perth offers unparalleled living environment at very reasonable costs.

our group comprises a multi-disciplinary research team with projects in the
areas of numerical methods, soft tissue biomechanics, surgical simulation,
medical robotics, medical image registration,
injury biomechanics and sport biomechanics. for further
project details please consult http://www.mech.uwa.edu.au/isml/projects.htm
or contact prof. karol miller at kmiller at mech.uwa.edu.au .

three positions are available immediately. candidates with a bachelor degree
or equivalent in any area of mathematics, physics, engineering, computer
science, neuroscience, anatomy or other related fields are encouraged to
apply. experience with finite element analysis, mesh free methods, image
analysis or graphics
hardware would be a distinct advantage.

approved candidates with first class honours or equivalent will receive
tuition fee waiver and
scholarships of a$19200 - a$25000, depending on the choice of the project.
teaching assistantships are available on top of the scholarship.
funding is available for three and a half years for phd candidates and for
two years for msc candidates.

interested candidates should send their expressions of interest to:

karol miller, dr habil.
professor of applied mechanics
director, intelligent systems for medicine lab.
deputy chair of mechatronics
school of mechanical engineering
the university of western australia
35 stirling highway
crawley wa 6009, australia
phone: + (61) 8 6488 8545
fax:   + (61) 8 6488 1024
email: kmiller at mech.uwa.edu.au
http://www.mech.uwa.edu.au/~kmiller/
http://www.mech.uwa.edu.au/isml/
the university of western australia: cricos provider no. 00126g"
2,2006,csiro research director - autonomous systems - brisbane australia,"research director - autonomous systems

a competitive salary package of  au$180k + may be negotiated.
csiro ict centre, brisbane australia
reference number: 2006/1277

the csiro ict centre is building a role for australia as a global ict
innovator by delivering leading-edge information and communication
technology solutions for industry and society. the centre has over 250
researchers across australia working on a wide range of ict technologies
and application areas.

we are seeking to appoint a research director of international standing
to lead our autonomous systems laboratory. the successful applicant will
have an established international research record in the area of
autonomous systems or robotics and demonstrated leadership of a
significant research group.

the successful applicant to this rare opportunity will lead our
multi-disciplinary autonomous systems research laboratory with over 40
research scientists, engineers and technicians. the current investment
in the laboratory is over $10m with a substantial amount of funding
coming from externally focused research projects. the successful
applicant will be appointed to an indefinite position within the csiro
ict centre and upon appointment, to the role of research director for a
period of 5 years.

the role includes the maintenance and development of a range of national
and international relationships to ensure that the centre's research
results deliver impact and that the technology is transferred to our
partners, industry and the community. this includes csiro flagships
which are major research initiatives focused on national priorities.

the autonomous systems laboratory is cantered at our brisbane site
(qcat,
pullenvale) with some staff also located at our macquarie university
site
(sydney).

the laboratory has strength in robotics, multi-agent systems, wireless
sensor networks and medical imaging.  these strengths are applied to the
mining, electricity generation, natural resource and health sectors. the
science areas include robotics, distributed intelligence and medical
imaging.

it is expected that the research director will shape and define the
research program and associated priorities within the laboratory.

for details on how to apply and the selection criteria please visit
http://recruitment.csiro.au/asp/job_details.asp?refno=2006%2f1277 or
www.csiro.au


regards
anthea roberts
people & culture manager
csiro ict centre
innovative ict transforming australian industries 
po box 664 canberra act 2601
building 108 north road anu canberra
t: +61 2 6216 7034 f: +61 2 6216 7007 m: 0402 050039
www.ict.csiro.au
 

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20061011/ab5ba61a/attachment-0001.html"
3,2006,postdoc postion in bio-inspired navigation,"*** postdoc postion in bio-inspired navigation ***

   the university of queensland, brisbane, australia (www.uq.edu.au)

thinking systems project: navigating through real and conceptual spaces

   ""spatial cognition is at the heart of our thinking"" levinson'03.

the project is funded by a large-scale five-year ""thinking systems"" grant from 
the australian research council to study navigation in bees, rodents, humans, 
robots, and information systems. the project will link navigation in the 
physical world to navigation in the space of ideas. there are seven positions 
available in this project, with one in robotics and the other positions in 
closely related disciplines. details of all positions can be found at:  
http://www.itee.uq.edu.au/~janetw/thinkingsystems/

the robotics postdoc position involves developing and testing autonomous robots 
using algorithms for navigation derived from neural and behavioural studies, as 
well as the design and development of a service robot demonstrator. the position

will also involve the preparation of reports, presentations and proposals, and 
includes supervision of masters and phd students.

we are looking for phd qualified applicants with experience in mobile robot 
navigation from neurally inspired algorithms, as evidenced by quality 
peer-reviewed publications. the applicant should be familiar with design and 
testing on real robots. ideally, the applicant will have a working knowledge of 
current neurocognitive models of animal navigation, particularly for rodents. 
demonstrated proficiency in written/spoken english is mandatory. 

the full position description can be found at:
http://www.itee.uq.edu.au/~janetw/thinkingsystems/tsp003.pdf

the deadline for applications is november 8th 2006, though applications will be 
considered until the positions are filled.

================
dr. gordon wyeth
director, robotics laboratory
school of information technology and electrical engineering
university of queensland 4072 australia
phone: +61 7 3365 3770 fax: +61 7 3365 4999
wyeth at itee.uq.edu.au http://www.itee.uq.edu.au/~wyeth
================

"
4,2006,tenured academic position (acfr),"lecturer/senior lecturer in mechatronics
australian centre for field robotics
school of aerospace, mechanical and mechatronic engineering
faculty of engineering
the university of sydney, australia

the mechatronics group in the school of aerospace, mechanical and
mechatronic engineering at the university of sydney is internationally
recognised for its advanced research and teaching programs. it established
the first mechatronics teaching program in australia and, as the australian
centre for field robotics (acfr, www.acfr.usyd.edu.au), conducts
world-leading research and development in robotics and autonomous systems.
the acfr is also the senior partner in the arc centre of excellence for
autonomous systems (www.cas.edu.au), is the dsto centre of expertise in
uninhabited and autonomous systems, and is a partner in the cooperative
research centre crcmining. additionally, the group undertakes $3m/year of
contract r&d for corporate clients. the group has a total of 66 research
personnel including 41 phd students.

we currently have a position available for a lecturer or senior lecturer in
the general area of mechatronics, robotics or autonomous systems. the
successful candidate will be of significant importance in the future
development of mechatronics in the school and will be expected to undertake
research, including supervision of postgraduate students; to deliver
high-quality courses and develop new areas of the undergraduate curriculum;
and to establish and develop strong relations with industry.

the successful applicant will have a phd in mechatronic, mechanical or
electrical engineering, or a similar discipline, and published evidence of
independent and collaborative research in the general area of mechatronics,
robotics or autonomous systems. a background of teaching quality courses to
undergraduate and/or postgraduate students will be essential, as will be the
ability to develop new and innovative curriculum areas. a demonstrated
potential to win, lead and manage collaborative research projects will be
crucial.

this is a unique opportunity for a passionate academic to join a well-funded
centre that is renowned for high-calibre research and education. you will
join an internationally-renowned team at the cutting edge of engineering
science and technology.

the level of appointment and responsibility will be commensurate with
qualifications and experience.

all applications must be completed online by clicking apply online below.
further information can be viewed by clicking attached position file.
specific enquiries about the role can be directed to professor lin ye, head,
school of aerospace, mechanical and mechatronic engineering. tel: +61(0)2
9351 2341, email: hod at aeromech.usyd.edu.au

remuneration package: $81,729 - $97,053 p.a. (which includes a base salary
lecturer level b $69,062 - $82,011 p.a., leave loading and up to 17%
employer's contribution to superannuation)

remuneration package: $100,116 - $115,266 p.a. (which includes a base salary
senior lecturer level c $84,599 - $97,548 p.a., leave loading and up to 17%
employer's contribution to superannuation)

the position is full-time continuing, subject to the completion of a
satisfactory probation period for new appointees. membership of a university
approved superannuation scheme is a condition of employment for new
appointees.

closing: 26 january 2007

to respond to the selection criteria, please complete your response in the
boxes below each selection criteria.  if your responses exceed the 3,000
character limit, you can continue your responses in a word document and
attach them to your application with your resume by clicking attach files
(next to resume in step 2).

the university is a non-smoking workplace and is committed to the policies
and principles of equal employment opportunity and cultural diversity. the
university reserves the right not to proceed with any appointment for
financial or other reasons.

search by lecturer/senior lecturer in mechatronics, field robotics,
aerospace, mechanical and mechatronic engineering, university, research


if you would like to apply for this job, please click here
<http://usydbuild.recruitasp.com.au/jobtools/apcustomappmgr.welcomescreen?in
_jncounter=221221595&in_organid=14743&in_site=internet%20referral> .

if you would like to look at other career opportunities with the sydney
university or register to receive job updates, please visit
http://sydunibuild.recruitasp.com.au

regards,

the sydney university recruitment team

please do not respond to this e-mail. this is an unattended mailbox."
5,2007,"mechatronic faculty positions at curtin university, australia","lecturer/senior lecturer/associate professor in mechatronics
department of mechanical engineering
faculty of engineering, science and computing
curtin university of technology, australia

positions are available for quality academic staff in mechatronics
ranging from lecturer or senior lecturer to associate professor
depending on experience and leadership abilitiy.

the position description, application details and further information
are available at
http://jobs.curtin.edu.au/positionview.cfm?positionid=8863

applications close: 5pm, monday 19 february 2007. (gmt +9)
contact: further information can be obtained by contacting prof tony
lucey, via email at t.lucey -[at]- curtin.edu.au
"
6,2007,postdoc positions,"postdoctoral research fellow(s) / research assistants in robotics and
  mechatronics

the robotics & mechatronics research laboratory (rmrl), monash 
university (australia) is seeking to appoint postdoctoral researchers 
and research assistants in the areas of robotics and mechatronics, 
intelligent sensing and control (intelligent mechatronics), and 
autonomous systems research. applicants should have a ph.d degree, or 
equivalent, in mechanical engineering, mechatronics engineering, 
electrical and computer systems engineering or a related field, and a 
good research track record.

the successful candidate(s) will be actively involved in research in the 
areas of micro/nano manipulation, kinematics/dynamics (parallel 
mechanisms), systems modeling/analysis, sensor fusion and control, and 
multi-agent-based mobile robotics. high quality publication record and 
experience in experimental research would be advantageous. the 
appointment will be made at a level appropriate to the successful 
applicant’s qualifications, experience and in accordance with monash 
university’s classification standards.

further information may be obtained from associate professor bijan 
shirinzadeh (tel: (03) 9905-1565, email: 
bijan.shirinzadeh at eng.monash.edu.au 
<mailto:bijan.shirinzadeh at eng.monash.edu.au>).

applications including a cv and the names of three references should be 
sent to associate professor bijan shirinzadeh, department of mechanical 
engineering, po box 31, monash university, vic 3800, australia.
"
7,2007,"postdoc rf/res academic in sensor networks(deakin university, geelong australia)","the position is located within the school of engineering and 
technology, one of several schools in the
faculty of science and technology in the deakin university in 
geelong.  geelong campus is one hour drive from melbourne.
staff within the school report to the dean through the head 
of  school. the appointee will be actively involved in research. the 
appointee, in association with more
senior academic staff, will contribute to consulting, industry 
partnerships and professional activities.
principal accountabilities
the appointee is responsible for:
.. developing an active research record in publication and assisting 
in the generation of external
research income.
.. carrying out independent research within the field of expertise.
essential
.. high quality publication record.
.. interpersonal skills that demonstrate the ability to establish and 
maintain effective working
relationships with students, the staff of the faculty and school and 
with other members of the
university.
.. sound record in theoretical research in any of the areas such as 
communication,
control/estimation and computer networks
desirable
.. understanding of the importance of working as a productive member of a team.
.. knowledge in graph theory, abstract algebra and mathematical optimization.

for more infomration

http://www.deakin.edu.au/hr/employment/academic.php
or contact

dr pubudu n. pathirana
pubudu at deakin.edu.au 
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20070305/5f16fc6b/attachment.html"
8,2007,research fellowships at the acfr,"research fellowships (up to four positions)
arc centre of excellence for autonomous systems, australian centre for field
robotics
reference no. 104853

the arc centre of excellence for autonomous systems (cas), australian centre
of field robotics (acfr), at the university of sydney is seeking to appoint
up to four new research fellows in the area of robotics and autonomous
systems. highly qualified applicants with broad backgrounds in engineering,
computer science or physical science are encouraged to apply. areas of
expertise may include control systems, signal processing, vision and image
processing, robotics, learning, modelling of dynamical systems, computer
science, physics, electrical engineering or mechatronics. 

http://positions.usyd.edu.au/jobtools/jncustomsearch.viewfullsingle?in_organ
id=14743
<http://positions.usyd.edu.au/jobtools/jncustomsearch.viewfullsingle?in_orga
nid=14743&in_jncounter=221263561&in_version=&in_jobdate=all&in_jobtype=&in_r
esidency=&in_graphic=&in_param=&in_searchbox=yes&in_recruiter=&in_jobreferen
ce=104853&in_orderby=&in_sessionid=&in_navigation1=&in_summary=s>
&in_jncounter=221263561&in_version=&in_jobdate=all&in_jobtype=&in_residency=
&in_graphic=&in_param=&in_searchbox=yes&in_recruiter=&in_jobreference=104853
&in_orderby=&in_sessionid=&in_navigation1=&in_summary=s 

 

 

closing date: 26th july 2007.

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20070615/fd91abcc/attachment-0001.html
"
9,2007,postdoctoral research positions,"postdoctoral research fellow(s) in robotics and mechatronics and 
automation (2 positions)

the robotics & mechatronics research laboratory (rmrl), monash 
university (australia) is seeking to appoint postdoctoral researcher(s) 
in the areas of robotics and mechatronics, intelligent sensing and 
control (intelligent mechatronics), and autonomous systems research. 
applicants should have a ph.d degree, or equivalent, in electrical and 
computer systems engineering, mechanical engineering, mechatronics 
engineering, or a related field, and a good research track record.

the successful candidate(s) will be actively involved in research in the 
areas of multi-arm manipulation and calibration and compensation, 
micro/nano manipulation mechanisms and systems, kinematics/dynamics 
(parallel mechanisms), systems modeling/analysis, haptics and sensing 
and control. high quality publication record and experience in 
experimental research would be advantageous. the appointment(s) will be 
made at a level appropriate to the successful applicant’s 
qualifications, experience and in accordance with monash university’s 
classification standards. the appointment(s) are initially for one year 
with the possibility of renewal.

further information may be obtained from associate professor bijan 
shirinzadeh (tel: (03) 9905-1565, email: 
bijan.shirinzadeh at eng.monash.edu.au.

closing date: 27 july 2007
applications including a cv and the names of three references should be 
sent to associate professor bijan shirinzadeh, monash university, 
department of mechanical engineering, po box 31, vic 3800, australia."
