,year,subject,content
0,2007,open positions in cognitive vision for robotics,"open postdoc and phd positions - open positions in cognitive vision
*******************************************************************
vision for robotics laboratory, technische universität wien, austria
     
in relation to several eu research projects (graspable, logmodal,
robots at home) and the austrian research network ""cognitive vision"" we seek
highly motivated researchers at phd and postdoc level with experience in
computer vision, image processing, robotics and/or cognitive vision.

the ideal candidates would possess strong skills in computer vision methods
and good knowledge in either mathematics, cognitive science, or robotics.
candidates preferably should have excellent programming skills, want to work
in teams, and should be ready to grasp the opportunity of an exchange with
one of our project partners. background can be, but is not limited to, one
of the following disciplines: computer vision, computer science, cognitive
science, mathematics, electrical or mechanical engineering, or technical
physics. 

to learn more about the above projects and the work at the vision for
robotics lab please visit http://robsens.acin.tuwien.ac.at/.

these position can be filled immediately for a duration of up to four years.
depending on your qualification salary is up to eur41.244,- per year (after
all social and insurance benefits and taxes this is net eur2.214,- per
month).

applicants should submit 1) a cv, including a brief research statement, 2)
1-3 recent publications in electronic format, and 3) the names and contact
information of three individuals who can serve as references.  the total
file size of applications should be < 8 mb.  

applicants should contact: 

ao.univ.prof. dr. markus vincze    
technische universität wien
automation and control institute
gusshausstrasse 27/376, 1040 vienna, austria
fax:  +431/58801-37697
e-mail: vincze at acin.tuwien.ac.at
web:  www.acin.tuwien.ac.at

"
1,2009,job proposal: engineer european project on embedded system,"job proposal .

*
*

*lasmea(laboratory of sciences and materials for electronics and 
automation) is joint unit **of cnrs  and université blaise pascal and 
consists of 120 researchers and phd students. *

in our research group gravir(group automation, vision and robotics), 
lasmea is doing research in the field of robotics, computer vision and 
multi-sensor perception. in the last area, we are developing hardware 
and software architectures for embedded perception, particularly smart 
cameras.

this research activity has given us opportunity to start european 
project seamove(12meur) in collaboration with french and austrian 
industrial partners(thales, eca, kiwi security, aldebaran, ...) in the 
field of embedded vision system for automotive..

in lasmea main responsibility of the selected candidate is to support 
and monitor the general progress of seamove project to ensure good 
coordination of related activities. i.e.

-         to make the interface with other activities involved make sure 
to link different activities in the project, and track the 
subcontracting and meet costs and time.

-         to plan, coordinate and follow the developments made in-house 
(coordinating 3 teams of 3 to 5 persons) or outsourced (monitoring of 
subcontractor)

-         to organize and manage european and/or french meetings in 
english with different partners and make regular progress reports in 
english.

-         to coordinate implementation of the demonstrator with 
different partners

 

candidate should have engineering in electronics with 2 to 4 years 
experience in successfully managing development of electronic system or 
doctoral degree in the field of hardware architectures with strong 
interest in organization/management.

the interpersonal skills will help to organize projects which are 
involved in associated activities, and monitor sub-contracting, and to 
make the interface with the outsourcer.

 

expertise  in complex digital architecture are must for this position. 
knowledge of computer vision and perception systems will be plus.

**

*must be fluent in english (bi lingual or anglo-saxon).
*


organization: * research laboratory cnrs lasmea*
*contact **: françois berry
berry at univ-bpclermont.fr
*type of contrat : *cdd 36 months*
place : *clermont ferrand --  france*


**
"
2,2010,postdoc position: development of 3d reconstruction algorithms for ultra-fast smart camera in soc environment,"development of 3d reconstruction algorithms for ultra-fast smart camera 
in soc environment

the purpose of this post-doc (proposed in virago project) is to use a 
smart stereo camera (designed at lasmea) based on the reconfigurable 
logic and cmos imagers. the main objective is to use a methodology 
matching the architecture and vision algorithms, to develop an optimal 
system of high speed embedded vision.
in fact, in conventional approaches, the use of cameras can be 
summarized by image storage and an ""offline"" processing. however these 
systems are expensive and completely inconsistent with the ""real time"" 
control of robots. also, for direct use in the control loop of robot, it 
is necessary to have real time ""sensor"" information.
the approach proposed here is to process the large amount of information 
directly into the camera to eliminate the ""bottleneck"" between the 
sensor and control system. the second point is to use sensors using 
""rolling shutter"" cmos technology. the project virago is built on a 
major innovation (winner of a european conference on computer vision 
2006) which involves the exploitation of algorithm using this 
technology. in the ""rolling shutter"" mode, all pixels of the imager are 
not simultaneously exposed to light but sequentially line by line. when 
the relative speed between camera and scene becomes very large, 
deformations or distortions appear in the image. these distortions are 
not taken into account in the classical perspective projection which 
considers the observation of a rigid world. this creates unusable images 
from cameras rolling shutter during pose estimation, and hence for 
three-dimensional reconstruction. this model allows calculating the 
accurate placement of the object but also operates the distortions 
induced by this phenomenon for measuring the instantaneous speed of 3d 
rigid objects.
in this case, the vision system is planned to have the low-level 
processing and technical computing compensating defects closer to the 
retina so as to provide not an image (which must be transferred to pc 
for processing) but a direct geometrical information (position, 
orientation, speed). this should provide such information at the rates 
of 1000 hz, consistent with the rapid control of robots, and details 
that are usually less than a few hertz frequency.

contacts :
françois berry - francois.berry at lasmea.univ-bpclermont.fr – tel : 04 73 
40 72 52
omar ait aider - omar.ait-aider at lasmea.univ-bpclermont.fr – tel : 04 73 
40 55 67

pre-requisite:
proficiency in english(spoken and written) is obligatory.
the candidate should be experience in :

* hardware programing (vhdl)
* electronic system concepts
* system programing (in c)


knowledge of following will be plus :

* artificial vision
* geometry and calibration


bibliography
simultaneous object pose and velocity computation using a single view 
from a rolling shutter camera
o. ait-aider, n. andreff, j.m. lavest and p. martinet
9th european conference on computer vision (eccv’06), graz, austria, may 
7-13, 2006. page \*arabic

structure and kinematics triangulation with a rolling shutter stereo rig
o. ait-aider and f. berry
international conference on computer vision (iccv'09), kyoto, japan, 
october 2009.
embedded active vision system based on an fpga architecture
p. chalimbaud, f. berry
eurasip journal on embedded systems, 2007
towards an embedded visuo-inertial smart sensor
p. chalimbaud, f. marmoiton and f. berry
international journal in robotic research 2007"
3,2010,job: system administrator / robotics engineer at u. innsbruck,"a software/hardware lab manager is sought for a new research group in
intelligent systems at the university of innsbruck, directed by
prof. justus piater.


* our opportunities

this university staff position offers more than system administration.
it includes a broad range of challenging activities and contributions
to leading-edge research projects involving robotics, computer vision
and machine learning.

the duties of the lab manager include

- acquisition, installation and maintenance of computing and
  networking infrastructure
- creation and maintenance of external and internal web pages
- systems and application programming for specific project needs
- installation, maintenance and operation of robotic equipment,
  including associated sensor systems and control software

the salary is internationally competitive and commensurate with
qualification and experience.


* your profile

the successful applicant should have completed a degree in computer
science, engineering or a related field, and possess proven skills in
most or all of the following areas:

- linux system administration
- c and c++ programming
- web programming
- engineering mathematics
- electronics

in addition, good written and oral communication skills in english, a
team spirit and independent problem-solving skills are essential.
prior relevant experience is desirable.


* the university of innsbruck, austria

the history of the university of innsbruck dates back to 1669. it
offers a complete set of academic curricula and currently counts 25000
students. founded in 2001, the department of computer science is
currently expanding and is highly active in research, with a high
ratio of doctoral students and researchers to undergraduate students.

innsbruck is home to about 30000 students who imprint a distinctive,
international student atmosphere upon this beautiful city of 120000.
beautifully located in the tyrolean alps, on the inn river and
surrounded by peaks of up to 2718m, innsbruck offers outstanding
recreational and cultural value all around the year.


* how to apply

interested applicants should send a letter of motivation, a curriculum
vitae, scanned transcripts and diplomas, and contact information of at
least two references as a single pdf file to justus.piater at ulg.ac.be.

applications will be considered as they are received, until all
positions are filled.  the earliest possible starting date is
september 15.
"
4,2010,multiple positions in robotics/vision/learning at u. innsbruck,"in a new research group in intelligent systems at the university of
innsbruck, to be directed by prof. justus piater, multiple positions
will shortly be available for postdoctoral researchers and doctoral
students.


* our opportunities

these (non-permanent) university research staff positions are not tied
to any specific research projects.  research topics are negotiable
within the range of activities of the research group.  topics of
particular interest include:

- gesture-based human-computer interaction
- video analysis for sign language transcription
- semantic understanding of observed manipulative actions
- exploratory learning from sensorimotor to conceptual levels
- learning to learn: leverage experience to guide future learning
- perception and inference for robotic grasping and manipulation
- landmark-based visual slam
- reactive algorithms for obstacle avoidance and navigation

most of these topics tie in with one active and two upcoming
eu-fp7-ict projects in cognitive systems, interaction and robotics,
offering a vibrant and internationally well-connected research
environment.

postdoctoral researchers are expected to assume leadership roles.
in addition, all positions involve minor teaching requirements.

salaries are internationally competitive and commensurate with
qualification and experience.


* your profile

applicants for a postdoctoral position should have earned, or be about
to earn, a doctoral degree in a relevant area, possess a strong
publication record commensurate with experience, and have demonstrated
strengths in at least one of the following areas:

- statistical machine learning
- probabilistic modeling and inference
- computer vision
- robotic grasping or manipulation
- autonomous mobile robotics

applicants for a doctoral studentship should have earned, or be about
to earn, an m.sc. degree or equivalent in a relevant area, possess an
excellent academic record, and have demonstrated prior achievements in
any of the above areas.

all applicants should possess good written and oral communication
skills in english, a strong mathematical background, and programming
experience.  enthusiasm for leading-edge research, a team spirit and
independent problem-solving skills are essential.


* the university of innsbruck, austria

the history of the university of innsbruck dates back to 1669. it
offers a complete set of academic curricula and currently counts 25000
students. founded in 2001, the department of computer science is
currently expanding and is highly active in research.

innsbruck is home to about 30000 students who imprint a distinctive,
international student atmosphere upon this beautiful city of 120000.
beautifully located in the tyrolean alps, on the inn river and
surrounded by peaks of up to 2718m, innsbruck offers outstanding
recreational and cultural value all around the year.


* how to apply

interested applicants should send a letter of motivation, a curriculum
vitae, scanned transcripts and diplomas, and contact information of at
least two references as a single pdf file to justus.piater at ulg.ac.be.

applications will be considered as they are received, until all
positions are filled.  the earliest possible starting date is
september 15."
5,2010,"very urgent postdoc position: smart camera, vhdl, 3d reconstruction","please find the following position available now.

*title of post-doc: development of 3d reconstruction algorithms for 
ultra-fast smart camera in soc environment*

* *

*description*

the purpose of this post-doc (proposed in virago project) is to use a 
smart stereo camera (designed at lasmea) based on the reconfigurable 
logic and cmos imagers. the main objective is to use a methodology 
matching the architecture and vision algorithms, to develop an optimal 
system of high speed embedded vision.

in fact, in conventional approaches, the use of cameras can be 
summarized by image storage and an ""offline"" processing. however these 
systems are expensive and completely inconsistent with the ""real time"" 
control of robots. also, for direct use in the control loop of robot, it 
is necessary to have real time ""sensor"" information.

the approach proposed here is to process the large amount of information 
directly into the camera to eliminate the ""bottleneck"" between the 
sensor and control system. the second point is to use sensors using 
""rolling shutter"" cmos technology. the project virago is built on a 
major innovation (winner of a european conference on computer vision 
2006) which involves the exploitation of algorithm using this 
technology. in the ""rolling shutter"" mode, all pixels of the imager are 
not simultaneously exposed to light but sequentially line by line. when 
the relative speed between camera and scene becomes very large, 
deformations or distortions appear in the image. these distortions are 
not taken into account in the classical perspective projection which 
considers the observation of a rigid world. this creates unusable images 
from cameras rolling shutter during pose estimation, and hence for 
three-dimensional reconstruction. this model allows calculating the 
accurate placement of the object but also operates the distortions 
induced by this phenomenon for measuring the instantaneous speed of 3d 
rigid objects.

in this case, the vision system is planned to have the low-level 
processing and technical computing compensating defects closer to the 
retina so as to provide not an image (which must be transferred to pc 
for processing) but a direct geometrical information (position, 
orientation, speed). this should provide such information at the rates 
of 1000 hz, consistent with the rapid control of robots, and details 
that are usually less than a few hertz frequency.

*contacts : *

françois berry - francois.berry at lasmea.univ-bpclermont.fr -- tel : 04 73 
40 72 52

omar ait aider - omar.ait-aider at lasmea.univ-bpclermont.fr -- tel : 04 73 
40 55 67

* *

*pre-requisite: *

* proficiency in english(spoken and written) is obligatory.*

the candidate should be experience in :

    * hardware programing (vhdl)
    * electronic system concepts
    * system programing (in c)

knowledge of following will be plus :

    * artificial vision
    * geometry and calibration

*bibliography*

*/simultaneous object pose and velocity computation using a single view 
from a rolling shutter camera/*

o. ait-aider, n. andreff, j.m. lavest and p. martinet

9th european conference on computer vision (eccv'06), graz, austria, may 
7-13, 2006.

*//*

*/structure and kinematics triangulation with a rolling shutter stereo 
rig /*/
/o. ait-aider and f. berry
international conference on computer vision (iccv'09), kyoto, japan, 
october 2009.

*/embedded active vision system based on an fpga architecture /*

p. chalimbaud, f. berry

eurasip journal on embedded systems, 2007

*/towards an embedded visuo-inertial smart sensor/**/
/*p. chalimbaud, f. marmoiton and f. berry
international journal in robotic research 2007"
6,2011,"phd positions in variable impedance haptics and upper limb assistance at eth zurich, switzerland","two phd positions are available immediately at the rehabilitation engineering lab at eth zurich, switzerland:

1) variable impedance haptics
2) multimodal upper limb assistance in patients with neurological motor deficits, collaboration with hocoma ag


**************************************************************************************************
1) phd position in variable impedance haptics at eth zurich, switzerland
**************************************************************************************************

the rehabilitation engineering lab at eth zurich is seeking applications for a phd position in variable impedance haptics, offered in the framework of the newly created swiss national center of competence in robotics (nccr robotics). the position is available immediately, is fully funded and will involve interaction with several robotics groups in switzerland.

background
the goal of this project is to investigate, design, control and characterize mechatronic joints which can physically match the human impedance/torque range and reproduce behavioral strategies of joints in upper and lower limbs. these joints will be integrated and evaluated in prosthetic and orthotic platforms being developed by other groups within the nccr robotics. requirements will be defined based on human identification studies and developments will build on earlier work on hybrid actuators consisting of active and passive (electro-)mechanical elements.

your profile
we are seeking candidates with an msc degree in mechanical engineering, mechatronics, or a related discipline, with a strong background in mechanical design, robotics and controls. good programming skills, previous experience in real-time control and human-machine interaction are a plus. if you are an integrative personality with good communication skills desiring to advance this topic with your independent working style, we are looking forward to your application.

how to apply
applications should be sent by e-mail to roger gassert (gassertr at ethz.ch) and include a statement of interest, full cv with photograph, academic transcripts and contact information of two referees.

about the rehabilitation engineering lab
the rehabilitation engineering lab pursues research at the frontiers of human-machine interaction and neuroscience, using robotic interfaces and non-invasive brain imaging as tools to investigate the mechanisms underlying sensorimotor control and recovery after neurological injury, and explores how the gained insights could be applied to novel modes of diagnostics, therapy and assistance. research focuses on the design, control and (clinical) evaluation/application of robotic tools to investigate, model, restore and augment sensorimotor control in humans.

links
nccr robotics: http://www.nccr-robotics.ch/
rehabilitation engineering lab: http://www.relab.ethz.ch
eth zurich: http://www.ethz.ch


**********************************************************************************************************************************
2) phd position: multimodal upper limb assistance in patients with neurological motor deficits
**********************************************************************************************************************************

within the mundus (multimodal neuroprosthesis for daily upper limb support) eu project, a highly modular framework is being developed to assist patients with upper extremity motor deficits due to neurodegenerative diseases or high-level spinal cord injury. assistive components include a portable exoskeleton to compensate for the weight of the arm, functional electrical stimulation for arm and hand, and a robotic wrist/hand actuation. the assistance will be controlled by intention-detection algorithms for which a range of modalities will be investigated: intelligent objects, surface emg, head/gaze tracking, and/or a brain computer interface.

in this context eth zurich and hocoma are offering a phd position in the field of rehabilitation engineering and assistive technology focusing on the ""integration and control of a multimodal assistive device for upper limb support of patients with neurological motor deficits"".

the focus of this project is to design and implement a portable exoskeleton by interacting with the development department at hocoma and project partners at eth zurich, as well as in austria, germany, and italy. within your studies you will develop an integrated, modular control concept for the assistive mundus platform and explore the application of these novel technologies also to upper extremity rehabilitation research.

your main work will be carried out at hocoma, while the scientific guidance and phd administration will be accompanied by the rehabilitation engineering lab at eth zurich headed by professor roger gassert in collaboration with the neuroprosthesis control group (professor silvestro micera) at the automatic control lab at eth zurich.

your profile
we are looking for candidates with an msc degree in mechanical engineering, mechatronics, or a related discipline, with solid knowledge in control systems (experience with real-time hardware-in-the-loop systems is a plus) and basic knowledge in electronics. furthermore, specific experience
in mechanical design (cad) would be a plus.
if you are an integrative personality with good communication skills (fluent in english, german is preferable) and willing to push on this interesting project with your independent working style, we are looking forward to your application.

how to contact us
for questions regarding this position, please contact dr. alexander duschau-wicke, product manager at hocoma, tel. +41 (0)43 444 22 00, email: alexander.duschau-wicke at hocoma.com

please send your complete application with a photo to: hocoma ag, human resources,
industriestrasse 4, ch-8604 volketswil or via e-mail to personal at hocoma.com


--
prof. dr. roger gassert
rehabilitation engineering lab
institute of robotics and intelligent systems
eth zürich, leo b 9.1
leonhardstrasse 27
8092 zürich, switzerland

phone: +41 44 632 32 66
e-mail: gassertr at ethz.ch
http://www.relab.ethz.ch

************************************************************************
rehab week zurich 2011 – one week.  three conferences.
icorr'11 | icvr'11 | inrs'11 | http://www.rehabweekzurich.com/

12th ieee international conference on rehabilitation robotics
icorr 2011, june 29–july 1, http://www.icorr2011.com
************************************************************************"
7,2012,multiple positions in robotics/vision/learning at u. innsbruck,"the research group in intelligent and interactive systems
(https://iis.uibk.ac.at/) has multiple openings at the doctoral and
post-doctoral levels:

- research positions funded by the eu-fp7-ict ""cognitive systems,
  interaction and robotics"" projects xperience (http://www.xperience.org/),
  intellact (http://www.intellact.eu/) and pacman (forthcoming)

- non-permanent university research staff positions with minor
  teaching requirements

for both types of positions, we seek candiates with interest and
skills in at least one of the following areas:

* robotics:
  - grasping and manipulation using one or two dextrous hands
  - tactile sensing for grasping and manipulation
  - generalization of manipulation skills based on object parts and shapes
  - extraction of generic knowledge from sensorimotor experience
* computer vision:
  - object modeling, recognition and pose estimation using stereo vision
    and/or point clouds
  - compositional, hierarchical, part-based object modeling
  - learning action-relevant features; affordance-driven categorization

in addition, all positions involve probabilistic modeling and machine
learning.

innsbruck is home to 35000 students who imprint a distinctive,
international student atmosphere upon this lively city of
120000. beautifully located in the tyrolean alps, on the inn river and
surrounded by summits of up to 2718m, innsbruck offers outstanding
opportunities and quality of life all around the year.

for more information and how to apply see https://iis.uibk.ac.at/jobs.

-- 
intelligent and interactive systems https://iis.uibk.ac.at/
institute of computer science, university of innsbruck, austria
"
8,2013,phd & postdoc opening in visual navigation & grasping at home @ tu vienna,"the vision4robotics team (http://v4r.acin.tuwien.ac.at/) at tuw (technische
universitaet wien) invites applications for phd and postdoc positions to
start 15 june 2013 or later.

topics: 
- safe navigation in user homes (developing solutions to challenges at home
such as tight space, reliable localisation, and detecting small obstacles on
the floor using rgb-d sensors)
- grasping anything from the floor (detecting small objects in rgb-d images,
grasp generation and execution) 

the positions are related to eu projects hobbit (http://hobbit-project.eu/)
and squirrel (starting in 2014). the tasks are to contribute resp. to lead a
team that develops methods to operate robots at home (robots will be newly
designed by metralabs following the prototypes on the web-page). the project
goal is to make older users feel safe longer at home and to prevent falls by
cleaning up the floor and by detecting potential risks such as blocked ways
and rolled carpets. the projects are highly visible in the press and will
lead to studies in actual user homes.
regarding navigation collaboration with the team of wolfram burgard at the
university of freiburg is foreseen. 

applicants are expected to have background and experience in vision and
robotics, excellent coding skills, and excitement to work in a research team.
salaries follow the austrian regulations for researchers and start at a total
of 35keuro resp. 49keuro annually depending on prior qualification. 

applications with cv and copies of latest works (e.g., top publications,
extract of master thesis) should be sent to markus vincze
(vincze at acin.tuwien.ac.at). if you need any further details, please ask. 
thank you and best regards


markus vincze

technische universität wien
automatisierungs- und regelungstechnik institut prof. dr.techn. markus vincze
gusshausstr. 27/376
1040 wien, austria, europe
tel.: +43 158801 376611
fax: +43 158801 937697
web: www.acin.tuwien.ac.at & v4r.acin.tuwien.ac.at
email: vincze at acin.tuwien.ac.at"
9,2014,open phd position in model-based testing/diagnosis in robotics,"the autonomous intelligent system group, institute for software
technology, graz university of technology, is seeking

a research assistant/wissenschaftlichen mitarbeiter with the opportunity
for dissertation for

the guard (guaranteeing service robot dependability during the entire
life cycle)  project

the aim of the project is to develop methods based on model-based
testing and diagnosis to improve the reliability of service robots in
industrial environments. the 3-year project is funded by the austrian
research promotion agency (ffg) and will be carried out in close
cooperation with the robotics startup incubed it
(http://www.incubedit.com/). the focus of the project lies on the
modeling of individual transport robots as well as a fleet and its
embedding in an automated warehouse, the development of automated
testing and diagnosis capabilities based on these models and a seamless
integration of the methods in the entire development, deploy and
operation process.

the successful candidate will work with the autonomous intelligent
system group which conducts research on ai-based robotics with a strong
focus on robustness and dependability. the results of the research will
be deployed practically in an industrial use case.

for the project we are seeking a motivated and talented young researcher
with a strong background in the following areas: robotics, computer
science, ai, or software engineering. advanced programming skills in
c/c++ and experience with ros or diagnosis and testing are a plus.

if you are interested in the position, please send your application
including cv, academic transcript, relevant certificates, and
publication list, 2 reference contacts and other supporting materials
such as reference letters (if available) in a single pdf file by email
to gerald steinbauer <mailto:steinbauer at ist.tugraz.at>
steinbauer at ist.tugraz.at. we expect to fill the position by april 1st
2014.

for further information please contact: gerald steinbauer
<mailto:steinbauer at ist.tugraz.at> steinbauer at ist.tugraz.at."
