,year,subject,content
0,2006,phd position in eye-bots for swarmanoids,"---------------------------------------------------------------
open phd position announcement
swarm of indoor flying eye-bots: design and prototyping

laboratory of intelligent systems (lis)
swiss federal institute of technology lausanne (epfl)
---------------------------------------------------------------

one funded phd student position is available immediately or upon  
agreement at the laboratory of intelligent systems,
swiss federal institute of technology lausanne (lab director: prof.  
dario floreano) in the framework of the swarmanoid
project, a future and emerging technologies (fet-open) project funded  
by the european commission.
the swarmanoid project is a follow-up of the successful swarm-bots  
project (http://www.swarm-bots.org).

project description
-------------------
the main objective of the swarmanoid project is the design and  
manufacturing
of a ""swarmanoid"", an innovative robotic system made of a swarm of
heterogeneous autonomous robots acting and interacting in the 3d  
space. flying
eye-bots, climbing and grasping hand-bots, and walking and transporting
foot-bots will be the robotic units of the swarm. each unit will be  
designed to
be autonomous and to have self-reconfiguration capabilities, as well  
as to be
able to cooperate and self-assemble with the other units to perform  
collective
task solution.

in addition to the laboratory of intelligent systems, the project's  
consortium includes:
dr. mondada (lsro, epfl), prof. dorigo (iridia, ulb, belgium),
prof. gambardella (idsia, lugano, switzerland), and prof. nolfi (cnr,  
rome, italy).

description of work
  -------------------
the phd research work will focus on the development of the eye-bots.  
eye-bots
will be small robots equipped with sensing abilities (most likely  
vision) that will
live mainly in the air or in the ceilings of building and provide  
sensing and navigation
information for foot-bots and hand-bots. eye-bots should be able to  
fly, attach to
the ceilings, and possibly to other eye-bots. the candidate will work  
together with
another phd candidate whose work will focus on control and sensing of  
the eye-bots.

applicants should preferably have an msc in one of the following  
disciplines:
- micro-engineering
- electronic engineering
- robotics
- aerodynamics

candidates from other disciplines are also welcome if they  
demonstrate skills in the above-mentioned areas.
demonstrated proficiency in written/spoken english is mandatory. the  
candidate will be requested to do some
class assistance and supervise undergraduate and master projects.

the candidate will join a young and enthusiastic team with several  
activities in aerial robotics that featured on top
international media and scientific magazines. the laboratory offers  
access to state-of-the-art facilities ranging from
micro-machining to printed circuit realization as well as  
collaboration with companies in micro-robotics.
the laboratory developed and is developing several types of  
autonomous flying robots for indoor and outdoor environments.
there are thus several synergies with other projects.

annual salary is approximately 45k chf (with small adjustments based  
on age and experience).

to apply for the position, please send a letter of motivation along  
with a cv, certificates, and two academic references to
dario.floreano at epfl.ch.

for more information please refer to:
swiss federal institute of technology lausanne: http://www.epfl.ch
laboratory of intelligent systems: http://lis.epfl.ch


**********************************
prof. dr. dario floreano
laboratory of intelligent systems
swiss federal institute of technology (epfl)
building ele, station 11
ch-1015 lausanne, switzerland

voice: +41 21 693 5230
secretary: +41 21 693 5966
fax: +41 21 693 5859
dario.floreano at epfl.ch
http://lis.epfl.ch
**********************************
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060722/f46e7923/attachment-0001.html"
1,2007,post. doc. jobs in active sonar in denmark and belgium,"active sonar perception inspired by bats

... at universiteit antwerpen, antwerpen, belgium, and university of
southern denmark (sdu), odense, denmark in the framework of the eu
project chiroping (01/02/2008 -- 31/01/2011).

chiroping is a multidisciplinary research collaboration between 4
universities in the area of sensing for autonomous systems.

the principal objective of the project is to discover how to engineer
embodied active sonar perception systems which can serve as a complement
to vision and facilitate the deployment of robotic systems in situations
where vision is infeasible.

the project will implement and evaluate two demonstration systems built
as biomimetic models of an insect gleaning and a water-trawling bat
species respectively. it will use a classic biomimetic methodology,
involving close collaboration between bat ethologists and roboticists.
it will proceed by identifying and measuring the relevant acoustic and
morphological parameters of a few carefully selected bat species,
reconstructing from that the bat's acoustic experience as it flies
through natural hunting tasks. from this data, computational models of
how the bat coordinates its acoustic, behavioural and morphological
choices during hunting will be elicited and implemented on appropriate
robotic systems.

for further information on the project, see
    http://www.chiroping.org/index.html

recruitment to a postdoc position (max. 3 years)
================================================

what we expect:
---------------

recent ph. d. diploma in one of the areas of acoustics, robotics or
signal processing. extensive expertise in c programming and
mathematics/signal analysis/ pattern recognition is necessary.

what we offer:
--------------

we offer a full-time position with a maximum duration of 3 years on an
exciting research project in an active and reputable research
group. the gross salary for the postdoc will be according to the
standard rates and conditions at the employing institution, either
universiteit antwerpen or university of southern denmark.

information and application
---------------------------

for information and application to universiteit antwerpen please contact: 
prof. dr. ir. herbert peremans, herbert.peremans at ua.ac.be

for information on chiroping at sdu please contact:
professor john hallam, john at mmmi.sdu.dk (after 2 january 2008).

for application to university of southern denmark, the position will
be advertised shortly here:
    http://www.jobs.sdu.dk/index.php?fakultet=teknik&vis=eng
"
2,2008,post-doc position available in the swarmanoid (robotics) project,"iridia, the computational intelligence lab of the free university of  
brussels,
has an open position (one year, renewable) in swarm robotics for a  
postdoc.

the position is available within the framework of the swarmanoid  
project (www.swarmanoid.org).

start date september 1, 2008, or later.

position open until a candidate is selected.

please send cv and availability information by email to mdorigo at ulb.ac.be


= 
========================================================================
swarm intelligence:  a quarterly journal published by springer
information on the journal available at http://www.springer.com/11721
papers can be submitted at http://www.editorialmanager.com/swrm
= 
========================================================================
marco dorigo, ph.d.      email      mdorigo@(no.spam)ulb.ac.be
directeur de recherches du fnrs     url        iridia.ulb.ac.be/~mdorigo
iridia cp 194/6       skype:     mdorigo
universite' libre de bruxelles     tel        +32 (0)2 6503169
avenue franklin roosevelt 50     mobile     +32  478 301233
1050 bruxelles       fax        +32 (0)2 6502715
belgium        secretary  +32 (0)2 6502729
= 
========================================================================"
3,2008,phd position for a researcher with background in mechanical engineering.,"dear all,

within the context of the altacro-project (automated locomotion training
using a compliant robotic orthosis; see : http://altacro.vub.ac.be/ ) we
have a 4 year research grant for a ph-d researcher with a background in
mechanical engineering (or bio-mechanical engineering).
altacro is a multidisciplinary research project aiming at the development
and clinical testing of a step rehabilitation robot powered by compliant
actuators with high force output. the altacro project is a contribution to
the synergy between robotics and rehabilitation. our primary goals are to
improve the quality of step rehabilitation therapy both for patients and
therapists and increasing the availability of automated step rehabilitation
training.
the researcher will work in a team of 6 researchers, 3 which have an
engineering background and 3 researchers with a background in physiotherapy.

candidates should send their curriculum vitae to :
dlefeber at vub.ac.be


prof. dr. ir. dirk lefeber 

'ours is the age which is proud of machines that think, and suspicious of
men who try to'
(h. mumford jones)

robotics & multibody mechanics group 
department of mechanical engineering 
vrije universiteit brussel 
faculty of applied sciences 
pleinlaan , 2 
b-1050 brussels 
belgium 
phone : 32 2 6292864 
fax : 32 2 6292865 
email : dlefeber at vub.ac.be 
www-adresses :
http://mech.vub.ac.be/multibody_mechanics.htm

http://lucy.vub.ac.be/
"
4,2008,phd position for a researcher with background in mechanical engineering.,"dear all,

within the context of the altacro-project (automated locomotion training
using a compliant robotic orthosis; see : http://altacro.vub.ac.be/ ) we
have a 4 year research grant for a ph-d researcher with a background in
mechanical engineering (or bio-mechanical engineering).
altacro is a multidisciplinary research project aiming at the development
and clinical testing of a step rehabilitation robot powered by compliant
actuators with high force output. the altacro project is a contribution to
the synergy between robotics and rehabilitation. our primary goals are to
improve the quality of step rehabilitation therapy both for patients and
therapists and increasing the availability of automated step rehabilitation
training.
the researcher will work in a team of 6 researchers, 3 which have an
engineering background and 3 researchers with a background in physiotherapy.

candidates should send their curriculum vitae to :
dlefeber at vub.ac.be


prof. dr. ir. dirk lefeber 

'ours is the age which is proud of machines that think, and suspicious of
men who try to'
(h. mumford jones)

robotics & multibody mechanics group 
department of mechanical engineering 
vrije universiteit brussel 
faculty of applied sciences 
pleinlaan , 2 
b-1050 brussels 
belgium 
phone : 32 2 6292864 
fax : 32 2 6292865 
email : dlefeber at vub.ac.be 
www-adresses :
http://mech.vub.ac.be/multibody_mechanics.htm

http://lucy.vub.ac.be/"
5,2009,several phd positions at ghent university,"several fully funded ph.d. positions in machine learning, speech  
recognition, handwriting recognition and robotics are available at the  
reservoir lab (http://reslab.elis.ugent.be) and the speech lab (http://speech.elis.ugent.be 
), both part of the electronics and information systems department,  
faculty of engineering of the ghent university, belgium (http:// 
ugent.be).

project
current state-of-the-art speech & handwriting recognition systems  
still perform much worse than human beings who can effortlessly decode  
the speech or handwriting of most people, even in fairly adverse  
conditions (e.g. the presence of noise in case of speech recognition).  
the fact that the human brain works so efficiently is owed to its self- 
organizing capacity, its deeply hierarchical approach, its adoption of  
unsupervised and supervised learning strategies, its capacity to adapt  
almost instantly to new circumstances, etc. why not try to build an  
automatic speech recognizer and handwriting recognition engine that  
incorporates the same principles? this is exactly what we will do in  
two recently approved projects:

* “self-organized recurrent neural learning for language  
processing” (organic), funded by the european commission within the  
7th framework program. details about the project can be found at the  
preliminary reservoir computing website (http://reservoir- 
computing.org).
* “reservoir computing for auditory pattern recognition” (recap),  
funded by the research program of the research foundation - flanders  
(fwo).

the research concerns the investigation of architectures and  
algorithms for the efficient learning of large recurrent neural  
networks based on the reservoir computing concept (where only a linear  
readout layer is learned in a supervised way whereas the recurrent  
connections are fixed or trained in an unsupervised way). important  
research topics are the unsupervised learning of a large hierarchy of  
recurrent sub-layers, and the integration of various adaptation  
techniques. the application domains are off-line handwriting  
recognition, speech recognition and various aspects of robotics (such  
as robot localization, motion control, ...). so far we were able to  
demonstrate that reservoirs can give rise to the robust recognition of  
digits spoken or written in isolation, but now we want to demonstrate  
that they can also yield robust recognition of continuous speech and  
handwriting (large vocabulary).

requirements
candidates should have a masters degree in electrical, computer or  
physics engineering; or in physics, mathematics or computer science. a  
good knowledge of english is essential. no professional background is  
required, but the ideal candidates have some acquaintance with machine  
learning, programming (python, matlab, ...), statistics, signal  
processing, speech recognition, control engineering, or robotics.

what we offer
we offer an opportunity to perform at least three years of research in  
a new promising domain, and to get a doctoral degree in this domain.  
there will be ample opportunities for establishing international  
contacts (stays at partner universities, participation to  
international conferences). as an employee of the university you will  
receive a competitive salary (starting with a net monthly salary of  
approximately 1.600€) as well as excellent secondary benefits (holiday  
allowance, etc.). belgium was ranked first on the “best countries for  
academic research” worldwide list (the scientist, 2007), and ghent  
university was appointed second place on the “best places to work in  
academia” non-us list (the scientist, 2006).

application and timing
if you are interested in one of the ph.d. vacancies, please send in  
electronic format to benjamin schrauwen (benjamin “dot” schrauwen “at”  
ugent “dot” be): a detailed curriculum vitae, a motivation letter,  
your course program, your grades, two letters of recommendation and,  
if applicable, a publication list and selected publications. do also  
mention your topics of preferences within the projects (e.g. robotics,  
speech, no preference, etc.). some positions start on april 1, 2009,  
others in september 2009, meaning that persons who expect to graduate  
in july 2009 are welcome to apply. applications which are received  
before february 1, 2009 get priority.

with kind regards,

benjamin schrauwen and jean-pierre martens"
6,2009,job advertisements: research fellow/assistant in human-robot interaction and rehabilitation robotics,"sorry, the previous email i just sent had a typo in it, i would 
appreciate if this version can be forwarded to the list instead.

thanks, kerstin

---------- forwarded message ----------
date: fri, 10 jul 2009 11:50:16 +0100 (bst)
from: kerstin dautenhahn <comqkd at herts.ac.uk>
to: robotics-worldwide at usc.edu
subject: job advertisements: research fellow/assistant in human-robot
     interaction and rehabilitation robotics


job advertisement for two positions at university of hertfordshire:
research fellow in human-robot interaction and research assistant in 
rehabilitation robotics

university of hertfordshire
http://www.herts.ac.uk/home-page.cfm
adaptive systems research group
http://adapsys.feis.herts.ac.uk/

***research fellow in human-robot interaction***

full-time position, salary 20226-27999  gbp per annum (depending on 
qualifications and experience), ref. number en8942
fixed-term 2-year contract (starting date: 1 september 2009)

closing date: 23/07/2009

a postgraduate/postdoctoral research assistant/research fellow position is 
available in the eu funded project lirec (living with robots and interactive 
companions). this full-time research post will allow you to pursue research 
into human robot interaction as part of a european integrated project. this 
multidisciplinary project consists of several european partners in germany, uk, 
hungary, belgium,  sweden ,   portugal   and poland. the university of 
hertfordshire.s research within lirec relevant to this post concerns a .robot 
home companion. scenario, whereby robots are being used to provide assistance 
to users in a home environment. one aspect of specific relevance is how the 
robot approaches people and maintains appropriate social distances from them 
(proxemics research). you will conduct research into human-robot proxemics, 
based on an existing conceptual framework that needs to be implemented, tested 
and revised in human-robot interaction studies in the robot house. this 
framework will allow the robot to adopt appropriate social distances towards 
its user, and to learn and adapt to the user.s individual references and 
long-term changes. you will also contribute to the development of the robot 
house showcase at uh which is one of the key showcases for the lirec project.
you will be a member of the adaptive systems research group 
(http://adapsys.feis.herts.ac.uk/) at university of hertfordshire in the school 
of computer science which includes 30 research staff members (postdocs and phd 
students). the university of hertfordshire ranks 27th in england for post-2008 
rae-funding in computer science and informatics. the highly active and 
multidisciplinary research group has an excellent international research track 
record including research in human-robot interaction, social robotics and robot 
learning.

you should have a strong postgraduate degree (msc, mphil or phd) in robotics, 
computer science, or a related area. you are also expected to have strong 
qualifications and practical experience in robotics programming and robot 
learning. experience with robotics hardware and experience in human-robot 
interaction are desirable. you are expected to work independently, but under 
guidance of and in close collaboration with other team members at uh and other 
project partner institutions.

the position is full-time. work will be based at university of hertfordshire 
and may include short stays at european partner institutions.

more details of the job description and person description can be found here:
http://web-apps.herts.ac.uk/uhweb/apps/hr/research-vacancies.cfm

all applications must be made via the human resource department at university 
of hertfordshire (see url above).


***research assistant in rehabilitation robotics***

full-time position, salary 20226 gbp per annum, ref. number en8941
fixed-term contract (starting date: 1 september 2009, end date: end of june 
2012)

closing date: 23/07/2009

a research assistant position is available in the eu funded project lirec 
(living with robots and interactive companions). this full-time research post 
will allow you to pursue research into human robot interaction as part of a 
european integrated project. this multidisciplinary project consists of several 
european partners in germany, uk, hungary, belgium,  sweden ,   portugal   and 
poland. the university of hertfordshire.s research within lirec relevant to 
this post concerns a .social mediator. scenario, whereby a robot remotely 
mediates communication and interaction between two people. relevant for this 
post is the use of robots as aid in communication, interaction and 
rehabilitation. specifically, the development of different assistive and 
interactive applications for a phnatom omni in the context of the social 
mediator scenario is a central part in the research relevant for this specific 
post. this involves software development, interface design, as well as 
experimental testing, including human-robot interaction and user studies in a 
rehabilitation context, analysis of data and documentation of results.

you will be a member of the adaptive systems research group 
(http://adapsys.feis.herts.ac.uk/) at the university of hertfordshire in the 
school of computer science which includes 30 research staff members (postdocs 
and phd students). the university of hertfordshire ranks 27th in england for 
post-2008 rae-funding in computer science and informatics. the highly active 
and multidisciplinary research group has an excellent international research 
track record including research in human-robot interaction, social robotics and 
assistive and rehabilitation robotics.

you should have a strong undergraduate or postgraduate degree (bsc or msc) in a 
relevant discipline (i.e. computer science, robotics, cybernetics, or 
engineering).  potential candidates must have excellent understanding, and 
preferably previous experience, in several or all of the areas:
-programming robots and haptic interfaces
-interface design
-master/slave approaches in control of robotic tools
-assistive and rehabilitative robotics
-human-robot interaction

you are expected to work independently, but under guidance of and in close 
collaboration with other team members at uh and other project partner 
institutions. a postgraduate successful applicant will have the opportunity to 
pursue research in the same area towards a phd.

the position is full-time. work will be based at university of hertfordshire 
and may include short stays at european partner institutions.

more details of the job description and person description can be found here:
http://web-apps.herts.ac.uk/uhweb/apps/hr/research-vacancies.cfm

all applications must be made via the human resource department at university 
of hertfordshire (see url above).

-----------------------------------------------------
prof. dr. kerstin dautenhahn
professor of artificial intelligence
adaptive systems research group
the university of hertfordshire, school of computer science
college lane, hatfield, hertfordshire al10 9ab, united kingdom
url: http://homepages.feis.herts.ac.uk/~comqkd
e-mail: k.dautenhahn at herts.ac.uk
fax: +44-1707-284-303  tel: +44-1707-284-333"
7,2010,phd positions in interactive robotics,"dear colleagues,

the intro project (interactive robotics research network) is offering 10
research positions (8 phd student positions starting in 2010 and 2
post-doctoral positions starting in 2011) in the interdisciplinary areas of
interactive robotics; cooperative robot learning, cognitive human-robot
interaction (hri) and intelligent interface design. 

intro aims to create a new generation of robotic researchers with a broad
understanding of the research and technologies needed to build intelligent
robots that function in close interaction with humans in unstructured, changing
“real word” conditions. the training has a strong multidisciplinary
approach complemented by specialized domain knowledge. young researchers will
work closely with industries, endowing them with insight and understanding of
the industrial product life-cycle and valuable hands-on experience of top-level
industrial robot development. by blending complementary skills, intro will
improve the career perspectives of young researchers, in both academic and
industrial sectors. this will be achieved through a transnational network of
universities and robot companies, with senior researchers from different
disciplines (robotics, artificial intelligence, cognitive sciences, human
factors) coming from different ‘schools-of-thought’ (computer sciences,
industrial engineering, psychology). 
web site: http://introbotics.eu/

intro is funded by the european commission as part of the fp7 program and
involves 6 partners:
– umeå university,  sweden 
– ben-gurion university of the negev, israel
– humboldt-universität zu berlin, germany
– space applications services, belgium
– robosoft, france
– university of the west of england, uk

each phd student will be stationed at one of the universities and will also
undergo a secondment and visit other partners. the post-doctoral researchers
will be stationed at one of the partner companies, with several visits to the
other partners’ institutions. the following positions are offered:
• umea university,  sweden  
- phd2: learning from demonstration and imitation
- phd5: emotional interaction
• ben-gurion university of the negev, israel
- phd1: learning inspired by cognitive psychology
- phd8: intelligent interface design
• humboldt-universität zu berlin, germany 
- phd3: behaviour and intention recognition for human-robot learning
- phd4: dynamic gesture analysis
• university of the west of england, uk 
- phd6: robot safety and interaction
- phd7: failure detection and recovery

each recruited researcher will join a training program comprising the following
major components: an individual research project conducted in close cooperation
with researchers from the partner universities and industries; a network-wide
training program that includes regular courses and courses in complementary
skills (such as project management and proposal writing); seminars and
workshops. 
the intro partners recognize the importance of gender equality and are
committed to it in all aspects of the project.

for more information on intro and the open positions, please visit
http://introbotics.eu/ 

according to marie-curie rules, applicants must be in their first 4 years
(full-time equivalent) since gaining a university degree which would entitle
them to embark on doctoral studies. 

an applicant for a positions must not be a citizen of the country in which the
associated university is located (exceptions apply, see below).

each position has to be applied for separately. 

common closing date for all applications: 15th of april 2010. 

anticipated start date: 1st of september 2010 or earlier.


with best regards,
verena hafner

-- 
http://koro.informatik.hu-berlin.de/
"
8,2010,post doc position for the mechanical design of a robotic lower-limb exoskeleton,"dear all,

 

post doc position for the mechanical design of a robotic lower-limb exoskeleton

 

the vrije universiteit brussel is a dynamic and modern university situated in the heart of brussels. it performs research and offers education in a wide range of subjects ranging from fundamental and applied science to social sciences and humanities.

within the robotics & multibody mechanics research group, which is part of the mechanical engineering department, we are looking for a 

 

post doc for the mechanical design of a robotic lower-limb exoskeleton.

 

altacro project

locomotion training proves to be a very successful rehabilitation approach for patients with gait insufficiency due to neurological or orthopedic conditions and for those suffering from deconditioning or prolonged illness. the altacro-project focuses on identified challenges in the state of the art of locomotion rehabilitation. the research goals are aimed at improving robot-aided locomotion training by means of active ankle assistance, a better human-robot interaction, a more natural load distribution and more naturalistic gait movements. 

 

the project involves the design, control and testing of a powered exoskeleton prototype using variable impedance actuators, a randomized clinical trial and a series of clinical case studies to investigate the effects of therapist-assisted and robot-assisted locomotion training on the walking capabilities of spinal cord injured (sci) patients and in particular the contribution to the stated research goals.

 

 you will collaborate closely with the other researchers working on the project. your main role will be the mechanical design of the robotic exoskeleton. concrete tasks include proposing and discussing concepts, designing parts or the exoskeleton using cad software, selecting materials, evaluating strength and stiffness using finite element models, etc. sometimes, bachelor and master students may contribute to the project, in which case you will have an important role in their supervision. a modest contribution in the educational tasks of the department will also be demanded.

 

results of the project will be disseminated through patents (if applicable), publications in peer-reviewed journals and presentations at international conferences.

 

profile

we are looking for a highly motivated and enthusiastic researcher with a phd degree in mechanical engineering or a closely related field. experience in mechanical design is a necessary. a background in robotics is a plus. the candidate should have a keen interest in robotics and biomechanics. fluency in english is a requirement.

 

offer

the length of employment for the post doc will be at least 2 years. there will be a 6 month probation period. the starting salary will be around €2100/month.

 

information and application

for more information, please contact: prof. dr. ir. dirk lefeber, +32-2-6292864, dlefeber at vub.ac.be

 

to apply for this position, please send your application letter, cv (including a list of people to contact as references), list of publications (if applicable) and a short summary of you masters and phd thesis to dlefeber at vub.ac.be.

 

prof. dr. ir. dirk lefeber

head of the department of mechanical engineering

'ours is the age which is proud of machines that think, and suspicious of men who try to'
(h. mumford jones)

robotics & multibody mechanics group
department of mechanical engineering
vrije universiteit brussel
faculty of applied sciences
pleinlaan , 2
b-1050 brussels
belgium
phone : 32 2 6292864
fax : 32 2 6292865
email : dlefeber at vub.ac.be
www-adresses :
 <http://mech.vub.ac.be/multibody_mechanics.htm> http://mech.vub.ac.be/multibody_mechanics.htm

 <http://lucy.vub.ac.be/> http://lucy.vub.ac.be/ "
9,2010,"available post-doc position on human robot interface design, robosoft, france","marie curie early stage research training in interactive robotics
a postdoctoral position for 24 months is available in a technological
development project focusing on interaction to work in the field of human
robot interface design. this experienced researcher position is funded by
the european union as part of the “intro” marie curie initial training
network which in total offers 2 experienced researcher and 8 phd positions
in the interdisciplinary areas of interactive robotics; cooperative robot
learning, cognitive human-robot interaction (hri) and intelligent interface
design. intro involves 6 partners: umea university,  sweden ; ben-gurion
university of the negev, israel; humboldt-universität zu berlin, germany;
university of the west of england, uk; space applications services, belgium,
and robosoft, france. 
according to marie-curie rules, experienced researchers must, at the time of
the relevant deadline for submission or selection by the host organization,
depending on the action, either be in possession of a doctoral degree,
irrespective of the time taken to acquire it, or have at least four years of
full-time equivalent research experience, including the period of early
stage research. the applicant must not be a national of france unless the
applicant holds also another nationality, and has not resided in france
during the previous 5 years. at the time of appointment, the applicant must
not have resided or carried out his/her main activity in france for more
than 12 months in the 3 years immediately prior to his/her appointment.
exceptions are given if the applicant has legally resided and had his/her
main activity in a non–associated third country for at least 3 of the last 4
years immediately prior to his/her appointment.
this appointment will be through the company robosoft. in the proposed
project, the experienced researcher will focus on development of advanced
interfaces and interaction techniques. its first task will be to identify
the company needs and requirements. during the first three months, he or she
will study the specific robotics systems at the industry and meet with the
phd students of the project to evaluate the developments. he or she will be
responsible for transferring the results from the other research projects
into the robosoft company operational robots.
software bricks developed during the project, using the microsoft robotics
developer studio software, will be implemented in the robulab 10 robot. the
experienced researcher will implement some chosen results on robosoft robots
that target promising markets and demonstrate the benefits of enhanced
flexibility and adaptability obtained by virtue of more advanced
interactivity with humans.
trainees must register for a postdoctoral position at robosoft company,
france. one part of the project will be conducted at ben-gurion university
of the negev, beer sheva, israel.
the applicant must have completed an early stage research in engineering,
computer sciences or psychology. the applicant must be skilled in both oral
and written communication in english, be able to work independently as well
as in collaboration with others. experience in artificial intelligence,
robotics, cognitive science and visual c# programming are merits. the
application should contain a cv, academic grades, a copy of degree project
report and any publications, personal references (one from the early stage
research advisor) and one a4 sheet describing the personal motivation for
applying for this position.
additional details on the company are indicated in:
http://www.robosoft.com/eng/
informal enquiries should be directed to: 
dr. eric lucet,  email: eric.lucet at robosoft.com
applicants should provide all necessary registration information to dr. eric
lucet, email: eric.lucet at robosoft.com
additional project information can be found at http://introbotics.eu
closing date: applications should be sent as soon as possible and until
january 30 2011; 
anticipated start date: june 1 2011 or earlier.
--------------------------------------------------------
eric lucet
cell phone: + 33(0) 662 687 355
tel: + 33(0) 144 276 282 (paris 6 university)
www.robosoft.fr
robosoft - technopole d’izarbel – f-64210 bidart
tel: + 33(0) 559 415 360 – fax : + 33(0) 559 415 379
--------------------------------------------------------"
