,year,subject,content
0,2012,"phd opportunity on multiple unmanned aerial vehicles development, control, and coordination","the computer systems and robotics lab. ( coro - http://coro.cpdee.ufmg.br ), school of engineering, federal university of minas gerais ( ufmg - www.ufmg.br ), 
brazil, is currently seeking phd students to work in the field of unmanned aerial vehicles (uavs) with a start date in 2012. 

the selected students will work in a project funded by the brazilian innovation agency – finep,
with grants from the electrical engineering graduate program ( ppgee - http://www.ppgee.ufmg.br/indexi.php ).
 
project description: the main goal of this project is the development of a team of fixed-wing aerial robots which are able to collaborate in a coverage mission.
given a limited region this team of uavs should be able to cover this region in minimum time. possible applications are surveillance, environmental monitoring, and 
search and rescue in the amazon forest. the project will be mainly developed at ufmg, which is a top 3 university in brazil (world ranking: 301 – 400 according 
to the academic ranking of world universities 2011), located in the city of belo horizonte ( http://en.wikipedia.org/wiki/belo_horizonte ),
which is one of the main cities of brazil, capital of the state of minas gerais.

requirements:

- master (equivalent) degree in electrical/mechanical engineering or computer science.

- strong interest in robotics and/or control theory and/or electronics.

- good programming skills in c++ and matlab.

- good communication and interpersonal skills (fluent english).

- portuguese is not required, but the student is expected to learn it during the 4 year phd project.

- some demonstrated work experience in robotics research is a “plus”.

application: send a cover letter, cv, academic transcript, selected publications, and contact information for three references 
to prof. luciano c. a. pimenta ( lucpim at cpdee.ufmg.br ).

for additional information contact prof. luciano c. a. pimenta ( lucpim at cpdee.ufmg.br )"
1,2012,"job posting: tenure track assistant professor at the university of sao paulo, brazil","dear colleagues

there are several position openings at the escola politécnica of the
university of são paulo (usp) in brazil for tenure track assistant professor
in the areas of robotics, computational mechanics, and control engineering.


usp is ranked as the first university of latin america and it has been
growing consistently during the last years. 

it is required to hold a phd in engineering and knowledge of portuguese, at
least at a basic level. 

 

application of interested candidates can be done until 21st of november of
2012. 

 

it is recommended that candidates with foreign degrees start the process
ahead of the deadline.

the selection procedure involves three days of interviews, lectures, and
exams. the curriculum has to be made publicly available through the lattes
system.

the link to the call:  

 <http://www3.poli.usp.br/acesso-rapido/concursos-e-processos-seletivos>
http://www3.poli.usp.br/acesso-rapido/concursos-e-processos-seletivos

for interested candidates that do not speak portuguese: it is suggested to
contact prof. arturo forner-cordero (aforner at usp.br) or prof. emilio c. n.
silva (ecnsilva at usp.br).

 

best regards

 

________________________________________________________________

arturo forner-cordero

associate professor

head of the biomechatronics lab. mechatronics department

escola politécnica da universidade de sao paulo.

av. prof. mello moraes, 2231 - cidade universitaria

05508-030 - sao paulo-sp - brasil

tel. +55 (11) 3091 9965/6011 (office/lab)

 <http://sites.poli.usp.br/pmr/biomecatronica/>
http://sites.poli.usp.br/pmr/biomecatronica/

 <http://sites.poli.usp.br/p/arturo.forner/>
http://sites.poli.usp.br/p/arturo.forner/
"
2,2012,tenure track position in space systems engineering - arizona state university,"--
faculty position in space systems engineering (job# 102335)

the school of earth and space exploration (sese) invites applications for a tenure-track assistant professor with desired expertise in space systems and technology, to begin august 2013. the school is particularly interested in candidates with expertise in: instrument design and assembly, small satellite development including cubesats and nanosatellites, highly reliable software and systems development for space applications, sensor development for extreme environments including space qualification of sensors, hazard detection and avoidance, autonomous systems and technologies for robotic/human exploration. spaceflight hardware and/or mission operations experience is strongly desired. the successful candidate will connect science drivers and engineering solutions - a competent familiarity with both sides of the development endeavor is preferred.

established in 2006, the school of earth and space exploration (“sese"") is the focal point for earth and space science at arizona state university, one of the largest and fastest growing institutions of higher learning in the united states. an essential part of the sese mission is to design, develop, and deploy new technologies to enable scientific exploration in space. sese faculty also benefit from a variety of state-of-the-art facilities on the tempe az campus, including high-bay assembly clean rooms, in the new istb 4 building. an earned doctorate in engineering or science is required. the requirements for this position include: (1) a ph.d. in space systems engineering or a closely related discipline, (2) evidence of scholarly contributions in space systems and technology, and (3) a commitment to quality teaching at the graduate and undergraduate levels. applications should include: 1) a cover letter that includes a description of the applicant's research and teaching interests and experience, 2) a current cv, and 3) the names, addresses and telephone numbers of three references. 

all materials should be submitted in pdf format to sesenewfac at asu.edu application deadline is 1 december 2012; if not filled, reviews will continue weekly until search is closed. arizona state university is an equal opportunity/affirmative action employer committed to excellence through diversity. women and minorities are encouraged to apply. the title ix statement can be viewed at https://www.asu.edu/titlelx/.
--

on oct 15, 2012, at 12:00 pm, robotics-worldwide-request at duerer.usc.edu wrote:

> send robotics-worldwide mailing list submissions to
>  robotics-worldwide at duerer.usc.edu
> 
> to subscribe or unsubscribe via the world wide web, visit
>  http://duerer.usc.edu/mailman/listinfo/robotics-worldwide
> or, via email, send a message with subject or body 'help' to
>  robotics-worldwide-request at duerer.usc.edu
> 
> you can reach the person managing the list at
>  robotics-worldwide-owner at duerer.usc.edu
> 
> when replying, please edit your subject line so it is more specific
> than ""re: contents of robotics-worldwide digest...""
> 
> 
> today's topics:
> 
>   1. job posting: tenure track assistant professor at the
>      university of sao paulo, brazil (arturo forner-cordero)
> 
> 
> ----------------------------------------------------------------------
> 
> message: 1
> date: sat, 13 oct 2012 20:09:51 -0300
> from: ""arturo forner-cordero"" <aforner at usp.br>
> to: <robotics-worldwide at duerer.usc.edu>
> subject: [robotics-worldwide] job posting: tenure track assistant
>  professor at the university of sao paulo, brazil
> message-id: <003e01cda997$d9b7ce30$8d276a90$@usp.br>
> content-type: text/plain; charset=""iso-8859-1""
> 
> dear colleagues
> 
> there are several position openings at the escola polit?cnica of the
> university of s?o paulo (usp) in brazil for tenure track assistant professor
> in the areas of robotics, computational mechanics, and control engineering.
> 
> 
> usp is ranked as the first university of latin america and it has been
> growing consistently during the last years. 
> 
> it is required to hold a phd in engineering and knowledge of portuguese, at
> least at a basic level. 
> 
> 
> 
> application of interested candidates can be done until 21st of november of
> 2012. 
> 
> 
> 
> it is recommended that candidates with foreign degrees start the process
> ahead of the deadline.
> 
> the selection procedure involves three days of interviews, lectures, and
> exams. the curriculum has to be made publicly available through the lattes
> system.
> 
> the link to the call:  
> 
> <http://www3.poli.usp.br/acesso-rapido/concursos-e-processos-seletivos>
> http://www3.poli.usp.br/acesso-rapido/concursos-e-processos-seletivos
> 
> for interested candidates that do not speak portuguese: it is suggested to
> contact prof. arturo forner-cordero (aforner at usp.br) or prof. emilio c. n.
> silva (ecnsilva at usp.br).
> 
> 
> 
> best regards
> 
> 
> 
> ________________________________________________________________
> 
> arturo forner-cordero
> 
> associate professor
> 
> head of the biomechatronics lab. mechatronics department
> 
> escola polit?cnica da universidade de sao paulo.
> 
> av. prof. mello moraes, 2231 - cidade universitaria
> 
> 05508-030 - sao paulo-sp - brasil
> 
> tel. +55 (11) 3091 9965/6011 (office/lab)
> 
> <http://sites.poli.usp.br/pmr/biomecatronica/>
> http://sites.poli.usp.br/pmr/biomecatronica/
> 
> <http://sites.poli.usp.br/p/arturo.forner/>
> http://sites.poli.usp.br/p/arturo.forner/
> 
> 
> 
> 
> ------------------------------
> 
> _______________________________________________
> robotics-worldwide mailing list
> robotics-worldwide at duerer.usc.edu
> http://duerer.usc.edu/mailman/listinfo/robotics-worldwide
> 
> 
> end of robotics-worldwide digest, vol 87, issue 10
> **************************************************"
3,2014,"post-doc and phd positions at the university of sao paulo, brazil.","position: 2x postdoctoral research fellows – control of biped gait

project coordinators: prof. arturo forner-cordero 

  prof. jacques duysens

  prof. felipe p. carpes

salary: r$ 4100 + r$ 400 for expenses (conferences, consumables) 

closes: 15 february 2014

location: university of são paulo, são paulo. brazil

 

the biomechatronics lab of the university of são paulo (brazil) is offering
several one-year (with the possibility of another year extension)
post-doctoral positions in the project “gait control: peripheral and central
mechanisms explored in experiments, models and robots”.

the chosen candidates will participate in a project funded by the national
research council of brazil (cnpq) under the science without borders program.
the project is coordinated by prof arturo forner-cordero in collaboration
with professors jacques duysens and felipe p. carpes. 

it is expected that the candidate, while based at the university of são
paulo, will perform part of the research at the katholieke universiteit
leuven and the universidade federal do pampa. in addition, it is expected to
participate in other activities of the lab such as the organization of the
ieee international conference on biomedical robotics and biomechatronics
that will be held in são paulo (brazil) in august 12-15, 2014 (
<http://www.biorob2014.org/> http://www.biorob2014.org/).

candidates with background in robotics, motor control, human movement
science, biomechatronics, neuroscience or related fields should send a copy
of the phd thesis and the diploma along with an updated curriculum vita to
prof. arturo forner-cordero to the email account  <mailto:aforner at usp.br>
aforner at usp.br with the subject: “postdoc position cnpq”.

there is also the possibility of another two grants for promising phd
students to work on the same project. the conditions are dependent on
candidate qualification and experience. 

candidates with background in robotics, motor control, human movement
science, biomechatronics, neuroscience or related fields should send a copy
of the msc dissertation and the diploma along with an updated curriculum
vita to prof. arturo forner-cordero to the email account
<mailto:aforner at usp.br> aforner at usp.br with the subject: “phd position
cnpq”.

 

best regards

________________________________________________________________

arturo forner-cordero

associate professor

head of the biomechatronics lab. mechatronics department

escola politécnica da universidade de sao paulo.

av. prof. mello moraes, 2231 - cidade universitaria

05508-030 - sao paulo-sp - brasil

tel. +55 (11) 3091 9965/6011 (office/lab)

 <http://sites.poli.usp.br/pmr/biomecatronica/>
http://sites.poli.usp.br/pmr/biomecatronica/

 <http://sites.poli.usp.br/p/arturo.forner/>
http://sites.poli.usp.br/p/arturo.forner/"
4,2014,"research fellowships at vale institute of technology, brazil","vale institute of technology (itv) is a recently established brazilian
multidisciplinary research institution focused on science, technology and
innovation with particular emphasis on the exploration of natural
resources, mining, habitat conservation and sustainable development. itv is
a non-profit research and postgraduate teaching institution funded by vale.
vale is one of the world’s main mining companies present in all 5
continents. at itv we are passionate about creating long-term value and we
are committed with leveraging the interaction between company, universities
and governmental entities. the research facilities of itv are located in
belém (pará) and in ouro preto (minas gerais). the location of the
candidate will be defined based upon his/her expertise and the ongoing
projects.


we have six (6) research fellowships available for young talented
researchers for a minimum of 12 and a maximum of 24 months. these
fellowships are offered within the young talents program (atração de jovens
talentos), granted by the national counsel of technological and scientific
development in brazil (cnpq). benefits include: r$ 7.000,00 (about us$
3.500,00) per month for living expenses and a one time accommodation aid in
the same amount. no taxes are charged. fellows will work on research
projects related to big data, software engineering, robotics and other
information technology aspects.

qualifications:
applicants should have experience in developing computational solutions and
the ability to conduct independent research. in addition, applicants must
be proficient in spoken and written english, and have excellent
communication skills. a strong track record of publications, working
experience within multidisciplinary teams or in the mining industry, and
experience in attracting external funding are a plus. positions are now
open in the following areas:
- big data / data mining / machine learning;
- bioinformatics / biostatistics / metagenomics;
- distributed systems / middleware;
- human computer interaction / computer-supported collaborative work;
- image processing / pattern recognition / signal processing;
- information visualization;
- natural language processing;
- optimization;
- robotics;
- software engineering; and
- ubiquitous computing, sensors, sensor networks.

the ideal candidate should have a ph.d. or an equivalent degree in one of
the following areas: automation engineering, biotechnology, computer
science, electrical engineering, or telecommunications. prospective
candidates who do not strictly meet these requirements are also encouraged
to apply and will be considered. we are particularly but not exclusively
interested in brazilian researchers currently living abroad and who are
willing to return to brazil.

we also have several dti-tic at the d level positions (r$ 3.500 per month)
available.  in this case, cnpq requires the following: ""profissionais de
qualquer área do conhecimento,mestre, graduado ou profissional com nível
equivalente ao de técnico, com experiência profissional mínima
comprovada de 1, 4 e 6 anos respectivamente, em atividades de
desenvolvimento de software e sistemas informáticos ou em atividades
ligadas ao processo de inovação à que se propõe o projeto submetido ao
cnpq.""

application procedure:
candidates are requested to submit their applications via email. to apply,
please submit your cv and a cover letter to: cleidson de souza (
cleidson.desouza at acm.org) or gustavo pessin (pessin at gmail.com). screening
will start immediately and continue until positions are filled.

additional information:
learn more about the itv and vale at:
  http://www.vale.com/en/aboutvale/initiatives/itv/pages/default.aspx
  http://www.vale.com/en/pages/default.aspx

more information about belém and ouro preto can be found at:
    http://en.wikipedia.org/wiki/belém<http://en.wikipedia.org/wiki/bel%8em>
    http://en.wikipedia.org/wiki/ouro_preto





-- 
gustavo pessin
assistant researcher, vale institute of technology (itv)
collaborator researcher, federal university of pará (ppgcc/ufpa)
rua boaventura da silva, 955
66055-090 - belém, pará, brasil
phone: +55 91 3213-5573
email: gustavo.pessin at itv.org
https://sites.google.com/site/pessin/"
5,2015,post-doctoral position on robust 	filtering implemented in fpga," -- [apologies for multiple postings] the intelligent systems laboratory (lasi) in electrical and computer engineering department at university of sao paulo, sao carlos campus, brazil has currently available 1 (one) post-doctoral research position. we seek researchers with knowledge on robust control and fpga to integrate the research team for the project ""fault tolerant attitude and heading reference system based on robust markovian kalman filter implemented in fpga"". the successful candidates are expected to have background and experience in one (or more) of the following areas: * robust control and filtering; * autonomous vehicles; * fpga. this proposal aims to develop a fault tolerant attitude, orientation and position reference system based on a robust markovian kalman filter (rmkf). this rmkf performs better than the standard markovian kalman filter to the data fusion from low cost inertial measurement units (imus). the main contribution of this postdoctoral research is the development of an rmkf array algorithm for the implementation of the fixed point proposed system in an fpga (field programmable gate array) to deal with a set of imus. this project will be implemented in partnership with the intelligent systems laboratory (lasi), with the mobile robotics laboratory (lrm) both of the university of s?o paulo at s?o carlos. these laboratories develop research in the areas of robotics, robust control and filtering, and estimation of attitude and position of autonomous vehicles. the results of this proposal will be applied on an autonomous truck. the grant has a duration of 24 months, and it is expected to start on march 2015. applications should be sent to marco h. terra (terra at sc.usp.br) by replying to this email and should include * a detailed cv, including a list of publications, * a brief statement about research interests and motivation to join the project, and * the name and contact of 2 references. applications will be considered between january 27 to february 10, 2015. _______________________________ marco henrique terra university of s?o paulo at s?o carlos"
6,2015,phd position in quantifying insect  vision for biorobotic inspiration," i would like to announce the opening of the following phd position in the baird/dacke lab in the lund vision group at lund university in  sweden . the position will be available in early 2016. for more detailed information and expressions of interest please contact emily baird (emily.baird at biol.lu.se). project description: flying bees are able to use visual information to control flight and navigate in visually distinct environments, ranging from dark cluttered rainforests in the tropics to the open tundra of the arctic circle. does the efficiency with which different bees perform visually guided tasks in their diverse native habitats depend on specialized flight control systems, or do many use similar, inherently robust, schema? recent work in our lab has shown that variations do exist in the eye morphology within single bee genera where species are native to different habitats. this suggests that specialisations do occur - at least in the sensory structures that extract visual information from the environment. yet, environment specific specialisations are poorly characterised and it is unknown how they lead to functional differences in behaviour between species. the aim of this project is to investigate how evolution has shaped the visual flight control systems of bees, enabling them to safely guide their flight through the diverse range of environments that they inhabit. the project will involve quantifying the anatomy and flight behaviour of different species and using this information to generate mathematical models and simulations of guidance systems that will then be implemented on small flying robotic platforms to both test the validity of the biological principles that we discover and to develop useful, lightweight and efficient systems that can be used to safely guide autonomous robots through different natural environments. the anatomical focus of the project will be to use information from advanced micro computed tomography techniques, performed at synchrotron light sources, to construct functional optical and anatomical models of the eyes (left) and peripheral brain structures of several bee species. simulations based on those models will allow us to understand what information bees perceive in different visual environments and to relate each specialisation to the visual cues available in the habitat it evolved in. behavioural experiments will be performed at our field-sites in brazil, . and  sweden , and in our state-of-the-art laboratory setup in  sweden . the focus of behavioural experiments will aim to elucidate how any identified anatomical specialisations influence specific species ability for flight control and navigation. the results of this study will provide fundamental insights into task and environment specific visual processing strategies used by small insects in flight. through our close collaboration with the laboratory of intelligent systems at the swiss federal institute of technology, we aim to develop the principles that we learn from this study into guidance strategies that can be implemented on small flying robots. qualifications: the applicant should have demonstrated experience with computational and quantitative analysis of experimental or simulated data sets. a background in engineering or computer science is preferred but candidates with other backgrounds will be considered if technical competence can be demonstrated. previous experience in programming and image analysis using matlab (or another programming language) is highly desirable."
7,2015,experienced researcher in 	cyber-physical systems," experienced researcher in the areas of management and operations of cyber-physical systems ericsson research (er) is the research organization within the ericsson group. we are about  680 researchers in eight countries with a central site in stockholm (kista). our mission is to provide ericsson with innovation and the long term competitive edge for product provisioning. world-class innovation is achieved through cooperation; within ericsson; with partners, customers, universities, and research institutes. er consists of nine research areas (ra) covering key technologies of interest management and operations of complex systems is a research area at ericsson research, looking for candidates with cutting edge ideas about how to address challenges of networked society with increasing number of interconnected systems of systems equipped with embedded software and electronics and connected to the outside world by sensors and actuators. management and operations aspects of such systems, called cyber-physical systems, are among the main areas of research of management and operations of complex systems. job description this requested job position is physically placed in indaiatuba city, brazil you will become a member of a worldwide research team where you will be able to, together with the team, contribute to and create a compelling research agenda. your contribution will include one or more of the following areas: formal modeling and analysis of systems of systems, simulation, synthesis of optimal parameters, optimization algorithms for state space exploration, analysis and synthesis of safety-critical cyber-physical systems. qualifications we are looking for newly graduated masters or phds possibly with some industry experience. you have msc or phd degree in engineering, physics, computer science, or similar. here's what we are looking for in a successful candidate:   *   you need to be a self-starter who can take initiatives and be a team player at the same time.   *   you like to work in an environment where you cooperate closely with your team colleagues, together striving to fulfil common targets.   *   you like to communicate with people and find it easy to explain your findings and knowledge to others.   *   you have strong analytical skills and are eager to find innovative solutions to problems.   *   you should have solid programming skills experience in one or more of the following areas is an advantage:   *   formal modeling and analysis of system behavior   *   formal verification and simulation   *   engineering aspects of cyber-physical systems   *   optimization techniques applications can be submitted at the following link: https://career2.successfactors.eu/sfcareer/jobreqcareer?jobid=97243&company=ericsson&username after applying, we also ask you to please send your cv (as a reply to this email) in pdf format to karam takieddine (karam.takieddine at ericsson.com) who is responsible for the research area in indaiatuba. best regards, klaus raizer dr. eng. experienced researcher, mocs rlam ic research & intellectual property ericsson ericsson rod. eng. erm?nio de oliveira penteado, km 57.5 indaiatuba, sp, brazil"
8,2017,experienced researcher in the area of  machine intelligence," experienced researcher in the area of machine intelligence we are seeking an experienced researcher to contribute in research activities we have underway in applied machine intelligence for industrial internet of things (iiot) and autonomous systems. these activities include designing, architecting, and prototyping intelligent software that naturally interacts with and augments human capabilities for managing and operating complex networked systems. the right candidate should have demonstrated track-record in designing and building systems that learn from data and experience, showcase adaptive behavior, provide support for decision making under uncertainty, and collaborate with humans in a safe manner. your contribution will be key in advancing state of the art technologies for the next generation of intelligent cyber-physical systems exhibiting anticipatory, flexible, sustainable, and autonomous behavior in important industrial use cases such as logistics, robotics, and transportation. you will become a member of ericsson research (er), the research organization within the ericsson group. we are about  680 researchers in eight countries with a central site in stockholm (kista). our mission is to provide ericsson with innovation and the long term competitive edge for product provisioning. world-class innovation is achieved through cooperation; within ericsson; with partners, customers, universities, and research institutes. you will be expected, together with the team, to publish regularly in top-quality journals and conferences, produce patents and other intellectual property assets, and engage in outreach activities while contributing to realize ericsson's vision and strategy. this requested job position is physically placed in indaiatuba, s?o paulo, brazil. qualifications  we are looking for newly graduated or about to graduate phds possibly with some industry experience. with an msc and near to complete or newly completed phd degree in engineering, physics, computer science, or similar. here's what we are looking for in a successful candidate: *self-starter individuals who take initiative and act as a team player; *individuals who like working in an open and innovative environment and cooperating closely with your team colleagues in order to fulfill common targets; *individuals comfortable with communicating with people and that find it easy to explain findings and knowledge to others; *have strong analytical skills and are eager to find innovative solutions to problems; *have solid programming skills and be willing to experiment with new tools and technologies. experience in one or more of the following topics is expected: *natural language processing; *question-answering engines; *text mining (topic modeling, document classification); *knowledge representation, discovery, and retrieval; *multimodal knowledge base systems; *deep neural networks; *optimization and simulation techniques; *distributed systems and parallel/gpgpu programming; *cloud robotics; *bio-inspired algorithms and systems; *formal modeling and analysis of system behavior; *formal verification and simulation; *engineering aspects of cyber-physical systems; those who are interested, please apply at the following website: https://urldefense.proofpoint.com/v2/url?u=https-3a__jobs.ericsson.com_job_indaiatuba-2dexperienced-2dresearcher-2dsp_401526600_&d=dwifaw&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=3kc9wjxxzd7liofhio2ley-3njtouqvmaoht4kmgdb4&s=eque6ke8vdetl9-rnmivb-o2o41ssmu_8gul2jsjeq0&e=  and also please forward this email with a cv, attached in pdf format, to karam takieddine: karam.takieddine at ericsson.com<mailto:karam.takieddine at ericsson.com> best regards, klaus raizer, dr. eng. experienced researcher, machine intelligence rlam ic research & intellectual property ericsson"
9,2019,"scholarships for masters and post docs  in campinas, brazil","  scholarships for masters and post docs in campinas, brazil renato archer it center - https://urldefense.proofpoint.com/v2/url?u=https-3a__www.cti.gov.br&d=dwibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=qd32fkmo3vew5y9aplvwiolhnbatofq56thzngwbup0&s=pkonzwzyxoeaxjsacyruwaztgvsmevn-_bmefchgz1e&e= dear colleagues, we would like to inform you of our open call for pci-cnpq scholarships to work at cti in several areas and levels. there are up to 51 scholarships in the modalities pci da to dd (pos-doc down to advanced technician) ranging from r$5200 to r$2860 (r$ brazilian real). you can compare the cost-of-living in campinas, brazil, compared to where you live you using https://urldefense.proofpoint.com/v2/url?u=https-3a__www.expatistan.com&d=dwibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=qd32fkmo3vew5y9aplvwiolhnbatofq56thzngwbup0&s=d91yb1g2_a5cuba0l8v-f4pqczy18qbc-l2tdyfzbkg&e= there are opportunities in i) technologies for industry 4.0, ii) advanced health technologies, iii) technologies for government 4.0, iv) key enabling technologies. the opportunities includes robotics, 3d printing technology, big data, machine learning the registration process closes on march 28th for more information please use the following links (sorry in portuguese) 1- general information https://urldefense.proofpoint.com/v2/url?u=https-3a__www.cti.gov.br_sites_default_files_images_pdf_publicacoes_edital-5fcti-5f01-5f2019.docx.pdf&d=dwibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=qd32fkmo3vew5y9aplvwiolhnbatofq56thzngwbup0&s=onswqr9mf6p7fcbunt6uaabsuztxia66cope1iussp4&e= (sorry in portuguese) 2) areas and requirements https://urldefense.proofpoint.com/v2/url?u=https-3a__www.cti.gov.br_sites_default_files_images_pdf_publicacoes_edital-5fcti-5f01-5f2019-5fanexo-5f1.pdf&d=dwibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=qd32fkmo3vew5y9aplvwiolhnbatofq56thzngwbup0&s=5chfltag-6ikd4ray78rnj1q3wr2otmjaqdazpuxspk&e= (sorry in portuguese) if you are interested and if you need any help, you can contact:  josue.jr.g.ramos at gmail.com"
