,year,subject,content
0,2006,"faculty positions at simon fraser university, bc, canada","school of engineering science at simon fraser university has several 
open faculty positions in systems/robotics/mechatronics/bio-med 
engineering. further deatils are at

http://web.ensc.sfu.ca/employment


apply to (as stated on the website) dr. mehrdad saif, director, school 
of engineering science email: saif at ensc.sfu.ca




kamal gupta
prof., engineering science
sfu
---"
1,2006,"pdf position, please forward to interested candidates","postdoctoral fellowship position
robotics, trajectory planning and visual servoing

applications are being sought for a 2-year postdoctoral fellowship in the
university of british columbia collaborative advanced robotics and
intelligent systems laboratory  - www.mech.ubc.ca/~caris, in vancouver,
canada 

the preferred candidate will have a hands-on background working with robotic
manipulators, controllers and machine vision systems, with a ph.d in any of
mechanical/mechatronics engineering, electrical engineering or computer
science or similar.  the successful candidate will join an existing project
on vision guided industrial robot manipulators and will be expected to take
a leadership role in the project, assist in the supervision of graduate and
undergraduate students, and to develop further research opportunities.
applicants with excellent demonstrated oral and written communications
skills, programming and instrumentation skills, and strong interpersonal and
leadership skills will be preferred. 

please respond with a letter describing your research interests, a
curriculum vitae, and a list of three references (with telephone numbers and
postal and e-mail addresses) to:

professor elizabeth croft
department of mechanical engineering, university of british columbia
6250 applied science lane, room 2054
vancouver, canada  v6t 1z4
tel. 604.822.6614
fax. 604.822.2403
email. ecroft at mech.ubc.ca
web. www.mech.ubc.ca/~ecroft  

emailed applications will be accepted but should have the subject line: pdf
industrial robotic vision.

the university of british columbia hires on the basis of merit and is
committed to employment equity. all qualified persons are encouraged to
apply. 

date posted:  november 24, 2006.  

-------------------------------------ecroft at mech.ubc.ca---------------------
-----------------
elizabeth a. croft, ph.d., p.eng  6250 applied sciences lane
associate professor   vancouver, bc, canada  v6t 1z4
department of mechanical engineering tel.  (604) 822-6614
university of british columbia  fax   (604) 822-2403
-----------------------------------www.mech.ubc.ca/~ecroft------------------
------------------

caris lab www.mech.ubc.ca/~caris
mechatronics option www.mech.ubc.ca/~mecha
mech 2 www.mech.ubc.ca/~mech2
new at ubc www.mech.ubc.ca/~new
"
2,2007,"faculty position in underwater robotics at memorial university, canada","a faculty position in underwater robotics (position
#engi-2007-003) is one of three new engineering faculty
positions open at memorial university, canada,
http://www.mun.ca. deadline is june 1, 2007.

announcement:
http://www.mun.ca/vpacademic/engi2007001002003.pdf

this is an exciting academic opportunity with
excellent opportunities for collaboration both
within the university and with the neighboring
nrc-cnrc institute for ocean technology
http://iot-ito.nrc-cnrc.gc.ca

-- 
--------------------------------------------
louis l. whitcomb ph.d., professor
dynamical systems and control laboratory
department of mechanical engineering
johns hopkins university

email: llw at jhu.edu
phone: 410-516-6724  fax: 516-7254
www:   http://robotics.me.jhu.edu/~llw

mail address:
123 latrobe hall
3400 north charles street
baltimore, maryland, 21218-2681
--------------------------------------------"
3,2007,faculty position in mechatronics,"the university of british columbia

department of mechanical engineering

faculty position in mechatronics   

the department of mechanical engineering at the university of british columbia
invites applications for a tenure-track faculty position in mechatronics at the
assistant professor level. the starting date will be july 2008, or as soon as
possible thereafter. 

the department has an excellent reputation among the undergraduate students and
entry into mechanical engineering is highly competitive. entry into the
mechatronics option within mechanical engineering is particularly competitive,
which ensures an exceptional pool of students in the option.  

the successful candidate will hold a ph.d. degree or equivalent in mechanical
engineering or a closely related field and will be expected to register as a
professional engineer in british columbia. we are interested in candidates with
a strong commitment to teaching excellence and an outstanding research record in
any area in which expertise in both mechanical engineering and electrical
engineering is critical. such areas include, but are not limited to, mechatronic
design, instrumentation including sensors, actuators and control hardware,
digital electronics, robotics, embedded systems and computer architecture,
micro-electromechanical systems, rapid prototyping, signal processing for
mechanical/biomedical engineering, and precision and optical engineering.
industrial experience in related areas is an asset. further information on the
department is available at www.mech.ubc.ca, and information on the employment
environment in the faculty of applied science is available at
www.apsc.ubc.ca/careers.

the university of british columbia hires on the basis of merit and is committed
to employment equity. all qualified persons are encouraged to apply; however,
canadian citizens and permanent residents will be given priority. the positions
are subject to final budgetary approval. applicants should submit a curriculum
vitae (indicate country of citizenship), a statement (1-2 pages) of research and
teaching interests, and names and addresses (fax/e-mail included) of four
referees to:

professor sheldon green, p.eng., head,
department of mechanical engineering,
the university of british columbia,
 vancouver, b.c., v6t 1z4, canada.

the closing date for applications is november 15, 2007.  please do not forward
applications by e-mail."
4,2007,faculty position in mechatronics - please post widely,"faculty position in mechatronics   
the university of british columbia
department of mechanical engineering

the department of mechanical engineering at the university of british columbia
invites applications for a tenure-track faculty position in mechatronics at the
assistant professor level. the starting date will be july 2008, or as soon as
possible thereafter. 

the department has an excellent reputation among the undergraduate students and
entry into mechanical engineering is highly competitive. entry into the
mechatronics option within mechanical engineering is particularly competitive,
which ensures an exceptional pool of students in the option.  

the successful candidate will hold a ph.d. degree or equivalent in mechanical
engineering or a closely related field and will be expected to register as a
professional engineer in british columbia. we are interested in candidates with
a strong commitment to teaching excellence and an outstanding research record in
any area in which expertise in both mechanical engineering and electrical
engineering is critical. such areas include, but are not limited to, mechatronic
design, instrumentation including sensors, actuators and control hardware,
digital electronics, robotics, embedded systems and computer architecture,
micro-electromechanical systems, rapid prototyping, signal processing for
mechanical/biomedical engineering, and precision and optical engineering.
industrial experience in related areas is an asset. further information on the
department is available at www.mech.ubc.ca, and information on the employment
environment in the faculty of applied science is available at
www.apsc.ubc.ca/careers.
  
the university of british columbia hires on the basis of merit and is committed
to employment equity. all qualified persons are encouraged to apply; however,
canadian citizens and permanent residents will be given priority. the positions
are subject to final budgetary approval. applicants should submit a curriculum
vitae (indicate country of citizenship), a statement (1-2 pages) of research and
teaching interests, and names and addresses (fax/e-mail included) of four
referees to:

professor sheldon green, p.eng., head,
department of mechanical engineering,
the university of british columbia,
 vancouver, b.c., v6t 1z4, canada.


the closing date for applications is november 15, 2007.  please do not forward
applications by e-mail."
5,2007,job postings at the university of jena (germany),"hello fellow subscribers,

two research positions are available at the university of jena, germany:

1. the locomotion laboratory (www.lauflabor.de) at the university of  
jena is currently seeking a phd or postdoctoral candidate to work on  
a new project on sensor-motor integration as well as motor- 
coordination problems towards solving complex robotic tasks such as  
bipedal walking.  this work will be done in close collaboration with  
the bernstein centre for computational neuroscience (bccn) at the  
university of göttingen, and will complement previous work performed  
at the bccn on the runbot, a fast biped robot (manoonpong et al.,  
plos cb, july 2007).  the ability of this robot to adapt to novel  
situations using a multi-layered neural control structure has created  
quite a stir in the press and on the internet. information on this  
research can be found at:
http://www.bccn-goettingen.de/groups/groupcn.

2. the locomotion laboratory at the university of jena is also  
seeking a phd or postdoctoral candidate to work on a running gait  
generation and gait stability project within the framework of the  
“intelligent walking” focus programme of the german research  
foundation (www.dfg.de/en). this research is aimed at the transfer of  
concepts from biomechanics and motion control to walking and running  
machines.

both openings will allow the successful applicant to develop his/her  
own line of research. hence applicants with an existing research  
plan, which fits the above scenarios, are strongly encouraged. good  
programming skills are absolutely essential and we are especially  
interested in candidates with expertise in electronic and/or  
mechanical hardware design.

please send your application before november 30, 2007, including cv,  
a brief motivation letter, copies of university certificates,  
publication list, research interests/plan, and contact information  
for at least 2 references to:  dr. a. seyfarth (oas at uni-jena.de),  
dornburger str. 23, 07743 jena, germany.


  best regards,

-james

***********************************************
james andrew smith, bsc ee,  phd me
postdoctoral researcher, lauflabor / locomotion lab
the university of jena, jena, germany
www.cim.mcgill.ca/~jasmith
www.lauflabor.de"
6,2007,postdoc and ph.d. positions at toronto,"the advanced micro and nanosystems lab at the university of toronto has two open positions to fill in the area of microrobotic manipulation of biological cells. 

 

1. ph.d. student (starting date: june/july, 2008)

2. postdoctoral fellow (starting date: march/april, 2008)

 

candidates are expected to have previous experience in motion control and computer vision. biological experimentation capabilities are desired but not required. 

 

interested parties please send cv to sun at mie.utoronto.ca



-sun 

--------------------------------------------------------------------------
yu sun, assistant professor
advanced micro and nanosystems laboratory
dept. of mechanical and industrial engineering
inst. of biomaterials and biomedical eng. (jointly appointed)
dept. of electrical and computer eng. (jointly appointed)
university of toronto, canada
tel: (416)946-0549
fax: (416)978-7753
e-mail: sun at mie.utoronto.ca
lab: http://amnl.mie.utoronto.ca
--------------------------------------------------------------------------
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20071023/0f2ed403/attachment.html"
7,2007,tenure track faculty position - university of toronto,"dear colleagues: 

the department of mechanical and industrial engineering at the university of toronto invites applications for an academic tenure track position at the rank of assistant professor in the area of mechatronics.  

candidates must have effective teaching ability and will be expected to make a major contribution to the undergraduate and graduate programs in mechatronics. the successful applicant will be expected to develop a strong and independent research program in a complementary research area; the department encourages applications that support one of the key focal points of our strategic plan: alternative energy systems, manufacturing, and biomedical engineering. applicants must have a doctoral degree, an outstanding academic record and be prepared to obtain registration as a professional engineer.  a minimum of 1-2 years of postdoctoral experience in a research setting would be a strong asset.  salary is commensurate with qualifications.  approximate start date is july 1, 2008.  

applicants should include in their responses:  a detailed curriculum vitae, a clear statement of their specific teaching and research interests, and the names of three persons able to provide references in support of their application.  

letters of application should be addressed to: chair, department of mechanical and industrial engineering, university of toronto, 5 king's college road, toronto, ontario, m5s 3g8.  the closing date for all applications to be received is november 30, 2007.  

the university of toronto is strongly committed to diversity within its community and especially welcomes applications from visible minority group members, women, aboriginal persons, persons with disabilities, members of sexual minority groups, and others who may contribute to further diversification of ideas. all qualified candidates are encouraged to apply; however, canadians and permanent residents will be given priority.

-sun 
--------------------------------------------------------------------------
prof. yu sun
advanced micro and nanosystems laboratory
dept. of mechanical and industrial engineering
inst. of biomaterials and biomedical eng. (jointly appointed)
dept. of electrical and computer eng. (jointly appointed)
university of toronto, canada
tel: (416)946-0549
fax: (416)978-7753
e-mail: sun at mie.utoronto.ca
lab: http://amnl.mie.utoronto.ca
--------------------------------------------------------------------------
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20071023/e4debdb7/attachment.html"
8,2007,reminder: job postings at the university of jena (germany),"hello fellow subscribers,

this is a reminder regarding the deadline (november 30, 2007) for  
application for two research positions  at the university of jena,  
germany:

1. the locomotion laboratory (www.lauflabor.de) at the university of  
jena is currently seeking a phd or postdoctoral candidate to work on  
a new project on sensor-motor integration as well as motor- 
coordination problems towards solving complex robotic tasks such as  
bipedal walking.  this work will be done in close collaboration with  
the bernstein centre for computational neuroscience (bccn) at the  
university of göttingen, and will complement previous work performed  
at the bccn on the runbot, a fast biped robot (manoonpong et al.,  
plos cb, july 2007).  the ability of this robot to adapt to novel  
situations using a multi-layered neural control structure has created  
quite a stir in the press and on the internet. information on this  
research can be found at:
http://www.bccn-goettingen.de/groups/groupcn.

2. the locomotion laboratory at the university of jena is also  
seeking a phd or postdoctoral candidate to work on a running gait  
generation and gait stability project within the framework of the  
“intelligent walking” focus programme of the german research  
foundation (www.dfg.de/en). this research is aimed at the transfer of  
concepts from biomechanics and motion control to walking and running  
machines.

both openings will allow the successful applicant to develop his/her  
own line of research. hence applicants with an existing research  
plan, which fits the above scenarios, are strongly encouraged. good  
programming skills are absolutely essential and we are especially  
interested in candidates with expertise in electronic and/or  
mechanical hardware design.

please send your application before november 30, 2007, including cv,  
a brief motivation letter, copies of university certificates,  
publication list, research interests/plan, and contact information  
for at least 2 references to:  dr. a. seyfarth (oas at uni-jena.de),  
dornburger str. 23, 07743 jena, germany.


  best regards,

-james

***********************************************
james andrew smith, bsc ee,  phd me
postdoctoral researcher, lauflabor / locomotion lab
the university of jena, jena, germany
www.cim.mcgill.ca/~jasmith
www.lauflabor.de"
9,2008,one phd position in microrobotic biomanipulation and biomems,"dear all,

 

there is a fully-sponsored phd position at the department of mechanical
engineering at the university of canterbury, new zealand.

 

project description
microrobots with high positioning accuracy (at the scale of nanometers) and
biomems devices with small size (at the scale of micrometers to centimeters)
are widely used to manipulate micron-sized objects such as biological cells.
with their unparallel capabilities of manipulating cells, microrobotic
systems and biomems devices have been receiving increasingly remarkable
attention. recently, we have developed a fully automated zebrafish embryo
injection system, semi-automated adherent cell injection system, and a pdms
elastic device for cell mechanics characterization. more information can be
found at: http://individual.utoronto.ca/wangwenhui

 

field of study
the project will feature one or a combination of the following topics
according to the preference of the student: 

(1) high-throughput microrobotic parallel cell injection;
(2) microrobot-aided high-throughput cloning; 
(3) micro-fluidic devices for cell manipulation; 
(4) mems-based stem cells characterization. 

in (1) and (2), a microrobotic system based on high precision manipulators
is to be developed to manipulate/characterize biological
cells/beads/organisms with high-throughput for large-scale screening
scenarios. a successful candidate should have hands-on experience or strong
background in motion control and computer vision. 

in (3) and (4), biomems devices are to be designed and microfabricated with
the aim to manipulate/characterize biological cells. a successful candidate
should have hands-on experience or strong background in mechanical design,
integrated circuit design, or mems device design and fabrication. excellent
knowledge in sensing/actuating theories, design and simulation software (e.
g. solidworks, ansys) is a plus. 



requirement on qualifications
all candidates with high motivation, enthusiasm, and independent thinking
are welcome to apply. preference is given to students with a strong research
track record from any one of the fields: mechanical engineering, electrical
engineering, computer sciences, automation and control, mechatronics
engineering, or related disciplines. 



funding arrangements
the successful candidate will receive a full scholarship lasting 3 years,
and be expected to start as early as possible. all applications will be
considered immediately until the position is filled.

 

interested candidates please send cv to: wenhui.wang at canterbury.ac.nz.

 

 

--------------------------------------------------------

dr. wenhui wang

lecturer, mechatronics programme

department of mechanical engineering

university of canterbury

private bag 4800, christchurch 8140

new zealand

tel: 64-3-364-2987 ext. 7492

fax: 64-3-364-2078

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20080205/f3fd561e/attachment-0001.html"
