,year,subject,content
0,2005,faculty positions in robotics and control,"faculty positions in control and mechatronic engineering
  shenzhen graduate school of harbin institute of technology (hit)

hit shenzhen graduate school is  a publicly funded institute located in
the center of china's silicon valley-the shenzhen high tech park.  the
school's division of control and mechatronic engineeirng  has an intake
of 50 mphil  students, 15 phd students  and 5 postdoctors per year.  new
faculty members will have the opportunity to participate in building the
division and moving it forward in exciting new directions. ample
opportunities  also exist for  collaborating with the vast
manufacturing, it and other high-tech industries in the region. strong
applicants   with expertise in control, systems, computer vision,
robotics, manufacturing, mechatronics and other related areas will be
considered (the medium of instruction is english).  the appointments
will be made at the level of assistant professor, associate professor,
full professor or  industry endowed chair professor (applications for
visiting appointments will also be considered).

the salary level for these positions is much higher than the norm in
china, with chair professor in the range of rmb260k to 360k per year,
full professor in the range of rmb130k to 200k per year,
assistant/associate professor in the range of rmb90k to 120k per year.
interested candidates can send a cv and a statement on  research plan,
together with a cover letter including names of three referees to
professor z.x. li, division of control and mechatronic engineering, hit
shenzhen graduate school, shenzhen, china. (email: eezxli at ust.hk)"
1,2006,research engineer in bayesian programming,"position title:
------------------
research engineer in bayesian programming

where:
------------
grenoble (capital of the french alps), france

when:
---------
immediately, for 3 to 4 years

description of the position:
------------------------------------

you will have to develop bayesian models, programs, applications and  
experiments.
you will be a key element of a research group devoted to ""stochastic  
models for perception, inference, learning and action"".
your main mission will be to take in charge the software development  
of the group related to the starting european project bacs (bayesian  
approach to cognitive systems) and some experiments on various  
robotic platforms.
your employer will  be inria (institut national de la recherche en  
informatique et automatique) a major international institute for  
research in computer science and applied math.

example of possible models, experiment or application you may have to  
work on are :
- bayesian models of neurons and population of neurons
- bayesian models of human object perception
- bayesian models of human and rat navigation
- bayesian based autonomous navigation of mobile robots and cars
- bayesian based body and face motion tracking
- bayesian reconstruction of 3d realistic scene
- bayesian based multi-modal sensor integration and analysis
- bayesian driver assistance for enhanced vehicle safety

all this models are build using the bayesian programming formalism  
(an extension of bayes nets) and use the probt® toolbox and api to  
automate the inference and computation.
you will be the probt guru of the group and will assist researchers  
and phd student in their models and software development.

requirements:
--------------------

necessary :
- a master, an engineering degree or a phd in computer science.
- fluent in c and c++
- fluent in either french or english (if not fluent in french, at  
least some good bases are required and a strong willing to learn more  
rapidly)

plus :
- bilingual of fluent in both language
- experience of software development and maintenance
- holding a phd
- experience of robotics and/or artificial intelligence
- proficiency in probability or statistics
- experience in other computer languages and tools

additional informations:
--------------------------------

- grenoble
grenoble is 600k inhabitants city right in the middle of the french  
alps. it has a very big university and at least 10% of the population  
is made of students. grenoble activity is turned toward high  
technology industry and research. its domains of excellence are  
nanotechnology, computer sciences and electronic. all mountain  
outdoors leisure are next door (the closest ski resort is 30 minutes  
from downtown).

- emotion research group
the research group (www-laplace.imag.fr) is made of 25 persons  
(permanent researchers, engineers and phd students). it is a very  
international group as presently 6 countries are represented beside  
france  (brazil, china, india, italy, mexico & singapore). the group  
has a long experience (>15 years) of research in bayesian modeling.  
it applies theese technics to robotics, artificial intelligence,  
cognitive science and developing industrial applications. the group  
has been the leader of the european project biba (bayesian inspired  
brain and artifacts) which, after 4 years of work, is just terminated.

- bacs project:
bacs is the continuation of biba. its a new european project started  
in january for 4 years. the abstract of the project is the following:
despite very extensive research efforts contemporary robots and other  
cognitive artifacts are not yet ready to
autonomously operate in complex real world environments. one of the  
major reasons for this failure in creating cognitive
situated systems is the difficulty in the handling of incomplete  
knowledge and uncertainty.
in this project we will investigate and apply bayesian models and  
approaches in order to develop artificial cognitive systems
that can carry out complex tasks in real world environments. we will  
take inspiration from the brains of mammals including
humans and apply our findings to the developments of cognitive systems.
the bayesian approach will be used to model different levels of brain  
function, from neural functions up to complex
behaviors. this will enable us to show that neural functions and  
higher-level cognitive activities can coherently be modeled
within the bayesian framework. the bayesian models will be validated  
and adapted as necessary according to
neuro-physiological data from rats and humans and through  
psychophysical experiments on human.
the bayesian approach will also be used to develop four artificial  
cognitive systems concerned with (i) autonomous
navigation, (ii) multi-modal perception and reconstruction of the  
environment, (iii) semantic facial motion tracking, and (iv)
human body motion recognition and behavior analysis.
the conducted research shall result in a consistent bayesian  
framework offering enhanced tools for probabilistic reasoning
in complex real world situations. the performance will be  
demonstrated through its applications to drive assistant systems
and 3d mapping, both very complex real world tasks.

- inria:
(see http://www.inria.fr/inria/enbref.en.html)

- bayesian programming and probt toolbox:
bayesian programming is a methodology and a formalism to develop  
software able to deal with incomplete and uncertain information.
probt is a c++ library that implement bayesian inference and learning  
on various kind of computers and operating systems.
probt is a commercial product (www.probayes.com) but is also  
available for free for research and teaching utilization  
(www.bayesian-programming.org).

salary:
----------
27k€ <-> 37k€(according to qualifications)

contact:
-----------
pierre.bessiere at imag.fr, christian.laugier at imag.fr

_______________________________
dr pierre bessière - cnrs
*****************************
gravir lab
inria
655 avenue de l'europe
38334 montbonnot
france

mail: pierre.bessiere at imag.fr
http: www-laplace.imag.fr
tel:   +33 4 76 61 55 09
_______________________________


-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060420/e5291746/attachment-0001.html"
2,2006,postdoctoral fellowships in china - robotics and integration technology,"postdoctoral fellowship at the shenzhen institute of advanced technology,
china

 

we have recently established a new research institute in shenzhen, china,
aiming at integration engineering, including robotics. there are about 10 to
15 postdoctoral fellow positions available from summer, 2006, in the
following areas:

 

-intelligent systems, robotics, biomimetics 

-human-computer interface, pattern recognition, computer vision 

-medical devices, surgical robotics, rehabilitation engineering

-automotive electronics, hybrid electric vehicles 

-manufacturing automation, electronic manufacturing, precision engineering 

-integrated circuit, rfid technology and applications

-high-performance computing and digital simulation

 

the candidate is expected to have a recent phd in a related discipline from
an overseas university and some hands-on experiences in hardware development
and system integration. experience gained from work in the industry or
technology transfer is an advantage. furthermore, the candidate should be
able to work in a multidisciplinary and dynamic work environment.

 

initial appointment will be made on a one-year fixed-term contract, with
possible extension to another year, based on mutual agreement. the
fellowship package, including salary, a round-trip air ticket, and medical
benefit, will be around us$40k per annum (equivalent to rmb350,000). the
postdoctoral fellows will be working in the shenzhen area near hong kong
(around one hour by train). 

 

please submit application, containing your cover letter, resume, and the
contact information of three referees, via email to kklee at acae.cuhk.edu.hk /
zzhong at acae.cuhk.edu.hk, or by mail to 

 

dr. k. k. lee (shenzhen pdf recruitment)

advanced robotics lab

department of automation and computer-aided engineering,

the chinese university of hong kong,

hong kong, china

 

recruitment will continue until the positions are filled.

 

july, 2006.

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060725/7ba6c043/attachment-0001.html"
3,2007,postdoctoral fellow/research associate position,"an immediate position is available in the chinese university of hong 
kong (cuhk), the research and development laboratory at the minimally 
invasive surgical skills centre (rdl at missc). 
http://www.hkmisc.org.hk/research/default.htm

rdl at missc is a newly established laboratory which combines the research 
competences of cuhk staff in imaging and robotics with the expertise of 
surgeons. its main objective is the creation of innovative techniques 
that will help surgeons to overcome difficulties encountered in 
minimally invasive surgery and go beyond.

the candidate will work on the design of mechatronic and robotic tools 
for medical applications. she/he is expected to develop innovative 
solutions for the inspection of abdomen through natural opening. the 
focus of this work will be on the design of mobility structures, 
miniaturization as well as dedicated interface analysis. applicants 
should have (i) a master's degree (for research associates) or a phd 
(for postdoctoral fellow) in mechanical engineering or related 
disciplines; (ii) good command of english; and (iii) strong initiative & 
team work spirit. the following areas of expertise are highly sought: 
mechatronics design, development of advanced kinematics configurations 
and new mechanical architectures, robotics.

interested applicants should send a curriculum vitae, a statement of 
research interests and a list of three references by email to dr yan 
bailly yanbailly at surgery.cuhk.edu.hk (pdf format is preferred). 
appointments will initially be made on contract basis for one year, 
renewable subject to mutual agreement. the position will be filled when 
a suitable candidate is identified."
4,2007,"faculty: harbin intitute of technology shenzhen graduate school, china","faculty positions: harbin intitute of technology shenzhen graduate school, china

 <louyj at hitsz.edu.cn>


faculty/postdoctor positions in division of control and mechatronics

engineering, shenzhen graduate school of harbin institute of technology (hit)



hit shenzhen graduate school is a publicly funded institute located in the

center of china's silicon valley: the shenzhen high tech park. the school's

division of control and mechatronic engineeirng
(http://auto.hitsz.edu.cn/) has an intake of 50 mphil

students, 15 phd students and 5 postdoctors per year. new faculty members

will have the opportunity to participate in building the division and moving

it forward in exciting new directions. ample opportunities also exist for

collaborating with the vast manufacturing, it and other high-tech industries

in the region. strong applicants with expertise in control, systems,

computer vision, robotics, manufacturing, mechatronics and other related

areas will be considered (the medium of instruction is english).  the

appointments will be made at the level of assistant professor, associate

professor, full professor or industry endowed chair professor (applications

for visiting appointments/postdoctors  will also be considered).



the salary level for these positions is much higher than the norm in china,

with chair professor in the range of rmb260k to 360k per year, full

professor in the range of rmb130k to 200k per year,

postdoctor/assistant/associate professor in the range of rmb90k to 120k per

year. interested candidates can send a cv and a statement on  research plan,

together with a cover letter including names of three referees to professor

z.x. li, division of control and mechatronic engineering, hit shenzhen

graduate school, shenzhen, china. (email: eezxli at ust.hk)
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20070924/a365d716/attachment.html"
5,2008,post-doc fellow position in surgical robotics at cuhk,"post-doc fellow position in surgical robotics at the chinese university of
hong kong

we are looking for a highly motivated and qualified post-doc fellow in the
area of surgical robotics to start immediately. candidate with robotic
structural design experience is highly preferred. for more information and
application, please send a copy of the most recent cv, a list of three
referees, a statement of experience in surgical robotics, and selected
publication samples to professor max q.-h. meng via email at: 

max at ee.cuhk.edu.hk.

the initial offer will be for one-year to start as soon as possible,
renewable for up to three years. competitive salary will be commensurate
with qualifications and experience. for more information about the chinese
university of hong kong, please visit cuhk website at:

http://www.cuhk.edu.hk"
6,2008,research assistant professor position in bme at cuhk,"research assistant professor in biomedical engineering at the chinese
university of hong kong

the department of electronic engineering at the chinese university of hong
kong offers programmes from undergraduate to taught/research postgraduate
levels, leading to ph.d. degrees. detailed information of the department can
be found on the departmental website at

http://www.ee.cuhk.edu.hk/.

the department is now seeking a motivated candidate to fill a research
assistant professorship position. applicant should have a ph.d. degree
preferably in the area of biomedical engineering, with research interests
preferably in the areas of wearable medical devices and biosensors,
biological signal processing and modeling, telemedicine and mobile health,
medical robotics, active medical devices and bio-mems, medical imaging and
terahertz imaging, biophotonics, neural engineering, and other closely
related biomedical engineering areas. the appointee is expected to develop
research excellence in his/her area of expertise and assist in teaching and
administrative duties. appointment will normally be made on contract basis
for up to two years initially commencing august 2008, leading to longer-term
appointment or substantiation later subject to mutual agreement.
applications will be accepted until the post is filled.

interested applicants shall send a cover letter with updated cv, a list of
referees, and selected publication samples via email to 

professor king n. ngan 
chair, department of electronic engineering 
the chinese university of hong kong 
shatin, nt, hong kong

e-mail: knngan at ee.cuhk.edu.hk  "
7,2008,post-doc postion (5 years) in intelligent multi-robot systems,"## post doctoral job offer

job/fellowship reference: c2008-ua/ieeta/02

main research field: engineering
sub research field: robotics

ieeta - universidade de aveiro
  portugal  

## job summary:

the transverse activity on intelligent robotics (atri) of ieeta invites
applications for a research position (investigador auxiliar) in intelligent
multi-robot systems.
the work plan will be integrated in the cambada project, which won the first
place at soccer middle-size league in robocup 2008 world championship.
the candidates must have a phd degree (obtained 3 or more years ago) and
relevant post-doctoral research experience in intelligent multi-robot
systems or a closely related discipline. applicants should have a good
publication record in sci journals and conference proceedings.

## job description:

the atri of ieeta (instituto de engenharia electrónica e telemática de
aveiro-universidade de aveiro) invites applications for a research position
in intelligent multi-robot systems. the work plan will be integrated in the
cambada project (http://www.ieeta.pt/atri/cambada). cambada team has just
won the first place at soccer middle-size league in robocup 2008 world
championship, suzhou, china.

current research issues within the cambada project are strategy and
coordination of multi-agent systems, computer vision, sensor fusion, agent
architectures, high-level decision, hierarchical organization of teams of
robots and robotics learning. the applicant should pursue his(her) work
during the period of this research position in one, or preferably more than
one, of the previous topics.

the candidates must have a phd degree and relevant post-doctoral research
experience in intelligent robotics or a closely related discipline.

applicants should have a good publication record in sci journals, and the
ability to pursue an independent research career. it is expected that they
engage in collaborative research with the other researchers at ieeta. there
is also the possibility of collaborating in on-going research efforts with
carnegie-mellon university.

the positions are available for 5 years, with the possibility of renewal.
salary will be ca. 43 keuro/year (indice 195).


ieeta is a research institute that does multidisciplinary research and
advanced development in several areas of electrical and computer engineering
and computer science. it aims at the creation, transmission and transfer of
knowledge. the research is interdisciplinary and builds on intensive
internal and external collaboration that has lead (in addition to scientific
articles) to a number of prototypes, trademarks, patents and spin-offs.
ieeta is committed to foster gender-equality in science.

the decision of granting a position depends on the final approval of the
fundação para a ciência e tecnologia (fct).

## applications should include:

* the cv of the applicant.
* the contact information for two persons who can write a recommendation
letter if necessary.
* a cover letter / statement of purpose, in which the applicant explains its
research interests and motivation.

these materials should be submitted by e-mail to anabela viegas,
anabela.viegas at ua.pt, until 30 september 2008 (tel. +351-234370503, fax
+351-234370545)

a paper copy of all the documentation should also be sent to:

anabela viegas
ieeta
universidade de aveiro
3810-193 aveiro
  portugal  

## jury:

nuno lau, universidade de aveiro,   portugal  
luis seabra lopes, universidade de aveiro,   portugal  
luis paulo reis, faculdade de engenharia da universidade do porto,   portugal  
hans-dieter burkhard, humboldt-universität berlin, germany


__________________________________________
luis seabra lopes (lsl at ua.pt)

departamento de electrónica, telecomunicações e informática
universidade de aveiro - 3810-193 aveiro -   portugal  
phone: +351-234-370374 / fax: +351-234-378157"
8,2009,posdoc fellow in medical robotics at cuhk,"dear sir,

would you please send the following email to people in the mailing list:


i am looking for qualified applicants for two postdoctoral researcher
positions in medical robots and robot design at the chinese university of
hong kong. the projects are to develop robotics technology for medical
applications. the applicants should have substantial experiences in robot
design, hardware and experiments as the work involves in mechanical
design, hardware development, control algorithms design, and
experiments  the applicants should have good capability in written and oral
english as well.

interested applicants should send a cv describing their background with 2-3
references to prof. yunhui liu via yhliu at mae.cuhk.edu.hk.


yunhui liu
phd, ieee fellow
professor
dept. of mechanical and automation engineering
director, centre for robotics and technology education
faculty of engineering
the chinese university of hong kong
shatin, nt, hong kong
tel: 26098340, fax: 26036002
email: yhliu at mae.cuhk.edu.hk"
9,2009,faculty position: university of electronic science and technology of china (uestc),"faculty position: university of electronic science and technology of china (uestc) 
the intelligent systems institute, university of electronic science and technology of china, at chengdu, china, invites applications for faculty positions in intelligent control, machine vision, robotics, artificial intelligent, game engine, and human machine interaction. 
the advertisement is for faculty positions at all levels: assistant, associate, and full professors. applicants must hold a ph.d. degree and have a strong commitment to undergraduate/graduate engineering education and research.  
applications with a curriculum vitae and names of at least three references should be sent to the li chen at email address chenli[at]uestc.edu.cn. the website of university of electronic science and technology of china is www.uestc.edu.cn"
