,year,subject,content
0,2005,associate professorship in modern ai & robotics,"*associate professor in research on modern artificial intelligence and 
robotics*

*job description:*

applications are invited for a position as associate professor in modern 
artificial intelligence and robotics at the maersk mc-kinney moller 
institute for production technology, the university of southern denmark, 
in odense, starting on 1 april 2006 or as soon as possible 
thereafter.the institute performs internationally-oriented research in 
robotics, software engineering and modern artificial intelligence, and 
the successful applicant will mainly be involved in research and 
development activities in the field of modern artificial intelligence 
and robotics.

the successful applicant will form part of the institute's research on 
modern artificial intelligence within the adaptronics group 
(www.adaptronics.dk), the main focus of which is morphology, materials 
and control for development of robots and intelligent artefacts. the 
adaptronics group's research on modern artificial intelligence is 
focused on the role of morphology in development of intelligence. 
therefore, it is desirable that applicants have an interest in and 
empirical experience with this kind of modern artificial intelligence as 
well as hands-on experience with robots.

the adaptronics group develops robotic building blocks that create 
global behaviour through their composition. this allows everyday users 
to employ and develop robotic artefacts and this is the reason why the 
group, in addition to technology, takes a great interest in areas such 
as interaction design for development of robotics in products and use 
such as toys, playgrounds, hospital equipment, etc.

the adaptronics group is internationally known for its state-of-the-art 
research in the fields mentioned above exemplified by robocup humanoids 
free style world championship 2002, the atron modules for 
self-configuration, african i-blocks, and the playware playgrounds. the 
vacancy requires an associate professor that is able to participate in 
this work at high, international level.

the person appointed is, to an extent to be agreed upon, expected to 
teach and instruct students enrolled at the university of southern 
denmark, who participate in courses or do projects as part of their 
computer systems engineering study programme. the person appointed may 
expect to be involved in other work activities as well.

an expert committee will assess applications and the applicants will be 
informed of their assessment by the university.

for further information please contact professor henrik hautop lund, 
tel. +45 6550 3575, e-mail: hhl at mip.sdu.dk and/or by visiting the web 
site of the university: http//www.sdu.dk


*application, salary, etc.:*

the successful applicant will be employed in accordance with the 
agreement between the ministry of finance and ac (the danish 
confederation of professional associations)

. a curriculum vitae with paper qualifications
. a list of all publications plus a list of 5-10 of the most relevant 
publications (these publications must be enclosed)
. a research program for the first three years
. documentation of previous teaching experience

all enclosures must be numbered, state the applicants name, and be 
assembled in sets.

the university encourages all interested persons to apply, regardless of 
age, gender, religious affiliation or ethnic background.

please send 4 copies of the application including all enclosures, marked 
""position no. 063001"" to: det naturvidenskabelige fakultetssekretariat, 
campusvej 55, dk-5230 odense m, denmark.

the closing date is 2 february 2006 at 12:00

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20051230/7cd9847c/attachment.html"
1,2007,postdoc in modular robotics (electronics) at sdu,"the mærsk mc-kinney møller institute, faculty of engineering in odense, 
university of southern denmark
has a postdoc position open in the area of modular robotics. the 
position is open from the 1st of october 2007
to the 30th of september 2008 with a possibility of extension for 
another year.

the mærsk mc-kinney møller institute performs research in modular 
robotics at a high international level.
the successful applicant will contribute to this research in 
collaboration with an interdisciplinary team of
researchers to develop electronics for the next generation of modular 
robots. the danish council for
technology and innovation finances the position through the project 
morphing production lines
(see http://ecosoc.sdu.dk/coe/morphing_production_lines). the overall 
goal of this project is to mature
modular robotics for application.

in the assessment of an application, attention will be paid to 
experience in developing electronics.
furthermore, it is considered an advantage for the applicant to have a 
background in robot technology
or modular systems. the applicant will contribute to innovative 
technical solutions and therefore has
to be a team player while also being independent and creative. the 
application will also be required to
publish results and is expected to have a ph.d. degree in computer 
systems engineering, electrical
engineering, mechatronics or similar.

in general, the mærsk mc-kinney møller institute performs research at a 
high international level in
artificial intelligence, software engineering, and robot technology. the 
institute plays a central role in
robotics research in denmark in cooperation with the robocluster network.

for further information please visit 
http://www.jobs.sdu.dk/vis_stilling.php?id=3657&lang=eng or
contact associate professor kasper støy, phone: +45 65503556, e-mail: 
kaspers at mmmi.sdu.dk.

closing date 10th of september at noon."
2,2007,post. doc. jobs in active sonar in denmark and belgium,"active sonar perception inspired by bats

... at universiteit antwerpen, antwerpen, belgium, and university of
southern denmark (sdu), odense, denmark in the framework of the eu
project chiroping (01/02/2008 -- 31/01/2011).

chiroping is a multidisciplinary research collaboration between 4
universities in the area of sensing for autonomous systems.

the principal objective of the project is to discover how to engineer
embodied active sonar perception systems which can serve as a complement
to vision and facilitate the deployment of robotic systems in situations
where vision is infeasible.

the project will implement and evaluate two demonstration systems built
as biomimetic models of an insect gleaning and a water-trawling bat
species respectively. it will use a classic biomimetic methodology,
involving close collaboration between bat ethologists and roboticists.
it will proceed by identifying and measuring the relevant acoustic and
morphological parameters of a few carefully selected bat species,
reconstructing from that the bat's acoustic experience as it flies
through natural hunting tasks. from this data, computational models of
how the bat coordinates its acoustic, behavioural and morphological
choices during hunting will be elicited and implemented on appropriate
robotic systems.

for further information on the project, see
    http://www.chiroping.org/index.html

recruitment to a postdoc position (max. 3 years)
================================================

what we expect:
---------------

recent ph. d. diploma in one of the areas of acoustics, robotics or
signal processing. extensive expertise in c programming and
mathematics/signal analysis/ pattern recognition is necessary.

what we offer:
--------------

we offer a full-time position with a maximum duration of 3 years on an
exciting research project in an active and reputable research
group. the gross salary for the postdoc will be according to the
standard rates and conditions at the employing institution, either
universiteit antwerpen or university of southern denmark.

information and application
---------------------------

for information and application to universiteit antwerpen please contact: 
prof. dr. ir. herbert peremans, herbert.peremans at ua.ac.be

for information on chiroping at sdu please contact:
professor john hallam, john at mmmi.sdu.dk (after 2 january 2008).

for application to university of southern denmark, the position will
be advertised shortly here:
    http://www.jobs.sdu.dk/index.php?fakultet=teknik&vis=eng
"
3,2008,"two post-doc jobs at sdu, odense, deadline 28/2-08","(apologies if you see this more than once.)

please pass this message on to people you know who may be interested.

two post-doctoral jobs are open at the university of southern
denmark in odense working on biologically based robotics.  closing
date for applications is 28 january 2008.

the first post is associated with the chiroping project, which
aims to build active sonar sensors based on bat biosonar:  for more
details see www.chiroping.org.  to apply for the job at sdu, follow
the procedure in the advert here:

  http://www.jobs.sdu.dk/vis_stilling.php?id=3968&lang=eng

the second post is associated with the cilia project, which is
studying the principles underpinning the use of hair sensors in
three animal groups (see www.cilia-bionics.org).  the principle
task of the applicant will be to work on robotic demonstrators
that use hair-based flow sensing for navigation and mapping.  to
apply for this post, follow the procedure in this advert:

  http://www.jobs.sdu.dk/vis_stilling.php?id=3969&lang=eng

both posts are for 1 year in the first instance, with extension
being possible by mutual agreement after that period.

for further job details on either post contact john hallam 
<john at mmi.sdu.dk>."
4,2008,"post doc position in biorobotics at sdu, odense","please circulate this advert to any students/colleagues who might be 
interested.

the maersk institute at sdu in odense, denmark, invites applications for a 
post-doctoral research position working on active sonar perception inspired by 
bats as part of the chiroping project.  closing date for applications is 15 may 
2008.

the principal objective of the project is to discover how to engineer embodied 
active sonar perception systems which can serve as a complement to vision and 
facilitate the deployment of robotic systems in situations where vision is 
infeasible.

applicants should have ph. d. level expertise in one of the areas of acoustics, 
robotics or signal processing. extensive expertise in programming and good 
mathematics, signal analysis and/or pattern recognition skills are necessary.

for further details on the project, see the chiroping web site 
www.chiroping.org.

to apply, please follow the procedure specified at 
http://www.jobs.sdu.dk/vis_stilling.php?id=4138&lang=eng

john hallam"
5,2008,faculty position on robotics and play,"vacant assistant professorship in research on playware and robotics

 

applications are invited for a position as assistant professor in
playware and robotics at centre for playware, the maersk mc-kinney
moller institute, university of southern denmark, in odense, denmark. it
is a faculty position (tenure track) with an initial 3-year period as
assistant professor. start date: as soon as possible. the institute
performs internationally-oriented research in robotics, software
engineering and modern artificial intelligence, and the successful
applicant will mainly be involved in research and development activities
in the field of playware, modern artificial intelligence and robotics. 

 

the successful applicant will form part of the institute's research on
playware, i.e. intelligent hardware and software that create play and
playful experiences for users of all ages, at centre for playware
(www.sdu.dk/playware). the main focus of the centre is to merge research
of modular robotics, modern artificial intelligence, human-robot
interaction, arts, and play culture. it is desirable that applicants
have an interest in playware and empirical experience with modern
artificial intelligence, modular robotics or human-robot interaction,
and general hands-on experience with novel technology. 

 

centre for playware develops robotic building blocks that create global
behaviour through their composition, allowing everyday users to employ
and develop robotic artefacts. this is the reason why the centre, in
addition to technology takes a great interest in areas such as cultural
studies and interaction design to expand the development of robotics in
products and everyday use e.g. in toys, playgrounds, hospital equipment,
sports, music, etc. 

 

the research group is internationally known for its state-of-the-art
research exemplified by robocup humanoids free style world championship
2002, and the inventions of the atron modules for self-configuration,
african i-blocks, robomusic, robocup junior, the modular robotic therapy
tiles, and the playware playgrounds. the vacancy requires an assistant
professor that is able to participate in this work at high,
international level. 

 

the person appointed is, to an extent to be agreed upon, expected to
teach and instruct students enrolled at the university of southern
denmark, who participate in courses or do projects as part of their
study programme. the person appointed may expect to be involved in other
work activities as well. 

 

deadline for applications: 5 september 2008, noon. please follow
guidelines on: http://www.jobs.sdu.dk/vis_stilling.php?id=4491&lang=eng

 

further information may be obtained by contacting professor henrik
hautop lund, tel. (+45) 6550 3575, e-mail: hhl at mmmi.sdu.dk and/or by
visiting the web site of the university: http://www.sdu.dk.

 

henrik hautop lund, professor

centre for playware, maersk institute

university of southern denmark

campusvej 55, 5230 odense m, denmark

www.sdu.dk/playware <http://www.sdu.dk/playware> 

 "
6,2010,phd scholarship in modular playware technology,"phd scholarship in modular playware technology.

a 3-year phd scholarship is available at the center for playware at dtu electrical engineering, copenhagen, denmark.

at the center for playware, we conduct research in the interdisciplinary field of playware, including research in modern artificial intelligence, modular robotics, human-robot interaction, play, and play culture.

the project is an integral part of the project modular playware technology, together with the companies lego and advance, aimed at developing intelligent and adaptive modular (robotic) technology for the toy products of tomorrow. 

the project will focus on developing a novel interactive technology - modular playware technology - by combining modular robotics and modern artificial intelligence (ai) to create technological toy products that will motivate users to interact with these products.

you will collaborate with other researchers and industry to incorporate the general playware understanding of how to move the user into a state of play in the development of intelligent technology by basing the technology on embodied artificial intelligence methods on adaptation and modularity. modular sensory-action systems and machine learning approaches for classifying human interactions will be researched, developed and exploited. this will form a novel approach for human-machine interaction technology to create highly motivating products.

qualifications
candidates should have a msc in engineering, computer science or a similar degree with an academic level equivalent to a master's degree.

we prefer candidates

    * with practical experience within hardware and software development, and embedded systems design (e.g. from robotics), including good skills on programming embedded systems
    * who enjoy working on the practical hardware and software development of prototypes and demonstrators
    * who can work in collaboration with industrial partners towards deadlines
    * if you have an interest in play and toys, and interdisciplinary collaboration it will be advantageous.

approval and enrolment
the scholarships for the phd degree are subject to academic approval, and the candidates will be enrolled in one of the general degree programmes of dtu. for information about the general requirements for enrolment and the general planning of the scholarship studies, please see the dtu phd

salary and appointment terms
the salary and appointment terms are consistent with the current rules for phd degree students.

the starting date will be as soon as possible.

further information
can be obtained from professor henrik hautop lund, hhl at playware.dtu.dk

application
please apply online no later than 3 december 2010. please see http://www.jobbank.dtu.dk/job/115916/dtu/phd-scholarship-in-modular-playware, fill in the application form and attach all the following documents:

    * a letter motivating the application (cover letter)
    * curriculum vitae of the applicant including a list of publications
    * grade transcripts and bsc/msc diploma
    * conversion of grade averages to danish grades (see guidelines and excel spreadsheet for the conversion here).

candidates may apply prior to ob­tai­ning their master's degree, but cannot begin before having received it.

all interested candidates irrespective of age, gender, race, religion or ethnic background are encouraged to apply.

department of electrical engineering is the central department at the technical university of denmark in electrical and biomedical engineering. it is our goal to ensure an engineering training, which matches that of other leading universities around the world. the department is organized into 9 sections each covering important areas of electrical and biomedical engineering. including phd students we have a total of 190 staff members at the department.


henrik hautop lund, professor
center for playware
technical university of denmark
building 325
2800 kgs. lyngby, copenhagen
denmark
hhl at playware.dtu.dk"
7,2010,job opening : research programmer/analyst and/or postdoc positions at carnegie mellon university robotics institute,"research programmer/analyist and/or postdoc
carnegie mellon university, robotics institute
http://www.ri.cmu.edu

i am looking for highly motivated candidates in the areas of field
robotics, state estimation, and sensor fusion to work on an effort
involving real-time state estimation and lidar-based path
tracking/following for outdoor automated vehicles.  this is a multi-year
effort working with a pittsburgh company interested in licensing
autonomous vehicle technologies developed at carnegie mellon.

candidates should have knowledge and practical experience with state
estimation theory including error modeling, derivation of filters, and
analysis/tuning of those filters.  for example, since we're using a
combination of gps, imu, and lidar-based sensors and are fusing the data
from all of those, candidates will be expected to have knowledge of most
of these sorts of sensors and how to process the data from them.  we
develop primarily in c++ on ubuntu linux and make heavy use of the ros
framework from willow garage.  experiences with these languages and
systems is required.

candidates must have an appropriate visa to allow working in the united
states during the period specified.

duration: 12 months (with extensions to additional phases afterwards)
availability: immediate
location: pittsburgh, pa, usa
applications for full-time staff position: http://goo.gl/qoiey

(if interested in a postdoc rather than full-time staffposition, please
email your cv and list of references directly to paul e. rybski
<prybski at cs.cmu.edu>)

-- 
paul e. rybski, ph.d., systems scientist
the robotics institute, carnegie mellon university
phone: 412-268-7417, fax: 412-268-7350
web: http://www.cs.cmu.edu/~prybski
"
8,2011,"two postdoctoral and/or phd positions in biorobotics at bielefeld university, germany","two postdoctoral and/or phd positions in biorobotics at bielefeld 
university, germany

in the eu-funded fp7-project emicab (embodied motion intelligence for 
cognitive, autonomous robots), the university of bielefeld (germany) 
invites applications for

two positions as research assistants (post-doc or phd student)

for the duration of three years. the salary scale typically ranges 
between 38300 and 44800 eur p.a. (according to e13 tv-l west, german 
public service), depending on work experience. the positions are 
remunerated between 50% and 100% e13 according to qualification of the 
applicant.

the positions on offer are embedded into an excellent interdisciplinary 
environment with intensive contacts to various facilities and workgroups 
of bielefeld university. in particular, this includes the center of 
excellence in cognitive interaction technology, citec. the eu-project 
(www.emicab.eu) as a whole is formed by the biomechatronics lab and the 
neuroethology lab of bielefeld university (coordinator), a systems 
engineering lab at the university of catania, italy, a sensor technology 
lab at the university of southern denmark in sønderborg, and a 
neurogenetics lab at the university of mainz, germany.

goal of the emicab-project is the abstraction of neuro-ethological and 
neuro-genetic research results in the context of autonomous walking 
movements to generate artificial neural network models for intelligent 
behaviour. in parallel, a novel six-legged walking robot is being 
assembled and – within the project – expanded by rich body sensorisation 
and additional actuation. the integration of bio-inspired, intelligent 
control algorithms on an efficient walking robot allows autonomous, 
goal-directed locomotion and shapes the command of complex, cognitive 
behaviour like, for instance, object manipulation and mental planning.

the first position is available in the area of technical sensorimotor 
functions and robotics. as a prerequisite, the applicant should hold a 
university master or diploma degree, preferably in engineering (e.g., 
mechatronics, electrical engineering or control engineering) or computer 
science (e.g., robotics, technical computer science). we are 
particularly interested in candidates with a background in electronics 
design, control of electrical drive systems and sensor systems as well 
as in the area of mechanical construction. strong programming skills and 
advanced mathematical competence are expected. participation in 
administrative and organizational tasks of the eu-project is also expected.

the second position is placed within the field of bio-inspired 
algorithms and software development. as a prerequisite, the applicant 
should hold a university master or diploma degree, preferably in the 
field of computer science (if possible with a focus on sensor fusion, 
stochastic or neural models or time series analysis). strong programming 
skills and advanced mathematical competence are expected. participation 
in administrative and organizational tasks of the eu-project is also 
expected.

bielefeld university is an equal opportunity employer and therefore 
especially encourages women to apply. in the case of comparable 
competences and qualification, women will preferably be considered if 
there are no dominating reasons arising from the person of another 
applicant. bielefeld university also encourages disabled people to 
apply. part-time employment is possible.

please send your application with the usual documents (cover letter, cv 
and transcripts as well as the name and contact information of two 
references) – also electronically in pdf-format – until 15. march 2011.

contacts:
dr. axel schneider, bielefeld university, faculty of technology, 
p.o.-box 10 01 31, 33501 bielefeld, germany (e-mail: 
axel.schneider at uni-bielefeld.de)

prof. dr. volker dürr / prof. dr. josef schmitz, bielefeld university, 
faculty of biology, p.o.-box 10 01 31, 33501 bielefeld, germany (e-mail: 
{volker.duerr, josef.schmitz}@uni-bielefeld.de)"
9,2011,uq lecturer/sr lecturer in robotics (biomechatronics) -- extended to oct 12,"the university of queensland seeks applications towards two
mechatronics / robotics faculty positions.
those with biomedical / biomechatronics backgrounds are particularly
encouraged to apply.  the school has a growing program in robotics and
mechatronics.  it is close to major robotics research centers such as
the csiro and the cyphy laboratory.

details at:
http://uqjobs.uq.edu.au/jobdetails.asp?sjobids=492363&lcategoryid=&lbrandid=1725&lworktypeid=1470&llocationid=7592&stp=aw&slanguage=en

full position description at:
http://goo.gl/82v1j

application procedure:
please send cover letter, resume, and statement addressing the
selection criteria to hr at itee.uq.edu.au.

deadline:
extended to oct 12, 2011

for additional questions about the position, please contact
hr at itee.uq.edu.au (or contact me).

come join the exciting robotics revolution in sunny queensland!!"
