,year,subject,content
0,2009,professorship at tut center for biorobotics,"tallinn university of technology, center for biorobotics
www.biorobotics.ttu.ee invites applications from outstanding scientist for
two fulltime faculty position of

full professorship in biomechanics
areas of interest: biomechanics, biolocomotion, soft body modelling and
deformation registration, artificial muscle mechanical modelling and
control, mechanical design of bio-inspired devices, bio-inspired control,
learning and adaptation, locomotion in fluids, experimental and
computational fluid mechanics in the context of biolocomotion and any other
areas related or complementary to the research in tut center for
biorobotics.

duties: general responsibility for research and research education, teaching
and supervision at graduate and postgraduate level and teaching at advanced
and basic level. participation in leadership and administrative roles of
laboratory projects involving responsibility for budgets and personnel may
be relevant. demonstrated ability to attract external grants will be
expected. previous experience gained from research in industry or the public
sector will be particularly relevant. the applicant should be able to
demonstrate good leadership skills and high capability of cooperation.

more information: maarja.kruusmaa at biorobotics.ttu.ee

application procedure:
the application shall be written in english and include the following items:

curriculum vitae (cv)
description of the applicant's research and pedagogical qualifications, as
well as other qualifications
complete list of publications
two reference persons who can be contacted (describe association with them
and give their contact addresses)
copies of the applicant's best scientific publications (not more than 10)
copies of a maximum of 10 other publications (such as pedagogy, and popular
science) in support of pedagogical and other merits
plans for future work, both scientific and educational, if appointed
any other relevant documents

applications should be sent by september 30, 2009 to: tallinn university of
technology, department of computer engineering, raja 15, 12618 tallinn,
estonia. attn.: gert jervan.
 
_______________________
maarja kruusmaa
prof. biorobotics
tallinn university of technology
center for biorobotics
http://www.biorobotics.ttu.ee

and

intelligent materials and systems lab
tartu university institute of technology 
http://www.ims.ut.ee
skype: nasuke
phone: (+372)51 83074"
1,2009,postdoc positions in tut center for biorobotics,"tallinn university of technology, center for biorobotics
www.biorobotics.ttu.ee in estonia has the following position opening:

postdoctoral researcher 
research areas: medical image processing, computer algorithms, parallel
computing, signal processing, soft organ modelling
research focus: the researcher would participate in european union financed
fp7 framework project safros dedicated to surgical automation. the research
would include real-time algorithm development for soft organ modelling,
calibration and deformation registration. it comprises the analysis of the
pre-operative and intra-operative modeling methods of deformable organs from
ct, mr and us scans, development of on-line reconstruction algorithms. 

postdoctoral researcher
research areas: mechanical design of fish swimming robots, mechanical
modeling of fish swimming kinematics and dynamics
research focus: the researcher would participate in european union financed
fp7 framework project filose (www.filose.eu) dedicated to fish locomotion
and sensing and fish robots. it involves modeling of fish locomotion in
response to the hydrodynamic events, optimization of the mechanical
properties of the fish robot, mechanical design of fish robot prototypes,
experimental validation of the prototypes in a flume pipe. the work is
carried out in close cooperation with other research groups in the project
focusing on lateral line sensing, fish biology and control. 

research environment
tut center for biorobotics is a recently established rapidly growing
multidisciplinary research center involved in several international research
projects. it is well equipped for theoretical and experimental work in
mechanics, control, fluid dynamics, cfd and parallel computing. we value
free academic spirit, novel ideas on the borderline of science and
technology, teamwork and cooperation over various disciplines. estonia is an
eu member state with a rapid growth, modern infrastructure and thin
bureaucracy.

more information about the positions and the application procedure:
maarja.kruusmaa at biorobotics.ttu.ee

_______________________
maarja kruusmaa
prof. biorobotics
tallinn university of technology
center for biorobotics
http://www.biorobotics.ttu.ee

and

fits.biorobotics
r&d director
www.fits.me
skype: nasuke
phone: (+372)51 83074"
2,2010,postdoc in biomechanics in tut center for biorobotics,"tallinn university of technology center for biorobotics
www.biorobotics.ttu.ee has an immediate position opening for

postdoctoral researcher in biomechanics
areas of interest: biomechanics, soft body modelling and deformation
registration, numerical methods for soft tissue modelling, modelling and
analysis of fluids and capillary flows. the applicant would participate in
european union financed fp7 framework project safros dedicated to surgical
automation.

requirements: solid background in mechanics, physics, biomechanics and
numerical methods, finite element analysis, thorough understanding of
experimental methodology, good communication skills and teamworking
experience.

research environment: tut center for biorobotics is a recently established
rapidly growing multidisciplinary research center involved in several
international research projects. it is well equipped for theoretical and
experimental work in mechanics, control, fluid dynamics, cfd and parallel
computing. we value free academic spirit, novel ideas on the borderline of
science and technology, teamwork and cooperation over various disciplines.
estonia is an eu member state with a rapid growth, modern infrastructure and
thin bureaucracy

more information: maarja.kruusmaa at biorobotics.ttu.ee

application procedure:
the applications should include:

curriculum vitae (cv)
description of the applicant's research and pedagogical qualifications, as
well as other qualifications
complete list of publications
two reference persons who can be contacted (describe association with them
and give their contact addresses)


applications should be sent by to: maarja kruusmaa, tallinn university of
technology, center for biorobotics, akadeemia tee 15a, 12618 tallinn,
estonia.
or
maarja at biorobotics.ttu.ee.

_______________________
maarja kruusmaa
prof. biorobotics
tallinn university of technology
center for biorobotics
http://www.biorobotics.ttu.ee

and

fits.biorobotics
r&d director
www.fits.me
skype: nasuke
phone: (+372)51 83074"
3,2010,tut center for biorobotics position opening: full professorship in biomechanics,"tallinn university of technology center for biorobotics
www.biorobotics.ttu.ee invites applications from outstanding scientist for
two fulltime faculty position of

full professorship in biomechanics
areas of interest: biomechanics, biolocomotion, soft body modelling and
deformation registration, artificial muscle mechanical modelling and
control, mechanical design of bio-inspired devices, bio-inspired control,
learning and adaptation, locomotion in fluids, experimental and
computational fluid mechanics in the context of biolocomotion and any other
areas related or complementary to the research in tut center for
biorobotics.

duties: general responsibility for research and research education, teaching
and supervision at graduate and postgraduate level and teaching at advanced
and basic level. participation in leadership and administrative roles of
laboratory projects involving responsibility for budgets and personnel may
be relevant. demonstrated ability to attract external grants will be
expected. previous experience gained from research in industry or the public
sector will be particularly relevant. the applicant should be able to
demonstrate good leadership skills and high capability of cooperation.

research environment: tut center for biorobotics is a recently established
rapidly growing multidisciplinary research center involved in several
international research projects. it is well equipped for theoretical and
experimental work in robotics, mechanics, control, fluid dynamics, cfd and
parallel computing. we value free academic spirit, novel ideas on the
borderline of science and technology, teamwork and cooperation over various
disciplines. estonia is an eu member state with a rapid growth, modern
infrastructure and thin bureaucracy.

more information: maarja.kruusmaa ätt biorobotics.ttu.ee

application procedure:
the application shall be written in english and include the following items:

curriculum vitae (cv)
description of the applicant's research and pedagogical qualifications, as
well as other qualifications complete list of publications two reference
persons who can be contacted (describe association with them and give their
contact addresses) copies of the applicant's best scientific publications
(not more than 10) copies of a maximum of 10 other publications (such as
pedagogy, and popular science) in support of pedagogical and other merits
plans for future work, both scientific and educational, if appointed any
other relevant documents

applications should be sent by june 30, 2010 to: maarja kruusmaa, tallinn
university of technology, center for biorobotics, akadeemia tee 15a, 12618
tallinn, estonia.
or
maarja ätt biorobotics.ttu.ee.

_______________________
maarja kruusmaa
prof. biorobotics
tallinn university of technology
center for biorobotics
http://www.biorobotics.ttu.ee

and

fits.biorobotics
r&d director
www.fits.me
skype: nasuke
phone: (+372)51 83074



______________________
maarja kruusmaa
biorobootika professor
tallinna tehnikaülikool biorobootika keskus
http://www.biorobotics.ttu.ee

ja

fits.biorobotics
arendusdirektor
www.fits.me
skype: nasuke
tel: (+372)51 83074"
4,2010,postdoc in biomechanics in tut center for biorobotics,"center for biorobotics (www.biorobotics.ttu.ee) of tallinn university of technology has an immediate position opening for a postdoctoral researcher in biomechanics.


areas of interest: biomechanics, soft body modelling and deformation registration, numerical methods for soft tissue modelling, mechanics of continuous enviromments, modelling and analysis of fluids and capillary flows. the applicant would participate in european union financed fp7 framework project safros dedicated to surgical automation. 

requirements: solid background in physics, biomechanics and numerical methods, finate element analysis, thorough understanding of experimental methodology, good communication skills and teamworking experience.

 

research environment

tut center for biorobotics is a recently established rapidly growing multidisciplinary internationally well connected research center involved in several international research projects. it is well equipped for theoretical and experimental work in mechanics, control, fluid dynamics, cfd and parallel computing. we value free academic spirit, novel ideas on the borderline of science and technology, teamwork and cooperation over various disciplines. estonia is an eu member state with a rapid growth, modern infrastructure and thin bureaucracy.

 

more information: maarja.kruusmaa at biorobotics.ttu.ee



maarja kruusmaa
prof. biorobotics 
tallinn university of technology 
center for biorobotics 
http://www.biorobotics.ttu.ee 

and 

fits.me
r&d director 
http://www.fits.
skype: nasuke 
phone: (+372)51 83074 "
5,2010,full professorship in biomechanics in tut center for biorobotics,"tallinn university of technology center for biorobotics invites applications from outstanding scientist for a fulltime faculty position of

full professorship in biomechanics


areas of interest: biomechanics, biolocomotion, soft body modelling and deformation registration, artificial muscle mechanical modelling and control, mechanical design of bio-inspired devices, bio-inspired control, learning and adaptation, locomotion in fluids, experimental and computational fluid mechanics in the context of biolocomotion and any other areas related or complementary to the research in tut center for biorobotics.

duties: general responsibility for research and research education, teaching and supervision at graduate and postgraduate level and teaching at advanced and basic level. participation in leadership and administrative roles of laboratory projects involving responsibility for budgets and personnel may be relevant. demonstrated ability to attract external grants will be expected. previous experience gained from research in industry or the public sector will be particularly relevant. the applicant should be able to demonstrate good leadership skills and high capability of cooperation.

research environment: tut center for biorobotics is a recently established rapidly growing multidisciplinary research center involved in several international research projects. it is well equipped for theoretical and experimental work in mechanics, control, fluid dynamics, cfd and parallel computing. we value free academic spirit, novel ideas on the borderline of science and technology, teamwork and cooperation over various disciplines. estonia is an eu member state with a rapid growth, modern infrastructure and thin bureaucracy.

more information: maarja.kruusmaa at biorobotics.ttu.ee and www.biorobotics.ttu.ee


maarja kruusmaa
prof. biorobotics 
tallinn university of technology 
center for biorobotics 
http://www.biorobotics.ttu.ee 

and 

fits.me
r&d director 
http://www.fits.
skype: nasuke 
phone: (+372)51 83074 "
6,2012,postdoc position in tut center for biorobotics,"postdoctoral researcher, tut center for biorobotics (tallinn, estonia)

the candidates are expected to have experience in one or more of the following areas: robotics, underwater robotics, fluid dynamics, mechanics of continuous environments, soft body modelling, numerical methods, control methods, mechanics, electronics and system integration.
requirements: solid background in physics, practical engineering skills, thorough understanding of experimental methodology, good communication skills and teamworking experience.
research environment
tut center for biorobotics is a rapidly growing multidisciplinary research center involved in several international research projects. it is well equipped for theoretical and experimental work in robotics, mechanics,  computational and experimental fluid dynamics. we value free academic spirit, novel ideas on the borderline of science and technology, teamwork and cooperation over various disciplines. estonia is an eu member state with a rapid growth, modern infrastructure and thin bureaucracy.
 the selection of candidates begins immediately and continues until the position is filled.
please send your application to maarja.kruusmaa at ttu.ee<mailto:maarja.kruusmaa at ttu.ee> containing:

- a cover letter explaining research goals and  interests
-cv
-selected publication(s)
-contact information of 3 references

more information: maarja.kruusmaa at ttu.ee<mailto:maarja.kruusmaa at ttu.ee>"
7,2013,assistant professor position @ university of tartu,"the university of tartu (ut) is advertising for a new assistant
professor (docent) of robotics

structural unit: institute of technology, university of tartu

see also about the university (http://www.ut.ee/en/university)
information about tartu is available at http://www.tartu.ee/?lang_id=2
information about estonia is available at http://estonia.eu/

duties and responsibilities:  conducting lectures and seminars in the
area of robotics and computer engineering on phd, master and bachelor
level, in particular bachelor and master level courses on electronics
and digital logic. supervising students on all levels, phd level will
be appreciated. participating in the research activities (present
activities include robotics, smart materials, medical engineering) of
the institute of technology.

see also general job description
(http://www.ut.ee/sites/default/files/livelink_files/akadeemilise_personali_ametijuhendid_28092012_eng.pdf)

research activities: associated professor will work in intelligent
materials and systems lab http://www.ims.ut.ee. correlation with
current research activities will be appreciated, but not required. a
new research activity in robotics will be encouraged by institute.

work load: full time, the classroom teaching load at least 224
academic hours per calendar year. teaching load is negotiable
depending on phd student supervising and scientific output.

term of contract:  01.09.2013 to 31.08.2016 with possible extension and upgrade.

current position status: a new position, funded by:
http://www.eitsa.ee/en/activities/ict-program/

salary: the salary is negotiable depending on the candidate's
qualification and the level of experience. please contact.

required qualifications:
phd or an equivalent qualification.

see also requirements for teaching and research staff
(http://www.ut.ee/sites/default/files/livelink_files/8613150.pdf)

required experience:
candidates are expected to have university level teaching experience
and didactic skills, experience in academic supervision of graduate
students, research profile relevant to robotics, computer engineering
and a strong international publication track record.

required language skills:
english; any other language will be considered as an advantage.

additional info:
please contact with
prof alvo aabloo
alvo.aabloo at ut.ee
skype://alvo:aabloo
+3725078356

or
akad_sekr at ut.ee  (the official responsible to formalities)

deadline for applications: july 31st, 2013. the applicant should be
ready for interview and venia legendi on request at our expense.

in order to be considered for the position, the candidate must submit
to the personnel office of university of tartu (email: personal at ut.ee;
postal address: 4 jakobi st,tartu 51004 estonia) following documents:
* a letter of application to the rector (in english),
* a curriculum vitae in the established format (in english),
* a list of research publications (if necessary, enclosing copies or
offprints of more important publications),
* a copy of a document (including its annexes) which shows the
candidate to hold the required qualification,
* other materials considered relevant by the candidate (a list of such
materials must be included in the application or annexed to it).

see also:
http://www.ut.ee/en/application-documents-and-notification-results


--
alvo aabloo
prof. polymer materials
ims lab  http://www.ims.ut.ee
institute of technology
university of tartu
nooruse 1, 50411 tartu
estonia
----
phone: +372 7375534
gsm: +372 5078356
skype://alvo_aabloo"
8,2014,phd position in underwater robotics and experimental fluid dynamics,"ph.d. studentship in experimental fluid dynamics and marine robotics
dear ph.d. student candidate,

centre for biorobotics is a team of 15 young, skilled and well-motivated researchers and engineers in tallinn university of technology, estonia. we seek and like novel, unusual and risky ideas and new applications for underwater technology. our ideas are often inspired by nature or we use technology to better understand how nature works. for example, we have developed a robot that uses flow sensing, inspired by fish lateral line sensing, we have designed a sea turtle-inspired robot that will help underwater archaeologists to explore shipwrecks and we use a fish robot to understand how fish choose their migration routes upriver.
you can find more information about us at  http://www.biorobotics.ttu.ee<http://www.biorobotics.ttu.ee/>
we are looking for a new team member who is equally fascinated in using physics and engineering to solve practical real-world problems. the aim of your work is to give a new sense to underwater robots – flow sensing. the objective is to develop a method for sensing and analyzing flow so that the underwater robot understands the surrounding hydrodynamic environment and can react to the changes.
you are a suitable candidate if you have master degree in physics, math, robotics, computer science, computer engineering and related fields. if you are good in one of those areas, we can back you up with the complementary expertise in our lab. but you have to be good at something. if you have knowledge in fluid dynamics (experimental, analytical or computational) it makes your life a lot easier.
we are looking for someone who has an internal motivation to do good research. while good team-working skills are essential, it is also important that you are able to define your own goals while taking responsibility for achieving them, work independently for some periods, be persistent if things do not work out immediately and dare to ask for help if you are stuck.
you would be part of a large european robocademy marie-curie initial training network that gives you opportunities to access experimental facilities, knowledge and networks of outstanding european research groups and innovative companies.
if you are interested in the opportunity please see below how to apply.
yours sincerely,

maarja kruusmaa
prof. biorobotics
tallinn university of technology
center for biorobotics
http://www.biorobotics.ttu.ee<http://www.biorobotics.ttu.ee/>
skype: nasuke
phone: (+372)51 83074


about robocademy:
the robocademy is a european training and research network to develop key skills and enabling technologies in underwater robotics for the scientific and economic exploration of the oceans (e.g. offshore oilfield of the future). through the close collaboration of leading research institutes, academia, industry, and smes in robotics, marine technology, marine science, and offshore industry, robocademy will provide first-class training and research opportunities for early stage researchers (esrs). in well-defined and well-tutored phd research projects, the robocademy fellows will push the state-of-the-art in the area of robust, reliable and autonomous underwater robots.
specialized scientific training modules will enable the fellows to obtain both a sound basis in robotics and an introduction to topics that are specific to their research areas. this will be complemented by a high quality soft-skills training programme and the opportunity to gain extensive on-site hands-on experience through secondments to maritime industry and oceanographic research institutes. thus robocademy will foster the formation of young professionals that are able to meet the urgent demand for highly qualified researchers and engineers in the growing field of underwater systems and robotics.
for the european industry and scientific community, such specialists are crucial gain ground against competitors from north america and asia. for the esrs, the robocademy training will open up excellent career opportunities in both academia and industry.
more information at http://www.robocademy.eu<http://www.robocademy.eu/>
about esrs:
early-stage researchers (esr) must, at the time of recruitment, be in the first of four years (of full-time equivalent research experience) of their research careers and have not yet been awarded a doctoral degree. the post of early-stage researcher is for 36 months, and maybe done in conjunction with a doctoral degree.
for all available positions, at the time of recruitment, applicants must not have resided or carried out the main activity (work, studies, etc) in the country of the host institution (defined as the research institution or company cited in the job posting) for more than 12 months in the 3 years immediately prior to the reference date. compulsory national service and/or short stays such as holidays are not taken into account. the applicant must not have spent more than 12 months in the 3 years immediately prior to their recruitment at the host organization.
how to apply:
please send your cv and a motivation letter to biorobotics at ttu.ee<mailto:biorobotics at ttu.ee>. the cv and motivation letter should show what are your qualifications, why do you want to apply to this job and what do you expect from us if you will get it. also, we would ask you to send two recommendation letters along with them. for more information please contact maarja.kruusmaa at ttu.ee<mailto:maarja.kruusmaa at ttu.ee>"
9,2014,3 phd positions at heriot-watt university - eu itn roboacademy,"joint training and joint development of robot systems to explore the oceans:
this is the aim with which the european network for training and 
research on maritime and underwater robotics, robocademy, has been 
started this year. the project is funded by the eu with 3.61 million 
euro deals with developing key qualifications for junior researchers and 
strengthening technology development in the field of underwater 
robotics. through the close collaboration of leading research 
institutes, academia, industry, and small–medium enterprises in 
robotics, marine technology, marine science, and offshore industry, 
robocademy will provide first-class training and research opportunities 
for early-stage-researchers.

heriot-watt university is currently looking for 3 
early-stage-researchers (esr), who made their diploma or master degree 
within the last four years in one of the following disciplines:

• computer science
• math or physics
• computer engineering
• robotics

the three esrs will work on the following projects:
- persistent long term autonomy
https://robotik.dfki-bremen.de/fileadmin/content/robocademy/vacancies/esr4_hwu.pdf

- biosonar for object characterisation
https://robotik.dfki-bremen.de/fileadmin/content/robocademy/vacancies/esr3_hwu.pdf

- object recognition with multiple platforms
https://robotik.dfki-bremen.de/fileadmin/content/robocademy/vacancies/esr12_hwu.pdf

the research activities will be complemented by a high-quality 
soft-skills training programme for and the opportunity to gain extensive 
on-site hands-on experience through secondments to maritime industry and 
oceanographic research institutes.

the deadline for application is on july 30rd. please contact:
prof. david lane: d.m.lane at hw.ac.uk

partners of the roboacademy consortium:

• dfki, robotics innovation center, bremen, germany
• heriot-watt university, ocean systems lab, edinburgh, united kingdom
• tallinn university of technology, centre of biorobotics, tallinn, estonia
• universitat de girona, computer vision and robotics research group, 
girona,  spain 
• natural environment research council, national oceanography centre, 
swindon  wiltshire, united kingdom
•  centre for maritime research and experimentation, la spezia, italy
• national technical university of athens, control systems lab, athens, 
greece
• atlas elektronik gmbh, bremen, germany
• seebyte ltd, edinburgh, united kingdom
• graal tech, genova, italy

best regards,
francesco maurelli
ocean systems lab, heriot-watt university
f.maurelli at ieee.org - http://oceansystemslab-heriotwatt.com/"
