,year,subject,content
0,2009,post-doc,"the laboratory of machine vision and pattern recognition (mvpr) 
at the department of information technology at the lappeenranta 
university of technology (lut), finland, announces a postdoctoral
position in

--------------------------------------------------
learning in sensor-based grasping and manipulation 
--------------------------------------------------

mvpr performs research in all aspects of computer vision and 
machine learning, including robotic systems.


tasks 
----- 
the candidate will work in the context of european fp7 research
project grasp (www.grasp-project.eu). the focus of the research 
will depend on the background of the candidate and personal
initiative. the research environment will offer possibilities 
for strong international collaboration.


requirements
------------
a candidate should hold a ph.d. or equivalent or be a ph.d. student
in the final stage of their studies. suitable disciplines include 
computer science, robotics, automatic control, mathematics, 
artificial intelligence, machine learning, and other related areas. 
modelling expertise, especially probabilistic models, is considered
an advantage. candidates are also expected to be experienced with 
programming in c++ and matlab. the appointment will be full time 
for a period of one year to two years. the appointment is available
immediately.


application and further information
------------------------------------
applications should include a letter of motivation, a curriculum 
vitae, a list of publications, and the names and contact 
information (email) of at least two references. 

for more information, contact ville kyrki at kyrki at lut.fi.

applications should be sent by email to kyrki at lut.fi.


-------------------------------------------
ville kyrki (adj. prof.)
department of information technology
lappeenranta university of technology
p.o. box 20
fi-53851 lappeenranta
finland

http://www.lut.fi/~kyrki/
-------------------------------------------"
1,2009,"postdoctoral position in ""learning in sensor-based grasping""","machine vision and pattern recognition laboratory (mvpr) of the
department of information technology, lappeenranta university of
technology is seeking

a postdoctoral researcher (tutkijatohtori) in

learning in sensor-based grasping and manipulation. 

the candidate will work in the context of european fp7 research
project grasp (www.grasp-project.eu). the focus of the research will
depend on the background of the candidate and personal initiative. the
research environment will offer possibilities for strong international
collaboration.

a candidate should hold a ph.d. or equivalent or be a ph.d. student in
the final stage of their studies. suitable disciplines include
computer science, robotics, automatic control, mathematics, artificial
intelligence, machine learning, and other related areas.  modelling
expertise, especially probabilistic models, is considered an
advantage. candidates are also expected to be experienced with
programming in c++ and matlab. the appointment will be full time for a
period of one year to two years.

further information: professor ville kyrki, email: kyrki(at)lut.fi
(putting 'postdoctoral researcher' in the message title).

applications, including a cv, a letter of motivation, a list of
publications, and the names and contact information (email) of at
least two references, are to be submitted by 31st august 2009, 15:00
finnish time (eet) by e-mail to kirjaamo(at)lut.fi or
kyrki(at)lut.fi.

this position was already announced earlier, but due to the extension
of the application period due to university regulations, it is
announced again. all applications received will be considered.

---
dr ville kyrki
department of information technology
lappeenranta university of technology
"
2,2010,phd student position available,"lappeenranta university of technology (lut) is a university
specialising in technology and business studies in south east finland
with approximately 6000 students and 1000 staff members.

the laboratory of machine vision and pattern recognition (mvpr) at the
department of information technology at the lappeenranta university of
technology (lut), finland, is looking for a 

doctoral student in

concept grounding in sensor-based grasping and manipulation

mvpr performs research in all aspects of computer vision and machine
learning, including robotic systems.

tasks:

the candidate will initially work in the context of european fp7
research project grasp (www.grasp-project.eu). the focus of the
research will depend on the background of the candidate and personal
initiative. the research environment will offer possibilities for
strong international collaboration.

requirements: 

a candidate must be highly motivated and should hold a m.sc. or
equivalent or be a m.sc. student in the final stage of their
studies. m.sc. degree is required for admission to the phd
program. suitable disciplines include computer science, robotics,
automatic control, mathematics, artificial intelligence, machine
learning, and other related areas.  theoretical skills and knowledge
of probabilistic models are considered advantages.  candidates are
also expected to have good programming skills.

the aim for a phd student is to complete the doctoral degree in 3,5
years. the position will be available initially for one year and can
be extended for another 2,5 years provided that the phd studies have
progressed satisfactorily.  the salary will be according to the
university's salary system for teaching and research personnel. the
initial phd student salary is 2264.33 eur/month before taxes.

the appointment is available immediately.

application and further information:

applications should include a letter of motivation, a curriculum
vitae, a possible list of publications, a copy of degree certificate
(if available), and the names and contact information (email) of at
least two references, one of which is preferably the m.sc. thesis
advisor.

applications should be sent by mail to:
lappeenranta university of technology / registry, 
p.o. box 20, 53851 lappeenranta, finland 
or by email to: kirjaamo at lut.fi. 

application documents will not be returned to the sender.

deadline for the applications is 2 december 2010 at 14:00.

for more information, contact prof ville kyrki at kyrki at lut.fi, 
tel. +358 40 735 9725.  "
3,2011,tenure track position in intelligent mobile machines and energy systems,"aalto university (formerly helsinki university of technology) school of
electrical engineering invites applications for

tenure track associate or full professor in intelligent mobile machines and
energy systems
the tenure track is open to talented individuals who have excellent
potential for a scientific career. throughout their careers, those under the
academic tenure track system are expected to exercise and guide scientific
research, to provide academic education, to be an active member of the
international scientific community and to interact with society. the
position is located in the department of automation and systems engineering
(http://autsys.tkk.fi/en/).

faculty responsibilities include developing and maintaining an
internationally recognized research program in the field and service
robotics and mobile energy systems, and effective teaching at the
undergraduate and graduate level in the same area.

field and service robotics research and teaching include methodological as
well engineering oriented activities in the areas of all subsystem
technologies of such robots or robotic machines. activities in mobile energy
systems include hybrid systems of different scales ranging from low power
mobile electronics applications to high power robotic ones. the department
has been awarded academy of finland centre of excellence in intelligent
machines (http://www.automation.hut.fi). the successful candidate must
demonstrate a record of sustained research funding. 
more details how to apply can be found in the university web-site
http://www.aalto.fi/en/current/jobs/professors/professor_in_intelligent_mobi
le_machines_and_energy_systems/ . 
for additional information, please contact head of department, professor
heikki koivo, tel. +358 50 5151 270, or hr-coordinator kirsti ojala, tel.
+358 40834 1161 or e-mails: firstname.lastname at tkk.fi.



professor aarne halme
aalto university
department of automation and systems technology
director
centre of excellence in generic intelligent machines research
email.  aarne.halme at hut.fi
http://www.automation.tkk.fi"
4,2012,ph.d. position in task planning and human robot interaction,"department of automation and systems technology, aalto university, finland
invites applications for postdoctoral research position in task planning and
human robot interaction

this position is fixed-term and filled for 1 year (with an option for a
1-year extension).  the focus of the job is on development of novel
techniques for work task planning and human robot interaction for field and
service robots. work will be carried in the center of excellence in generic
intelligent machines (gim) http://gim.tkk.fi/ . gim provides a versatile
environment for robotics research with experienced colleagues and unique
infrastructure of field and service robots.

the applicants for this position should have excellent skills in spoken and
written english, ph.d. degree on 2008 or later.  good programming skills
(c/c++), experience in field and service robotics and strong publication
record are considered assets in this position.

starting date is negotiable (as soon as possible). the salary is determined
based on experience and qualifications according to the salary system of
aalto university.  employment includes occupational health and social
security benefits.

for application, please email (with reference “robotic task planning”) the
following documents attached to the email in a single pdf-file (name the
file: ""lastname_firstname.pdf""): 
1) application letter; 
2) curriculum vitae (with contact details)
3) two academic references; 
4) an electronic copy of your ph.d. thesis
5) an electronic copy of your 5 most relevant publications

the applications should be in english and sent to the registry of aalto
university (registry at aalto.fi) by wednesday, february 29th 2012. the
application materials will not be returned.

for additional information, please contact professor jussi suomela, tel.
+35850 3377704, (or in recruitment process –related questions hr-coordinator
kirsti ojala, tel. +35840 8341161) or e-mails: firstname.lastname at aalto.fi.

aalto university is a new university with over a century of experience.
created from a high-profile merger between three leading universities in
finland – the helsinki school of economics, the helsinki university of
technology and the university of art and design helsinki – aalto university
opens up new possibilities for strong multi-disciplinary education and
research. the university's ambitious goal is to rank among the top
universities in the world in its areas of specialization. at aalto, there
are 20,000 students and a staff of 4,500 including 340 professors. for
additional information see: http://www.aalto.fi/en/ 



--
view this message in context: http://robotics-worldwide.1046236.n5.nabble.com/ph-d-position-in-task-planning-and-human-robot-interaction-tp5459695p5459695.html
sent from the robotics-worldwide mailing list archive at nabble.com."
5,2012,post-doctoral position in learning to ground concepts in robotics,"aalto university school of electrical engineering invites applications for

postdoctoral researcher position for learning to ground concepts in robotics

the position is located in department of automation and systems technology. it is fixed-term and filled initially for 1 year with an option for extension.

the candidate will work in the context of academy of finland project ""symbol grounding from uncertain measurements"", which focuses on the issue how to build intelligent systems which could learn new concepts based on their own experience, by grounding low-level signal phenomena to relevant higher level symbolic concepts, without requiring these symbols to be explicitly defined by a human. the focus is on the use of  machine learning and probabilistic models in systems which physically interact with their environment. the work will be carried out in the department of automation and systems technology, hosting the finnish center of excellence in generic intelligent machines (gim).

a candidate should hold a ph.d. or equivalent degree. suitable disciplines include machine learning, robotics, automation, computer science, automatic control, artificial intelligence, mathematics, and other related areas. modeling expertise, especially probabilistic models, and a strong publication record are considered advantages.
candidates are expected to be experienced with programming, preferably in c++ and matlab. candidates should also have good skills in spoken and written english.

the appointment is available from september 1, 2012. the salary is determined based on experience and qualifications according to the salary system of aalto university.  employment includes occupational health and social security benefits.

for application, please email (with reference “learning to ground concepts”) the following documents attached to the email in a single pdf-file (name the file: ""lastname_firstname.pdf""):
1) an application letter;
2) a curriculum vitae (with contact details);
3) a list of publications;
4) names and contact information (email) of at least two references;
5) an electronic copy of ph.d. thesis
6) electronic copies of at most 5 most relevant publications

the applications should be in english and sent to the registry of aalto university (registry at aalto.fi) by july 31, 2012.

for additional information, please contact associate professor ville kyrki by e-mail firstname.lastname at aalto.fi,  tel. +35840 7359725, or in recruitment process -related questions  hr-coordinator kirsti ojala, tel. +35840 8341161, firstname.lastname at aalto.fi.

aalto university is a new university with over a century of experience, created from a high-profile merger between three leading universities in finland: the helsinki school of economics, the helsinki university of technology and the university of art and design helsinki. at aalto, there are 20,000 students and a staff of 4,500 including 340 professors. for additional information see: http://www.aalto.fi/en/"
6,2012,post-doctoral and phd positions in robotics,"aalto university school of electrical engineering announces 

        post-doctoral and phd positions in robotics

the positions are located in department of automation and systems technology, hosting the finnish center of excellence in generic intelligent machines (gim). the research environment provides excellent opportunities for open-minded co-operation with a highly motivated research staff as well as with top international partners.


post-doctoral position in multi-modal programming by demonstration

the candidate will work in the context of academy of finland project multi-modal programming by demonstration for natural and flexible automation (2013-2015). the project addresses the question how robotic systems can be programmed through interfaces which are natural, intuitive and use multiple sensory modalities of the human. the addressed scenario is the state-of-the-art challenge of in-contact machining.

a candidate should hold a ph.d. or equivalent degree. excellent candidates in a final phase of their phd can also be considered. suitable disciplines include robotics, computer science, automatic control, machine learning, artificial intelligence, electrical engineering, mathematics, and other related areas. a strong publication record and experience in real robotic systems are considered advantages. candidates are expected to be experienced with programming, preferably in c++ and matlab. candidates should also have good skills in spoken and written english.

the appointment is available immediately. the position is fixed-term and filled initially for 1 year with an option for extension. the salary is determined based on experience and qualifications according to the salary system of aalto university. employment includes occupational health and social security benefits.


phd student position in coordination of heterogeneous multi-robot systems

the candidate will work in the context of eu fp7 project “reconfig” (2013-2016) considering decentralized coordination of heterogeneous multi-robot systems. the phd student will work on manipulation and physical communication skills for heterogeneous multi-robot systems, especially on planning and execution of grasping and informative gestures in a multi-robot context.

a candidate should have a m.sc. or equivalent degree in a suitable area, or be a m.sc. student in a final phase of their studies. the candidate should have strong analytical and writing skills, and experience or genuine interest in robotics and autonomous systems. candidates are expected to also have good programming skills.

the appointment is available from march 1, 2013. the position is fixed-term and filled initially for 1 year with an option for extension. the salary is determined according to the salary system of aalto university. employment includes occupational health and social security benefits.


how to apply

for application, please email (with reference “post-doc position” or “phd position”) the following
documents attached to the email:
1) an application letter;
2) a curriculum vitae (with contact details);
3) a list of publications;
4) names and contact information (email) of at least two references;
in addition, for the post-doctoral position:
5) an electronic copy of ph.d. thesis;
6) electronic copies of at most 5 most relevant publications
for the phd position:
7) transcript of records (courses and grades);

the applications should be in english and sent by email to associate professor ville kyrki (firstname.lastname at aalto.fi) by december 7, 2012, or earlier if possible. for additional information, please contact ville kyrki by e-mail firstname.lastname at aalto.fi or tel. +35850 4082035.

aalto university, located in helsinki, finland was recently founded in a merger of helsinki university of technology, helsinki school of economics, and helsinki school of art and design. at the new university, there are 20,000 basic
degree and post-graduate students as well as a staff of 5,000 of which 330 are professors."
7,2013,"phd position in automatic robotic micromanipulation at aalto university, finland","aalto university department of automation and systems technology invites applications for doctoral students at the micro- and nanorobotics group.

we are looking for talented students to investigate, design, and develop next generation of highly-automated micro- and nanorobotic systems with frontier applications in biological cell manipulation and microassembly. to achieve better performance and reliability beyond today's micro- and nanorobots, both robotic hardware as well as perception and control algorithms needs to be improved to better treat the manipulation uncertainties in the micro- and nano world.

the student should have recently received, or is expected to finalize within a few months, a master's degree in mechatronics, robotics and/or automation, micro- and nanotechnology, or other related fields. strong programming skill is expected, computer science studies are a plus. we also value minor studies in physics or biology, and previous experience in practical experimental projects.

the deadline is 31.12.2013.

for further details of the open position please see: the advertisement at aalto university homepage<http://www.aalto.fi/en/current/jobs/teaching_and_research/doctoral_student_in_automatic_micro-and_nanorobotic_manipulation/>

aalto university is the largest technical university in finland. department of automation and systems technology* is a part aalto university school of electrical engineering. the micro- and  nanorobotics group at the department conducts academic research and education in the field of micro- and nanorobotics, an emerging and rapidly growing multidisciplinary field that crosses the domains of robotics, micro- and nanotechnology, and artificial intelligence, and involves aspects of physics, surface science, and biology. the applications of micro- and nanorobotics covers wide fields of biotechnology and micro- and nanotechnology as well as research tools and manufacturing technologies.

*remark: department of automation and systems technology will be part of the new department of electrical engineering and automation from 1.1.2014.


quan zhou
head of micro- and nanorobotics group

aalto university,
school of electrical engineering,
department of automation and systems technology,
po box 15500, 00076 aalto, finland.
email: quan.zhou at aalto.fi<mailto:quan.zhou at aalto.fi>,
mobilephone: +358 40 855 0311."
8,2014,"tenure-track or tenured professor in  control engineering, optionally with applications in robotics"," tenure-track or tenured professor in control engineering aalto university school of electrical engineering invites applications for a faculty position in control engineering. the position is open for applications at all levels ranging from early-career tenure track (assistant professor) to senior faculty (full tenured professors). the position will be placed at department of electrical engineering and automation. the department's research activities are organized in four focus areas: control, robotics and autonomous systems; power systems and conversion; wellbeing and smart living environment; industrial electronics and informatics.  we seek control experts over a broad range of topics including modeling of dynamical systems, control theory, intelligent control, and cyber-physical systems. our research and education in control engineering includes both theoretical and engineering-oriented activities within the department research focus areas.  deadline for applications is september 30, 2014.  official call for applications: http://www.aalto.fi/en/about/careers/jobs/view/218/ call page at aalto school of electrical engineering: http://elec.aalto.fi/en/about/careers/ aalto university is a new university with over a century of experience. created from a high-profile merger between three leading universities in finland ? the helsinki school of economics, helsinki university of technology and the university of art and design helsinki ? aalto university opens up new possibilities for strong multidisciplinary education and research. the university has 20 000 students and a staff of 5 000 including 350 professors."
9,2014,"postdoc / phd positions in automatic  robotic micromanipulation at aalto university, finland"," aalto university department of electrical engineering and automation invites applications for postdoc / phd student at the micro- and nanorobotics group. we are looking for talented postdoc / phd student to investigate, design, and develop next generation of highly-automated micro- and nanorobotic systems with frontier applications in microassembly, microfluidics, biomedicine and material testing. to achieve better performance and reliability beyond today's micro- and nanorobots, both robotic hardware as well as perception and control algorithms needs to be improved to better treat the manipulation uncertainties in the micro- and nano world. the deadline is 30.11.2014. for further details of the open position please see: http://www.aalto.fi/en/about/careers/jobs/view/277/  (postdoc) http://www.aalto.fi/en/about/careers/jobs/view/273/ (phd student) aalto university is the largest technical university in finland. department of electrical engineering and automation is a part aalto university school of electrical engineering. the micro- and  nanorobotics group at the department conducts academic research and education in the field of micro- and nanorobotics, an emerging and rapidly growing multidisciplinary field that crosses the domains of robotics, micro- and nanotechnology, and artificial intelligence, and involves aspects of physics, surface science, and biology. the applications of micro- and nanorobotics cover wide fields of biotechnology and micro- and nanotechnology as well as research tools and manufacturing technologies. quan zhou head of micro- and nanorobotics group aalto university, school of electrical engineering, department of automation and systems technology, po box 15500, 00076 aalto, finland. email: quan.zhou at aalto.fi<mailto:quan.zhou at aalto.fi>, mobilephone: +358 40 855 0311."
