,year,subject,content
0,2005,"post-doc position available at inria rhone-alpes, grenoble (fr) - autonomous navigation in dynamic environments","----------------------
     post-doctoral proposal
     ----------------------

the inria e-motion research project-team at inria rhone-alpes is opening a
post-doctoral position in the field of:

       autonomous navigation in dynamic environments.



o subject description:

mobivip is a french research project whose purpose is to study, evaluate
and experiment technologies revolving around novel forms of transportation
systems based on ""public individual vehicles"" (see
http://www-sop.inria.fr/mobivip for more details).  public individual
vehicles are similar to their european counterparts, the cybercars (see
http://www.cybercars.org).

in this framework, the e-motion group of inria rhone-alpes addresses the
problem of automated driving in open and dynamic environments. an
environment is dynamic when it features moving objects and it is open when
full knowledge about it is not available beforehand (which is typically the
case of most real environments, in particular roadway-like environments).

the inria e-motion research project-team (formerly known as sharp) has a
long history in the field of motion autonomy.  it has been involved in a
number of french, european and international programmes and has
demonstrated in various occasions different autonomous driving skills with
real vehicles (parking, platooning, obstacle avoidance).  e-motion has
developed a number of techniques in fields as different as perception,
localisation, map building, motion planning, sensory-motor coupling and
reactive motion execution.

e-motion is currently exploring a motion planning scheme called ""partial
motion planning"" (pmp) whose purpose is to explicitly deal with the
constraints imposed by a dynamic environment, in particular the real-time
constraint imposed by the dynamicity of the environment: the motion planner
has a limited-time only to compute a motion.

given the intrinsic complexity of motion planning, fulfilling such a
real-time constraint is in general impossible to guarantee (even with the
most efficient randomised motion planners existing today).  one way to cope
cope with this issue is to compute a partial motion only, ie the best
partial motion given the time available.  in a way, pmp can be seen as a
compromise between pure motion planning and reactive approaches.

pmp, like reactive approaches, raises a safety issue: what guarantee do we
have that the robotic system will never find itself in a dangerous
situation yielding a collision in the future (this issue is critical in
dynamic environments).

to solve this problem, we believe that the concept of ""inevitable collision
states"" (ics) can be useful.  an ics is a state such that no matter what
the future trajectory of a robotic system is, it eventually collides with
an obstacles.  this concept is general and permits to take into account the
dynamics of both the robotic system and the moving objects.  clearly, for
its own safety, a robotic system should never be in one of these ics.

a first version of the pmp algorithm has been developed and implemented on
the experimental vehicle of the inria research unit located near paris (phd
of stephane petti).  the primary purpose of this post-doc position is to
integrate this algorithm onto the experimental vehicle of inria rhone-alpes
and then to further the work on pmp and ics so as to demonstrate the
validity of the overall concept on a real car-like vehicle.


o requirements (educational and technical background, knowledge of
  specific material):

  the experimental component of this post-doc will be significant.  it will
  involve a lot of development on the e-motion experimental platform, a
  cycab vehicle.  candidates should be motivated and definitely have a
  taste for this kind of work. former experience in real-time programming
  and control theory is a plus.

  mobivip being a french programme, fluency in french is very much welcomed
  (although not technically required).


o starting date: as early as possible (december 2005 would be great).


o duration: one year.


o wages: approximately 1800 euros per month, including standard health
   coverage.


o person to contact (name, email, postal address, url):

  - dr. thierry fraichard
  - thierry.fraichard at inria.fr
  - inria rhone-alpes
    655 avenue de l'europe
    montbonnot
    38334 saint ismier cedex
    france
  - http://emotion.inrialpes.fr/fraichard


o application dossier: applicants should send a small (preferably
         electronic) dossier featuring:

 - motivation letter,
 - complete curriculum vitae,
 - academic background with the courses attended, the grades and the
   rankings obtained (very important),
 - list and pointers to selected publications and phd.
 - recommendation letters,
 - and any additional information you might find useful.


o project web server: http://emotion.inrialpes.fr


    thierry fraichard, september 12, 2005"
1,2006,postdoctoral fellowship in medical robotics,"postdoctoral fellow in medical robotics, timc laboratory, cnrs and joseph 
fourier university, grenoble, france

job description:
applications are invited for a postdoctoral fellow in medical robotics in 
the timc laboratory, “computer-aided medical interventions” (cami) team. 
the position will be available from march, 1st, 2006 (or as soon as 
possible thereafter) and for duration of 24 months. the successful 
applicant will mainly be involved in research and development related to a 
national project named smi involving universities, hospitals and private 
companies, dedicated to the development and evaluation of innovative 
devices for minimally invasive surgery. he or she will also be involved in 
other robotic projects of the team and associated to longer term scientific 
projects in medical robotics.

context:
the cami team has been working for more than 20 years in the field of 
computer-aided medical interventions, medical image processing and medical 
robotics. several systems developed by the team are in routine clinical use 
and resulted in industrial products. for more information about our 
activity see <http://www-timc.imag.fr/gmcao>http://www-timc.imag.fr/gmcao 
(in french) or for a focus on some specific projects 
<http://www-timc.imag.fr/jocelyne.troccaz>http://www-timc.imag.fr/jocelyne.troccaz 
(bilingual).

for further information (research project, condition of employment, etc.)
please contact dr jocelyne troccaz:
     tel: +33 456 52 00 06 ; fax : +33 456 52 00 55
     e-mail: jocelyne.troccaz at imag.fr

applications must be sent by email or by mail to:
dr jocelyne troccaz
in3s – timc laboratory
faculté de médecine – domaine de la merci
38706 la tronche cedex – france



***************************************************************************
jocelyne troccaz, phd,                  dir. de recherche, cnrs
equipe gmcao - laboratoire timc/imag (univ. joseph fourier - cnrs umr 5525)
institut d'ingénierie de l'information de santé
faculté de médecine - 38706 la tronche cedex - france
tel: +33 (0)4 56 52 00 06 - fax: +33 (0)4 56 52 00 55
secr: +33 (0)4 56 52 00 07
http://www-timc.imag.fr/gmcao et http://www-timc.imag.fr/jocelyne.troccaz


-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060124/deb0654e/attachment.html"
2,2006,postdoctoral research position at laas-cnrs,"laas-cnrs opens the following position:
postdoctoral research associate in ""simultaneous planning and mapping 
for humanoid robots"".

detailed description of the position can be found at: 
http://www.laas.fr/~florent/post-doc.html

the position is full-time and for 2 years.

for more information, please contact

florent lamiraux
7 avenue du colonel roche
31077 toulouse cedex 4, france
tel: +33 561 336 946
e-mail: florent at laas.fr"
3,2006,"postdoc position in robotic/vision at the irisa lab (rennes, france)","a postdoctoral research fellow opportunity exists within the french  
national project predit mobivip (http://www-sop.inria.fr/mobivip/,  
individual public vehicles for mobility in the city), funded by the  
french ministry of transports. the position is based at irisa 
(http://www.irisa.fr/home_html-en?set_language=en&cl=en) in rennes, france.

due to particular constraints imposed by the french ministry of 
transports, the position is only available to non french citizens

starting date: may 1, 2006
duration: 6 months
monthly salary: 1795 euros free of tax, social security benefits included

description

the successful candidate will be required to implement and  validate 
algorithms which lead to autonomous navigation of a mobile  robot in an 
urban environment using an onboard monocular vision sensor.  initially, 
the navigation environment will be regarded as free of any other moving 
objects with only the vehicle to be controlled.

the work proposed is in the continuity of anthony remazeilles 
(http://www.irisa.fr/lagadic/team/anthony.remazeilles-eng.html) phd 
thesis. the approach consists in using a database of images acquired 
during a preliminary learning step. the navigation involves jointly 
using the database and the current image acquired by the camera for 
determining the movement of the vehicle using qualitative visual 
servoing control laws.

a postdoctoral fellow is currently generalizing the approach, to deal 
with a non holonomic vehicle and an urban environment. the candidate 
will continue this work, in order to obtain robust and real-time 
algorithms for:
- the tracking of a set of points of interest along the image sequence 
acquired  by the camera,
- the matching of these points of interest with respect to the image 
database,
- the control law of the mobile robot using visual servoing techniques.

the implementation of the work will be integrated, tested and validated 
on the cycab vehicle
(http://www.irisa.fr/lagadic/images/img-lagadic46.jpg)  available at 
irisa/inria rennes.

candidate

candidates must hold a phd related to image processing or robotics. an 
excellent background in image processing, computer vision, mobile 
robotics, and c/c++ programming is required. knowledge of the french 
language would be appreciated.


applications

applications must include a letter of candidature, a brief vitae, and a 
publication list. applications have to be sent by e-mail to
anthony remazeilles  (""anthony.remazeilles at irisa.fr"")

anthony remazeilles"
4,2006,"job opening: research on humanoid robots in freiburg, germany","the humanoid robots group at albert-ludwigs-university of freiburg, 
germany, has immediate openings for two phd-student/researcher/post-doc 
positions. these positions are funded by the german research council (dfg).

our research centers on the development of humanoid robots that are able 
to improve their behavior through learning. this includes the design of 
robot hardware, as well as algorithms for perception and behavior 
control. application areas are robocup soccer and intuitive multimodal 
communication with humans as a museum guide.

applicants should have an excellent degree at the diplom/master level in 
computer science or a closely related area. research experience in one 
or more of the areas autonomous mobile robots, machine learning, 
computer vision or speech processing is an advantage.

the positions can be filled immediately. the initial contract will be 
limited to two years. remuneration is according to the german public 
employee pay scale bat iia. part-time employment is possible.

the closing date for this opening is march 31st, 2006. please send you 
application (preferably electronically as pdf, including cv, list of 
publications, certificates, transcripts, and the names of two academic 
references) to:

dr. sven behnke, computer science institute, university of freiburg,
georges-koehler-allee 52, 79110 freiburg, germany,
phone: +49 761 203-7404, fax: -8222,
email: behnke at informatik.uni-freiburg.de,
web: http://www.nimbro.net

the university of freiburg aims to increase the percentage of women in 
research and teaching, and therefore encourages female candidates 
meeting the above qualifications to apply.

with its 215.000 inhabitants, freiburg is one of germany's most popular 
university cities. freiburg is situated on the western slopes of the 
black forest, close to france and switzerland, and is especially 
well-known for its mild climate.

the albert-ludwigs-university (founded in 1457) is among germany's 
oldest universities. approximately 21.500 students study at one of the 
few top universities which were selected recently by dfg to participate 
in its excellence initiative.

best regards,

sven behnke.
http://www.informatik.uni-freiburg.de/~behnke"
5,2006,"post-doc position available at inria rhone-alpes, grenoble (fr) - perception and sensor data fusion","1 post-doc position is available at inria rhone-alpes, grenoble (fr) - 
on perception and sensor data fusion. the duration is initially one 
year, but can be renewed up to three years.

see web page:
http://emotion.inrialpes.fr/aycard/jobs/postdoc.htm

best regards,
---
olivier.

olivier aycard
gravir-imag & inria rhône-alpes
655 avenue de l'europe - montbonnot
38334 saint ismier cedex - france

email : olivier.aycard at imag.fr
www   : http://emotion.inrialpes.fr/aycard
phone : (+33) 4.76.61.55.14
fax   : (+33) 4.76.61.52.10"
6,2006,two postdoctoral positions in computational biology,"two post-doctoral positions in computational biology and molecular  
modeling
are available at  laas-cnrs, toulouse, france. the description of the  
positions
can be found at http://www.laas.fr/~nic/itav/postdoc.html

for more information, please contact thierry (nic) siméon:

laas-cnrs,  robotics and ia  group
7 av. du colonel roche, 31077 toulouse, france
tel : +33 561 336 349
email : nic at laas.fr"
7,2006,"post-doc, medical robotics","the coprin project of inria, france, is offering a 2 years grant for a 
post-doctorate in medical robotics as part of a european project.
the purpose of this project is to manage a set of micro-robots that will 
connect together for patient therapy.
this position is available right now. knowledge that are required are 
basic notions of mechanical engineering, good knowledge of robot 
kinematics and programming language (c, c++, maple). on site formation 
on numerical methods will be provided.

see http://www.inria.fr/travailler/opportunites/postdoc/postdoc.en.html
for more information on working at inria"
8,2006,research engineer in bayesian programming,"position title:
------------------
research engineer in bayesian programming

where:
------------
grenoble (capital of the french alps), france

when:
---------
immediately, for 3 to 4 years

description of the position:
------------------------------------

you will have to develop bayesian models, programs, applications and  
experiments.
you will be a key element of a research group devoted to ""stochastic  
models for perception, inference, learning and action"".
your main mission will be to take in charge the software development  
of the group related to the starting european project bacs (bayesian  
approach to cognitive systems) and some experiments on various  
robotic platforms.
your employer will  be inria (institut national de la recherche en  
informatique et automatique) a major international institute for  
research in computer science and applied math.

example of possible models, experiment or application you may have to  
work on are :
- bayesian models of neurons and population of neurons
- bayesian models of human object perception
- bayesian models of human and rat navigation
- bayesian based autonomous navigation of mobile robots and cars
- bayesian based body and face motion tracking
- bayesian reconstruction of 3d realistic scene
- bayesian based multi-modal sensor integration and analysis
- bayesian driver assistance for enhanced vehicle safety

all this models are build using the bayesian programming formalism  
(an extension of bayes nets) and use the probt® toolbox and api to  
automate the inference and computation.
you will be the probt guru of the group and will assist researchers  
and phd student in their models and software development.

requirements:
--------------------

necessary :
- a master, an engineering degree or a phd in computer science.
- fluent in c and c++
- fluent in either french or english (if not fluent in french, at  
least some good bases are required and a strong willing to learn more  
rapidly)

plus :
- bilingual of fluent in both language
- experience of software development and maintenance
- holding a phd
- experience of robotics and/or artificial intelligence
- proficiency in probability or statistics
- experience in other computer languages and tools

additional informations:
--------------------------------

- grenoble
grenoble is 600k inhabitants city right in the middle of the french  
alps. it has a very big university and at least 10% of the population  
is made of students. grenoble activity is turned toward high  
technology industry and research. its domains of excellence are  
nanotechnology, computer sciences and electronic. all mountain  
outdoors leisure are next door (the closest ski resort is 30 minutes  
from downtown).

- emotion research group
the research group (www-laplace.imag.fr) is made of 25 persons  
(permanent researchers, engineers and phd students). it is a very  
international group as presently 6 countries are represented beside  
france  (brazil, china, india, italy, mexico & singapore). the group  
has a long experience (>15 years) of research in bayesian modeling.  
it applies theese technics to robotics, artificial intelligence,  
cognitive science and developing industrial applications. the group  
has been the leader of the european project biba (bayesian inspired  
brain and artifacts) which, after 4 years of work, is just terminated.

- bacs project:
bacs is the continuation of biba. its a new european project started  
in january for 4 years. the abstract of the project is the following:
despite very extensive research efforts contemporary robots and other  
cognitive artifacts are not yet ready to
autonomously operate in complex real world environments. one of the  
major reasons for this failure in creating cognitive
situated systems is the difficulty in the handling of incomplete  
knowledge and uncertainty.
in this project we will investigate and apply bayesian models and  
approaches in order to develop artificial cognitive systems
that can carry out complex tasks in real world environments. we will  
take inspiration from the brains of mammals including
humans and apply our findings to the developments of cognitive systems.
the bayesian approach will be used to model different levels of brain  
function, from neural functions up to complex
behaviors. this will enable us to show that neural functions and  
higher-level cognitive activities can coherently be modeled
within the bayesian framework. the bayesian models will be validated  
and adapted as necessary according to
neuro-physiological data from rats and humans and through  
psychophysical experiments on human.
the bayesian approach will also be used to develop four artificial  
cognitive systems concerned with (i) autonomous
navigation, (ii) multi-modal perception and reconstruction of the  
environment, (iii) semantic facial motion tracking, and (iv)
human body motion recognition and behavior analysis.
the conducted research shall result in a consistent bayesian  
framework offering enhanced tools for probabilistic reasoning
in complex real world situations. the performance will be  
demonstrated through its applications to drive assistant systems
and 3d mapping, both very complex real world tasks.

- inria:
(see http://www.inria.fr/inria/enbref.en.html)

- bayesian programming and probt toolbox:
bayesian programming is a methodology and a formalism to develop  
software able to deal with incomplete and uncertain information.
probt is a c++ library that implement bayesian inference and learning  
on various kind of computers and operating systems.
probt is a commercial product (www.probayes.com) but is also  
available for free for research and teaching utilization  
(www.bayesian-programming.org).

salary:
----------
27k€ <-> 37k€(according to qualifications)

contact:
-----------
pierre.bessiere at imag.fr, christian.laugier at imag.fr

_______________________________
dr pierre bessière - cnrs
*****************************
gravir lab
inria
655 avenue de l'europe
38334 montbonnot
france

mail: pierre.bessiere at imag.fr
http: www-laplace.imag.fr
tel:   +33 4 76 61 55 09
_______________________________


-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060420/e5291746/attachment-0001.html"
9,2006,"postdoc position: laas/cnrs, france, advanced temporal models for autonomous robots","laas/cnrs is opening a postdoc position on the following subject.

advanced temporal models for autonomous robots

description:
currently, most autonomous systems, such as autonomous exploration  
rovers, integrate complex sensing and acting functionalities,  
controlled by complex deliberation mechanism (e.g. planning and  
execution control). nevertheless, this integration currently follows  
simple rules of thumb which do not rely on any clear v&v approach.   
at the functional level, a worst case empirical analysis is made and  
the developer tunes delays, priorities and cycles duration based on  
this analysis and the host machine. at the decisional level, some  
more formal methods are used (e.g. logical or constraint programming)  
and offer some temporal representation and reasoning (during  
deliberation but also execution).

moreover, the autonomy requirement of these systems keeps rising, and  
they need a more flexible approach to handle the resources used (in  
particular the cpu). thus it seems rather interesting to have a finer  
execution control model of the various functional components, based  
on their temporal interactions and relationships. such a model could  
then be used to guarantee that some temporal constraints remain  
valid, but also to better control the execution of the various  
modules while keeping the model valid. similarly, at the decisional  
level, the study of timed automata approaches could cast a new light  
on the planning and execution control problem.

the candidate will  focus his research on the following areas:

- study of existing autonomous systems
- timed automata as an unified model
- controller synthesis and  scheduling
- runtime verification and monitoring

the goal of the project is to improve the v&v aspect of current  
autonomous systems, in particular with respect to time.

this study is conducted in the framework of an anr project (amaes,  
advanced methods for autonomous embedded systems) which is jointly  
conducted by verimag, laas and liafa. part of the study will be  
implemented,  tested and demonstrated on a software  testbed.

requirements: there is no specific requirement, except having a phd   
in a related field (ai, robotics, v&v, timed systems, etc). the  
applicant should have some programming skills.

starting date: september/october 2006

duration: two year

applicants should send:
- a resume/bio
- pointers to their most important publications and/or their phd   
(only french or english documents)
- recommendation letter(s)

contact person:
felix ingrand (felix at laas.fr)

misc:
the work will be done in collaboration with verimag and liafa, and  
the candidate will visit these two laboratories during the two years.

-- 
      felix
maps sucks and why i do not recommend using their service : http:// 
www.laas.fr/~felix/maps/index.php"
