,year,subject,content
0,2005,1x postdoc and 1x phd student position at the international university bremen (iub),"1x postdoc and 1x phd student position at the international university 
bremen (iub)

the positions are within the project “learning of 3-dimensional maps of 
unstructured environments on a mobile robot” funded by the deutsche 
forschungsgemeinschaft (dfg). the project deals with learning a three 
dimensional representation of an unstructured indoor environment by an 
autonomous mobile robot. as demonstrator scenario, the system will be 
implemented on the iub rescue robots operating in a practice disaster 
scenario.

the ideal candidates have a background in mobile robotics and they are 
experienced with research in the field of mapping. strong programming 
skills in c/c++ and knowledge of linux are required. possible additional 
assets are experiences with embedded hard- and software, know-how about 
off-the-shelf sensors for localization and obstacle sensing, or some 
previous research in the area of vision. for the postdoc position, some 
experience with project management is desirable.

the international university bremen (www.iu-bremen.de) is a private 
university located in north germany. the working language at iub is 
english. applications should be send by september 15, 2005 to prof. dr. 
andreas birk ( a.birk at iu-bremen.de). late applications will be 
considered until the positions are filled.


-- 
==========================================================
prof. dr. andreas birk
==========================================================
international university bremen
school of engineering and science

research 1, campus ring 12, 28759 bremen, germany

a.birk at iu-bremen.de, http://www.faculty.iu-bremen.de/birk/
==========================================================
"
1,2005,ph.d. research opportunities,"the international university bremen (iub) offers the cs graduate program
""smartsystems"" with strong robotics related components. there are
various funding options both on the master as well as on the phd level.
the next round of applications starts soon in january.

the general description of the program and especially information about
how to apply is attached below. questions concerning the content of the
robotics oriented parts can be addressed to prof. andreas birk. please
note that all general information on the program can be found under
http://www.eecs.iu-bremen.de/smartsystems/ and that the actual
application must be done via the admission office of iub as described
below. questions concerning the application process can be directed to
mrs. svenja frischholz (s.frischholz at iu-bremen.de).


***********************************************************************
graduate program in computer science
""smartsystems""
international university bremen (iub)

http://www.eecs.iu-bremen.de/smartsystems/
***********************************************************************

as humans we can sense, act, speak, listen, decide and sometimes
understand.  the 21st century will witness technologies that can do the
same. we will see cars that negotiate with each other in order to
optimize traffic flow. our t-shirts may have their own internet
addresses and tell the manufacturer if they are only rarely worn.
in addition to their well-established role as programmable
machine-tools, robots are also more and more used in domains where
some autonomy and intelligence is necessary. they work under conditions
where the robot is not constantly supervised by a human operator and
where it has to be adaptive as its developer can not fully predict which
situations it will encounter in its application environment.

we all know future descriptions of this kind; we also know that they
are no longer science fiction, although real future may still look
quite differently. but whatever route the future takes, it will be
scientists and engineers who help in shaping it. they will develop
systems (yet unthinkable) that could likewise be described as robots,
user interfaces, web agents, enhanced reality or personal assistants.

the international university bremen (iub) takes part in this rapidly
growing, boldly interdisciplinary enthe intelligent autonomous systems lab
(http://www.ualr.edu/cxye/laboratory.htm) at the university of arkansas at
little rock has an open ph.d. research positions in mobile robotics. the
applicant is expected to work in mobile robot navigation in unstructured
environments. we are particularly interested in the following areas: (1)
mobile robot localization and mapping in unstructured environments, (2) 3-d
range data processing and understanding for autonomous navigation, and (3)
machine learning for autonomous navigation in unstructured environments. 

the ideal candidate should hold a degree in electrical engineering, computer
science, or related fields. she or he should have good background in
control, computer vision or statistical machine learning. excellent
programming skills in c/c++ are required. experience with programming in
linux operating system is a plus.

general guideline of admission to graduate study at the university is
referred to the graduate student handbook
(http://dynamic.appsci.ualr.edu/index_flash.html). the university of
arkansas at little rock is a dynamic metropolitan university locating at the
state's capital city, little rock (http://www.littlerock.com
<http://www.littlerock.com/> ). interested candidates should send a letter
of application outlining qualifications for the position, along with their
detailed cv to dr. cang ye (cxye at ualr.edu).

----------------------------------------------------
cang ye
assistant professor
department of applied science

college of system engineering & information science
university of arkansas at little rock
2801 south university avenue, etas 575
little rock, ar 72204
ph:  (501) 683-7284 fax: (501) 569-8020 
email: cxye at ualr.edu
webpage: http://www.ualr.edu/cxye

 

 

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20051204/48741ae4/attachment.htmldeavor. as part of the iub computer
science education, the graduate program in smartsystems is offered. it
integrates a rigorous training in several important disciplines of
computer science, especially robotics, networks, artificial
intelligence, databases and the mathematics of complex systems. a
student acquires in this graduate program the knowledge to work at the
forefront of technological developments.

the smartsystems program offers the following two degrees, for which a
variety of funding options and stipends is available:

master of science
=================
the m.sc.program takes two years. students on the m.sc.track who excel
in their first three semesters may enter the ph.d track.

doctor of philosophy (ph.d)
===========================
students with an excellent record of achievement in their bachelor's or
master's studies may apply to directly pursue a ph.d degree at iub. the
completion of a ph.d degree will typically take three years.


the courses in the program start each year on september 1. only a small
number of students is accepted; the admission to the program is highly
competitive. admitted students can expect financial support in several
ways. for the about twenty available places in the program, the fees are
can be waived. furthermore, there are generous additional stipends for
excellent students. the result of a gre subject test in computer science
must be included in the application. there are two rounds of admission
with respective closing dates on february 1st and may 1st.

detailed information on admission to graduate studies at iub and the
related forms can be found at:

http://www.iu-bremen.de/affairs/graduatedegrees/27765/


***********************************************************************
cs graduate program ""smartsystems""
http://www.eecs.iu-bremen.de/smartsystems/
***********************************************************************"
2,2006,"open researcher positions at the robotics lab, university of bremen, germany","open position announcement:

robotics lab
university of bremen, germany

in the ""sonderforschungsbereich""-project (sfb/tr8) a6-reactivespace at 
the robotics lab of the university of bremen (germany)
2 positions as postdoctoral researchers/ doctoral research assistants 
(bat iia, approx. € 35,000 to € 50,000 p.a. gross) are available 
immediately.

the research activities in the project a6-[reactive space] concentrate 
on the consequences of complex kinematical abilities of robotic systems 
for acquiring cognitive abilities in natural environments. in the 
context of autonomous intelligent robots, we develop, build, and program 
highly complex systems that range from classical wheeled robots and 
multipods to dynamics 4-legged robots and humanoids.

practical experiences in the following areas are desired:

* behavior-based architectures
* on-line learning algorithms
* simulation with ode
* subsymbolic learning techniques
* higher level ai planning

strong programming skills in c/c++ are mandatory.

possible additional assets are:
· experience with embedded hard- and software,
· experience with computer vision,
· experience with rtos.

the requisites for the positions are a graduation in a relevant area or 
a master / diploma in computer science as well as interest in basic 
research.

we offer the opportunity to gain research experience in a young team in a
modern and enthusiastic research environment with strong industrial and
international links. responsibilities include project work and research,
publication of research results, and teaching.

the positions are available immediately.
university of bremen is an equal opportunity employer.
women are especially encouraged to apply.
handicapped applicants with equal qualifications will be given 
preferential treatment.

more information about the project can be found at 
www.sfbtr8.uni-bremen.de/a6.html

more information about the research group can be found at 
www.informatik.uni-bremen.de/robotik

please address questions about the positions and send your application
(preferably by email) to

renate post-gonzalez <postgon at informatik.uni-bremen.de>
sekretariat prof. dr. kirchner -ag robotik-
fb 3
universität bremen
p.o.box 33 04 40
28334 bremen
germany"
3,2006,robotics related positions for phd and master students,"***********************************************************************
graduate program in computer science
""smartsystems""
international university bremen (iub)

http://www.eecs.iu-bremen.de/smartsystems/
***********************************************************************

as humans we can sense, act, speak, listen, decide and sometimes
understand. the 21st century will witness technologies that can do the
same. we will see cars that negotiate with each other in order to
optimize traffic flow. our t-shirts may have their own internet
addresses and tell the manufacturer if they are only rarely worn.
in addition to their well-established role as programmable
machine-tools, robots are also more and more used in domains where some
autonomy and intelligence is necessary. they work under conditions where
the robot is not constantly supervised by a human operator and where it
has to be adaptive as its developer can not fully predict which
situations it will encounter in its application environment.

we all know future descriptions of this kind; we also know that they
are no longer science fiction, although real future may still look
quite differently. but whatever route the future takes, it will be
scientists and engineers who help in shaping it. they will develop
systems (yet unthinkable) that could likewise be described as robots,
user interfaces, web agents, enhanced reality or personal assistants.

the international university bremen (iub) takes part in this rapidly
growing, boldly interdisciplinary endeavor. as part of the iub computer
science education, the graduate program in smartsystems is offered. it
integrates a rigorous training in several important disciplines of
computer science, especially robotics, networks, artificial
intelligence, databases and the mathematics of complex systems. a
student acquires in this graduate program the knowledge to work at the
forefront of technological developments.

the smartsystems program offers the following two degrees, for which a
variety of funding options and stipends is available:

master of science
=================
the m.sc.program takes two years. students on the m.sc.track who excel
in their first three semesters may enter the ph.d track.

doctor of philosophy (ph.d)
===========================
students with an excellent record of achievement in their bachelor's or
master's studies may apply to directly pursue a ph.d degree at iub. the
completion of a ph.d degree will typically take three years.


the courses in the program start each year on september 1. only a small
number of students is accepted; the admission to the program is highly
competitive. admitted students can expect financial support in several
ways. for the about twenty available places in the program, the fees are
can be waived. furthermore, there are generous additional stipends for
excellent students. the result of a gre subject test in computer science
must be included in the application. there are two rounds of admission
with respective closing dates on february 1st and may 1st.

detailed information on admission to graduate studies at iub and the
related forms can be found at:

http://www.iu-bremen.de/affairs/graduatedegrees/27765/


***********************************************************************
cs graduate program ""smartsystems""
http://www.eecs.iu-bremen.de/smartsystems/
***********************************************************************"
4,2006,"job opening: research on humanoid robots in freiburg, germany","the humanoid robots group at albert-ludwigs-university of freiburg, 
germany, has immediate openings for two phd-student/researcher/post-doc 
positions. these positions are funded by the german research council (dfg).

our research centers on the development of humanoid robots that are able 
to improve their behavior through learning. this includes the design of 
robot hardware, as well as algorithms for perception and behavior 
control. application areas are robocup soccer and intuitive multimodal 
communication with humans as a museum guide.

applicants should have an excellent degree at the diplom/master level in 
computer science or a closely related area. research experience in one 
or more of the areas autonomous mobile robots, machine learning, 
computer vision or speech processing is an advantage.

the positions can be filled immediately. the initial contract will be 
limited to two years. remuneration is according to the german public 
employee pay scale bat iia. part-time employment is possible.

the closing date for this opening is march 31st, 2006. please send you 
application (preferably electronically as pdf, including cv, list of 
publications, certificates, transcripts, and the names of two academic 
references) to:

dr. sven behnke, computer science institute, university of freiburg,
georges-koehler-allee 52, 79110 freiburg, germany,
phone: +49 761 203-7404, fax: -8222,
email: behnke at informatik.uni-freiburg.de,
web: http://www.nimbro.net

the university of freiburg aims to increase the percentage of women in 
research and teaching, and therefore encourages female candidates 
meeting the above qualifications to apply.

with its 215.000 inhabitants, freiburg is one of germany's most popular 
university cities. freiburg is situated on the western slopes of the 
black forest, close to france and switzerland, and is especially 
well-known for its mild climate.

the albert-ludwigs-university (founded in 1457) is among germany's 
oldest universities. approximately 21.500 students study at one of the 
few top universities which were selected recently by dfg to participate 
in its excellence initiative.

best regards,

sven behnke.
http://www.informatik.uni-freiburg.de/~behnke"
5,2006,open positions at the dfki robotics lab - underwater robotics,"open position announcement – underwater robotics

german research center for artificial intelligence
dfki robotics lab (http://www.informatik.uni-bremen.de/dfki-robotik/)
bremen, germany

at the dfki robotics lab 2 positions as researchers in an underwater 
robotics project will be available from 1^st of september.

the research activities in this project concentrate on manipulator 
control, visual servoing approaches for manipulator control and scene 
recognition in a dynamical changing underwater environment. the goal is 
to build a highly mobile autonomous manipulator system for deep sea 
applications.

practical experiences in the following areas are desired:

- image processing
- visual servoing algorithms
- manipulator control
- manipulator motion planning

strong programming skills in c/c++ are mandatory.

possible additional assets are:

- experience with autonomous control

- experience with behavior-based architectures
- experience with embedded hard- and software,

- experience with hydraulic manipulators,
- experience with underwater robotics,
- experience with rtos.

the requisites for the positions are a graduation in a relevant area or 
a master / diploma in computer science.

we offer the opportunity to gain research experience in a young team in a
modern and enthusiastic research environment with strong industrial and
international links. responsibilities include project work and research,
publication of research results and teaching.

please address questions about the positions and send your application
(preferably by email) to

renate post-gonzalez <postgon at informatik.uni-bremen.de> 
<mailto:postgon at informatik.uni-bremen.de>
sekretariat prof. dr. kirchner
dfki robotics lab
robert hooke str. 5
28359 bremen
germany


-- 
dirk spenneberg
dfki bremen
robotics lab 
robert hooke str. 5
28359 bremen

tel:0421-218-64102
fax:0421-218-64150"
6,2006,postdoc and ph.d. position in machine learning at b-it/bonn-rhein-sieg univ. of applied science,"two positions in machine learning and intelligent systems

          at b-it/bonn-rhein-sieg univ. of applied science
                       in sankt augustin, germany

the bonn-aachen international center for information technology b-it/
bonn-rhein-sieg univ. of applied science has two immediate openings
in the area of machine learning and intelligent systems. one position
will be at the level of a post doc and lecturer, the second will be
at the level of a doctoral student.

b-it is a joint research center involving the university of bonn,
rwth aachen university, bonn-rhein-sieg university of applied sciences,
and the fraunhofer institute center birlinghoven castle (izb). supported
by the b-it foundation and complementary state resources, b-it offers
highly selective international master programs in applied it as well
as summer/winter schools for qualified computer science students.

the postdoctoral positions will involve a joint affiliation with
bonn-rhein-sieg univ. of applied science and the fraunhofer institute
intelligent analysis and information systems iais. both positions will
be limited to three years at first.

applicants should have a strong research background in one or several
of the following areas:
- machine learning
- knowledge representation
- qualitative reasoning
- bayesian reasoning
- intelligent system architecture

the successful candidates will join the european research project xpero:
robot learning by experimentation. the overall objective of the xpero
project is to develop an embodied cognitive system, which is able to
conduct experiments in the real world with the purpose of gaining new
insights about the world and the objects therein. xpero ties up with
research in scientific discovery in the early and mid nineties and adds
embodiment and the embedding into a physical world as a new dimension to
this research.

the salaries and social security benefits will follow the labor agreement
for the civil service (bat).

bonn-rhein-sieg university of applied sciences strives to increase the
share of female teachers and researchers and therefore encourages women
to apply. handicapped applicants will be preferred if equally qualified.

applications should be sent to

   bonn-rhein-sieg university of applied sciences
   personaldezernat
   grantham-allee 20
   d-53757 sankt augustin, germany
   email: christine.spors at fh-bonn-rhein-sieg.de

*until august 31, 2006 at the latest*.

for further information see http://www.inf.fh-bonn-rhein-sieg.de or
contact erwin prassler (email: erwin.prassler 'at' fh-brs.de).

-- 

prof. dr. erwin prassler
b-it bonn-aachen international center for information technology
applied science institute          fraunhofer institut - intelligent
fb2 autonomous systems             analysis- and informationsystems iais
grantham-allee 20                  schloss birlinghoven
53757 sankt augustin               d-53754 sankt augustin
germany                            germany
phone:  +49 2241 865-257           phone:   +49 2241 14-3510
fax:    +49 2241 865-8257          fax:     +49 2241 14-2384
mobile  +49 179 129-1079           mobile:  +49 179 129-1079
erwin.prassler 'at' fh-brs.de      erwin.prassler 'at' iais.fraunhofer.de
http://www.b-it-center.de
http:/www.fh-bonn-rhein-sieg.de"
7,2006,jobs: cognitive robotics & machine learning @ tu munich,"we are seeking outstanding postdocs or phd students
for the cognitive robotics & machine learning group in the new
cluster of excellence on cognitive technical systems (cotesys)
such as autonomous vehicles, humanoid robots, and automated
factories. research topics include: behavior evolution for am's 180cm
humanoid walking biped, artificial curiosity for the artificial hands of
german aerospace (dlr),  visual attention & unsupervised learning
for adaptive robots. possible starting date: 1 november 2006 or later.

details: http://www.idsia.ch/~juergen/cotesys.html
related work on cognitive robotics & robot learning & evolution:
http://www.idsia.ch/~juergen/cogbotlab.html
http://www.idsia.ch/~juergen/learningrobots.html
http://www.idsia.ch/~juergen/evolution.html

cotesys combines the expertise of munich's tu, lmu, unibw, dlr,
mpi, in neuroscience, natural sciences, engineering, computer science,
and the humanities. it also has strong connections to industry leaders
such as bmw and siemens. cotesys is one of the few proposals that
got accepted in an intense nation-wide competition during the past year.

cotesys partners tum and lmu rank first among germany's universities,
according to a recent focus survey. 14 nobel laureates (the most recent
one of 2005 at mpi) are associated with munich (münchen). on 10/13/2006
both tum and lmu were selected as two of the three german ""elite
universities"" by the ""excellence initiative"" funded by 1.9 billion euros
for the next 5 years. this was prime time news on all german channels.

germany is a good place for robot research. it is still the world's 
largest
exporter of machines and other goods, birthplace of the first robot 
cars,
and the second largest maker and user of robots, after japan. many 
german
teams became world champions in the robocup, the most visible robot
competition.

according to recent surveys (2005/06), munich is the world's most
livable city with over a million inhabitants, save for vienna:
http://www.citymayors.com/features/quality_survey.html

how to apply: http://www.idsia.ch/~juergen/cotesys.html
cotesys portal: http://www.cotesys.org/

juergen schmidhuber
tu munich & idsia
http://atknoll1.informatik.tu-muenchen.de:8080/tum6/people/schmidhuber
http://www.idsia.ch/~juergen"
8,2006,postdoc position on mams modeling and control,"postdoc position in eu project protem

within the eu protem project, partners from academia and industry of
various eu countries (france, germany, switzerland, uk, netherlands) are
working on a next generation storage system for archiving and backup.
the aim is to realize a 1 petabyte memory in a box as small as a dvd
drive. the technology used will be probe storage, based on the ibm probe
storage program (millipede). in this technology, an array of thousands
of 100 um sized read/write heads is reading and writing data. in the
current architecture, the storage area is limited to the size of the
array, which is restricted to about 1 cm2. within the protem project,
the storage area will be expanded to several hunderd cm2, but the array
will still be small. therefore the array has to be positioned over this
big area with high accuracy and speed.

to study, design and realize this architecture, experts from very
different fields (media, mems, system architecture) will cooperate
closely in this 4 year, 10 meu project. one of the tasks of the
university of twente in the project will be to design and realize the
positioning system. we therefore have a vacancy for a postdoctoral
researcher in the field of (micro-)mechanical modelling for the duration
of 18 months. 

your task will be to evaluate various concepts of positioning systems on
their disadvantages and merits, and determine whether the overall
specifications of the device can be reached and using what concepts. for
this, a solid background in modelling and control engineering or mems is
required. we are looking for a person with strong communication skills,
capable of operating in a large, multi-national team.

for more information, please contact
prof. dr. ir. stefano stramigioli (s.stramigioli at utwente.nl
<mailto:s.stramigioli at ewi.utwente.nl> ) (control engineering) or dr. ir.
leon abelmann (l.abelmann at utwente.nl) (mems)



%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

prof.dr.ir. stefano stramigioli, (m.sc., ph.d.)
full professor for advanced robotics
impact strategic research officer on smart devices and materials

control engineering laboratory
department of electrical engineering
faculty of eemcs
impact institute
normal postal address:
p.o. box 217
nl-7500 ae enschede
the netherlands

courrier address:
de veldmaat 10
7522nm enschede
the netherlands

tel. +31 (53) 4892794/4892606
fax. +31 (53) 4894830/4892223
faxtoemail: +31 (84) 751 1369
skype: s.stramigioli


email s.stramigioli at ieee.org
www: http://www.ce.utwente.nl/smi

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%"
9,2007,phd student / postdoc: visually guided behavior (bielefeld),"the computer engineering group at the faculty of technology of
bielefeld university offers a temporary position as

doctoral or postdoctoral researcher
(salary bat iia, for two years three months, starting april 1st, 2007)

in a dfg-funded research project

""visually guided behavior in complex 3d environments"".

in this project, we will develop models of visual motion perception
and of the corresponding sensorimotor control strategies in insects,
transfer them into technical solutions, and test these systems in a
gantry setup. the goal is not only to imitate biological behavioral
strategies in technical systems, but also to use these systems as a
testbed for the verification of biological models in complex,
three-dimensional environments. the project runs in close cooperation
with the dept. of neurobiology (prof. dr. martin egelhaaf).

the details of the offer can be found at:
http://www.ti.uni-bielefeld.de/html/offers/index.html"
