,year,subject,content
0,2006,faculty position of potential nterest at the technical university of crete,"european citizens, currently on the job market, who have worked on robot 
teams, distributed coordination algorithms, or distributed software 
architectures for robots, might be interested in a new tenure-track 
faculty opening in the area of ""distributed software systems"" at the 
technical university of crete in greece. details may be found at the 
following url:

http://www.ece.tuc.gr/dep_en.htm

best regards,

michail

-- 

assistant professor
intelligent systems laboratory
department of electronic and computer engineering
technical university of crete
kounoupidiana, 73100 chania
hellas (greece)

office : e5.001
phone  : +30-28210-37244
fax    : +30-28210-37542
email  : lagoudakis at intelligence.tuc.gr
www    : www.intelligence.tuc.gr/~lagoudakis"
1,2006,"postdoctoral fellow position in machine learning at tuc, greece"," *** postdoctoral fellow position in machine learning ***
           *** technical university of crete, greece ***

a full-time postdoctoral fellow position in machine learning is
available within the intelligence lab of the department of electronic
and computer engineering, technical university of crete, chania, greece.
this appointment is scheduled to begin in january 2007 and involves an
initial one-year commitment with the possibility of renewal for one
additional year.

the successful candidate will conduct research on the use of modern
supervised learning methods for approximating and representing policies
in large reinforcement learning problems. the focus of the project will
be on scalability, efficiency, and applicability to real-world problems.
proposed methods will be applied and tested on various single- and
multi- robot learning tasks using the robotic equipment of the lab (four
aibos, a hexapod, two humanoids, a modular robot).

the successful candidate will work closely with assistant professor
michail g. lagoudakis and his group of graduate students. there will
also be opportunities for interaction and collaboration with members of
the robocup team of the lab, as well as possibilities for lectures,
seminars, and graduate classes.

suitable applicants must hold a phd degree in computer science, machine
learning, or a related discipline and have a strong background in
reinforcement and supervised learning. candidates familiar with
programming (mainly c and matlab) and robot programming in particular
will be given priority. excellent command of the english language is
required.

interested candidates should submit their electronic cvs including at
least three contacts for references to michail g. lagoudakis (contact
information below) by *december 15, 2006* as url pointers on the web (no
attachments or hard copies). the search will continue until the position
is filled.

links:

intelligence lab: http://www.intelligence.tuc.gr/
ece department: http://www.ece.tuc.gr/index_en.htm
tuc: http://www.tuc.gr/english/index.html

contact information:

michail g. lagoudakis
assistant professor
intelligent systems laboratory
department of electronic and computer engineering
technical university of crete
kounoupidiana, 73100 chania
hellas (greece)

office : e5.001
phone  : +30-28210-37244
fax    : +30-28210-37542
email  : lagoudakis at intelligence.tuc.gr
www    : www.intelligence.tuc.gr/~lagoudakis
"
2,2008,"postdoc position mbari, california","[apologies for multiple messages]


the autonomous system group at the monterey bay aquarium research  
institute (mbari) invites applications for 1 postdoc position.

mbari (http://www.mbari.org)  is a private non-profit oceanographic  
research institute located in moss landing, california, in the heart  
of the  largest marine sanctuary in the united states, just outside  
silicon valley. the institute is an inter-disciplinary research  
institution guided by a strong peer relationship between scientists,  
engineers and marine operations staff. mbari pioneered the use of  
remotely operated vehicles (rovs http://www.mbari.org/dmo/vessels_vehicles/tiburon/tiburon.html) 
  and autonomous underwater vehicles (auvs http://www.mbari.org/auv/default.htm) 
  for deep ocean research and continues to be at the cutting edge of  
marine robotics, marine sensor development, ocean chemistry, marine  
geology, micro-biology and ecology.

research focus:

the autonomous systems group is uniquely placed as being the only  
artificial intelligence group within an operational oceanographic  
setting anywhere. the focus of the groups effort is in automated  
reasoning for embodied robust intelligence for auvs with a focus on  
automated planning, execution, constraint-based reasoning and machine  
learning. the core development effort is to enable adaptive control  
for auvs to survey, sample and characterize dynamic and episodic ocean  
phenomenon such as harmful algal blooms, fronts and thin layers which  
have substantial societal impact (http://www.mbari.org/autonomy/ 
trex/). further efforts are underway to study the feasibility of goal- 
based commanding for underwater feature-based slam, mixed-initiative  
platform control and multi-vehicle coordination.

research environment:

the autonomous systems group was established in 2005 by researchers  
from nasa with extensive background in commanding spacecraft including  
the twin mars rovers spirit and opportunity. a strong inter- 
disciplinary effort with biological oceanographers at mbari and others  
outside has driven the design and deployment of a hybrid executive*  
which enables an auv to adaptively sample the environment using  
planning and machine learning techniques to inform dynamic in-situ  
behavior. publishing in peer-reviewed conferences and journals in ai,  
robotics and the ocean sciences and interacting with scientists in the  
fields of biology, chemistry, ecology, genetics, ocean physics, marine  
robotics is an important aspect of the research effort. the group  
collaborates with ai and robotics researchers in academia in the us  
and europe and hosts visiting graduate students and researchers from  
within the us and europe.

key topic areas of interest for this position are:

1. automated planning and execution
2. scheduling
3. machine learning
4. constraint-based reasoning
5. distributed planning

applicants are encouraged to communicate with the pi for project  
feasibility and relevance to ongoing mbari research. women and  
minorities are strongly encouraged to apply. details of the  
application process are at http://www.mbari.org/oed/jobs/postdocs-2009.html 
. the deadline for applications is december 11th 2008.


*
1. mcgann, c., py, f., rajan, k., ryan, j., thomas, h., henthorn, r.,  
and mcewen, r. “preliminary results for model-based adaptive control  
of an autonomous underwater vehicle” intnl. symposium on experimental  
robotics (iser) (athens, greece, 2008).

2. mcgann, c., py, f., rajan, k., ryan, j., and henthorn, r.  
“adaptive control for autonomous underwater vehicles” in proc.  
assoc. for the advancement of artiﬁcial intelligence, national  
conference (aaai) (chicago, il, 2008).

3. mcgann, c., py, f., rajan, k., thomas, h., henthorn, r., and  
mcewen, r. “a deliberative architecture for auv control” in proc.  
ieee international conference on robotics and automation (icra)  
(pasadena, ca, may 2008).

4. mcgann, c., py, f., rajan, k., thomas, h., henthorn, r., and  
mcewen, r., “automated decision making for a new class of auv  
science”, in aslo/ocean sciences, florida, 2008.

5. py, f., ryan, j., rajan, k., mcgann, c., fox, m, “adaptive water  
sampling from an autonomous underwater vehicle based on unsupervised  
clustering”, in aslo/ocean sciences, florida, 2008"
3,2008,"postdoc position mbari, california","[apologies for multiple messages]


the autonomous system group at the monterey bay aquarium research  
institute (mbari) invites applications for 1 postdoc position.

mbari (http://www.mbari.org)  is a private non-profit oceanographic  
research institute located in moss landing, california, in the heart  
of the  largest marine sanctuary in the united states, just outside  
silicon valley. the institute is an inter-disciplinary research  
institution guided by a strong peer relationship between scientists,  
engineers and marine operations staff. mbari pioneered the use of  
remotely operated vehicles (rovs http://www.mbari.org/dmo/vessels_vehicles/tiburon/tiburon.html) 
  and autonomous underwater vehicles (auvs http://www.mbari.org/auv/default.htm) 
  for deep ocean research and continues to be at the cutting edge of  
marine robotics, marine sensor development, ocean chemistry, marine  
geology, micro-biology and ecology.

research focus:

the autonomous systems group is uniquely placed as being the only  
artificial intelligence group within an operational oceanographic  
setting anywhere. the focus of the groups effort is in automated  
reasoning for embodied robust intelligence for auvs with a focus on  
automated planning, execution, constraint-based reasoning and machine  
learning. the core development effort is to enable adaptive control  
for auvs to survey, sample and characterize dynamic and episodic ocean  
phenomenon such as harmful algal blooms, fronts and thin layers which  
have substantial societal impact (http://www.mbari.org/autonomy/ 
trex/). further efforts are underway to study the feasibility of goal- 
based commanding for underwater feature-based slam, mixed-initiative  
platform control and multi-vehicle coordination.

research environment:

the autonomous systems group was established in 2005 by researchers  
from nasa with extensive background in commanding spacecraft including  
the twin mars rovers spirit and opportunity. a strong inter- 
disciplinary effort with biological oceanographers at mbari and others  
outside has driven the design and deployment of a hybrid executive*  
which enables an auv to adaptively sample the environment using  
planning and machine learning techniques to inform dynamic in-situ  
behavior. publishing in peer-reviewed conferences and journals in ai,  
robotics and the ocean sciences and interacting with scientists in the  
fields of biology, chemistry, ecology, genetics, ocean physics, marine  
robotics is an important aspect of the research effort. the group  
collaborates with ai and robotics researchers in academia in the us  
and europe and hosts visiting graduate students and researchers from  
within the us and europe.

key topic areas of interest for this position are:

1. automated planning and execution
2. scheduling
3. machine learning
4. constraint-based reasoning
5. distributed planning

applicants are encouraged to communicate with the pi for project  
feasibility and relevance to ongoing mbari research. women and  
minorities are strongly encouraged to apply. details of the  
application process are at http://www.mbari.org/oed/jobs/postdocs-2009.html 
. the deadline for applications is december 11th 2008.


*
1. mcgann, c., py, f., rajan, k., ryan, j., thomas, h., henthorn, r.,  
and mcewen, r. “preliminary results for model-based adaptive control  
of an autonomous underwater vehicle” intnl. symposium on experimental  
robotics (iser) (athens, greece, 2008).

2. mcgann, c., py, f., rajan, k., ryan, j., and henthorn, r.  
“adaptive control for autonomous underwater vehicles” in proc.  
assoc. for the advancement of artiﬁcial intelligence, national  
conference (aaai) (chicago, il, 2008).

3. mcgann, c., py, f., rajan, k., thomas, h., henthorn, r., and  
mcewen, r. “a deliberative architecture for auv control” in proc.  
ieee international conference on robotics and automation (icra)  
(pasadena, ca, may 2008).

4. mcgann, c., py, f., rajan, k., thomas, h., henthorn, r., and  
mcewen, r., “automated decision making for a new class of auv  
science”, in aslo/ocean sciences, florida, 2008.

5. py, f., ryan, j., rajan, k., mcgann, c., fox, m, “adaptive water  
sampling from an autonomous underwater vehicle based on unsupervised  
clustering”, in aslo/ocean sciences, florida, 2008
"
4,2011,postdoctoral positions at the institute of computer science - forth,"<>the institute of computer science of forth (www.ics.forth.gr)
in heraklion, greece, has immediate openings
for two full-time technical staff positions at the postdoctoral level,
to work in the context of soft-bodied robotic systems
in aquatic environments.

1. bio-inspired control:
<>the first research associate will focus on the development
of bio-inspired control strategies for continuous and compliant robotic 
systems.
candidates are expected to have professional expertise relevant to
robotic locomotion and manipulation, nonlinear control, mechanics,
computational modeling and simulation, and implementation of robotic 
systems.
experience relevant to processing and use of sensory information,
as well as to neural networks, both in the context of robot control, is 
also desirable.

2. elastodynamics:
<>the second research associate will focus on the development
of finite element methods for nonlinear elasticity,
targeting the accurate simulation of forced motion for robotic arms
consisting of rubber-like materials with complex structure.
the aim is the development of control strategies for such robotic systems.
candidates are expected to have professional expertise relevant to
dynamic motion of continuous media, to the underlying theory of 
governing equations
and to computational methods used for their numerical solution.
experience relevant to the control of such systems is also desirable.  <>

we are looking for highly motivated young scientists, able to work
as part of an interdisciplinary team in the framework of funded research 
projects.
good computing skills are necessary for both positions
(including c/c++ and matlab/simulink),
as well as excellent verbal and written english communication skills.  <>

the successful candidates will be offered a contract for one year,
with the possibility of renewal. interested candidates should submit by 
email
a curriculum vitae, a statement of research qualifications and interests,
a list of at least 3 references and a few representative publications
to dr. dimitris tsakiris (tsakiris at ics.forth.gr).
candidates should indicate which position they are applying for.
consideration of applications will begin immediately.

 


-------------------------------------------------------------------

dimitris p. tsakiris, ph.d.
principal researcher
institute of computer science - forth
100, n. plastira str., vassilika vouton
gr-70013 heraklion, greece
- and -
faculty member
graduate program in the brain and mind sciences
university of crete
gr-71409 heraklion, greece

phone:  +30-2810-391708
www:    http://www.ics.forth.gr/~tsakiris"
5,2012,"3 postdoc positions at forth, heraklion, greece","job title: research fellows in mobile robotics - computational vision

host institution: computational vision and robotics lab (cvrl - 
http://www.ics.forth.gr/cvrl), institute of computer science 
(http://www.ics.forth.gr), foundation for research and technology - 
hellas (forth),
heraklion, crete, greece

job description: cvrl immediately invites applications for three (3) 
postdoc positions in the following areas:

a. computational vision: visual tracking (2d/3d), 3d reconstruction, 
activity recognition, gesture/expression recognition
b. mobile robotics: visual odometry, probabilistic laser/visual slam, 
object grasping/manipulation

researchers will have an opportunity to work in a cutting-edge 
interactive environment, and will be involved in ongoing and new 
eu-funded projects. the positions require a phd in a related area. 
relevant research experience as evidenced by publications in peer 
reviewed journals and international conferences is desirable. strong 
capacity and commitment to research is mandatory.

salaries are competitive and are determined according to the successful 
applicants' profiles (experience and qualifications).

please submit the following by e-mail to panos trahanias 
(trahania at ics.forth.gr).

a. curriculum vitae
b. brief research statement
c. two/three names and contacts of recommendation
d. availability date

review of applicants will begin immediately and continue until the 
positions are filled."
6,2012,post-doctoral position in computer vision/robotics available at ics-forth,"see also:
http://www.ics.forth.gr/~argyros/postdocpositions_forth.pdf


position: one post-doctoral position
start date: possibility for immediate starting
duration: 1 or 2 years – extendable
salary: highly competitive and commensurate with qualifications

description:
the institute of computer science of forth (http://www.ics.forth.gr) at 
heraklion, crete, greece, has immediate opening for a full-time position 
at the post-doctoral level, to work in the area of computer vision and, 
in particular, in any of the following topics:
- markerless hand tracking
- hand posture/gesture recognition
- visual interpretation of object grasping and manipulation activities
- markerless human tracking, both in indoor and outdoor environments
- human posture and activity recognition

the position will be supported by recently funded eu projects which will 
be executed until november january 2016. in the context of these 
projects, the goal of our research group is to develop visual 
capabilities for robotic assistants and for humanoid robots. the 
selected applicants will be offered a contract for one or two years, 
with the possibility of renewal.

applicants must have:
- a phd in computer science, computer engineering, or related field
- documented research record in computer vision and, preferably, in the 
topics listed above
- strong computing skills (including c/c++ and matlab)
- strong mathematical background
- excellent verbal and written english communication skills
- willingness and ability for cooperative work in the context of a 
research team

desired skills:
- parallel programming with emphasis on gpu-programming, cuda
- experience with computer graphics techniques and physics-based modeling

applicants must submit the following documents:
- curriculum vitae
- statement of research qualifications and interests
- contact details of at least three referees

evaluation of applications:
the evaluation of applications is ongoing and will continue until the 
position is filled.

links:
research: http://www.ics.forth.gr/~argyros/research.htm
forth-ics: http://www.ics.forth.gr
crete: http://www.uoc.gr/crete/crete.html

for more information or to apply, please contact:
asoc. prof. antonis argyros
institute of computer science, forth
n. plastira 100, vassilika vouton
gr-70013 heraklion, crete, greece
e-mail: argyros at ics.forth.gr
url: http://www.ics.forth.gr/~argyros


-------------------------------------------------------------------
assoc. prof. antonis argyros, http://www.ics.forth.gr/~argyros
------------------------------+------------------------------------
computer science department   | institute of comp. science - forth
university of crete, gr 71409 | n plastira 100, vasilika vouton
heraklion, crete, greece      | gr 70013 heraklion, crete, greece
tel    : +30 2810 393594      | tel    : +30 2810 391704
fax    : +30 2810 393501      | fax    : +30 2810 391601
e-mail : argyros at csd.uoc.gr   | e-mail : argyros at ics.forth.gr
------------------------------+------------------------------------
"
7,2012,"robotics postdoc opening at auth, gr","a post doctoral opening in robotics

automation and robotics lab,

department of electrical and computer engineering,

aristotle university of thessaloniki,

greece

 

the department of electrical and computer engineering of the aristotle
university of thessaloniki, greece is seeking to appoint a well motivated
full-time postdoctoral research fellow who will have a key research role in
the area of controlling commercially available arm/hand platforms for
human-like physically interactive robot services within the piros project
which is co-financed by the eu-esf and greek national funds through the
operational program ""education and lifelong learning"" of the national
strategic reference framework (nsrf) - research funding program aristeia.

 

we seek for young scientists with background in electrical /mechanical
/control engineering and phd in robotics with strong scientific

knowledge and experience with standard platform experimentation in one or
more of the following subjects: robot arm motion and/or force control, robot
object grasping and/or manipulation.

 

the successful candidate will be offered an up to three years contract
depending on qualifications and experience. he/she will work on one or more
of the following areas;

* human-like reaching movements,
* grasping and manipulation with multi-fingered hands
* physical human robot interaction

 

the position is open for immediate fill. the salary will be competitive with
respect to the european job market and will provide more than adequate funds
for living and working in greece. 

extension of post doc contract beyond the three year duration is possible
and subject to successful completion. greek nationals as well as
international applicants are encouraged. 

 

interested applicants should submit their cv outlining experience and
qualifications, a list of publications, a statement of research interests,
and at least the names of two referees by the end of 2012 to zoe doulgeri
(doulgeri at eng.auth.gr).

 

 

 

    ______________________________________________________________

 

     professor zoe doulgeri
     automation & robotics lab

     department of electrical and computer engineering,
     aristotle university of thessaloniki,  
     gr54124 thessaloniki, greece    

 

     tel/fax:       + 30- 2310- 996364
     email:         doulgeri at eng.auth.gr
     _____________________________________________________________"
8,2014,the european academy for marine and underwater robotics (robocademy) is looking for 13 early-stage-researchers,"joint training and joint development of robot systems to explore the oceans:
this is the aim with which the european network for training and research on
maritime and underwater robotics, robocademy, has been started this year.
the
project is funded by the eu with 3.61 million euro deals with developing key
qualifications for junior researchers and strengthening technology
development
in the field of underwater robotics. through the close collaboration of
leading
research institutes, academia, industry, and small–medium enterprises in
robotics, marine technology, marine science, and offshore industry,
robocademy
will provide first-class training and research opportunities for
early-stage-researchers.

the robocademy is currently looking for 13 early-stage-researchers (esr),
who
made their diploma or master degree within the last four years in one of the
following disciplines: 

•             computer science
•             math or physics
•             computer engineering
•             robotics

in well-defined and well-tutored phd research projects, the robocademy
fellows
will push the state-of-the-art in the area of robust, reliable and
autonomous
underwater robots. specialized scientific training modules will enable the
fellows to obtain both a sound basis in robotics and an introduction to
topics
that are specific to their research areas. this will be complemented by a
high-quality soft-skills training programme for and the opportunity to gain
extensive on-site hands-on experience through secondments to maritime
industry
and oceanographic research institutes.
for 36 months the researchers will reside in one of the following institutes
or
small–medium enterprises:

•             dfki, robotics innovation center, bremen, germany
•             heriot-watt university, ocean systems lab, edinburgh, united
kingdom
•             tallinn university of technology, centre of biorobotics,
tallinn, estonia
•             universitat de girona, computer vision and robotics research
group, girona,  spain 
•             natural environment research council, national oceanography
centre, swindon wiltshire, united kingdom
•             centre for maritime research and experimentation, la spezia,
italy
•             national technical university of athens, control systems lab,
athens, greece
•             atlas elektronik gmbh, bremen, germany
•             seebyte ltd, edinburgh, united kingdom
•             graal tech, genova, italy

interested researchers should check out the website www.robocademy.eu or the
euraxess-portal. the deadline for application is on july 30th. 

for further information please contact:

german research center for artificial intelligence
dfki bremen
robotics innovation center
robert-hooke-straße 1
d-28359 bremen

tom runge
phone: +49 (0)421 / 178 45-6635
e-mail: tom.runge at dfki.de

 

 

----------------------------------------------------------------------- 
tom runge 
research assistant 

dfki bremen 
robotics innovation center (ric) 
robert-hooke-straße 1 
28359 bremen, germany 

phone: +49 (0)421 178 45 6635 
mobile:+49 (0)176 800 312 28 
email: tom.runge at dfki.de 

weitere informationen: http://www.dfki.de/robotik 

----------------------------------------------------------------------- 
deutsches forschungszentrum für künstliche intelligenz (dfki) gmbh 
trippstadter strasse 122 
d-67663 kaiserslautern 
geschäftsführung: 
prof. dr. dr. h.c. mult. wolfgang wahlster (vorsitzender) dr. walter olthoff

vorsitzender des aufsichtsrats: 
prof. dr. h.c. hans a. aukes 
sitz der gesellschaft: kaiserslautern (hrb 2313) 
ust-id.nr.: de 148646973 
steuernummer: 19/673/0060/3 
-----------------------------------------------------------------------"
9,2014,post doctoral fellow opening available 	at ntua," dear all, the control systems lab (csl - http://csl-ep.mech.ntua.gr), school of mechanical  engineering at the national technical university of athens (ntua), greece, has  an opening for one (1) fully funded postdoctoral fellow.   project: laelaps ? dynamics, control and design of multi-joint, variable compliance,  quadruped robots?, action ""excellence"", co-financed by the european union -  european social fund (esf) and national funds through the operational program  ""education and lifelong learning"". the objective of this project is to advance  the state of the art in legged locomotion and specifically in efficient and agile  quadruped locomotion, through the development of novel designs and control methods.   required qualifications: diploma in electrical or mechanical engineering or a related field phd degree in robotics or automatic control systems strong experience in design, modeling, and realization of robotic mechanisms  with emphasis in legged robots strong hands-on experience in linear and non-linear control of robotic mechanisms additional desired qualifications/knowledge: proficiency in software programming (c/c++, matlab/simulink/simulink real time, rtos) hands-on experience in position, velocity, and acceleration sensors high quality publication record in automatic control of mechantronic, and robotic mechanisms participation in relevant research projects   additional information: the position is for one (1) year. starting date: immediately annually salary: 28750 euros   application process: interested applicants should email their cv and a brief (about 2 pages) statement of their  educational background, research experience, and future objectives to prof. evangelos  papadopoulos <egpapado at central.ntua.gr>. for further information, please feel free to contact me. evangelos papadopoulos ====================================================================== evangelos papadopoulos, professor department of mechanical engineering national technical university of athens 15780 athens, greece tel: +(30) 210-772-1440  fax: +(30) 210-772-1455   email: egpapado at central.ntua.gr, http://nereus.mech.ntua.gr/,  http://csl-ep.mech.ntua.gr/ ======================================================================="
