,year,subject,content
0,2006,research engineer in bayesian programming,"position title:
------------------
research engineer in bayesian programming

where:
------------
grenoble (capital of the french alps), france

when:
---------
immediately, for 3 to 4 years

description of the position:
------------------------------------

you will have to develop bayesian models, programs, applications and  
experiments.
you will be a key element of a research group devoted to ""stochastic  
models for perception, inference, learning and action"".
your main mission will be to take in charge the software development  
of the group related to the starting european project bacs (bayesian  
approach to cognitive systems) and some experiments on various  
robotic platforms.
your employer will  be inria (institut national de la recherche en  
informatique et automatique) a major international institute for  
research in computer science and applied math.

example of possible models, experiment or application you may have to  
work on are :
- bayesian models of neurons and population of neurons
- bayesian models of human object perception
- bayesian models of human and rat navigation
- bayesian based autonomous navigation of mobile robots and cars
- bayesian based body and face motion tracking
- bayesian reconstruction of 3d realistic scene
- bayesian based multi-modal sensor integration and analysis
- bayesian driver assistance for enhanced vehicle safety

all this models are build using the bayesian programming formalism  
(an extension of bayes nets) and use the probt® toolbox and api to  
automate the inference and computation.
you will be the probt guru of the group and will assist researchers  
and phd student in their models and software development.

requirements:
--------------------

necessary :
- a master, an engineering degree or a phd in computer science.
- fluent in c and c++
- fluent in either french or english (if not fluent in french, at  
least some good bases are required and a strong willing to learn more  
rapidly)

plus :
- bilingual of fluent in both language
- experience of software development and maintenance
- holding a phd
- experience of robotics and/or artificial intelligence
- proficiency in probability or statistics
- experience in other computer languages and tools

additional informations:
--------------------------------

- grenoble
grenoble is 600k inhabitants city right in the middle of the french  
alps. it has a very big university and at least 10% of the population  
is made of students. grenoble activity is turned toward high  
technology industry and research. its domains of excellence are  
nanotechnology, computer sciences and electronic. all mountain  
outdoors leisure are next door (the closest ski resort is 30 minutes  
from downtown).

- emotion research group
the research group (www-laplace.imag.fr) is made of 25 persons  
(permanent researchers, engineers and phd students). it is a very  
international group as presently 6 countries are represented beside  
france  (brazil, china, india, italy, mexico & singapore). the group  
has a long experience (>15 years) of research in bayesian modeling.  
it applies theese technics to robotics, artificial intelligence,  
cognitive science and developing industrial applications. the group  
has been the leader of the european project biba (bayesian inspired  
brain and artifacts) which, after 4 years of work, is just terminated.

- bacs project:
bacs is the continuation of biba. its a new european project started  
in january for 4 years. the abstract of the project is the following:
despite very extensive research efforts contemporary robots and other  
cognitive artifacts are not yet ready to
autonomously operate in complex real world environments. one of the  
major reasons for this failure in creating cognitive
situated systems is the difficulty in the handling of incomplete  
knowledge and uncertainty.
in this project we will investigate and apply bayesian models and  
approaches in order to develop artificial cognitive systems
that can carry out complex tasks in real world environments. we will  
take inspiration from the brains of mammals including
humans and apply our findings to the developments of cognitive systems.
the bayesian approach will be used to model different levels of brain  
function, from neural functions up to complex
behaviors. this will enable us to show that neural functions and  
higher-level cognitive activities can coherently be modeled
within the bayesian framework. the bayesian models will be validated  
and adapted as necessary according to
neuro-physiological data from rats and humans and through  
psychophysical experiments on human.
the bayesian approach will also be used to develop four artificial  
cognitive systems concerned with (i) autonomous
navigation, (ii) multi-modal perception and reconstruction of the  
environment, (iii) semantic facial motion tracking, and (iv)
human body motion recognition and behavior analysis.
the conducted research shall result in a consistent bayesian  
framework offering enhanced tools for probabilistic reasoning
in complex real world situations. the performance will be  
demonstrated through its applications to drive assistant systems
and 3d mapping, both very complex real world tasks.

- inria:
(see http://www.inria.fr/inria/enbref.en.html)

- bayesian programming and probt toolbox:
bayesian programming is a methodology and a formalism to develop  
software able to deal with incomplete and uncertain information.
probt is a c++ library that implement bayesian inference and learning  
on various kind of computers and operating systems.
probt is a commercial product (www.probayes.com) but is also  
available for free for research and teaching utilization  
(www.bayesian-programming.org).

salary:
----------
27k€ <-> 37k€(according to qualifications)

contact:
-----------
pierre.bessiere at imag.fr, christian.laugier at imag.fr

_______________________________
dr pierre bessière - cnrs
*****************************
gravir lab
inria
655 avenue de l'europe
38334 montbonnot
france

mail: pierre.bessiere at imag.fr
http: www-laplace.imag.fr
tel:   +33 4 76 61 55 09
_______________________________


-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060420/e5291746/attachment-0001.html"
1,2013,"senior engineer position - hi-tech robotic systemz limited, india","hi-tech robotic systemz limited (hrsl), established in 2004, develops and
deploys leading-edge robotics, computer vision and artificial intelligence
solutions. as one of india’s first mobile robotics and ai ventures, we are
committed towards the development of cutting edge products & solutions in
areas like:


   - unmanned systems like ugv, rov, uav, etc.
   - robotics & artificial intelligence.
   - industrial automation and material handling (bulk & unit).
   - military grade strategic electronics and embedded systems.
   - autonomous navigation & planning.

*description*

currently a team of approximately 30 highly skilled individuals, both
indian and foreign, form the core research team, and we are looking to fill
in a position for a senior engineer / researcher. the successful candidate
will work on activities that cover the complete development life cycle for
a range of internally funded r&d as well as customer oriented and
specifically tailored robotics projects. the work will include:


   - the design and development of complete robotic systems for various
   applications, particularly suited for activities with little to no human
   supervision.
   - the design and development of software architecture for mobile robotic
   platforms, as well as algorithms for 3d perception, localization and
   mapping and computer vision.
   - the design and development of human robot interfaces.
   - the technical lead for various r&d projects.

the position is located in our offices in gurgaon (india), and will involve
some travel with short collocation periods for working with various
customers.

*qualifications*

master's or phd degree in robotics, computer science, artificial
intelligence, electrical engineering, mechanical engineering, aerospace
engineering or in another discipline relevant to the position and at least
2 years relevant work experience in the field.**


   - proficiency in software programming (c++) and formal methods (uml,
   design patterns).
   - hands-on experience with mobile robotics platforms and sensors.
   - hands-on experience with the following: qt, opencv, ros, scene graphs.
   - hands-on experience designing and implementing algorithms for at least
   one of: kalman filters, slam, perception, path planning and tracking,
   control, computer vision.
   - experience with the following is optional, but would be beneficial for
   the position: physics engines, jaus, mil vs industrial standards, realtime
   operating systems, embedded systems.

please send applications to
rares.ambrus at hitechroboticsystemz.com<rares.ambrus at hitechrobobticsystemz.com>
and
include a cv and a cover letter, in english. please keep the attachment
size < 2mb.

thank you,

*--
rares andrei ambrus
project manager
hitech robotic systemz ltd.
gurgaon(ncr), india.

tel.  +91 95609 20368
fax. +91 124 4715398*"
2,2014,"junior research fellowship (jrf) modular robotics, iit ropar punjab india","============================
junior research fellowship (jrf)
============================
school of mechanical, materials and energy enmgineering, iit ropar, invites
applications
from the indian nationals for the position of j*unior research
fellow*(jrf) to work in a project
entitled ""*modular strategy for development of customized industrial
robotic arms*"".
the project involves architecture design and fabrication of modules, which
can be assembled
together for development of a robotic arm of given parameters. a highly
motivated candidate is required for improvement and refinement of existing
architecture design of the modules, finalizing the design
and prototype development.

post: junior research fellow (jrf)
positions: 1
duration: 3.0 years or till the completion of the project, whichever is
earlier
emoluments: as per dst rules - @ rs.16000-16000-18000/-pm.
minimum duration: one year

essential qualifications:
 'masters degree in mechanical' or
 'masters degree in any engineering discipline related to robotics and
bachelors in mechanical engineering'.

how to apply?
application form can be downloaded from
http://www.iitrpr.ac.in/jobs/project-positions
along with the completely filled form the applicant should email the
following to the undersigned
email id.
·      a one page cover letter describing background and motivations
·      curriculum vitae
·      contact information of at least one referee
if you do not receive an acknowledgment email within 48 hours of submitting
the application, kindly
resend the application.
please write in the subject line: *application for the post of junior
research fellow.*

last date for receipt of application: *march 28, 2014*



--
==========================================
dr. ekta singla, assistant professor
school of mechanical, materials and energy engineering
room no. 229
indian institute of technology ropar
nangal road, rupnagar - 140001
punjab, india

tel: +91 1881 242160
fax: +91 1881 223395
e-mail: ekta[at]iitrpr.ac.in
web(s): http://www.iitrpr.ac.in/html/faculty/ekta.shtml
==========================================="
3,2014,"junior research fellowship (jrf)  modular robotics, iit ropar punjab india"," ====================================== junior research fellowship (jrf): walk-in interview ====================================== school of mechanical, materials and energy enmgineering, iit ropar, invites indian nationals for the *walk-in interview* for the position of j*unior research fellow* (jrf) to work in a project entitled ?*modular strategy for development of customized industrial robotic arms*?. the project involves architecture design and fabrication of modules, which can be assembled together for development of a robotic arm of given parameters. a candidate is required for improvement and refinement of existing architecture design of the modules, finalizing the design and prototype development. post: junior research fellow (jrf) positions: 1 duration: 3.0 years or till the completion of the project, whichever is earlier emoluments: as per dst rules - @ rs.16000-16000-18000/-pm. minimum duration: one year *essential qualifications:* ?master?s degree in any engineering discipline related to robotics?.  a good academic record with a minimum of 60% marks (or 6.5 grade point out of 10) in master's.  a candidate with *?*masters/bachelor?s degree in mechanical? would be preferred. *desirables: *mechanism fabrication skills*, *modeling and analysis softwares (solidworks, catia etc.), knowledge in industrial robotics, strong analytical skills and creativity. hands-on experience in mechatronics system integration is a plus. *interview dates: walk-in interview is scheduled on january 12, 2015 at 10 am. * along with the completely filled form, available at http://www.iitrpr.ac.in/jobs/project-positions, the applicant should keep the following documents handy.    1. ?  a one page cover letter describing background and motivations    2. ?  curriculum vitae    3. ?  reference letter from at least one referee please note that no ta/da will be given to the candidates attending the interview  *for any related query, please contact the undersigned.* --  ========================================== *dr. ekta singla, *assistant professor school of mechanical, materials and energy engineering room no. 229 indian institute of technology ropar nangal road, rupnagar - 140001 punjab, india tel: +91 1881 242160 fax: +91 1881 223395 e-mail: ekta[at]iitrpr.ac.in web(s): http://www.iitrpr.ac.in/html/faculty/ekta.shtml =========================================== --  --  ========================================== *dr. ekta singla, *assistant professor school of mechanical, materials and energy engineering room no. 229 indian institute of technology ropar nangal road, rupnagar - 140001 punjab, india tel: +91 1881 242160 fax: +91 1881 223395 e-mail: ekta[at]iitrpr.ac.in web(s): http://www.iitrpr.ac.in/html/faculty/ekta.shtml ==========================================="
4,2015,"first ever robotics fellowship in  ladakh, india to teach robotics for under privileged children"," robotics fellowship in ladakh, india to teach robotics for under privileged children. background: ghe setup the world?s *third education** base (e-base) *in leh, ladakh (india) located at 12000 ft.  a 100% solar powered digital education facility, it hosts a mini library, tablets, internet and various other learning tools to enable cross-cultural learning among the local himalayan kids and establishes a mode of interaction for them with the outside world through interactive knowledge sessions. around 400 students of leh now use the e-base as part of their curriculum, focusing on education based on sustainable solutions around clean energy, waste management, water conservation, bio-diversity and local ladakhi culture & traditions. robotics fellowship 2015: third pole e-base continues to expand the activity based experiential learning curriculum. we now plan to introduce the first ever robotics workshop for the students in leh-ladakh. the idea is to build on the experiential learning concept so that the students can apply the concepts that they learn in the classroom to practical applications. the robotics workshops will allow the students to not only assemble their own robots but also compete with others in small group competitions. the intent is to bring the students closer to developing technology products and developing hands on experience duration: 2 months objectives of the robotics fellow: 1.     develop third pole education base into a center of interactive and experiential learning, a first of its kind concept in india for the remote communities. 2.     enhance critical thinking skills of the students through robotics. 3.     develop a basic knowledge of mechanical, electrical and software engineering required to build simple robots. (soldering, arduino, mechanical assembly) 4.     inculcate the concept of self- learning amongst the children through robotics workshops across 5 schools. as the third pole robotics fellow, individual should be driven to the cause of education and scientific learning, and should be comfortable working with the students of different age groups. roles and responsibilities: 1.     develop a robotics curriculum for the third pole education base covering the following elements in a manner that is appropriate a.     control systems b.     locomotion / mobility c.     dc motors / servos d.     electronics  (e.g. soldering) e.     arduino / microcontroller programming f.      remote / wireless control 2.     conduct robotics workshops at 5 partner schools in leh covering 800 students. a.     total students/batch: 30 b.     total batches/school: 4 c.     duration of each batch: 5-6 hours 3.     assessment of the learning of the students through tests before and after the workshops. 4.     circulate a weekly report on work being done and biweekly connect over skype with the core team 5.     have fun! how can i apply? you can express your interest by sending a mail to jaideepbansal at gmail.com and answering the below mentioned questions along with your resume. 1.     please share a bit about your background 2.     what is your thought on the concept of an education base (e-base) in taking learning beyond the textbook and the classroom? 3.     what qualities do you have to make the most of this unique experience?  please describe three of them and why they would be of value in this role? (150-200 words) 4.     what have you done to develop activity based or experiential learning in your work to date and what was the impact of what you did?  can you give up to three examples? (150-200 words). to apply, email required application material to: jaideepbansal at gmail.com the third pole education base is a first of its kind endeavor in the education space for rural communities, and you will be the change maker who makes it possible for the education base to scale up to a be a pilot model in the world. --- saurav agarwal aerospace engineering texas a&m university email: sauravag at tamu.edu"
5,2015,call for robotics & automation faculty  at amrita university in india in-reply-to: <caflufietcf3cuwvxrnpd0nzcmx=urv=qdirfi6bing1fxoqc0a@mail.gmail.com> references: <caflufietcf3cuwvxrnpd0nzcmx=urv=qdirfi6bing1fxoqc0a@mail.gmail.com>," do you know someone who would like a stimulating career change and  would like to join our robotics faculty at amrita university in india?  we have exciting teaching opportunities open for prospective faculty  members who specialize in robotics and automation. the positions are  at the assistant or associate professor level with a starting date of  july 2015. candidates with exceptional background and experience may  be considered at a higher rank.  we are interested in all areas of robotics including:  ? dynamics, control, and planning  ? graphics and intersection of vision and graphics  ? human-robot interaction  ? machine learning in robotics  ? novel mechanisms, materials and actuators  ? perception including computer vision, audition, and tactile sensing  facilities at amrita university includes the amrita abb robotics lab, india's first ros-industrial lab. abb group, a leading multinational robotics and automation technology firm has collaborated with amrita to secure two ros enabled industrial robots. amrita is also proud to  own clearpath's husky, an all-terrain mobile robot to further field  robotics research.  please forward this email or reply if you know someone who is interested.  -- disclaimer:     the information transmitted in this email, including attachments, is intended only for the person(s) or entity to which it is addressed and may contain confidential and/or privileged material. any review, retransmission, dissemination or other use of, or taking of any action in reliance upon this information by persons or entities other than the intended recipient is prohibited.any views expressed in any message are those of the individual sender and may not necessarily reflect the views of amrita university. if you received this in error, please contact the sender and destroy any copies of this information."
6,2015,faculty positions in robotics - iiith," dear all, the robotics research center at iiit hyderabad, http://robotics.iiit.ac.in, welcomes faculty applications at assistant prof and associate prof level in all areas of robotics including robotic vision, aerial robotics and robotic mechanisms. the center has been prolific in publishing in icra and iros for more than a decade now as can be seen in its publication page: http://robotics.iiit.ac.in/?n=main.publications iiit hyderabad as built a strong research program that revolves not only amongst the phd and grad students but amongst the undergrad students as well. several of our undergrad students publish in top forums such as cvpr, iccv, aamas, icra, iros etc. iiith also houses the largest computer vision research center in the country both in terms of faculty and research productivity: http://cvit.iiit.ac.in/ interested candidates can mail mkrishna at iiit.ac.in with their resume and research statement. --  madhav --  madhav http://robotics.iiit.ac.in"
7,2015,fully funded phd position at monash 	university," ------------------------------------------------------------------------------------------ fully funded phd position @ monash university, sunway campus ------------------------------------------------------------------------------------------  a fully-funded phd position is open in monash university, sunway campus, in the area of robotics and dynamical systems. we are particularly interested in candidates who have experiences and interests in one or more of the following topics: bio-inspired robotics, soft robotics, morphological computation, robot locomotion and vibration dynamics. excellent skills in matlab, simmechanics and mechatronics are highly desirable. the candidates must meet the minimum admission requirements (academic and english language proficiency) for the relevant higher degree. in general, this is equivalent to a high distinction average (h1 or first class honors) from a recognized university. the successful candidate will perform his research in the school of engineering, sunway campus (malaysia), in collaboration with the biologically inspired robotics laboratory, university of cambridge (uk). monash university is australia's largest university, ranked among the top 100 universities in the world, with campuses in australia, malaysia, south africa, and international centers in the people's republic of china, italy and india. the sunway campus is located 30 minutes south of kuala lumpur, malaysia, one of asia?s most exciting and culturally diverse capital cities. it continues to grow rapidly and currently has more than 6700 students representing around 70 nationalities, and 700 staffs. please refer to the following links for further information about: - admission criteria: http://www.monash.edu.au/migr/research-degrees/handbook/chapter-two/2-1.html - english language proficiency: http://www.monash.edu.au/migr/research-degrees/handbook/chapter-two/2-2.html - school of engineering, sunway campus (malaysia): http://www.eng.monash.edu.my/ once a suitable candidate is found, the application will be closed. to apply, please send your cover letter and cv to: surya.nurzaman at monash.edu looking forward to your applications! cheers, surya surya g. nurzaman, ph.d. lecturer mechanical engineering discipline school of engineering, sunway campus monash university tel/fax: +60-3-55159641 / +60-3-55146207 surya.nurzaman at monash.edu affiliated researcher bio-inspired robotics laboratory university of cambridge trumpington street cb2 1pz, cambridge uk sgn26 at cam.ac.uk"
8,2015,vacancy for robotics researcher at tata  consultancy services in india," tata consultancy services is and indian it mnc with operations in 46 countries. tcs is now placed among the ?big 4? most valuable it services brands worldwide. in 2013, tcs is ranked 57th overall in the forbes world's most innovative companies ranking, making it both the highest-ranked it services company and the first indian company.  tcs r&d division otherwise known as tcs research carries out a research in a wide variety of areas. it operates through 19 innovation labs located in india, us and uk. it houses closes to 1000 researchers with approximately 100 phds. more information about tcs research could be found on its website: http://www.tcs.com/research .  the robotics research group located at new delhi, india is looking for researchers who would like to work in one of the following areas:  * navigation, localization and mapping of ground as well as aerial vehicles.  * manipulation, servoing and grasping  * multi-sensor based human robot interaction  * computer vision application to robotics  * multi-robot control and coordination  * dynamics and control of robotic systems  * machine learning application to robotics & computer vision  the eligibility criteria for the post is as follows:  * phd in cse/ee/me from tier-i institutes in india or abroad.  * proficiency in programming with c/c++, python.  * good understanding of working with gnu/linux based systems (including system programming)  * experience of working with software like ros, opencv, opengl, pcl, moveit, openrave  * prior experience of writing and publishing papers in good quality journals and conferences.  * experience of working with hardware robotic systems.  * knowledge of solid works, cad is a plus for candidates from me background.  students who have submitted their thesis or about to  graduate are also encouraged to apply. the work location is noida, new delhi in india. interested candidates are requested to send their cv to swagat[dot]kumar[at]tcs.com along with a link to their google scholar profile.  -- view this message in context: http://robotics-worldwide.1046236.n5.nabble.com/jobs-vacancy-for-robotics-researcher-at-tata-consultancy-services-in-india-tp5711971.html sent from the robotics-worldwide mailing list archive at nabble.com."
9,2015,faculty positions at iiit-h," dear all, those who are interested for a faculty position with the robotics research center, iiit hyderabad, http://robotics.iiit.ac.in can mail me at mkrishna at iiit.ac.in.  if your attending iros please mail me at the earliest and we can discuss when we are there at an apt time. we look forward for faculty at all levels and in all areas including robotic vision, aerial and outdoor vehicles, mobile robots and mechanism design madhav -- view this message in context: http://robotics-worldwide.1046236.n5.nabble.com/jobs-faculty-positions-at-iiit-h-tp5712298.html sent from the robotics-worldwide mailing list archive at nabble.com."
