,year,subject,content
0,2008,"phd and post-doctoral opportunities at the clarity research centre, ireland , on wsns and ubiquitous robotics","the clarity  ireland centre is now seeking well-qualified, motivated phd researchers who want to be
part of a world-class research group in sensor and adaptive information technology.
applicants for phd (funded) positions should have/expect to achieve at least a 2.1 in computer science, electronic engineering or a related discipline with a keen interest in research.

a broad range of post-doctoral positions are also available to qualified and well motivated
individuals with clear interest in clarity's research vision.
the positions will cover a variety of research areas, including robotics, materials science,
sensor platforms, middleware, content analysis, and personalization.
motivated applicants should first identify the research package/s according to their expertise and/or interest.
applications should be sent to the relative principal investigator (pi) directly together with max one
page cover letter and cv.


research in ubiquitous robotics:
some of the available positions will address the area of robots integrated in ubiquitous,
pervasive, and intelligent environments.
such robots are part of open and distributed networks of sensors, actuators, and computing services,
which can also act as a shared information space for both the robots and the humans they interact with.
some of the relevant research directions foreseen within this area are:
-     the application of agent-oriented software engineering (aose)          
      and multi-agent system (mas) coordination techniques to develop        
      distributed and adaptive software architectures.
      these architectures are defined in terms of distributed and autonomous software modules
      (agents), which can exhibit global self-configuration properties and can also deliver context
      sensitive and personalized services to both the users and the robots in the environment.

-     the integration between robots and wireless sensor networks (wsns), that is, robots acting as
      mobile gateways or otherwise working to the advantage of networks of wirelessly connected   
      sensors, e.g.  carrying out maintenance, localization, and calibration operations in applications
      such as security, search & rescue, and surveillance systems.

further information:
the clarity cset is a partnership between university college dublin and dublin city university,
supported by research at the tyndall national institute (tni) cork.
clarity is a collaboration between a number of specialist teams across the institutions who
have already strong track records in sensor technology. it builds on work undertaken by the
sfi-funded adaptive information cluster, which is led by 5 principal investigators from ucd and dcu.

the clarity centre is located in the school of computer science and informatics, university college dublin (ucd)
in dublin, ireland. ucd has over 22,000 students including 2,500 international students from over 80 countries and is situated on a large modern campus 4 km to the south of the centre of dublin.

find general information about vacancies at the clarity centre at http://www.clarity-centre.org/vacancy.
the application form can be downloaded at: http://www.clarity-centre.org/files/csi-pgrad-app.doc
the application should be sent to one of the principal investigators (pis)
(see http://www.claritycentre.org/content/principal-investigator)
applications inherent to robotic research can be addressed to gregory oíhare (gregory [dot] ohare [at] ucd [dot] ie).
requests for further information can be sent to mauro dragone (mauro [dot] dragone [at] ucd [dot] ie).


--------------------------------------------------------------------------------------------------------------
dr. mauro dragone
clarity centre
school of computer science and informatics
university college dublin
belfield, dublin 4, ireland 
room a0.06/g9
phone: +353 1 716 2491
email: mauro.dragone at ucd.ie
"
1,2011,"one postdoctoral and one phd position in the new european project rubicon (robotic ubiquitous cognitive networks), at university college dublin (ucd), ireland","university college dublin (ucd), ireland, offers one postdoctoral and one phd position 
within the european research project rubicon (robotic ubiquitous cognitive network).

the positions are within the clarity centre for sensorweb technology group 
(http://www.clarity-centre.org) headed by prof. gregory m.p. o'hare.

with rubicon, ucd will co-ordinate a world-leading consortium at the forefront of research 
in  cognitive robotics and wireless sensor network (wsn) to create a  self-learning robotic ecology consisting of a network of sensors,  effectors and mobile robot devices.

enabling robots to seamlessly operate as part of these robotic ecologies is an important challenge
for robotics r&d, in order to support applications such as aal, environmental monitoring, and security.

a rubicon ecology will be able to teach itself its  environment and learn to improve the way it carries out different tasks.  its participants will mutually support one  another’s learning, in order to dentify, commission and fulfil tasks  more effectively and efficiently. 
to achieve this, the  project will combine robotics,  efficient component & data  abstraction, 
multi-agent systems, robot/wsn middleware, novelty detection, dynamic planning,  
with statistical and computational neuroscience methods. 
validation will  take place using two application scenarios.

the research work in ucd will focus specifically on deliberation and control,
with an emphasis on middleware services for introspection, multiagent learning, 
adaptive goal deliberation / plan selection, and how hard and soft ai reasoning methods 
can be integrated to achieve continuous learning.

background required: the successful phd applicant is expected to possess 
a strong background in computer science and specifically artificial intelligence. 
knowledge in robotics and/or multiagent systems is a plus.

workplace: 
ucd is the largest irish university, with over 20,000 registered students, 
and  one of the world's top 100 universities. 
innovative research is a priority for the university and it enjoys a very successful, 
vibrant research community active across all discipline. 
it  has exhibited substantial research activity in agent, robotics, and  wireless sensor network related areas through its participation in  several irish, international and ec funded projects

interested candidates should send a detailed curriculum vitae, 
letter of application, copies of relevant university transcripts/most relevant publications
and for non native english speakers evidence of english language competence (toefl, ielts) to mauro.dragone at ucd.ie.

these positions are available from the 1st of april or as soon thereafter as possible.

informal inquiries can be made by email to mauro dragone (mauro.dragone at ucd.ie).

mauro dragone, phd
clarity centre for sensorweb technology
school of computer science and informatics
university college dublin (ucd)
belfield, dublin 4, ireland
tel: +353 (0)1 716 2491
e-mail: mauro.dragone at ucd.ie
"
2,2013,invitation to robotics summer school on embodiment and morphological computation,"esmcs robotics summer school on embodiment and morphological 
computation, september 22-28,2013


_summerschool2013.esmcs.eu_ <http://summerschool2013.esmcs.eu/>


*invitation*
we cordially invite you to the esmcs robotics summer school ""embodiment 
and morphological computation"", which will take place at the university 
of zurich, switzerland in september 2013. the school will give a 
comprehensive overview of the state-of-the art in the fields of embodied 
robot cognition, morphological computation and neuronal mechanisms of 
enactive cognition. in addition it aims at connecting renowned 
researchers in the field with students and post-docs who are interested 
in the corresponding subjects.


the school will be the third in a series of summer schools funded and 
organized by the eu fp-7 project ""extending sensorimotor contingencies 
to cognition - esmcs"" (esmcs.eu <http://esmcs.eu/>). this year the 
school is jointly organized by the artificial intelligence lab at the 
university of zurich (www.ailab.ch <http://www.ailab.ch/>) and the dept. 
of neurophysiology at the uke hamburg (uke.de/neurophysiology 
<http://uke.de/neurophysiology>).


*content*

the five-day school will be structured around the following themes:

1. embodiment and morphology

2. active perception and sensorimotor contingencies

3. information theory

4. neuroscience of motor cognition

5. embodiment and awareness


the school will comprise keynote lectures in the mornings and robot 
workshops in the afternoons, which serve for in-depth discussions of 
topics from the keynote lectures. the workshops will feature hands-on 
tutorials where students will have the opportunity to build their own 
robots using the robotic toolkit embedit (embed-it.ch/ 
<http://embed-it.ch/>) to study the impact of morphology on locomotion 
behavior.


participation in the school will be free of charge, but participants 
will have to cover their own expenses.


*confirmed speakers:*

auke iijspeert, epfl lausanne, switzerland.

josh bongard, university of vermont, usa

fumiya ida, eth zurich, switzerland

marek mcgann, mary immaculate college, limerick,  ireland  

wolfgang prinz, university of münster, germany 

daniel polani, university of hertfordshire, uk 

rajesh rao, university of washington, usa 

ricarda schubotz, university of münster, germany 

angelo maravita, university of milano-bicocca, italy 

catherine tallon-baudry, école normale supérieure, paris, france 

herbert peremans, university of antwerp, belgium 

rolf pfeifer, university of zurich, switzerland 

helmut hauser, university of zurich, switzerland


*important dates:*

- application deadline: 31.7.2013

- notification of acceptance: 9.8.2013

- summer school: 22.9.-28.9.2013


*how to apply:*

the school is open to 50 phd students and post-docs who are working on 
the themes addressed. interested participants shall submit written 
information on their scientific background, projects involved, and 
motivation to attend. admission will be on a competitive basis.


applications should be sent via email to esmcs-summerschool at ifi.uzh.ch 
<mailto:esmcs-summerschool at ifi.uzh.ch>. please state on a single page 
(11pt font):

-your scientific background and degree

-your motivation to come to this school

-the topic of your thesis

-any prior knowledge in the field

participation in the school is free.


*further information**:*
all relevant information can be found at summerschool2013.esmcs.eu 
<http://summerschool2013.esmcs.eu/>. for further questions, please don't 
hesitate to contact us (esmcs-summerschool at ifi.uzh.ch 
<mailto:esmcs-summerschool at ifi.uzh.ch>). previous schools in this series 
were ""the future of the embodied mind"", held 2011 in san sebastián, 
 spain  (summerschool2011.esmcs.eu/ <http://summerschool2011.esmcs.eu/>), 
and a conjunction with the ""barcelona cognition, brain and technology 
summer school"" in 2012 (bcbt.upf.edu/bcbt11/ <http://bcbt.upf.edu/bcbt11/>).


on behalf of the esmcs consortium,


rolf pfeifer, ai-lab, university of zurich

andreas engel, dept. of neurophysiology, uke hamburg



-- 
nico schmidt, ph.d. student
artificial intelligence laboratory
dept. of informatics, university of zurich
andreasstr. 15, ch-8050 zurich, switzerland
phone: +41 (0) 44 63 54563
fax:   +41 (0) 44 63 54507
email: nico.schmidt at uzh.ch
web: http://www.ifi.uzh.ch/ailab/nschmidt"
3,2014,phd scholarships at the cognitive robotics lab of the university of ulster.,"with apologies for cross-posting.

   dear colleagues,

several phd opportunities are available at cognitive robotics team of the university of ulster (uu), northern ireland, uk. 

the cognitive robotics group at the intelligent systems research centre is one of the largest robotics research centres in the uk. the main research facility of the group is a large robotics laboratory equipped with a powered floor for continuous robot operation, one pr2 robot, four scitos robots, three industrial manipulators, one shadow hand, 10 pioneer robots and a vicon tracking system that allows motion tracking at sub-millimetre accuracy several hundred times per second. the group's research focuses on bio-inspired signal processing and computer vision, bio-robotics, cognitive architectures for robotics and machine learning for robot control.

the intelligent systems research centre is a major research unit within the faculty of computing and engineering at the university of ulster. the centre is composed of 90 researchers including academic staff, research fellows and phd students in the domains of robotics, neuroscience, computer science and engineering. the aim of the centre is to create systems that are capable of learning, evolving, adapting, self-organising and communicating effectively with humans and other machines, and draws inspiration from biology, neuroscience and psychology. the isrc is part of the university’s computer science research institute which was ranked 15th in most recent uk research assessment exercise (rae) assessment in 2008.

how to apply:
candidates interested in applying for a phd scholarship in robotics must complete the appropriate university application form and submit it to the university's research office before the 28th of february. for further information on how to apply:

http://www.compeng.ulster.ac.uk/rgs/guideforapplicants.php

for information on the proposed research topics:

http://www.compeng.ulster.ac.uk/rgs/showphdproposals.php?ri=3

for informal enquiries contact: 

prof. martin mcginnity
director of the isrc
e-mail: tm.mcginnity at ulster.ac.uk
phone: +44 (0)28 716 75616

kind regards,

inaki.
-------------------------------------------------
inaki rano
intelligent systems research centre
university of ulster
northland road
derry
northern ireland bt48 j7l"
4,2015,"robotics engineer position at daqri,  los angeles, ca"," are you a kick ass robotics engineer/designer/scientist? do you dream about a future with robots and augmented reality? did you build your first robot out of crib parts when you were 1 year old***? if you had a billion dollars would you immediately spend it all building an armored exoskeleton? as long as you have dreamed this big and are willing to dream bigger, you may be a good fit. this job will be ridiculously hard. we need a robotics engineer that has the potential to be among the best in the world to join our team of computer vision software and hardware scientists to bridge the gap between robotics and augmented reality. seriously, if you want an easy job this is not the job you're looking for, move along ... move along. you would have to work with a lot of specialists across disciplines, the hours are long and the risks are high. there is always a chance of failure, but if we are successful and achieve our goal, we will change the world in a way that you can barely imagine. what if people could learn anything, wherever they are? what if there was a device that could help anyone to become an expert at anything? that is the world we want to live in, and that is what we are making. now add robots. big robots, little robots, the really, really small ones too, in swarms, lots of those! we want people to become experts at anything, and we want robots to help them do it****! you must be passionate about robotics, human machine interfaces, and empowering people with knowledge. the robotics engineer will be a part of a team that works directly with our ceo to help us enable a world where robots that are ready to fly, drive, and walk without the leash of a remote control can interact with people who have been empowered with the most amazing human machine interface technologies we have ever imagined. we expect you to be really, really good at what you do. we expect that you do all things robot including hardware, software, control, navigation, etc.***** <http://hire.jobvite.com/companyjobs/careers.aspx?c=qnv9vfw6&jvprefix=http%3a%2f%2fdaqri.com&jvresize=http%3a%2f%2fdaqri.com%2fcontent%2fthemes%2fdaqri-reboot%2fframeresize.html&v=1&page=job%20description&j=o15y1fwp> we expect you to be a nice person, we don't really get along with people who aren't nice, its pretty much our thing. if that is inconvenient for you, we're sorry ... but it's just not going to work out. professional or academic experience with unmanned aerial vehicles is a must. grueling hours negotiable, changing history guaranteed. *minimum requirements*: degree in robotics, computer science, mechanical or electrical engineering ******. research experience that includes flying robots, academic or otherwise. experience with robotic navigation covering multiple methods of locomotion. experience with exoskeleton design and control systems is highly desired for an active project*******. *** of course that's not possible ... unless it is, then call us right away! **** if you already see how important those things are together, we are going to get along just fine. ***** see the list in the 5th paragraph above referencing large, small, and really, really small robot types for more details (or 6th paragraph ... if you want to count the dangling sentence in the middle as a paragraph). ****** alternately a portfolio of work that includes a fully functional robot made of crib parts that has been in service for a number of years that is approximately equal to your age - 1 year. ******* the best part about this job is that this part is real. if that excites you as much as it excites us (it excites us a lot), we should talk. *about daqri* daqri <http://www.daqri.com/> is the leading augmented reality/4d company focused on transforming the future of work.   it delivers the most innovative hardware and software that is bridging the gap between potential and experience.  daqri works with the world?s largest and most respected companies to enhance human abilities by seamlessly connecting people to their environments and providing relevant information instantaneously. the daqri smarthelmet and 4d studio authoring platform deliver cutting-edge enterprise solutions in industrial, manufacturing, oil & gas, aerospace, and more.  daqri is headquartered in los angeles with an r&d facility in sunnyvale, ca and a development center in dublin, ireland . all applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin. *how to apply?* please apply through this link <http://hire.jobvite.com/companyjobs/careers.aspx?c=qnv9vfw6&jvprefix=http%3a%2f%2fdaqri.com&jvresize=http%3a%2f%2fdaqri.com%2fcontent%2fthemes%2fdaqri-reboot%2fframeresize.html&v=1&page=job%20description&j=o15y1fwp> : *http://goo.gl/gd87ek <http://goo.gl/gd87ek>*"
5,2015,"robotics engineer position at daqri, 	hastings, uk"," are you a kick ass robotics engineer/designer/scientist? do you dream about a future with robots and augmented reality? did you build your first robot out of crib parts when you were 1 year old***? if you had a billion dollars would you immediately spend it all building an armored exoskeleton? as long as you have dreamed this big and are willing to dream bigger, you may be a good fit. this job will be ridiculously hard. we need a robotics engineer that has the potential to be among the best in the world to join our team of computer vision software and hardware scientists to bridge the gap between robotics and augmented reality. seriously, if you want an easy job this is not the job you're looking for, move along ... move along. you would have to work with a lot of specialists across disciplines, the hours are long and the risks are high. there is always a chance of failure, but if we are successful and achieve our goal, we will change the world in a way that you can barely imagine. what if people could learn anything, wherever they are? what if there was a device that could help anyone to become an expert at anything? that is the world we want to live in, and that is what we are making. now add robots. big robots, little robots, the really, really small ones too, in swarms, lots of those! we want people to become experts at anything, and we want robots to help them do it****! you must be passionate about robotics, human machine interfaces, and empowering people with knowledge. the robotics engineer will be a part of a team that works directly with our ceo to help us enable a world where robots that are ready to fly, drive, and walk without the leash of a remote control can interact with people who have been empowered with the most amazing human machine interface technologies we have ever imagined. we expect you to be really, really good at what you do. we expect that you do all things robot including hardware, software, control, navigation, etc.***** <http://hire.jobvite.com/companyjobs/careers.aspx?c=qnv9vfw6&jvprefix=http%3a%2f%2fdaqri.com&jvresize=http%3a%2f%2fdaqri.com%2fcontent%2fthemes%2fdaqri-reboot%2fframeresize.html&v=1&page=job%20description&j=o15y1fwp> we expect you to be a nice person, we don't really get along with people who aren't nice, its pretty much our thing. if that is inconvenient for you, we're sorry ... but it's just not going to work out. professional or academic experience with unmanned aerial vehicles is a must. grueling hours negotiable, changing history guaranteed. *minimum requirements*: degree in robotics, computer science, mechanical or electrical engineering ******. research experience that includes flying robots, academic or otherwise. experience with robotic navigation covering multiple methods of locomotion. experience with exoskeleton design and control systems is highly desired for an active project*******. *** of course that's not possible ... unless it is, then call us right away! **** if you already see how important those things are together, we are going to get along just fine. ***** see the list in the 5th paragraph above referencing large, small, and really, really small robot types for more details (or 6th paragraph ... if you want to count the dangling sentence in the middle as a paragraph). ****** alternately a portfolio of work that includes a fully functional robot made of crib parts that has been in service for a number of years that is approximately equal to your age - 1 year. ******* the best part about this job is that this part is real. if that excites you as much as it excites us (it excites us a lot), we should talk. *about daqri* daqri <http://www.daqri.com/> is the leading augmented reality/4d company focused on transforming the future of work.   it delivers the most innovative hardware and software that is bridging the gap between potential and experience.  daqri works with the world?s largest and most respected companies to enhance human abilities by seamlessly connecting people to their environments and providing relevant information instantaneously. the daqri smarthelmet and 4d studio authoring platform deliver cutting-edge enterprise solutions in industrial, manufacturing, oil & gas, aerospace, and more.  daqri is headquartered in los angeles with an r&d facility in sunnyvale, ca and a development center in dublin, ireland. all applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin. *how to apply?* please apply through this link <http://hire.jobvite.com/companyjobs/careers.aspx?c=qnv9vfw6&jvprefix=http%3a%2f%2fdaqri.com&jvresize=http%3a%2f%2fdaqri.com%2fcontent%2fthemes%2fdaqri-reboot%2fframeresize.html&v=1&page=job%20description&j=o15y1fwp> : *http://goo.gl/gd87ek <http://goo.gl/gd87ek>*"
6,2015,"lead robotics engineer at daqri, 	hastings, united kingdom"," are you a kick ass robotics engineer/designer/scientist? do you dream about a future with robots and augmented reality? did you build your first robot out of crib parts when you were 1 year old***?if you had a billion dollars would you immediately spend it all building an army of flying robots to do your bidding? as long as you have dreamed this big and are willing to dream bigger, you may be a good fit. this job will be ridiculously hard. we need a lead robotics engineer that has the potential to be among the best in the world to integrate our team of computer vision software and hardware scientists to bridge the gap between robotics and augmented reality. seriously, if you want an easy job this is not the job you're looking for, move along ... move along. you will have to work with a lot of specialists across disciplines, the hours are long and the risks are high. there is always a chance of failure, but if we are successful and achieve our goal, we will change the world in a way that you can barely imagine. what if people could learn anything, wherever they are? what if there was a device that could help anyone to become an expert at anything? that is the world we want to live in, and that is what we are making. now add robots; make that flying robots. big robots, little robots, the really, really small ones too, in swarms, lots of those! we want people to become experts at anything, and we want robots to help them do it! you must be passionate about robotics, human machine interfaces, and empowering people with knowledge. the lead robotics engineer will be part of a team that will help us enable a world where robots that are ready to fly, drive, and walk without the leash of a remote control. we expect you to be really, really good at what you do. we expect that you do all things robot including use case definition, hardware, software, automatic control & stability and flight operations, ect?** we expect that you bring an intense desire to create novel sensing platforms? we will bring the necessary materials. genius co-workers will be provided. we expect you to be a nice person; we don't really get along with people who aren't nice, its pretty much our thing. if that is inconvenient for you, we're sorry ... but it's just not going to work out. professional experience with uavs is a must. grueling hours negotiable, changing history guaranteed. *minimum requirements*: master or phd degree in robotics, computer science, mechanical or electrical engineering*****. 5+ years of professional / industry experience. at least 1 year of experience with uavs, including navigation. experience leading a team of engineers to develop creative solutions within the field of robotics. experience with control systems. *** of course that's not possible... unless it is, then call us right away! **** see the list in the 5th paragraph above referencing large, small, and really, really small robot types for more details (or 6th paragraph ... if you want to count the dangling sentence in the middle as a paragraph). ***** alternately a portfolio of work that includes a fully functional robot made of crib parts that has been in service for a number of years that is approximately equal to your age - 1 year. *about daqri* *daqri* <http://www.daqri.com/> is the leading augmented reality/4d company focused on transforming the future of work.   it delivers the most innovative hardware and software that is bridging the gap between potential and experience.  daqri works with the world?s largest and most respected companies to enhance human abilities by seamlessly connecting people to their environments and providing relevant information instantaneously. the daqri smarthelmet and 4d studio authoring platform deliver cutting-edge enterprise solutions in industrial, manufacturing, oil & gas, aerospace, and more.  daqri is headquartered in los angeles with an r&d facility in sunnyvale, ca and a development center in dublin, ireland. all applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin. *how to apply?* please apply through the following link: http://goo.gl/iejhgu"
7,2016,3-year ph.d. robotics studentships at 	ulster university in-reply-to: <56bca68f.6090907@ulster.ac.uk> references: <56bca68f.6090907@ulster.ac.uk>," the intelligent systems research centre (isrc) at ulster university, uk, invites applications for 3-year ph.d. studentships. a list of studentships offered for the year 2016 and the projects? details can be found at: https://urldefense.proofpoint.com/v2/url?u=http-3a__www.compeng.ulster.ac.uk_rgs_showphdproposals.php-3fri-3d3&d=cwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=hfexqfiyx0eb563r9zuzvxqn7ogxixicjfqmhkll8sg&s=vpfqukovzzgsw_omzo889clenbmu6u2jsrav7a86hf8&e=  the cognitive robotics research team at the isrc focuses on novel, advanced control methods for autonomous robots, merging approaches from artificial intelligence, cognitive science and engineering https://urldefense.proofpoint.com/v2/url?u=http-3a__isrc.ulster.ac.uk_cognitive-2drobotics-2dteam_cognitive-2drobotics-2dteam-2dfacilities.html&d=cwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=hfexqfiyx0eb563r9zuzvxqn7ogxixicjfqmhkll8sg&s=sbvoaz_saqzvxw2_iozf4vwjot5igy3gbknlx256bw4&e=  the application process for the ph.d. studentships is opened with a closing date for applications on the 26th february 2016. all studentships, which are highly competitive, are expected to start in september 2016, and include tuition fees and an annual maintenance allowance for eu and non-eu students. all applicants should hold a first or upper second class honours degree (or equivalent) in an appropriate subject, such as computer science/electrical engineering or a related area. if you wish to apply for a studentship, please follow the instructions at: https://urldefense.proofpoint.com/v2/url?u=http-3a__www.ulster.ac.uk_research-2dand-2dinnovation_phdresearch-2ddegrees_how-2dto-2dapply&d=cwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=hfexqfiyx0eb563r9zuzvxqn7ogxixicjfqmhkll8sg&s=4ctmwujkbtfw-mz06nairr5brmimmpru09jvsfv5h1c&e=  -- dr dermot kerr lecturer school of computing and intelligent systems ulster university ________________________________ this email and any attachments are confidential and intended solely for the use of the addressee and may contain information which is covered by legal, professional or other privilege. if you have received this email in error please notify the system manager at postmaster at ulster.ac.uk and delete this email immediately. any views or opinions expressed are solely those of the author and do not necessarily represent those of ulster university. the university's computer systems may be monitored and communications carried out on them may be recorded to secure the effective operation of the system and for other lawful purposes. ulster university does not guarantee that this email or any attachments are free from viruses or 100% secure. unless expressly stated in the body of a separate attachment, the text of email is not intended to form a binding contract. correspondence to and from the university may be subject to requests for disclosure by 3rd parties under relevant legislation. the university of ulster was founded by royal charter in 1984 and is registered with company number rc000726 and vat registered number gb672390524.the primary contact address for ulster university in northern ireland is cromore road, coleraine, co. londonderry bt52 1sa"
8,2016,closing 26th february | 3-year ph.d.  robotics studentships at ulster university," *please note applications will close on 26th february 2016* the intelligent systems research centre (isrc) at ulster university, uk, invites applications for 3-year ph.d. studentships. a list of studentships offered for the year 2016 and the projects? details can be found at: https://urldefense.proofpoint.com/v2/url?u=http-3a__www.compeng.ulster.ac.uk_rgs_showphdproposals.php-3fri-3d3&d=cwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=3sackfiko6wycjcumgght6rzpmtr1geojuq5vl3osys&s=lqvdslwaaafn9ldiflx1dmeomvge-tgh06ok0qal_na&e=  the cognitive robotics research team at the isrc focuses on novel, advanced control methods for autonomous robots, merging approaches from artificial intelligence, cognitive science and engineering https://urldefense.proofpoint.com/v2/url?u=http-3a__isrc.ulster.ac.uk_cognitive-2drobotics-2dteam_cognitive-2drobotics-2dteam-2dfacilities.html&d=cwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=3sackfiko6wycjcumgght6rzpmtr1geojuq5vl3osys&s=j1n8un5upjvvm1c-w5rj3ocelhp2hejmkfxncijlngu&e=  the application process for the ph.d. studentships is opened with a closing date for applications on the 26th february 2016. all studentships, which are highly competitive, are expected to start in september 2016, and include tuition fees and an annual maintenance allowance for eu and non-eu students. all applicants should hold a first or upper second class honours degree (or equivalent) in an appropriate subject, such as computer science/electrical engineering or a related area. if you wish to apply for a studentship, please follow the instructions at: https://urldefense.proofpoint.com/v2/url?u=http-3a__www.ulster.ac.uk_research-2dand-2dinnovation_phdresearch-2ddegrees_how-2dto-2dapply&d=cwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=3sackfiko6wycjcumgght6rzpmtr1geojuq5vl3osys&s=2i81fc7rqapvyyqkbdhqg9z0e8-c8nmpne6f6xritme&e=  -- dr dermot kerr lecturer school of computing and intelligent systems ulster university ________________________________ this email and any attachments are confidential and intended solely for the use of the addressee and may contain information which is covered by legal, professional or other privilege. if you have received this email in error please notify the system manager at postmaster at ulster.ac.uk and delete this email immediately. any views or opinions expressed are solely those of the author and do not necessarily represent those of ulster university. the university's computer systems may be monitored and communications carried out on them may be recorded to secure the effective operation of the system and for other lawful purposes. ulster university does not guarantee that this email or any attachments are free from viruses or 100% secure. unless expressly stated in the body of a separate attachment, the text of email is not intended to form a binding contract. correspondence to and from the university may be subject to requests for disclosure by 3rd parties under relevant legislation. the university of ulster was founded by royal charter in 1984 and is registered with company number rc000726 and vat registered number gb672390524.the primary contact address for ulster university in northern ireland is cromore road, coleraine, co. londonderry bt52 1sa"
9,2017,"funded ph.d. positions in robotics at 	ulster university, uk"," the faculty of computing and engineering at ulster university, uk, invites applications for 3-year ph.d. studentships. a list of studentships offered for the year 2017 and the projects? details can be found at: https://urldefense.proofpoint.com/v2/url?u=https-3a__www.ulster.ac.uk_faculties_computing-2dand-2dengineering_schools_research-2dgraduate-2dschool&d=dwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=vornhynt8gvswu40lkfpweba74ugby_qlxz8s_b_mmi&s=0e4xaxwmwv_esaefoewk9wanhgnfvjxckr416swzdzk&e=  the cognitive robotics research team at the isrc focuses on novel, advanced control methods for autonomous robots, merging approaches from artificial intelligence, cognitive science and engineering (https://urldefense.proofpoint.com/v2/url?u=http-3a__isrc.ulster.ac.uk_cognitive-2drobotics-2dteam_cognitive-2drobotics-2dteam-2dfacilities.html&d=dwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=vornhynt8gvswu40lkfpweba74ugby_qlxz8s_b_mmi&s=qzrndrztry6sgl5swyij0xr3k5cpmosihrsz0byds8a&e= ). in particular, the cognitive robotics projects for 2017 can be found at: https://urldefense.proofpoint.com/v2/url?u=https-3a__www.ulster.ac.uk_faculties_computing-2dand-2dengineering_schools_research-2dgraduate-2dschool_computer-2dscience-2dresearch-2dinstitute_intelligent-2dsystems-2dresearch-2dcentre_cognitive-2drobotics-2dteam&d=dwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=vornhynt8gvswu40lkfpweba74ugby_qlxz8s_b_mmi&s=oc4aeh3zoxolgishhu7yqzfol-nqyquusjlfy-svn18&e=  the application process for the ph.d. studentships is opened with a closing date for applications on the 24th february 2017. all studentships, which are highly competitive, are expected to start in october 2017, and include tuition fees and an annual maintenance allowance for eu and non-eu students. all applicants should hold a first or upper second class honours degree (or equivalent) in an appropriate subject, such as computer science/electrical engineering or a related area. if you wish to apply for a studentship, please follow the instructions at: https://urldefense.proofpoint.com/v2/url?u=http-3a__www.ulster.ac.uk_research-2dand-2dinnovation_phdresearch-2ddegrees_how-2dto-2dapply&d=dwigaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=vornhynt8gvswu40lkfpweba74ugby_qlxz8s_b_mmi&s=7doperu_tk4l0n7879vzvqm2pu-fstyfdb6z04-pwvu&e=  ________________________________ this email and any attachments are confidential and intended solely for the use of the addressee and may contain information which is covered by legal, professional or other privilege. if you have received this email in error please notify the system manager at postmaster at ulster.ac.uk and delete this email immediately. any views or opinions expressed are solely those of the author and do not necessarily represent those of ulster university. the university's computer systems may be monitored and communications carried out on them may be recorded to secure the effective operation of the system and for other lawful purposes. ulster university does not guarantee that this email or any attachments are free from viruses or 100% secure. unless expressly stated in the body of a separate attachment, the text of email is not intended to form a binding contract. correspondence to and from the university may be subject to requests for disclosure by 3rd parties under relevant legislation. the university of ulster was founded by royal charter in 1984 and is registered with company number rc000726 and vat registered number gb672390524.the primary contact address for ulster university in northern ireland is cromore road, coleraine, co. londonderry bt52 1sa"
