,year,subject,content
0,2007,"research assistantship in the center for autonomous robots, the college of judea and samaria, israel, and inria, grenoble, france","research assistantship in the center for autonomous robots, the college of
judea and samaria, israel, and inria, grenoble, france.

a research assistant is needed for a joint project between the center for
autonomous robots at the and college of judea and samaria in israel and
the e-motion group at inria, grenoble, france.  the project focuses on the
development of algorithms for motion planning in dynamic environments.
the research will be carried out both in israel and in france (primary
location being in israel).

required qualifications and background: b.sc. or m.sc. in mechanical
engineering or computer science, background and interest in robotics,
algorithms, computer graphics, programming.  proficiency in english.

interested candidates should send a current cv and a cover letter to:

- prof. zvi shiller
  center for autonomous robots, the college of judea and samaria
  shiller at yosh.ac.il

french contact: dr. thrierry fraichard,
           e-motion project-team, inria rhone-alpes
      thierry.fraichard at inria.fr "
1,2009,graduate student opportunity: robot control based on discrete chaotic dynamics,"==================================================================

graduate student opportunity at the ben-gurion university, israel

topic: robot control based on discrete chaotic dynamics

starting date: immediately

language requirement: english

==================================================================

 

the intelligent
<http://cmsprod.bgu.ac.il/eng/engn/ie/research+%28including+laboratories%29/
intelligent+systems/>  systems labratory at the department of industrial
engineering and management at the ben-gurion university of the negev
(http://www.bgu.ac.il <http://www.bgu.ac.il/> ) is seeking a graduate
student. 

 

execution of purposeful arm movements such as pointing, reaching and
grasping involves high computational complexities. this is because more
degrees of freedom (dof) are available in the arm than are actually needed
for reaching a target in space. the current research involves the
development of a novel robotic controller based on paradigms which belong to
the modern science of complexity such as cellular automata, self-organizing
and self-synchronization networks and discrete chaotic dynamics (dcd). we
have developed some results for mathematical modeling of brain neuronal
networks by dcd algorithms which have been demonstrated principle ability
for multi-component system control and navigation. these results could be
used for the developing of controller for robotic arm and hand motion
control.

 

candidates with engineering, computer science or mathematics background are
sought. candidates must have solid knowledge in mathematics and computer
programming. knowledge in control, an robotics is advantageous.

 

============================================================

how to apply

============================================================

 

please send your cv to sigal berman (sigalbe at bgu.ac.il) or to vladimir
gontar (galita at bgu.ac.il). if you have any questions related to the project,
please don't hesitate to contact dr. berman or prof. gontar by e-mail.

 

 

 

 

sincerely,

 

sigal berman, ph.d.

department of industrial engineering and management

ben-gurion university of the negev

p.o.b 653, 

beer-sheva 84105, israel  
phone: +972 8 647 9785 

fax:      +972 8 647 2958 

email: sigalbe at bgu.ac.il <mailto:sigalbe at bgu.ac.il> 

http://www.bgu.ac.il/~sigalbe
"
2,2009,postdocs and phd positions announcement,"would like to announce the following positions:

phd students and post-doc opportunities at the weizmann institute and 
the hebrew university, israel



topic: the control of the hyper-redundant flexible arm movements in the 
octopus



starting date: immediately



language requirement: english



phd students and postdocs are sought for research at the weizmann 
institute and at the hebrew university on the control of the 
hyper-redundant flexible arm movements in the octopus as a basis for the 
development of flexible robotic arms.  the work involves different 
computational and experimental aspects including the kinematic analysis 
of octopus movements, the development of kinematic and dynamic models 
and investigations of the control strategies used by the octopus in the 
control of unconstrained,
grasping and contact tasks and the development of suitable neural 
networks and computational models. these research topics involve the use 
of behavioral, neurobiological and computational approaches. however the 
amount of emphasis on experimental versus computational approaches will 
differ depending on the specific project, the students/postdocs 
background and interest, etc.

the research work will be part of a work of a eu funded research project 
led by a computational motor control scientist and neurobiologists 
within a research team composed of neuroscientists and roboticists 
working on the project.  interest in neuroscience and specifically in 
motor control, biomechanics and robotics are preferred but individuals 
with knowledge and educational background in computational neuroscience 
and neuroscience in general, physics, applied mathematics, computer 
science, engineering (mechanical, biomedical, electrical), 
bioinformatics or related areas may also apply. programming skills are 
expected.

a description of the work of the team and prior publications can be 
found in

*http://www.octopus.huji.ac.il*

_how to apply_:

please send your cv and contact information to tamar flash (email: 
tamar.flash at weizmann.ac.il). if you have any questions related to the 
project, please don't hesitate to contact prof. tamar flash by e-mail"
3,2010,phd positions in interactive robotics,"dear colleagues,

the intro project (interactive robotics research network) is offering 10
research positions (8 phd student positions starting in 2010 and 2
post-doctoral positions starting in 2011) in the interdisciplinary areas of
interactive robotics; cooperative robot learning, cognitive human-robot
interaction (hri) and intelligent interface design. 

intro aims to create a new generation of robotic researchers with a broad
understanding of the research and technologies needed to build intelligent
robots that function in close interaction with humans in unstructured, changing
“real word” conditions. the training has a strong multidisciplinary
approach complemented by specialized domain knowledge. young researchers will
work closely with industries, endowing them with insight and understanding of
the industrial product life-cycle and valuable hands-on experience of top-level
industrial robot development. by blending complementary skills, intro will
improve the career perspectives of young researchers, in both academic and
industrial sectors. this will be achieved through a transnational network of
universities and robot companies, with senior researchers from different
disciplines (robotics, artificial intelligence, cognitive sciences, human
factors) coming from different ‘schools-of-thought’ (computer sciences,
industrial engineering, psychology). 
web site: http://introbotics.eu/

intro is funded by the european commission as part of the fp7 program and
involves 6 partners:
– umeå university,  sweden 
– ben-gurion university of the negev, israel
– humboldt-universität zu berlin, germany
– space applications services, belgium
– robosoft, france
– university of the west of england, uk

each phd student will be stationed at one of the universities and will also
undergo a secondment and visit other partners. the post-doctoral researchers
will be stationed at one of the partner companies, with several visits to the
other partners’ institutions. the following positions are offered:
• umea university,  sweden  
- phd2: learning from demonstration and imitation
- phd5: emotional interaction
• ben-gurion university of the negev, israel
- phd1: learning inspired by cognitive psychology
- phd8: intelligent interface design
• humboldt-universität zu berlin, germany 
- phd3: behaviour and intention recognition for human-robot learning
- phd4: dynamic gesture analysis
• university of the west of england, uk 
- phd6: robot safety and interaction
- phd7: failure detection and recovery

each recruited researcher will join a training program comprising the following
major components: an individual research project conducted in close cooperation
with researchers from the partner universities and industries; a network-wide
training program that includes regular courses and courses in complementary
skills (such as project management and proposal writing); seminars and
workshops. 
the intro partners recognize the importance of gender equality and are
committed to it in all aspects of the project.

for more information on intro and the open positions, please visit
http://introbotics.eu/ 

according to marie-curie rules, applicants must be in their first 4 years
(full-time equivalent) since gaining a university degree which would entitle
them to embark on doctoral studies. 

an applicant for a positions must not be a citizen of the country in which the
associated university is located (exceptions apply, see below).

each position has to be applied for separately. 

common closing date for all applications: 15th of april 2010. 

anticipated start date: 1st of september 2010 or earlier.


with best regards,
verena hafner

-- 
http://koro.informatik.hu-berlin.de/
"
4,2010,"available post-doc position on human robot interface design, robosoft, france","marie curie early stage research training in interactive robotics
a postdoctoral position for 24 months is available in a technological
development project focusing on interaction to work in the field of human
robot interface design. this experienced researcher position is funded by
the european union as part of the “intro” marie curie initial training
network which in total offers 2 experienced researcher and 8 phd positions
in the interdisciplinary areas of interactive robotics; cooperative robot
learning, cognitive human-robot interaction (hri) and intelligent interface
design. intro involves 6 partners: umea university,  sweden ; ben-gurion
university of the negev, israel; humboldt-universität zu berlin, germany;
university of the west of england, uk; space applications services, belgium,
and robosoft, france. 
according to marie-curie rules, experienced researchers must, at the time of
the relevant deadline for submission or selection by the host organization,
depending on the action, either be in possession of a doctoral degree,
irrespective of the time taken to acquire it, or have at least four years of
full-time equivalent research experience, including the period of early
stage research. the applicant must not be a national of france unless the
applicant holds also another nationality, and has not resided in france
during the previous 5 years. at the time of appointment, the applicant must
not have resided or carried out his/her main activity in france for more
than 12 months in the 3 years immediately prior to his/her appointment.
exceptions are given if the applicant has legally resided and had his/her
main activity in a non–associated third country for at least 3 of the last 4
years immediately prior to his/her appointment.
this appointment will be through the company robosoft. in the proposed
project, the experienced researcher will focus on development of advanced
interfaces and interaction techniques. its first task will be to identify
the company needs and requirements. during the first three months, he or she
will study the specific robotics systems at the industry and meet with the
phd students of the project to evaluate the developments. he or she will be
responsible for transferring the results from the other research projects
into the robosoft company operational robots.
software bricks developed during the project, using the microsoft robotics
developer studio software, will be implemented in the robulab 10 robot. the
experienced researcher will implement some chosen results on robosoft robots
that target promising markets and demonstrate the benefits of enhanced
flexibility and adaptability obtained by virtue of more advanced
interactivity with humans.
trainees must register for a postdoctoral position at robosoft company,
france. one part of the project will be conducted at ben-gurion university
of the negev, beer sheva, israel.
the applicant must have completed an early stage research in engineering,
computer sciences or psychology. the applicant must be skilled in both oral
and written communication in english, be able to work independently as well
as in collaboration with others. experience in artificial intelligence,
robotics, cognitive science and visual c# programming are merits. the
application should contain a cv, academic grades, a copy of degree project
report and any publications, personal references (one from the early stage
research advisor) and one a4 sheet describing the personal motivation for
applying for this position.
additional details on the company are indicated in:
http://www.robosoft.com/eng/
informal enquiries should be directed to: 
dr. eric lucet,  email: eric.lucet at robosoft.com
applicants should provide all necessary registration information to dr. eric
lucet, email: eric.lucet at robosoft.com
additional project information can be found at http://introbotics.eu
closing date: applications should be sent as soon as possible and until
january 30 2011; 
anticipated start date: june 1 2011 or earlier.
--------------------------------------------------------
eric lucet
cell phone: + 33(0) 662 687 355
tel: + 33(0) 144 276 282 (paris 6 university)
www.robosoft.fr
robosoft - technopole d’izarbel – f-64210 bidart
tel: + 33(0) 559 415 360 – fax : + 33(0) 559 415 379
--------------------------------------------------------"
5,2012,"open phd positions - learning and interaction lab, department of advanced robotics, italian institute of technology (iit)","** phd positions in machine learning and human-robot interaction **
** theme 3.2 dextrous manipulation learning with bimanual compliant robots **
** theme 3.3 from human-human to human-robot collaborative skills acquisition **
** theme 3.4 learning from demonstrations in a soft robotic arm for assistance in minimally invasive surgery **

the learning and interaction lab, department of advanced robotics, italian institute of technology (iit) has a number of phd openings in the field of machine learning and human-robot interaction. the positions are fully funded, start in january 2013 and typically last 3 years. iit is an english-language research institute located in genoa, italy, a seaside mediterranean city set on the beautiful italian riviera, where the cost of living is much more affordable than many other european cities. international applications are encouraged and will receive logistic support with visa issues.

for additional information: http://programming-by-demonstration.org/phd-positions-2013.php  

application website: http://www.studenti.unige.it/postlaurea/dottorati/xxviiiciclo/iiten  

application deadline: september 21, 2012 (12 noon, italian time)

application requirements:

strongly-motivated candidates holding a master degree in computer science / engineering / mathematics or other related fields are invited to apply. applicants should ideally have a background in machine learning, robotics or human-robot interaction, with strong mathematical and computer programming skills (matlab, c++ or equivalent).

application procedure:

to apply please send a detailed cv, statement of motivation, bsc and msc transcripts, degree certificates and other support material such as reference letters to dr sylvain calinon (sylvain.calinon at iit.it). the applicants also need to fill the online application procedure from the university of genova: http://www.studenti.unige.it/postlaurea/dottorati/xxviiiciclo/iiten .


the following research topics are available:

*** stream 1: machine learning, robot control and human-robot interaction (advanced robotics - prof. darwin caldwell)

** theme 3.2 - dextrous manipulation learning with bimanual compliant robots

robotic systems get increasingly complex with the fast development of new hardware and sensing technologies, not only with respect to the number of motors and sensors, but also with respect to the new actuation/perception modalities that will be endowed in tomorrow's robots. one such new perspective is to go beyond reference trajectory tracking control by exploiting active and/or intrinsic compliance capabilities of the robots. such perspective requires us to redefine the machine learning problems towards a flexible regulation of stiffness and damping behaviors. with the fast development and expected widespread use of these new robot technologies, one key element for robot learning by imitation and exploration is to flexibly encode the learned skills with a minimum number of efficient control variables. the aim is to guarantee generalization and adaptation capabilities while avoiding to grow with the number of articulations or sensory modalities, in order to ensure real-time adaptive behavior.

the problem of bimanual coordination in such new settings needs to be thoroughly revisited. this phd proposal will address research themes such as learning and adaptation of local sensory-motor activity couplings. the principle of reducing the complexity of a non-linear trajectory by representing it as a superposition of simple local motion elements (or movement primitives) will be extended to concepts such as impedance primitives or synergy primitives.

the role of haptics in dextrous manipulation skill acquisition will be explored in the context of bidirectional social teaching interaction with the compliant full humanoid robot coman, as well as in an industrial context with an innovative cooperative manufacturing setup based on two 7 dofs compliant manipulators with sensorized hands.


** theme 3.3 - from human-human to human-robot collaborative skills acquisition

the recent introduction of robots with compliant capabilities into the robotics market has opened up a host of new, human-centric research possibilities, for scientists working in the fields of robot learning and social robotics. two examples include kinesthetic teaching and human-robot cooperation. because robots are no longer ""put behind fences"", they are increasingly capable of executing tasks in collaboration with human users. such human-robot collaboration requires engineers to make drastic changes in the way robots move, learn and interact with users. this phd proposal addresses the problem of transferring collaborative manipulation skills to robots in a user-friendly manner. such skills involve rich and diverse behaviors such as the assignment of leader/follower behaviors, passive/active roles switching, specialization, turn-taking, compliance, inter-agent synchronization, action anticipation, and the use of non-verbal cues to communicate intent.

there are clear limitations to engineering solutions currently being used to implement such skills in robots. critically, these skills sometimes appear to us as naturally grounded. it is proposed to study how versatile robotic peers could be developed, by looking at human-human collaboration to gain a better understanding of the mechanisms supporting the acquisition of collaborative manipulation skills.

the neurocognitive mechanisms supporting human-human cooperation will be studied in collaboration with prof. roger newman-norlund, director of the division of motor control and rehabilitation at the university of south carolina. the nature and roles of mutual responsiveness, complementary action, intention recognition and empathy in joint action will be studied from behavioral, psychological and cognitive neuroscience perspectives, by considering the performance of human-human dyads comprised of healthy subjects and subjects with impaired social abilities (i.e. autism).

the human-robot cooperation experiments will be conducted with the compliant full humanoid robot coman, as well as with two 7 dofs compliant manipulators with sensorized hands.


** theme 3.4 - learning from demonstrations in a soft robotic arm for assistance in minimally invasive surgery

this phd proposal takes place within the stiff-flop project (stiffness controllable flexible and learn-able manipulator for surgical operations), which is a collaboration with 11 universities, research institutes and companies in europe (kcl, uk, sssa, italy, tri,  spain , piap, poland, huji, israel, uos, uk, usiegen, germany, shadow, uk, frk, poland and eaes, netherlands).

in minimally invasive surgery, tools go through narrow openings and manipulate soft organs that can move, deform, or change stiffness. there are limitations in current robot-assisted surgical systems due to the rigidity of robot tools. a soft robotic arm will be available within the project to manipulate objects while controlling the stiffness of selected body parts. this phd proposal will focus on the learning, human-robot interaction and variable compliance manipulation aspects.

the objective is to exploit the relevant statistical information contained in multiple demonstrations from the teleoperator to learn force/position control manoeuvres so that the teleoperator can, over time, concentrate on high level decisions while the robot takes care of low level reactive control manoeuvres in a semi-autonomous fashion. the phd candidate will conduct robotic experiments to answer a number of key questions in applied machine learning to control the stiffness of selected parts of the body, to move in a constrained space, and to exert desired forces on soft objects with uncertain impedance parameters.

probabilistic models such as hidden markov models (hmm) and gaussian mixture regression (gmr) will be explored to learn control policies that take into account variability and correlation information collected by consecutive trials. the learning problem will be explored in tight connection with the control problem to orchestrate the degrees of coupling of the flexible arm that best suit the statistics of the task (e.g., by stiffening the arm in task relevant dimensions).


--
sylvain calinon, phd
team leader - learning and interaction lab,
department of advanced robotics,
italian institute of technology (iit),
via morego 30, 16163 genova
http://www.iit.it/en/advr-labs/learning-and-interaction.html  
http://programming-by-demonstration.org/sylvaincalinon/   

--
in order to comply with the italian law (art. 23 of privacy law of the italian legislative decree n. 196/03), we have to kindly ask the candidate to give his/her consent to allow us to process his/her personal data. we inform you that the information you provide will be used solely for the purpose of assessing your professional profile to meet the requirements of istituto italiano di tecnologia. your data will be processed by istituto italiano di tecnologia, with headquarters in genoa, via morego 30, acting as the data holder, using computer and paper based means, observing the rules on protection of personal data, including those relating to the security of data. please also note that, pursuant to art.7 of legislative decree 196/2003, you may exercise your rights at any time as a party concerned by contacting the data manager."
6,2014,postdoc and ph.d. positions in the ben-gurion university of the negev,"==================================================================
postdoc and phd student opportunity at the ben-gurion university, israel

topic: natural interfaces for telerobotic manipulation  

starting date: 1 october 2014 or earlier

language requirement: english
==================================================================

a postdoc and a phd student are sought for a multidisciplinary project funded by the abc (agricultural, biological and cognitive robotics) initiative at the ben-gurion university. the project leading team is comprised of prof. amir karniel from the dept. of biomedical engineering, prof. tzvi ganel from the dept. of psychology and dr. sigal berman from the dept. of industrial engineering. 

remote robotic manipulation requires a tremendous amount of integration of perception, cognition, and action within and between the agents (the human and the robot). this proposal aims at advancing our understanding of human motor control in remote manipulation tasks and utilizing this knowledge for developing improved telerobotic systems. we specifically target remote manipulation of soft objects, with haptic feedback. haptic feedback is of great importance for dexterous manipulation of soft, deformable objects. yet, due to inherent delays in the transmission of information between the local and remote sites, conveying realistic haptic feedback in remote manipulation systems is currently an unresolved research problem. in the course of the research we will implement and test different controllers for remote manipulation and test operator operation under both conditions. motion recognition based various methods will be tested as a basis for mapping operator motion to robot commands. 

phd applicants must have completed an msc degree in engineering, natural sciences, computer sciences or psychology with a thesis. experience in artificial intelligence, robotics, cognitive science and programming is an advantage. ph.d. candidates must submit a research proposal and pass a qualification exam on their research proposal within the first year of the phd studies. the phd thesis should be completed within a 4-year timeframe.

============================================================
how to apply
============================================================
please send a cover letter, cv, and research statement describing relevant experience to dr. sigal berman, sigalbe at bgu.ac.il. if you have any questions related to the project, please don't hesitate to contact dr. berman (sigalbe at bgu.ac.il), prof karniel (akarniel at bgu.ac.il) or prof. ganel  (tganel at bgu.ac.il) by e-mail.

closing date for applications: 30 march 2014

the ben-gurion university of the negev is an equal opportunity employer and actively seeks diversity among its employees. the salaries of postdoctoral researchers and scholarships of research students at ben-gurion university are regulated by the bgu research authority and are in accordance with the expertise assumed by the position and the cost of living in israel."
7,2014,"postdoc: motion planning, technion and ariel university, israel","opportunities for doctoral and postdoctoral students at the technion and
ariel university, israel.
 
topic:  autonomous robot navigation in dynamic urban environments. 
 
qualified postdoc and doctoral students are sought for a project funded by
the israel science ministry and lead by prof. elon rimon, technion, and
prof. zvi shiller, ariel university.   
 
this project seeks to develop and experimentally validate methodologies that
will allow driverless robot vehicles to safely navigate at high speeds in
challenging urban environments, populated by static obstacles, moving
pedestrians and vehicles.  this includes collision avoidance and motion over
cluttered urban terrain at high speeds. the research will be validated on
experimental robotic platforms and on a commercial autonomous vehicle of our
industrial partner. 
 
applicants must have msc or phd degree in mechanical engineering, electrical
engineering, or computer science  relevant to robotics.  other requirements:
good programming skills, proficiency in english in both speaking and writing
. prior experience in robot motion planning is a plus.  the research will be
performed either at the technion or at ariel university.    
 
for more information please contact 
 
prof. elon rimon
technion
rimon at technion.ac.il
 
prof. zvi shiller
ariel university
shiller at ariel.ac.il 





--
view this message in context: http://robotics-worldwide.1046236.n5.nabble.com/jobs-postdoc-motion-planning-technion-and-ariel-university-israel-tp5709094.html
sent from the robotics-worldwide mailing list archive at nabble.com."
8,2014,phd and post-doctorate student positions at ben gurion university - israel,"phd and post-doctorate student positions

seeking outstanding students for advanced research in  multidisciplinary
robotics

all applicants must be skilled in both oral and written communication in
english and be able to
work independently as well as in collaboration with others.

phd applicants must have completed an msc degree in engineering, natural
sciences, computer sciences or psychology with a thesis. experience in
artificial intelligence, robotics, cognitive science and programming is an
advantage. the application should include a cv, a list of academic grades,
a copy of degree project report, a list of publications, three personal
references (one from the msc thesis advisor) and one a4 page describing the
personal motivation for applying for this position. ph.d. candidates must
submit a research proposal and pass a qualification exam on their research
proposal within the first year of the phd studies. the phd thesis should be
completed within a 4-year timeframe. the abc robotics ph.d. scholarship
covers tuition fees and a monthly stipend. the candidate will receive a
minimum of 6,930 nis per month for a duration of 4 years.

the abc robotics postdoc scholarship is 10,116 nis per month for a duration
of 2 years.

additional requirements and details may be found at:
http://in.bgu.ac.il/en/kreitman_school/pages/admission.aspx

applicants should send all necessary registration information to ms. sima
koram, email:
simagel at exchange.bgu.ac.il as indicated in
http://aristo4bgu.bgu.ac.il/phdenglishapplication/phdapplicationform/
and send a copy of their application to: abc-robotics at bgu.ac.il

specific research topics are proposed at: www.bgu.ac.il/abc-robotics

closing date for applications: 30 march 2014 or until all positions are
filled. candidates applying
by above closing date will be informed by may 2014.

starting date: 1 october 2014 or earlier


_________________________________
amir shapiro, ph.d., senior lecturer
director, robotics laboratory
department of mechanical engineering
ben gurion university of the negev
p.o.box 653, beer sheva, israel, 84105
tel: +972-8-647-7165
mobile: +972-50-2029614
fax: +972-8-647-2813
email: ashapiro at bgu.ac.il
www: http://robotics.bgu.ac.il
_________________________________"
9,2014,"postdoc / phd in remote robotic manipulation for industrial and medical applications in ben-gurion university of the negev, israel","a postdoctoral fellow and a ph.d. student are sought for a
multidisciplinary project titled “unifying framework for perception,
cognition, and control in remote robotic manipulation”. the research will
be collaboratively conducted in the biomedical engineering and industrial
engineering and management departments at the ben-gurion university of the
negev (bgu), israel, under the joint supervision of dr. ilana nisky (bme)
and dr. sigal berman (iem).



remote robotic manipulation requires integration of perception, cognition,
and action within and between the human and robot agents. we aim at
advancing the understanding of human motor control in remote manipulation
tasks and using this knowledge for the development of improved telerobotic
systems. we will construct two telerobotic systems along with a virtual
experiment with similar characteristics. the two telerobotic setups will
consist of local manipulators that control a remote:  industrial robot and
surgical robot.

together, these systems form a setup for testing hypotheses about human
sensorimotor control and their implication on robotic systems design and
control in a variety of complicated, real-life tasks. we focus on remote
manipulation of soft objects with haptic feedback, which is of great
importance for dexterous manipulation of soft, deformable objects, taking
into account the specific requirements of the industrial and medical
applications.



the project is funded by the new bgu abc (agricultural, biological,
cognitive) robotics initiative
http://in.bgu.ac.il/en/robotics/pages/default.aspx and the successful
candidates will become members of abc robotics as well as the zlotowski
center for neuroscience http://in.bgu.ac.il/en/zlotowski/pages/default.aspx.
the scholarships offered by the abc robotics initiative are very
competitive in israeli standards and cost of living. in addition, we will
be happy to sponsor application to external funding agencies in the home
countries of the applicants, such as the fulbright fellowship for us
nationals http://fulbright.org.il/en/?page_id=1024 or the azrieli
fellowship for canadian graduates
http://fellows.azrielifoundation.org/pages-en-28.



the applicants should have a degree in engineering (biomedical, electrical,
industrial, or mechanical) or computer science. a background in robotics
with empirical research is considered an advantage. the candidate should
have good communication skills in english, both in speaking and in writing.



please send your application via email to dr. sigal berman,sigalbe at bgu.ac.il
 or dr. ilana nisky, nisky at bgu.ac.il and include:

   1. cover letter
   2. resume
   3. research statement describing relevant experience.
   4. for postdoc applicants – examples of published research.



ben-gurion university of the negev
http://in.bgu.ac.il/en/global/pages/default.aspx is a vibrant research and
teaching university located in beer-sheva, the capital of the negev – the
south region of israel, just 55 minutes away from tel-aviv, 1 hour away
from jerusalem, and at the verge of the beautiful negev desert. established
a little over 40 years ago, it aspires to be a leader in scientific
innovation, inter-disciplinary research and applied sciences – all of which
impact daily life. it is committed to social and environmental
responsibility and is working to develop the negev, israel and the world.
it is also consistently voted by students to be the top choice for
undergraduate studies. the faculty of engineering is the oldest and the
most established of the university faculties, and maintains a very close
collaboration with leading industry partners. bgu was one of the driving
forces of the advanced technologies
parkhttp://www.gavyam-negev.co.il/en/ adjacent
to the university’s marcus family campus. the university attracts excellent
students and researchers from israel and abroad, original thinkers with a
developed social conscience, who integrate into the country's leadership in
a variety of ways.



the ben-gurion university of the negev is an equal opportunity employer and
actively seeks diversity among its employees. the salaries and scholarships
of post-doctoral researchers and of research students at ben-gurion
university are regulated by the bgu research authority and are in
accordance with the expertise assumed by the position and the cost of
living in israel.

ilana nisky, phd
postdoctoral research fellow
collaborative haptics and robotics in medicine (charm) lab
department of mechanical engineering
stanford university
http://charm.stanford.edu/main/ilananisky"
