,year,subject,content
0,2006,pos-doc in jst erato project in japan.,"postdoctoral positions in synergistic intelligence

asada synergistic intelligence project,
japan science and technology agency, osaka,
japan

the asada synergistic intelligence project invites applications for
postdoctoral positions to conduct research in synergistic intelligence
aimed at understanding cognitive developmental natural agents (humans),
building artificial agents (humanoids), and their mutual feedback.  the
project consists of four groups: (1) physio-se: dynamic motions such as
walking, running, jumping, and their seamless connection utilizing
pneumatic muscle actuators, (2) perso-se: cognitive developmental
robotics including body image, imitation, and language communication. 
(3) socio-se: emergence of communication and society by androids, and 
(4) si-mechanism: neuroscientific support for physio, perso, and
socio-sis.

the successful candidates will join the project which studies robotics,
ai, computational neuroscience, dynamical systems, brain science,
cognitive neuroscience, developmental psychology, and related fields. 
required qualifications are, a phd in a related field with strong
research accomplishments in robotics, control engineering, computer
science, brain science, cognitive science, psychology, dynamical systems
theory, and other related fields. the appointments are initially for one
year with the possibility of renewal to the end of the project in
october 2010. the review of applications will begin as they are received,
and will continue until suitable candidates are found.  applicants
should send cv, list of publications, reprints of three representative
papers, descriptions of research accomplishments and research interests,
and contact addresses of three references to prof. minoru asada,
adaptive machine systems, graduate school of engineering, osaka
university, suita, osaka 565-0871, japan or e-mail to
: asada at ams.eng.osaka-u.ac.jp"
1,2006,recruitment of postdoctoral fellow in bio application robotics,"postdoctoral fellow in bio application robotics at graduate school of
engineering science, osaka university, japan

key word:

bio chip, pdms fabrication, micro manipulation, micro image sensing, cloning

job description:

applications are invited for a postdoctoral fellow in bio application robotics
at graduate school of engineering science, osaka university, japan. the
emproiment will start from 1 april 2006 or as soon as possible thereafter.
the successful applicant will mainly be involved in research and development
activities at arai laboratory (http://www-arailab.sys.es.osaka-u.ac.jp/).
prof. arai and his co-reseachers has started a new project on the development
of micro sensing and manipulation system for biological cells, based on micro
and robitic technology. it is desirable that applicants have interest and
experience in bio chip, pdms fabrication, micro manipulation, micro image
sensing, cloning and/or robotics.

for further information (research project, condition of employment etc.)
please contact prof. tatsuo arai;
     tel & fax: +81-6-6850-6366
     e-mail:    arai at sys.es.osaka-u.ac.jp

application:

all applicants are required to prapare the following documents:
     1. a curriculum vitae
     2. a list of all papers and publications
     3. copies of 3 of the most relevant publications
     4. a research program for the first three years

please send them to:
     prof. tatsuo arai
     department of systems innovation
     graduate school of engineering science
     osaka university
     1-3 machikaneyama, toyoanka, osaka, 560-8631, japan.

the closing date is 28 february 2006. 
"
2,2006,recruitment of guest associate professor,"call for the applicants of
""guest associate professor for human centered robotics research project""

kyushu university in japan is now actively recruiting academic researchers for
the ""superstar program"" (hereafter, ""ssp researcher""). this program will be 
started
to provide a suitable research environment for young scientists, and to 
promote their
original research by using resources from the ""special coordination funds 
for promoting
science and technology"" (originating from ""ministry of education, culture, 
sports,
science and technology (mext)"").

the main purpose of this program is as follows:
(1) to provide an opportunity for outstanding young scientists to concentrate
on their work by providing an environment conducive for independent research at
kyushu university,
and
(2) kick-off an entirely new field of research at kyushu university through 
original,
innovative, and pioneering ideas.

an ssp researcher is given the title of ""guest associate professor"" and shall
be expected to perform world-class research in a favorable environment 
during the program.
at the third year and the end of this time frame, the achievements of the 
ssp researcher
will be evaluated by kyushu university.
if the performance is deemed excellent, the ssp researcher will be promoted 
to an
associate professor at the faculty which took charge of the research project.
the term of office of the associate professor varies with the arranged 
system of each faculty.

kyushu university invites applicants for totally six projects.
one of the project is
""human centered robotics research project""

this project promotes researches of new robotics field that are 
indispensable for
the realization of future society where robots support human daily life 
while living
together with human.
the research activities of emerging robotics area such as irt
(it: information technology and rt: robotic technology), human care robotics and
robotic sensor are particularly reinforced by newly invited researchers.

number of acceptance of the researcher is
1 researcher until october first, 2006.
2 researchers until april first, 2007.
(totally 3 researchers for the project)



for more details,
please refer to the following web page

http://www.srp.kyushu-u.ac.jp/ssp/pageiv.html


--------------------------------------------------------------------------------
contact person for the details
prof. motoji yamamoto (faculty of engineering)
phone: +81-92-802-3173
e-mail: yama at mech.kyushu-u.ac.jp
or
prof. tsutomu hasegawa (faculty of information science and electrical 
engineering)
phone: +81-92-642-4063
e-mail: hasegawa at irvs.is.kyushu-u.ac.jp


==============================================
motoji yamamoto,  professor
department of intelligent machinery and systems
faculty of engineering, kyushu university
744 motooka, nishi-ku, fukuoka 819-0395, japan
phone: +81-92-802-3173,  fax: +81-92-802-0001
e-mail: yama at mech.kyushu-u.ac.jp
============================================== "
3,2006,jobs: cognitive robotics & machine learning @ tu munich,"we are seeking outstanding postdocs or phd students
for the cognitive robotics & machine learning group in the new
cluster of excellence on cognitive technical systems (cotesys)
such as autonomous vehicles, humanoid robots, and automated
factories. research topics include: behavior evolution for am's 180cm
humanoid walking biped, artificial curiosity for the artificial hands of
german aerospace (dlr),  visual attention & unsupervised learning
for adaptive robots. possible starting date: 1 november 2006 or later.

details: http://www.idsia.ch/~juergen/cotesys.html
related work on cognitive robotics & robot learning & evolution:
http://www.idsia.ch/~juergen/cogbotlab.html
http://www.idsia.ch/~juergen/learningrobots.html
http://www.idsia.ch/~juergen/evolution.html

cotesys combines the expertise of munich's tu, lmu, unibw, dlr,
mpi, in neuroscience, natural sciences, engineering, computer science,
and the humanities. it also has strong connections to industry leaders
such as bmw and siemens. cotesys is one of the few proposals that
got accepted in an intense nation-wide competition during the past year.

cotesys partners tum and lmu rank first among germany's universities,
according to a recent focus survey. 14 nobel laureates (the most recent
one of 2005 at mpi) are associated with munich (münchen). on 10/13/2006
both tum and lmu were selected as two of the three german ""elite
universities"" by the ""excellence initiative"" funded by 1.9 billion euros
for the next 5 years. this was prime time news on all german channels.

germany is a good place for robot research. it is still the world's 
largest
exporter of machines and other goods, birthplace of the first robot 
cars,
and the second largest maker and user of robots, after japan. many 
german
teams became world champions in the robocup, the most visible robot
competition.

according to recent surveys (2005/06), munich is the world's most
livable city with over a million inhabitants, save for vienna:
http://www.citymayors.com/features/quality_survey.html

how to apply: http://www.idsia.ch/~juergen/cotesys.html
cotesys portal: http://www.cotesys.org/

juergen schmidhuber
tu munich & idsia
http://atknoll1.informatik.tu-muenchen.de:8080/tum6/people/schmidhuber
http://www.idsia.ch/~juergen"
4,2007,recruitment of guest associate professor,"call for the applicants of
""guest associate professor for human centered robotics research project""

kyushu university in japan is now actively recruiting academic researchers for
the ""superstar program"" (hereafter, ""ssp researcher""). this program 
will be started
to provide a suitable research environment for young scientists, and 
to promote their
original research by using resources from the ""special coordination 
funds for promoting
science and technology"" (originating from ""ministry of education, 
culture, sports,
science and technology (mext)"").

the main purpose of this program is as follows:
(1) to provide an opportunity for outstanding young scientists to concentrate
on their work by providing an environment conducive for independent research at
kyushu university,
and
(2) kick-off an entirely new field of research at kyushu university 
through original,
innovative, and pioneering ideas.

an ssp researcher is given the title of ""guest associate professor"" and shall
be expected to perform world-class research in a favorable 
environment during the program.
at the third year and the end of this time frame, the achievements of 
the ssp researcher
will be evaluated by kyushu university.
if the performance is deemed excellent, the ssp researcher will be promoted to an
associate professor at the faculty which took charge of the research project.
the term of office of the associate professor varies with the 
arranged system of each faculty.

kyushu university invites applicants for totally six projects.
one of the project is
""human centered robotics research project""

this project promotes researches of new robotics field that are indispensable for
the realization of future society where robots support human daily 
life while living
together with human.
the research activities of emerging robotics area such as irt
(it: information technology and rt: robotic technology), human care robotics and
robotic sensor are particularly reinforced by newly invited researchers.

number of acceptance of the researcher is
2 researchers until april first, 2007.


for more details,
please refer to the following web page

http://www.srp.kyushu-u.ac.jp/ssp/index.html


--------------------------------------------------------------------------------
contact person for the details
prof. motoji yamamoto (faculty of engineering)
phone: +81-92-802-3173
e-mail: yama at mech.kyushu-u.ac.jp
or
prof. tsutomu hasegawa (faculty of information science and electrical 
engineering)
phone: +81-92-802-3610
e-mail: hasegawa at irvs.is.kyushu-u.ac.jp

==============================================
motoji yamamoto,  professor
department of intelligent machinery and systems
faculty of engineering, kyushu university
744 motooka, nishi-ku, fukuoka 819-0395, japan
phone: +81-92-802-3173,  fax: +81-92-802-0001
e-mail: yama at mech.kyushu-u.ac.jp
============================================== 
"
5,2007,faculty positions in cybernics at the university of tsukuba,"* we apologize if you receive multiple copies of this announcement.

job announcement
department of intelligent interaction technologies
graduate school of systems and information engineering
university of tsukuba, japan
ref: cyb01/f0709

fixed-term assistant/associate professor in cybernics (3 posts)

applications are invited for three (3) fixed-term assistant /
associate professor positions in the area of cybernics: fusion
of human, machine and information systems, or relevant subjects.

cybernics is a new domain of interdisciplinary academic field
of human-assistive technology to enhance, strengthen, and
support human's cognitive and physical functions, which challenges
to integrate and harmonize humans and robots (rt: robotics
technology) with the basis of information technology (it).
the three primary research areas are: (i) cybernoid: robot suits,
cybernic limb and hand, implanted cybernic system, subjective
cognition computing, virtual human-body kernel.
(ii) next-generation interface: brain-computer interface,
somato-sensory media, humanoid, medical interface, ubiquitous
sensing interface, intelligent robots. (iii) management
technology for next-generation advanced systems: network security,
new-generation risk management, human factor, ethical, sociological,
and conceptual readiness.

our primary focus is conducting research and pursuing education
at the phd level in the area of cybernics. responsibility also
includes administrative tasks related to the program.

the post is funded for five years, and these positions will be
available immediately. the cybernics project (program leader,
prof. yoshiyuki sankai) is supported by the grant-in-aid science
research under the global coe program, and also is a part of
a new strategic initiative in the university of tsukuba.
for more details on research areas, see the program website,
http://www.cybernics.tsukuba.ac.jp/

candidates are expected to have earned a ph.d. degree in 
a relevant subject area and to have demonstrated achievement 
in their fields. candidates recently graduated ph.d., 
or expected to obtain their phd degrees before the appointment 
begins are also encouraged to apply.

applications should include a full curriculum vitae, a list
of publications, 5 reprints or preprints of relevant papers,
an outline of future research plans and possible contribution
to this project (about a4 2-pages), and the names and addresses
of at least two referees. applicants are requested, if possible,
to list publications under the following main headings: authored
or edited books, refereed journal papers, review articles,
refereed conference proceedings, non-refereed conference
proceedings, patents, awards, external funding and grants, others.

the closing date for applications is 18 november 2007.
applications received after this date will not be considered.
you should include the ref. number and the job title you are 
applying for in the header of your e-mail, or standard mail 
envelope. note that if applying for both posts (assistant and 
associate professor), please submit one application form for 
each post.

please return your application either by email, preferably in
pdf format, to jobs.faculty at cybernics.tsukuba.ac.jp,
or by post to prof. takehisa onisawa, dept. of intelligent
interaction technologies, university of tsukuba, tennodai,
tsukuba, 305-0573, japan.

tsukuba is a university and science city, located about 60
kilometers, about 1 hour by car, northeast of central tokyo.
over 50 national and independently administered research
organizations are concentrated in the tsukuba science city
district, which is centered on the university.

for informal inquiries please contact the chair of the department,
professor takehisa onisawa on email onisawa at iit.tsukuba.ac.jp.

application deadline: 18 november, 2007
* program website http://www.cybernics.tsukuba.ac.jp/


---
dr kenji suzuki    kenji at ieee.org
assistant professor
university of tsukuba, japan
http://www.iit.tsukuba.ac.jp/~kenji/
"
6,2007,postdoctoral positions in cybernics at the university of tsukuba,"* we apologize if you receive multiple copies of this announcement.

job announcement
postdoctoral positions in cybernics (up to five positions)
cybernics program, university of tsukuba
tsukuba, japan
ref: cyb02/p0710

applications are invited for five (5) postdoctoral positions 
in the area of cybernics: fusion of human, machine and information 
systems, or relevant subjects. 

cybernics is a new domain of interdisciplinary academic field 
of human-assistive technology to enhance, strengthen, and 
support human's cognitive and physical functions, which challenges 
to integrate and harmonize humans and robots (rt: robotics 
technology) with the basis of information technology (it). 

the three primary research areas are: (i) cybernoid: robot suits, 
cybernic limb and hand, implanted cybernic system, subjective 
cognition computing, virtual human-body kernel. 
(ii) next-generation interface: brain-computer interface, 
somato-sensory media, humanoid, medical interface, ubiquitous 
sensing interface, intelligent robots. 
(iii) management technology for next-generation advanced systems: 
network security, new-generation risk management, cognitive 
engineering, ethical, sociological, and conceptual readiness.

the position is initially for duration of three years, with 
possible extension to a maximum of four years depending on 
achieved results. to change the appointment as an acting faculty 
(associate/assistant professor) may be considered, within 
the fixed term of three years, upon request. our primary focus 
is conducting research and pursuing education at the ph.d. 
level in the area of cybernics. responsibility may include 
some administrative tasks related to the program. 

these positions will be available immediately. the review of 
applications will proceed after october 29th 2007 on their arrival 
and will continue until the position is filled. the cybernics 
program (leader, prof. yoshiyuki sankai) is supported by the 
grant-in-aid science research under the global coe program, 
and also is a part of a new strategic initiative in the 
university of tsukuba. for more details on research areas, 
see the program website, http://www.cybernics.tsukuba.ac.jp/. 

candidates are expected to have earned a ph.d. degree or 
equivalent in a relevant subject area and to have demonstrated 
achievement in their fields. candidates recently graduated ph.d., 
or expected to obtain their ph.d. degrees or equivalent before 
the appointment begins are also encouraged to apply. 

applications should include a full curriculum vitae, a list of 
publications, 5 reprints or preprints of relevant papers, 
an outline of past researches, future research plans, and 
possible contribution to this project (about a4 2-pages), 
and the names and addresses of at least two referees. 
applicants are requested, if possible, to list publications 
under the following main headings: authored or edited books, 
refereed journal papers, review articles, refereed conference 
proceedings, non-refereed conference proceedings, patents, 
awards, external funding and grants, others. 

please return your application by email, preferably in pdf 
format, to jobs.pd at cybernics.tsukuba.ac.jp. you should include 
the ref. number you are applying for in the header of your 
e-mail, or standard mail envelope. for informal inquiries 
please contact the leader of the cybernics program, professor 
yoshiyuki sankai on email sankai at cybernics.tsukuba.ac.jp.

tsukuba is a university and science city, located about 60 
kilometers, about 1 hour by car, northeast of central tokyo. 
over 50 national and independently administered research 
organizations are concentrated in the tsukuba science city 
district, which is centered on the university.

review of applications: from 29 october, 2007
* program website http://www.cybernics.tsukuba.ac.jp/

---
dr kenji suzuki    kenji at ieee.org
assistant professor
university of tsukuba, japan
http://www.iit.tsukuba.ac.jp/~kenji/"
7,2007,research assistant positions (phd studentships),"* we apologize if you receive multiple copies of this announcement.

research assistant positions (phd studentships)
cybernics program, university of tsukuba
tsukuba, japan 
ref: cyb03/r0711
http://www.cybernics.tsukuba.ac.jp/jobs/cyb03r0711.html

applications are invited for research assistant positions 
(fully-funded phd studentships), which cover tuition fees 
and living costs, who have (or expect to obtain) a master's 
degree or equivalent in a relevant subject. 
we offer a supportive environment for individuals to work 
towards phd, deng or dmedsci qualifications. the successful 
candidates should be keen on their assignments, attend to 
their academic duties. 

these studentships provide students with the opportunity to 
work on a cybernics research project as a research assistant. 
these positions are available for duration of three years. 
the successful candidates can be formally admitted to the 
phd program, if s/he meets the university admission requirements 
to study for a phd. note that the phd supervisor must be a 
faculty member related to cybernics program, which is listed 
at the website. (http://www.cybernics.tsukuba.ac.jp/members.html)

students should have research interests in the field of cybernics 
program, which is a new domain of interdisciplinary academic 
field of human-assistive technology to enhance, strengthen, 
and support human's cognitive and physical functions, which 
challenges to integrate and harmonize humans and robots 
(rt: robotics technology) with the basis of information 
technology (it). this challenging program will help you to 
develop practical and experimental skills in your chosen 
field. the three primary research areas are: (i) cybernoid: 
robot suits, cybernic limb and hand, implanted cybernic system, 
subjective cognition computing, virtual human-body kernel. 
(ii) next-generation interface: brain-computer interface, 
somato-sensory media, humanoid, medical interface, ubiquitous 
sensing interface, intelligent robots. (iii) management 
technology for next-generation advanced systems: network 
security, new-generation risk management, cognitive engineering, 
ethical, sociological, and conceptual readiness. 

please note that these studentships are available to all 
potential applicants and not restricted to nationals. 
the successful candidate must be able to start the phd 
on the 1st april 2008. interested applicants are encouraged 
to apply. please complete an application form which can be 
downloaded from the following web site. 
http://www.cybernics.tsukuba.ac.jp/jobs/cyb03r0711.html

please return your application by email, preferably in pdf 
format, to jobs.ra at cybernics.tsukuba.ac.jp. you should 
include the ref. number you are applying for in the header 
of your e-mail, or standard mail envelope. for informal 
inquiries please contact the above address on email 
jobs.ra at cybernics.tsukuba.ac.jp.
otherwise, if you have already decided on a research lab, 
try making direct contact with the faculty member (by e-mail).

tsukuba is a university and science city, located about 
60 kilometers, about 45 minutes by train, or 1 hour by car, 
northeast of central tokyo. over 50 national and 
independently administered research organizations are 
concentrated in the tsukuba science city district, 
which is centered on the university.

application deadline: december 10th, 2007.

---
kenji suzuki     kenji at ieee.org
university of tsukuba, japan
http://www.iit.tsukuba.ac.jp/~kenji/"
8,2008,position available at atr intelligent robotics and communications labs.,"dear colleagues

the atr intelligent robotics and communications laboratory is seeking
applications from outstanding young (post-doctoral) researchers with
special interest in the areas of real-world social hri and related topics,
including the following:
- socially intelligent robots
- assistive (health & personal care) robotics
- long-term interaction with robots
- user studies in laboratory experiments and field trials
- telepresence with humanoid robots
- android science
- human-robot cooperation and collaboration

we prefer a person who has a strong background in fields such as these:
- cognitive science
- psychology
- human computer interaction (hci)
- interface design

the candidate must have some degree of proficiency in programming and/or
robotics, with the ability to develop software for robotics applications
independently with minimal support from others, although we expect and
encourage teamwork and collaboration at the research level.

our laboratory conducts a variety of social robotics research projects, and
within these projects, the candidate will have some flexibility in terms of
research focus. one specific project we are considering involves
elderly-care robotics, and a candidate with substantial experience in this
domain would be particularly desirable.

the initial term for employment is one year, and extensions will be
considered based on the evaluation during the first year.

we'd like to talk informally with the applicant during the hri'08 conference
in order to determine compatibility of interests.
please feel free to ask me (kanda at atr.jp) about details, and feel free to
talk with prof. ishiguro and me during the hri'08 conference.

--------------------------------------
dr. takayuki kanda
senior research scientist
atr intelligent robotics & communication labs.
url http://www.irc.atr.jp/~kanda/
e-mail: kanda at atr.jp
tel: +81 774 95 1424  fax: +81 774 95 1408
"
9,2008,"positions at interactive robots and media laboratory, uaeu","ee/cs/interactive media positions at irml, uae

http://www.hafeet.uaeu.ac.ae/irml/

interactive robots & media laboratory
united arab emirates university
asst. prof. nikolaos mavridis
director, irml
phd, mit media laboratory

position grades:
- faculty members
- visiting phd students
- full-time engineer / computer scientist
- summer internship

the interactive robots & media laboratory (irml) at uaeu is seeking
engineers
and/or computer scientists to take part in exciting research projects.

the lab
-------
http://www.hafeet.uaeu.ac.ae/irml/
core research areas include (but are not limited to):
conversational humanoid robotics, language grounding, as well as human-robot
interaction.

the lab is equipped with multiple robots (mobile tour guide robots,
manipulator arms,
mini vehicles), state-of-the-art full-body motion capture, cybergloves and
wireless 6dof
sensors, as well as advanced vision systems.

furthermore, irml has continuous access to color 3d printing and 3d
scanning,
as well as to a machine shop, and microcontroller / electronics labs,
for prototyping novel interactive devices. in terms of computational
resources,
a high-performance grid computer with 1t flop will soon be available for
use.

there is also close contact with numerous world-class institutions
and companies in the field, across three continents.

finally, a world-class humanoid conversational robot project is under
development (the ""ibnsina"" robot, named after the famous muslim polymath),
with collaborations from leading figures from the us, japan, and more.


desired qualifications
----------------------
- relevant background in cs, ee, or interactive media
- degree depending upon position grade (bs, ms, phd)
- coding experience/expertise (c++ / matlab / java)
- engineering / real world troubleshooting skills
- interest and experience in one or more of the following technical areas:
        human-robot interaction, ai, computer vision, language processing,
- interest in cognitive science and philosophy advantageous
- team working skills
- most importantly, desire, imagination, systematicity and persistance
        in order to create the interactive robots and media of the future

furthermore, there is the possibility of visiting phd students:
i.e. annual residence at the lab and thesis readership / co-advising
 for students already pursuing a phd at other universities.

salary
------
depending on grade, most positions include free housing and zero tax.
more than one and a half months of holidays per year.

the university
--------------
uaeu is the oldest university in the country, and has recently been ranked
as the second best research university in the arab world. it is a
fully-fledged
university consisting of ten colleges and having more than 15000 students.
the college of it of uaeu has recently moved to an ultra-modern
futuristically-
equipped building, and is currently undergoing rapid expansion.

the place
---------
al ain is strategically located in one-hour driving distance from
both dubai and abu dhabi, and is a beautiful oasis city of half a million,
and a favourite cultural retreat for residents of the uae. it has an
international airport, two ultra-modern shopping malls with ice-skating
facilities, various recreational facilities, and a picturesque traditional
city centre, among many other attractions.

dubai, being easily accessible by car from al ain (one hour), is a vibrant
liberal multicultural city, the main commercial hub of the middle east,
and one of the most enjoyable places to visit, where imagination is realized
everyday through projects that exist nowhere else in the world:
the tallest building in the world (under construction),
the most luxurious hotel in the world (burj al arab),
man-made island communities in the shapes of palms visible from
space, rich shopping malls with artificial skiing centers.
the world's finest cultural and artistic events also abound.
in short, there are excellent opportunities for an exciting cosmopolitan
lifestyle,
in an exotic multicultural environment, where nothing is impossible.

dr. nikolaos mavridis
phd, mit media lab
asst. professor of it, uaeu
nikolaosm at uaeu.ac.ae
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20080318/9d673502/attachment-0001.html"
