,year,subject,content
0,2006,research engineer in bayesian programming,"position title:
------------------
research engineer in bayesian programming

where:
------------
grenoble (capital of the french alps), france

when:
---------
immediately, for 3 to 4 years

description of the position:
------------------------------------

you will have to develop bayesian models, programs, applications and  
experiments.
you will be a key element of a research group devoted to ""stochastic  
models for perception, inference, learning and action"".
your main mission will be to take in charge the software development  
of the group related to the starting european project bacs (bayesian  
approach to cognitive systems) and some experiments on various  
robotic platforms.
your employer will  be inria (institut national de la recherche en  
informatique et automatique) a major international institute for  
research in computer science and applied math.

example of possible models, experiment or application you may have to  
work on are :
- bayesian models of neurons and population of neurons
- bayesian models of human object perception
- bayesian models of human and rat navigation
- bayesian based autonomous navigation of mobile robots and cars
- bayesian based body and face motion tracking
- bayesian reconstruction of 3d realistic scene
- bayesian based multi-modal sensor integration and analysis
- bayesian driver assistance for enhanced vehicle safety

all this models are build using the bayesian programming formalism  
(an extension of bayes nets) and use the probt® toolbox and api to  
automate the inference and computation.
you will be the probt guru of the group and will assist researchers  
and phd student in their models and software development.

requirements:
--------------------

necessary :
- a master, an engineering degree or a phd in computer science.
- fluent in c and c++
- fluent in either french or english (if not fluent in french, at  
least some good bases are required and a strong willing to learn more  
rapidly)

plus :
- bilingual of fluent in both language
- experience of software development and maintenance
- holding a phd
- experience of robotics and/or artificial intelligence
- proficiency in probability or statistics
- experience in other computer languages and tools

additional informations:
--------------------------------

- grenoble
grenoble is 600k inhabitants city right in the middle of the french  
alps. it has a very big university and at least 10% of the population  
is made of students. grenoble activity is turned toward high  
technology industry and research. its domains of excellence are  
nanotechnology, computer sciences and electronic. all mountain  
outdoors leisure are next door (the closest ski resort is 30 minutes  
from downtown).

- emotion research group
the research group (www-laplace.imag.fr) is made of 25 persons  
(permanent researchers, engineers and phd students). it is a very  
international group as presently 6 countries are represented beside  
france  (brazil, china, india, italy, mexico & singapore). the group  
has a long experience (>15 years) of research in bayesian modeling.  
it applies theese technics to robotics, artificial intelligence,  
cognitive science and developing industrial applications. the group  
has been the leader of the european project biba (bayesian inspired  
brain and artifacts) which, after 4 years of work, is just terminated.

- bacs project:
bacs is the continuation of biba. its a new european project started  
in january for 4 years. the abstract of the project is the following:
despite very extensive research efforts contemporary robots and other  
cognitive artifacts are not yet ready to
autonomously operate in complex real world environments. one of the  
major reasons for this failure in creating cognitive
situated systems is the difficulty in the handling of incomplete  
knowledge and uncertainty.
in this project we will investigate and apply bayesian models and  
approaches in order to develop artificial cognitive systems
that can carry out complex tasks in real world environments. we will  
take inspiration from the brains of mammals including
humans and apply our findings to the developments of cognitive systems.
the bayesian approach will be used to model different levels of brain  
function, from neural functions up to complex
behaviors. this will enable us to show that neural functions and  
higher-level cognitive activities can coherently be modeled
within the bayesian framework. the bayesian models will be validated  
and adapted as necessary according to
neuro-physiological data from rats and humans and through  
psychophysical experiments on human.
the bayesian approach will also be used to develop four artificial  
cognitive systems concerned with (i) autonomous
navigation, (ii) multi-modal perception and reconstruction of the  
environment, (iii) semantic facial motion tracking, and (iv)
human body motion recognition and behavior analysis.
the conducted research shall result in a consistent bayesian  
framework offering enhanced tools for probabilistic reasoning
in complex real world situations. the performance will be  
demonstrated through its applications to drive assistant systems
and 3d mapping, both very complex real world tasks.

- inria:
(see http://www.inria.fr/inria/enbref.en.html)

- bayesian programming and probt toolbox:
bayesian programming is a methodology and a formalism to develop  
software able to deal with incomplete and uncertain information.
probt is a c++ library that implement bayesian inference and learning  
on various kind of computers and operating systems.
probt is a commercial product (www.probayes.com) but is also  
available for free for research and teaching utilization  
(www.bayesian-programming.org).

salary:
----------
27k€ <-> 37k€(according to qualifications)

contact:
-----------
pierre.bessiere at imag.fr, christian.laugier at imag.fr

_______________________________
dr pierre bessière - cnrs
*****************************
gravir lab
inria
655 avenue de l'europe
38334 montbonnot
france

mail: pierre.bessiere at imag.fr
http: www-laplace.imag.fr
tel:   +33 4 76 61 55 09
_______________________________


-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060420/e5291746/attachment-0001.html"
1,2009,******** postdoctoral position in machine learning *********  spain  ,"******** postdoctoral position in machine learning *********

school of computing, university of dundee, scotland


the school of computing at the university of dundee seeks applicants
for a research position on machine learning for assistive robotics.
the goal of the project is to build a device for stroke rehabilitation
that adapts to a user over time. the successful candidate will work on
algorithms in reinforcement learning,  including, but not limited to,
decision theoretic models (mdps and pomdps).  experience in machine
learning or reinforcement learning are necessary for the position.
experience in robotics, computer vision and human-computer interaction
will be considered assets.

the work will take place in the context of the dynamo consortium
project, funded by eu and mexican government agencies, that involves
eight universities and two corporations in mexico,  spain , canada,
france, the netherlands, and the uk.  the project's main goals are the
investigation of probabilistic graphical models and their
applications, and involves work in theoretical and practical
directions.

the successful candidate will be based at the school of computing at
the university of dundee in scotland, and will join the computational
systems group there, a large and dynamic group of researchers in
machine learning, multi-agent systems, and computer vision.  the
candidate will collaborate with the project partners at the instituto
nacional de astrofisica, optica y electronica, mexico, and the
university of toronto, canada.  this fixed-term post is available
immediately for a period of 12 months, with a potential for a further
6 months conditional on funding.

informal inquiries should be made to dr. jesse hoey
(jessehoey at computing.dundee.ac.uk).  full details on how to apply can
be found at www.jobs.dundee.ac.uk, reference aae/3054.

the university of dundee is committed to equal opportunities and
welcomes applications from all sections of the community.



-- 
jesse hoey
school of computing,
university of dundee,
dundee, scotland, dd14hn
 +44 (0) 1382 384154
-----
the university of dundee is a registered scottish charity, no: sc015096"
2,2010,"faculty positions announcement in mechatronic engineering: instituto tecnologico de nuevo leon, monterrey, mexico","the dean of graduate mechatronic engineering, nuevo leon institute of
technology, jose lopez-villalobos, seeks two candidates for multiple
full-time faculty positions. we are interested in all candidates who have 
backgrounds in fundamental disciplines related to mechatronic engineering.
 we aim to enhance the department's research and education capability in
the following thematic areas: (1) mechatronic design into  manufacturing
(technological development  of mechatronic prducts), and/or (2) automation
(industrial automation application).  one can learn more about graduate
program through reviewing the webpage at: http://posgrado.itnl.mx/
(spanish).

applicants should have an earned ph.d. in mechatronic engineering or
related fields.  the main focus of this search is on gradute and bachelor
grade faculty.  we seek candidates who will provide inspiration and
leadership in research and will contribute proactively to teaching and to
the diversity of the academic community.  for best consideration,
candidates are encouraged to apply now and certainly before march 5, 2010
as applications will be reviewed immediately upon receipt.

all applicants should submit in pdf format (1) a detailed resume, (2) a
statement of research and teaching interests, and (3) the names and
contact information of at least three references. applications must be
submitted electronically at jjlopez at itnl.mx.   the nuevo leon institute of
technology  is a non-discriminatory, affirmative action employer, and is
responsive to the needs of dual career families.



-- 
prof. jose de jesus lopez-villalobos
coordinador de posgrados en mecatronica/
mechatronic graduate dean
laboratorio de robotica movil cuerbot robocup/
robotic lab cuerbot robocup
http://posgrado.itnl.mx
instituto tecnologico de nuevo leon/
nuevo leon instute of technology"
3,2011,"post-doc in robot skin and cognitive robotics @ uni of wales, newport, uk","research associate - cognitive robotics research centre, university of wales, newport, uk

£28,251-£32,751 per annum
12 month fixed term contract

applications are invited for a research associate position at the cognitive robotics research centre (http://crrc.newport.ac.uk) at the university of wales, newport.  the position is funded partly by the roboskin project (http://www.roboskin.eu) which is studying skin-based technologies and capabilities for safe, autonomous and interactive robots, and partly by the university of wales, newport.

the roboskin project is a european collaboration that includes five other partners across europe: the university of genoa, the university of cagliari and the italian institute of technology (iit) from italy, the ecole polytechnique federale de lausanne (epfl) in switzerland and the university of hertfordshire in the uk.  the work will focus on behaviour modelling and reinforcement learning related to employing a novel tactile sensor (robot skin) on the nao humanoid robot platform.  the work will mainly take place in newport, uk, but will require visits to our european partners.

crrc also uses the robocup competition as one of the main application domain for its new technologies.  the centre has seven nao robots and is exploring the possibility of participating in the 2012 robocup competition in mexico city.  crrc arranged the first uk robocup event, rc4ew, in ebbw vale in 2010 and successfully participated in robocup 2011 in istanbul, as part of the noxious-kouretes team, finishing 2nd in the standard platform technical challenge event.  noxious-kouretes is a collaboration between the university of wales, newport, the university of oxford and the technical university of crete.  the post provides the opportunity to contribute to the crrc robocup activities.

candidates should have good programming skills, demonstrable research experience and experience from work on humanoid robots, preferably the nao platform.  you will also hold a phd in a relevant discipline.

further information and application forms are available at http://www.newport.ac.uk/jobs/vacancies/pages/researchassociate-cognitiveroboticsresearchcentre.aspx
closing date:  monday 21st november 2011 at 12 noon

please address informal queries to torbjorn.dahl at newport.ac.uk."
4,2011,"tenure track position at cimat, guanajuato, mexico","the computer science department at centro de investigación en matemáticas (cimat, guanajuato, mexico), is inviting applications for a tenure track, full-time researcher position. applicants with research interest in autonomous mobile robots are particularly encouraged to apply, in particular in motion planning and robot vision. candidates may be junior or senior researchers, with a phd within the research interests  of the computer science department at cimat. candidates are expected to have team work abilities, communication skills, teaching experience, and interest in involving themselves in the academic life of the institution. proficiency in the spanish language is highly recommended.

in addition of their own research interests, candidates are expected to contribute to the formation of students, both at undergraduate and graduate levels, by giving at least one lecture per semester, and by advising master and phd thesis. master and phd programs at cimat have a national excellence label implying that all students receive a scholarship from the federal government.

cimat is a leading institution in mathematics, statistics, computer science in mexico and provides a lively and stimulating research environment. the main research lines in the computer science department are: optimization, numerical methods; parallel and distributed computing; robotics; pattern recognition and machine learning; statistical computing; computer graphics; computer vision; image and signal transmission, compression, and processing.

interested candidates should send their application to dr. josé luis marroquín <jlm at cimat.mx> before january 31st 2012. the application (in pdf format) should include: cv, work plan, and contacts (email, phone data) to at least two references for the applicant. separately, at least two recommendation letters should be sent.

for more information, please consult the cimat website: www.cimat.mx"
5,2012,opening for postdoc in motion planning applied to protein motions,"adaptive motion planning research group
university of new mexico
albuquerque, new mexico

about the research
the adaptive motion planning research group is focused on the research 
of complex robotic systems including molecules such as proteins.  our 
approach has been to apply adaptive learning techniques in order to 
solve computationally intensive planning problems.  this work has 
applications in both robotics and computational biology.  the focus of 
this postdoctoral position will be to explore new methodologies in 
motion planning in order to study binding of immunological proteins. 
being able to understand immunological binding is critical to 
understanding the specificity of immune responses and therefore vaccine 
research.

this up to three year, annually renewable, position offers an excellent 
opportunity to be involved in inter-disciplinary research in a growing 
lab.  strong collaborations exist in between lab scientists in the unm 
department of biology and the unm medical school and the physical 
robotics labs in electrical engineering and mechanical engineering 
departments.

desired skills
successful candidates will:  hold a ph.d. in computer science or closely 
related field, excellent skills and experience in motion planning, 
experience with the development of large integrated software, a 
demonstrable record of peer reviewed conference and/or journal 
publications, and a strong expertise in c/c++.  the following additional 
experience is desirable: machine learning, computational biology, and 
biochemistry.  this position provides competitive salary and benefits.

about albuquerque
the university of new mexico is located in albuquerque, new mexico. 
albuquerque is the largest city in new mexico and one of the fastest 
growing cities in the southwest.  albuquerque is an ethnically diverse 
city with a rich culture and a location offering unparalleled 
opportunities for outdoor adventure. the university is located within 
minutes of the sandia and manzano mountain ranges, which offer great 
opportunities for hiking, biking, rock climbing and skiing.

how to apply
please email your application, including cover letter, cv, scanned 
transcripts, publications, theses, other supporting material, and the 
contact information for at least three references as a single pdf file 
with ""application amp_rg postdoc"" in the subject line to 
tapia at cs.unm.edu. if you have questions regarding the position, please 
contact

lydia tapia, phd
assistant professor of computer science
department of computer science
school of engineering
1 university of new mexico
mail stop:  msc01 1130
albuquerque, nm 87131

the university of new mexico is an equal opportunity/affirmative action 
employer and educator. qualified women and minorities are strongly 
encouraged to apply.

--lt

///////////////////////////////////////////////////////////////
dr. lydia tapia
assistant professor
computer science department        university of new mexico
office:  fec 349e phone:  505-277-0858   fax:  505-277-6927
email: tapia at cs.unm.edu, url: http://www.cs.unm.edu/~tapia/
///////////////////////////////////////////////////////////////"
6,2013,fwd: doctoral (research) recruitment on topics related to humanoid robotics and medical robotics,"doctoral (research) recruitment

we offer 3 phd positions (with scholarship) at the cinvestav (centre of 
research and advances studies), campus guadalajara to work on topics 
related to humanoid robotics and  medical robotics.

_http://www.gdl.cinvestav.mx/edb/_

  cinvestav is an english-language working environment based in 
guadalajara, jalisco, mexico with state-of-the-art laboratories and 
worldwide collaboration in the fields of image processing, computer 
vision, machine learning, neurocomputing, cognitive systems, robotics, 
  robot control and medical robotics.

we offer the following phd themes:

humanoid robotics

theme 1: walking and control of a 150 cm and 40 dof humanoid

theme 2: quantum control for decisions and control

medical robotics

theme 3: 3d vision and haptic exploration and 3d organ (kidney) 
reconstruction for chest chirurgic  compliant cooperative robot arms.

full details of the call and the application procedure contact:

prof. eduardo bayro-corrochano, e-mail: edb at gdl.cinvestav.mx 
<mailto:edb at gdl.cinvestav.mx>

please note the deadline for application

-

-   application and interview and phd proposal presentation: april to 
august2013

foreign students require to apply immediately so that they can apply for 
his mexican student visa

-    start: 1 de september 2013

-- 

prof. dr. eduardo bayro-corrochano

3d, sni iii,iapr fellow

----------------------------------

cinvestav unidad guadalajara

av. del bosque 1145

colonia el bajío, zapopan

45019, jalisco

méxico.

tel: +52 (33) 3777-3600 ext. 1027

fax: +52 (33) 3777-3609

http://www.gdl.cinvestav.mx/edb"
7,2013,"doctoral (research) recruitment on topics related to robot vision, medical robotics","doctoral (research) recruitment

we offer 1 phd positions (with scholarship) at the cinvestav (centre of 
research and advances studies), campus guadalajara to work on topics 
related to humanoid robotics and  medical robotics.

_http://www.gdl.cinvestav.mx/edb/_

  cinvestav is an english-language working environment based in 
guadalajara, jalisco, mexico with state-of-the-art laboratories and 
worldwide collaboration in the fields of image processing, computer 
vision, machine learning, neurocomputing, cognitive systems, robotics, 
  robot control and medical robotics.

we offer the following phd theme:



medical robotics

theme: 3d vision and haptic exploration and 3d organ (kidney) 
reconstruction for chest chirurgic  compliant cooperative robot arms.

full details of the call and the application procedure contact:

prof. eduardo bayro-corrochano, e-mail: edb at gdl.cinvestav.mx 
<mailto:edb at gdl.cinvestav.mx>

please note the deadline for application


-   application and interview and phd proposal presentation: may  to 
august 2013

foreign students require to apply immediately so that they can apply for 
his mexican student visa

-    start: 1 de september 2013

-
-----------------------------------------------------
prof. dr. eduardo bayro-corrochano

3d, sni iii,iapr fellow

-----------------------------------------------------"
8,2013,post-doctoral (research) recruitment on comouter vision and robot vision,"post-doctoral (research) recruitment on comouter vision 
and robot vision

we offer 2 post-doctoral  positions (one year with scholarship) at the 
cinvestav (centre of research and advances studies), campus guadalajara 
for an exciting project visual guidance of an agent /robot using stereo, 
rgb-d, imu, gpsand maps.

requirements: knowledge on: n-view geometry, slam, kalman filtering, 
navigation and obstacle avoidancegood programming skills in linux, c++ 
and mathlab.

http://www.gdl.cinvestav.mx/edb/

cinvestav is an english-language working environment based in 
guadalajara, jalisco, mexico with state-of-the-art laboratories and 
worldwide collaboration in the fields of image processing, computer 
vision, machine learning, neurocomputing, cognitive systems, robotics, 
  robot control and medical robotics.

full details of the call and the application procedure contact:

prof. eduardo bayro-corrochano, e-mail: edb at gdl.cinvestav.mx 
<mailto:edb at gdl.cinvestav.mx>

please note the deadline for application

-        applications position started from 1 june 2013 until the posts 
are given.

-        position starts: immediately


<http://www.gdl.cinvestav.mx/edb>
"
9,2013,tenure track and postdoctoral researcher positions at cimat,"the computer science department at centro de investigación en matemáticas
(cimat), guanajuato, méxico, is inviting applications for a tenure track
researcher position, and a postdoctoral research associate position.

applicants with research interest in robotics are particularly encouraged
to apply. candidates are expected to have teamwork abilities, communication
skills, and interest in involving themselves in the academic life of the
institution. proficiency in the spanish language is highly recommended.

cimat is a leading institution in mathematics, statistics, and computer
science in mexico and provides a lively and stimulating research
environment. the main research lines in the computer science department
are: optimization, numerical methods; parallel and distributed computing;
robotics; pattern recognition and machine learning; statistical computing;
computer graphics; computer vision; image and signal transmission,
compression, and processing.

interested candidates should send their application to dr. salvador botello
<botello at cimat.mx> before december 31st 2013. the application (in pdf
format) should include: cv, work plan, and contacts (email, phone data) to
at least two references for the applicant. separately, at least two
recommendation letters should be sent.

for more information, please consult the cimat website: www.cimat.mx"
