,year,subject,content
0,2008,one phd position in microrobotic biomanipulation and biomems,"dear all,

 

there is a fully-sponsored phd position at the department of mechanical
engineering at the university of canterbury, new zealand.

 

project description
microrobots with high positioning accuracy (at the scale of nanometers) and
biomems devices with small size (at the scale of micrometers to centimeters)
are widely used to manipulate micron-sized objects such as biological cells.
with their unparallel capabilities of manipulating cells, microrobotic
systems and biomems devices have been receiving increasingly remarkable
attention. recently, we have developed a fully automated zebrafish embryo
injection system, semi-automated adherent cell injection system, and a pdms
elastic device for cell mechanics characterization. more information can be
found at: http://individual.utoronto.ca/wangwenhui

 

field of study
the project will feature one or a combination of the following topics
according to the preference of the student: 

(1) high-throughput microrobotic parallel cell injection;
(2) microrobot-aided high-throughput cloning; 
(3) micro-fluidic devices for cell manipulation; 
(4) mems-based stem cells characterization. 

in (1) and (2), a microrobotic system based on high precision manipulators
is to be developed to manipulate/characterize biological
cells/beads/organisms with high-throughput for large-scale screening
scenarios. a successful candidate should have hands-on experience or strong
background in motion control and computer vision. 

in (3) and (4), biomems devices are to be designed and microfabricated with
the aim to manipulate/characterize biological cells. a successful candidate
should have hands-on experience or strong background in mechanical design,
integrated circuit design, or mems device design and fabrication. excellent
knowledge in sensing/actuating theories, design and simulation software (e.
g. solidworks, ansys) is a plus. 



requirement on qualifications
all candidates with high motivation, enthusiasm, and independent thinking
are welcome to apply. preference is given to students with a strong research
track record from any one of the fields: mechanical engineering, electrical
engineering, computer sciences, automation and control, mechatronics
engineering, or related disciplines. 



funding arrangements
the successful candidate will receive a full scholarship lasting 3 years,
and be expected to start as early as possible. all applications will be
considered immediately until the position is filled.

 

interested candidates please send cv to: wenhui.wang at canterbury.ac.nz.

 

 

--------------------------------------------------------

dr. wenhui wang

lecturer, mechatronics programme

department of mechanical engineering

university of canterbury

private bag 4800, christchurch 8140

new zealand

tel: 64-3-364-2987 ext. 7492

fax: 64-3-364-2078

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20080205/f3fd561e/attachment-0001.html"
1,2008,"postdoc position in the robotics lab, university of auckland, new zealand","postdoctoral fellowship in robotics software, tools, systems and evaluation

robotics laboratory, department of electrical and computer engineering
the university of auckland, new zealand

the robotics laboratory's long term goal is to produce intelligent robotic
assistants for humans. currently our work focuses in three areas. human robot
interaction is a key area for robot assistants. robot programming systems are
also important because humans often need to resort to programming robots for new
tasks. thirdly we focus on two application areas, agriculture and healthcare,
where we can explore our ideas in human robot interaction and robot programming
systems. more details are available at: robotics.ece.auckland.ac.nz

the university is looking for an early career researcher to advance our software
systems in order to promote robotic applications in agriculture and aged care,
to improve our software tools, and to integrate smaller projects.

the ideal candidate will have a phd in electrical engineering, computer systems,
computer science, or a related discipline, with advanced skills in:

 - programming (eg c/c++, linux, robotics, playerstage, speech processing,
   artificial neural nets) 
 - human-robot interaction, cognitive science, emotion

general skills will include the abilities to:

 - design and implement software systems
 - work independently on research
 - write high quality publications
 - work effectively together with others in a multidisciplinary research team
 - lead postgraduate researchers
 - write documentation
 - work flexibly across areas including robotics, speech, artificial
   intelligence, artificial neural nets 
 - carry out user studies

the successful candidate will become actively involved in designing, developing
and integrating robotics research software across robotics laboratory projects,
speech and artificial neural networks.

personal qualities will include enthusiasm, willingness and ability to assist in
developing core research, applications and contract research in the laboratory.

it is expected that no more than 5 years should have elapsed, since the
applicant has completed their phd.

for more information, contact dr bruce macdonald, (+64 9) 373 7599 ext. 88157,
or b.macdonald at auckland.ac.nz.

applications should be made at: 
http://www.opportunities.auckland.ac.nz/uoa/about/uoa/employment/vacancies-academic.cfm#avac6

further details are posted on
http://robotics.ece.auckland.ac.nz"
2,2008,"application deadline extended to april 30: postdoc position in the robotics lab, university of auckland, new zealand","the application deadline has been extended to april 30 for:
postdoctoral fellowship in robotics software, tools, systems and evaluation

robotics laboratory, department of electrical and computer engineering
the university of auckland, new zealand

the robotics laboratory's long term goal is to produce intelligent robotic
assistants for humans. currently our work focuses in three areas. human robot
interaction is a key area for robot assistants. robot programming systems are
also important because humans often need to resort to programming robots for new
tasks. thirdly we focus on two application areas, agriculture and healthcare,
where we can explore our ideas in human robot interaction and robot programming
systems. more details are available at: robotics.ece.auckland.ac.nz

the university is looking for an early career researcher to advance our software
systems in order to promote robotic applications in agriculture and aged care,
to improve our software tools, and to integrate smaller projects.

the ideal candidate will have a phd in electrical engineering, computer systems,
computer science, or a related discipline, with advanced skills in:

 - programming (eg c/c++, linux, robotics, playerstage, speech processing,
   artificial neural nets) 
 - human-robot interaction, cognitive science, emotion

general skills will include the abilities to:

 - design and implement software systems
 - work independently on research
 - write high quality publications
 - work effectively together with others in a multidisciplinary research team
 - lead postgraduate researchers
 - write documentation
 - work flexibly across areas including robotics, speech, artificial
   intelligence, artificial neural nets 
 - carry out user studies

the successful candidate will become actively involved in designing, developing
and integrating robotics research software across robotics laboratory projects,
speech and artificial neural networks.

personal qualities will include enthusiasm, willingness and ability to assist in
developing core research, applications and contract research in the laboratory.

it is expected that no more than 5 years should have elapsed, since the
applicant has completed their phd.

for more information, contact dr bruce macdonald, (+64 9) 373 7599 ext. 88157,
or b.macdonald at auckland.ac.nz.

applications should be made at: 
http://www.opportunities.auckland.ac.nz/uoa/about/uoa/employment/vacancies-academic.cfm#avac6

further details are posted on
http://robotics.ece.auckland.ac.nz"
3,2008,"postdoc, phd, masters positions in robotics for caring for older people","=======================================================================
postdoc, phd, masters positions in robotics for caring for older people

robotics laboratory, electrical and computer engineering
uniservices/university of auckland, new zealand
=======================================================================

due to a combination of cutting-edge projects, leading innovation and renowned 
excellence, uniservices is not only australasia's largest commercialisation 
company of its kind (wholly owned by the university of auckland); it is the 
ideal place to truly enhance your career. the environment is knowledge-rich, 
creative and stimulating.

we now require a number of people to work as postdoctoral, phd and masters 
researchers.

postdoctoral researcher - robotics, speech and human-robot interaction

we now require a talented individual to work as a postdoctoral researcher in the 
robotics laboratory, applying robotic technology to help care for older people. 
  the robotics laboratory, based in the department of electrical and computer 
engineering, is undertaking a multidisciplinary project including robotics 
engineers, scientists, psychologists, health informaticians, and healthcare 
specialists.  as research engineer, your role will be varied as you will be 
integrating the variety of technology developed for the project, working 
alongside researchers in a variety of disciplines, and supporting the practical 
studies of robots in older care facilities.

you will bring to the role a passion for research and engineering, interpersonal 
skills that enable you to interact comfortably with a range of people, excellent 
computing skills (including a high level of programming ability), strong 
practical and problem solving ability.

please apply by sending your cv, covering letter and application form no later 
than 15th february 2009 to jobs at uniservices.auckland.ac.nz quoting the title of 
the advert.  the application form and position description and further details 
are available at:

https://wiki.auckland.ac.nz/display/csihealthbots/postdoc+in+robotics

for further information please contact bruce macdonald (b.macdonald at auckland.ac.nz)


phd and masters positions

we now require phd and masters researchers in the following areas. see
   https://wiki.auckland.ac.nz/display/csihealthbots/positions+available

phd: programming tools and robot programming by demonstration
   https://wiki.auckland.ac.nz/display/csihealthbots/robotics+phd

phd: speech recognition
   https://wiki.auckland.ac.nz/display/csihealthbots/speech+recognition+phd

masters: vital signs measurement
   https://wiki.auckland.ac.nz/display/csihealthbots/robotics+masters

masters: speech generation for a healthcare robot
   https://wiki.auckland.ac.nz/display/csihealthbots/speech+masters+1

masters: wireless propagation in facilities for older care
   https://wiki.auckland.ac.nz/display/csihealthbots/wireless+masters+(draft)

for further information please contact the staff listed, or bruce macdonald 
(b.macdonald at auckland.ac.nz)
"
4,2011,phd opening in human robot interaction,"the hit lab nz at the canterbury university (christchurch, new zealand) has the following vacancy for a phd student:


understanding anthropomorphism and animacy in the interaction between users and robots


project description
========================
robots that interact with humans are becoming increasingly important in our society. however, their life-like appearance and behavior is challenging their acceptance. in this project will establish new fundamental understanding of the role that anthropomorphism and animacy play in the behavior of robots when interacting with users. methods will include the design, implementation and evaluation of a computational model of anthropomorphism and animacy in a robot. this model will enable robots to adapt their behavior to the user at an adequate level of perceived anthropomorphism and animacy, similar to the way adults adapt their behavior when interacting with children. research outcomes will demonstrate how robots can match their interaction behavior with their abilities to perform tasks.


requirements
========================
the student will have a background in one or more of computer science, mechatronics, human computer interaction, human robot interaction, psychology, interaction design or a relevant related field. the student should have a keen interest in conducting outstanding research and should be able to structure his/her own work process. the candidate must be able to co-operate in a multidisciplinary and international team in which english is the main language


the hit lab nz 
========================
the human interface technology laboratory new zealand (hit lab nz) is world leading research institutions developing and commercializing technology that improves human computer interaction. the hit lab nz has over 50 staff and students and has extensive experience in human computer interaction and human robot interaction. the hit lab nz is located at the university of canterbury in christchurch, new zealand. the university of canterbury has the top engineering school in new zealand, including a highly ranked department of computer science. for more information about the hit lab nz see http://www.hitlabnz.org/ 
 
christchurch is the second largest city in new zealand and offers an exciting and easy lifestyle for students. it is the most affordable major city to live in. it easy to get around whether you are biking, walking, driving or using the excellent public transport system. christchurch also offers outstanding opportunities for outdoor activities, and is close to both surf beaches and ski-fields.


appointment and scholarship support
========================
the appointment is full time for a duration of three years. as a student at the university of canterbury, you will be eligible for a scholarship that will pay for the intuition fees and will provide additional support for accommodation, living expenses and travel. scholarships are available for domestic and interactional students and are subject to approval. assistance for finding accommodation can be given. the research in this project must be concluded with writing a phd thesis within the human interface technology phd program of the hit lab nz. for more information about the phd program in human interface technology, please see http://www.hitlabnz.org/index.php/education/phd-program


further information and application
========================
further information can be obtained by contacting christoph bartneck (christoph.bartneck at canterbury.ac.nz). information about the hit lab nz is available at: http://www.hitlabnz.org.

please upload your application as one pdf file at http://www.hitlabnz.org/index.php/jobs. your application must include a letter explaining your specific interest in the project, an extensive curriculum vitae, your academic records, and a list of three references. applications will be accepted until november 1st, 2011or until position is filled."
5,2012,"robotics position at the university of auckland, new zealand","hi,

the position below is now available for application at the university of 
auckland, in the electrical and computer engineering department which 
includes the robotics laboratory with projects in robotics software 
systems and tools, healthcare robotics, cognitive human-robot 
interaction, and agricultural robotics.

bruce macdonald
__________________________________________________________________________________________________________________
lecturer/senior lecturer electrical & computer engineering

the university of auckland is new zealand's pre-eminent research-led 
university. the department of electrical and computer engineering is one 
of the largest departments in the faculty of engineering, with nearly 30 
academic staff, 550 undergraduates and more than 120 postgraduate students.

we provide undergraduate degree programmes in electrical and electronics 
engineering, computer systems engineering and in software engineering 
(together with the department of computer science) with a range of 
postgraduate taught courses.

we offer a diverse and active community for research at and above 
postgraduate level, and we are proud of our strong international 
reputation for the quality of our research outputs.

our research activities broadly concern computer systems engineering, 
embedded systems, reconfigurable and parallel computing, robotics and 
medical devices, industrial informatics, digital communications, 
inductive power transfer, power electronics, control and software 
engineering. we have collaborative links with research groups and 
industry within new zealand and across the world.

the successful applicant will work as part of the computer systems 
engineering research, cse, (embedded systems, robotics) of the 
department and will be required to develop research collaborations with 
researchers both within and outside the cse.

current research interests include embedded systems architectures and 
software, reconfigurable computing, distributed embedded systems, 
wireless senor and actuator networks, and applications in various 
domains (e.g. robotics, industrial informatics and control).

you will be research-focussed and be required to undertake high quality 
research, researcher supervision and teaching in the general area of 
computer systems. you will also contribute to the wider activities of 
the computer systems engineering research and to perform service roles 
for the department of electrical and computer engineering.

you will have a phd in a relevant area. you will also have a 
demonstrated ability to conduct research, supervise postgraduate 
students and publish in high quality journals.

for informal enquiries, please contact professor zoran salcic at 
z.salcic at auckland.ac.nz.

applications are submitted on line via our careers website.  for more 
information on this role and to apply online, please visit 
www.auckland.ac.nz/opportunities

applications close:   1st october 2012

job id: 15158
campus: auckland city campus
full/part time: full-time
permanent/fixed term: permanent"
6,2012,phd position: the influence of robots on the development of language,"project description



the ‘wordovators’ project is a three-year project funded by the john
templeton foundation. the project will conduct large-scale experiments in
the form of computerized word games.these games will be designed to probe
the factors underpinning word creation and creativity, and how these
develop through the life-span. one strand of the project will probe
particular issues surrounding interactions between people and humanoid
robots. how are new words created and adopted in contexts involving such
interactions? this phd position is for a highly motivated student to join
the project team, and conduct work that explores the ways that robots might
shape human languages. these studies will analyze the factors and processes
that might contribute to the influence of robots on the vocabularies of
english and of artificial languages in imaginary worlds.



this project is a collaboration between university of canterbury, new
zealand and northwestern university, usa.  the phd candidate will enroll
for a phd degree in the hit lab nz at university of canterbury, and will be
primarily supervised by dr christoph bartneck. (the hit lab nz).  other
associated faculty are  professor jen hay (nzilbb), janet pierrehumbert
(northwestern university / adjunct professor nzilbb), and professor
stephanie stokes (nzilbb).   the phd student will be encouraged to
regularly visit northwestern university.
your skills

you should have an interest in human language and have a strong background
in robotics or computer science.
the hit lab nz

the human interface technology laboratory new zealand (hit lab nz) is world
leading research institutions developing and commercializing technology
that improves human computer interaction. the hit lab nz has over 50 staff
and students and has extensive experience in human computer interaction and
science & technology studies. the hit lab nz is located at the university
of canterbury in christchurch, new zealand. the university of canterbury
has the top engineering school in new zealand, including a highly ranked
department of computer science. for more information about the hit lab nz
see http://www.hitlabnz.org/.
nzilbb

the hit lab nz at the university of canterbury is affiliated with the new
zealand institute of language, brain and behaviour (nzilbb).  nzilbb is a
multi-disciplinary centre dedicated to the study of human language. the
researchers come from a wide range of disciplines, forging connections
across linguistics, speech production and perception, language acquisition,
language disorders, social cognition, memory, brain imaging, cognitive
science, bilingual education, and interface technologies. more information
is available at: http://www.nzilbb.canterbury.ac.nz/.

* *

*christchurch*

christchurch is the second largest city in new zealand and offers an
exciting and easy lifestyle for students. it is the most affordable major
city to live in. it is easy to get around whether you are biking, walking,
driving or using the excellent public transport system. christchurch also
offers outstanding opportunities for outdoor activities, and is close to
both surf beaches and ski-fields.
appointment and scholarship support

the phd scholarship is full time for a duration of *three years* with
an *annual
scholarship* of $25,000 nzd. the scholarship will also cover the tuition
fees.the research in this project must be concluded with writing a phd
thesis within the human interface technology phd program of the hit lab nz.
for more information about the phd program in human interface technology,
please see http://www.hitlabnz.org/index.php/education/phd-program.
further information and application

further information can be obtained by contacting christoph bartneck (
christoph.bartneck at canterbury.ac.nz). information about the hit lab nz is
available at: http://www.hitlabnz.org. please upload your application as
one pdf file at http://www.hitlabnz.org/index.php/jobs/job/37/ your
application *must include* a letter explaining your specific interest in
the project, an extensive curriculum vitae, your academic records, and a
list of two references. applications will be accepted until *november 15th,
2012* or until position is filled.
further information and application

international applicants will be required to arrange for their nz student
visa after an offer of a place. please check
http://www.immigration.govt.nzfor information about what type of visa
might be most suitable and the
process of acquiring it. the university has various types of accommodation
available on campus. please check http://www.canterbury.ac.nz/accom/ for
information about the options and prices. international students should
also consult the international student website at
http://www.canterbury.ac.nz/international/ to learn about the cost of
living, fees, and insurances."
7,2013,"postdoc researcher, robotics lab, university of auckland, new zealand","the robotics group at the university of auckland seeks a highly 
motivated and talented postdoc researcher for ongoing projects in 
robotic systems.

uniservices is australasia's largest commercialisation company of its 
kind. owned by the university of auckland, the company is responsible 
for all research-based consultancy partnerships and commercialisation 
based around the expertise of the university of auckland. the 
environment is challenging, interesting and team focused. we are a $130 
million business achieving significant growth! uniservices' open 
innovation and world-class thinking has global impacts and as the 
company continues to grow, the opportunities for learning, professional 
and personal growth are enormous.

we now require a talented individual for an 18 month fixed term contract 
to work as a postdoctoral researcher in the robotics laboratory, 
applying robotic technology in healthcare and agriculture, focused on 
software systems and tools for robotics and on human-robot interaction.

the robotics laboratory, based in the department of electrical and 
computer engineering, is undertaking multidisciplinary projects 
including robotics engineers, scientists, psychologists, and healthcare 
specialists. as research engineer, your role will be varied as you will 
be developing new research concepts driven by practical applications, 
integrating the variety of technology developed for the project, working 
alongside researchers in a variety of disciplines, and supporting the 
practical trials of robots in the field and with companies in nz and 
internationally.

you will bring to the role a passion for research and engineering, 
interpersonal skills that enable you to interact comfortably with a 
range of people, excellent computing skills (including a high level of 
programming ability), strong practical and problem solving ability.

please apply at:

http://www.seek.co.nz/job/postdoctoral-researcher/in/auckland-auckland-central/23857221

and follow the steps to upload your cv and covering letter.

for more information please contact bruce macdonald on +64 9 923 8157 or 
email b.macdonald at auckland.ac.nz"
8,2013,"phd scholarship: dynamic path planning for a vine pruning robot (christchurch, nz)","a phd scholarship is available for a student to work on on dynamic
path planning and control for multiple robot arms. the scholarship is
worth nz$30000 per year + fees. more details, and an application form
are available from
http://www.cosc.canterbury.ac.nz/open/students/prunerprojectapplicationform-robotarm.doc

--
tom botterill
research fellow, department of computer science,
university of canterbury, christchurch, nz
+64 21 046 4520"
9,2013,phd position in affective robotics,"open phd position in affective robotics :
full doctorate scholarship available to conduct research in analogues of
emotion for robotic mapping, localisation and path planning available at
victoria university of wellington, new zealand (vuw). vuw is ranked number
one in new zealand for research in the nz government research exercise 2013.

phd scholarship scheduled to start october, 2013. candidates are invited to
send an email with a letter expressing their interest for the proposed
research and their cv, including full transcript, english-language test
score and any publications, to the supervisors [professor dale carnegie and
dr will browne, dale.carnegie at vuw.ac.nz, will.browne at vuw.ac.nz].

- project description -
the field of affective computing seeks to draw analogues of human emotions
for the benefit of artificial systems.  this may be in interaction with
humans, communication or in decision-making, where the latter is the focus
of the proposed research work.  analogues of emotion are to be utilised to
develop an autonomous robot for mapping, localisation and path planning when
exploring unknown, unfamiliar and/or dynamic environments with the potential
application of search and rescue robotics.  the work is to be grounded in
theory of emotion, e.g. plutchik, rolls, damasio and darwin. 

this position would suit a student who has an interest in autonomous
robotics.  it is preferred that the candidate have some computer
programming, electronics and control systems experience.  an interest in
psychology is advantageous but not essential.  the preferred candidate will
have experience in research with supporting journal or conference
publications.

closing date: 10 august 2013"
