,year,subject,content
0,2006,position available  portugal ,"dear colleagues

attached please a find a call for a position with the
imar / univ. azores,    portugal   

kind regards

antonio pascoal

____________________________________________________________
antónio m. pascoal
department of electrical engineering
and
institute for systems and robotics (isr)
instituto superior técnico
ist,torre norte, piso 8
av. rovisco pais, 1 1049-001, lisbon,    portugal   
tel: (351) 21 8418051(81   fax: (351) 21 8418291
email: antonio at isr.ist.utl.pt
http://www.isr.ist.utl.pt

-------------- next part --------------
a non-text attachment was scrubbed...
name: grex-call-imar.pdf
type: application/pdf
size: 39378 bytes
desc: not available
url : http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20061128/eafe82ae/grex-call-imar-0001.pdf"
1,2006,research position,"*** please forward to potential candidates ***

research position (application deadline - december 6, 2006)
---------------------------------------------------------------------

the intelligent robotics research group of the university of aveiro,
   portugal   , is seeking a researcher to carry out work within project
""langg - language grounding for human-robot communication"".


work description
------------------
this project is aimed at contributing to the development of
user-friendly robotic servants, that is, robots that are capable of
performing useful work for humans, in normal human environments,
and that can be commanded and instructed by human users through
natural means of interaction. the specific goal of the project is to
develop symbol and theory grounding capabilities that enable robots
to interact with their human users at the language level. this is
related to a new research topic, known as computational semiotics.
to attain this goal, the project is developing an integrated set of
perception, action, interaction and learning capabilities to enable 
a real robot to gradually learn the meaning of the natural language 
words used by humans to refer to physical patterns. these patterns 
can be physical objects in the robot's environment (e.g. persons, 
furniture, etc.) or  sensory-motor patterns, corresponding to 
actions of the robot (e.g. turn left, follow wall, grasp, etc.).

learning, in this scenario, must be seen as a lifelong incremental
process through which the robot builds and maintains a semantic
network about its task domain. the planned work will focus
on grounding the names of concrete physical objects for interaction
with a robotic arm. a component-based approach to object 
representation and learning will be investigated.


duration
---------
this research position is for an initial period of six months, but can be
renewed up to one year.

phd studies
------------
there is the possibility that this work continues as a phd project after
the first six or twelve months. such decision depends on an evaluation of
the competencies and habilitations of the selected researcher.

prerequisites
-------------
candidates should have a master degree or a portuguese
""licenciatura"" degree in computer science, electronics engineering
or related fields. preferably, candidates should have previous
experience on advanced knowledge representation, and/or signal
processing and/or machine learning techniques.

for continuing as a phd student, the researcher should have a
licenciatura degree with a final grade of at least 16/20 or a master
degree.

application
------------
anyone interested should send, until *** 6 december 2006 ***,
his/her curriculum vitae plus a motivation letter to prof. luis
seabra lopes (lsl at det.ua.pt).

other information
------------------
the university of aveiro (http://www.ua.pt), founded in 1973,
is currently considered one of the best universities in    portugal   ,
enrolling around 14000 students. the university's main
site is a modern campus located in the coastal city of aveiro,
in north/center    portugal   . the intelligent robotics research group
was created in 1999 and currently conducts projects on
human-robot interaction, robot learning and multi-robot teams.


__________________________________________
luis seabra lopes (lsl at det.ua.pt)

departamento de electrónica, telecomunicações e informática
universidade de aveiro - 3810-193 aveiro -    portugal   
phone: +351-234-370374 / fax: +351-234-381128

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20061116/db491c82/attachment.html"
2,2007,post-doc position (robotics): 5 years contract,"the mechanical engineering research centre, university of coimbra
   portugal   , has 2 open post-doc positions (5 year contract).

link:
http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=64
39 

more information

please contact: 
j. norberto pires
norberto at robotics.dem.uc.pt
http://robotics.dem.uc.pt/norberto
"
3,2007,postdoc position in remote handling,"1 postdoctoral research position in remote handling applied to nuclear 
fusion
================================================================
instituto superior técnico, through its research unit “centro de fusão 
nuclear – laboratório associado” (cfn-la) (http://www.cfn.ist.utl.pt), 
offers 1 postdoctoral research position in the field of remote handling 
applied to nuclear fusion.

“centro de fusão nuclear – laboratório associado” (cfn-la) is a research 
institute of the instituto superior técnico, one of the oldest and 
largest schools of science and engineering in    portugal   . cfn-la is a 
research unit with expertise in physics, engineering and technologies 
related with nuclear fusion, ultra-intense lasers and gas discharges, 
which participates in a new large-scale long-duration high-tech project 
of a fusion reactor (iter). the work will be done in the framework of 
the ist/euratom association with the collaboration of robotic 
researchers from institute for systems and robotics – lisbon 
(isr-lisbon) (http://www.isr.ist.utl.pt)

job summary
development of independent research and development work in the area of 
remote handling applied to nuclear fusion and in particular to iter 
(international thermonuclear experimental reactor) 
(http://www.iter.org), aimed at contributing to the study, design and 
implementation of remote handling solutions at iter and to foster the 
participation of portuguese teams in iter activities. the work will be 
done in the framework of the ist/euratom association and under the 
general supervision of ist senior faculty members with experience in 
robotics and in nuclear fusion.

job description
developing research and development work with a multidisciplinary focus, 
founded on solid methodologies of robotics, computer vision, 
tele-operation and related areas applied to remote handling and vision 
based inspection activities in nuclear fusion, in particular for iter. 
work topics will be related with:
• mobile robotics navigation, including control and command 
architectures, sensing devices, remote control for the transfer cask 
system of iter;
• robotics manipulation for large scale operation and tele-operation;
• viewing systems, inspection systems;
• simulation of remote handling operations.
activities will include the participation in research projects related 
with iter remote handling tasks carried out by the euratom/ist 
association and the close contact with portuguese entities (research 
units and industries) aiming at fostering the portuguese participation 
in iter activities. research activities may include the supervision and 
training of post-graduate students, including ph.d. candidates.

candidates are expected to hold a ph.d. in electrical and computer 
engineering, mechanical engineering or in related areas and to have 
developed research in the fields listed above. management skills in 
science and technology will be required.

required education level
degree: phd; degree field: electrical and computer engineering or 
mechanical engineering or related areas
years of research experience: minimum of 3 years
working language: english

contract conditions
the successful candidates will receive a competitive salary in 
accordance with the university regulations for a senior researcher. the 
position is for one year, with possible contract renovation up to 5 
years. the annual gross income, before taxes, will be 3,038.06 euros x 
14 months.

how to apply
by email to concursoscfn at cfn.ist.utl.with the following information:
- identification of the candidate
- curriculum vitae/resume
- letters of reference
- statement of purpose for the period of the contract.

for more details, including application deadlines and selection 
committee, see
http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=6246

-- 
--------------------------------------------------
isabel ribeiro, full professor
institute for systems and robotics
instituto superior tecnico
av. rovisco pais, 1
1049-001 lisboa    portugal   

phone:+351 21 8418059, fax:+351 21 8418291
url: http://www.isr.ist.utl.pt/
-------------------------------------------------"
4,2007,research assistant,"*** please forward to potential candidates ***
  
research positions (application deadline - august 10, 
2007)
------------------------------------------------------------

the intelligent robotics research group of the university
of aveiro,   portugal  , is seeking 2 research assistants to
carry out work within the project ""langg - language
grounding for human-robot communication"".


work description
------------------
this project aims to contribute to the development of
robots that are capable of performing useful work for
humans, in unstructured human environments, and that can
be commanded and instructed by human users through
natural means of interaction. the specific goal of
the project is to develop language acquisition
capabilities that enable robots to interact with their
human users at the language level. this is related
to such research topics as computational semiotics and
biosemiotics. to attain this goal, the project is
developing an integrated set of perception, action,
interaction and learning capabilities to enable a real
robot to gradually learn the meaning of the natural
language words used by humans to refer to physical
patterns. these patterns can be physical objects in
the robot's environment (e.g. furniture, persons,
tools, toys, etc.) or  sensory-motor patterns,
corresponding to actions of the robot (e.g. turn left,
follow wall, grasp, etc.).

learning, in this scenario, must be seen as a
lifelong incremental process through which the robot
builds and maintains symbolic and subsymbolic
semantic structures that ground language in perception
and action. the planned work will focus on grounding
the names of concrete physical objects for
interaction with a robotic arm.

duration
---------
these research positions are for an initial period of
six months, but can be renewed up to one year.

phd studies
------------
there is the possibility that this work continues as
a phd project after the first six or twelve months.
such decision depends on an evaluation of the competencies
and habilitations of the selected researcher.

prerequisites
-------------
candidates should have a master degree or a portuguese
""licenciatura"" degree in computer science, electronics
engineering or related fields. preferably, candidates
should have previous experience on advanced knowledge
representation, and/or signal processing and/or machine
learning techniques.

for continuing as a phd student, the researcher should
have a licenciatura degree with a final grade of at
least 16/20 or a master degree.

application
------------
anyone interested should send, until *** 10 august 2007 
***,
his/her curriculum vitae plus a motivation letter to
prof. luis seabra lopes (lsl at det.ua.pt).

other information
------------------
the university of aveiro (http://www.ua.pt), founded
in 1973, is currently considered one of the best
universities in   portugal  , enrolling around 14000
students. the university's main site is a modern
campus located in the coastal city of aveiro,
in north/center   portugal  . the intelligent robotics
research group was created in 1999 and currently
conducts projects on human-robot interaction, robot
learning and multi-robot teams.

  
__________________________________________
luis seabra lopes (lsl at det.ua.pt)
  
departamento de electrónica, telecomunicações e 
informática
universidade de aveiro - 3810-193 aveiro -   portugal  
phone: +351-234-370374 / fax: +351-234-381128"
5,2007,post-doc position in intelligent robotics,"(* please forward to potential candidates *)


post-doc research position
intelligent robotics
(fellowship reference: c2007-ua/ieeta/ir/01)
  
  
summary
=======
the transverse activity on intelligent robotics
(http://www.ieeta.pt/atri) of the ieeta research
unit / universidade de aveiro (http://www.ua.pt)
wishes to fill a five-year post-doctoral research
position. candidates will be evaluated in terms
of relevance to the following main research lines:
  
** anthropocentric robotics – robots designed for
tight interaction/cooperation with humans in industrial,
service and domestic scenarios; also robots designed
based on analogies with human morphology, behavior
and intelligence.

** multi-robot systems – both in simulation and with
real robots, and on several application domains.
  
  
description
===========
atri was created in 1999, acknowledging the strategic
importance of developing this field of research in ieeta,
and builds on synergies between the main basic research
areas of the unit. the mission of atri is to study
and develop integrated architectures for intelligent
robotic systems.
  
research work in atri can be broadly divided into
two main lines, anthropocentric robotics and multi-robot
systems, which are briefly described below. with
an average manpower estimated in 7 man*year, atri
currently produces around 20 publications per year.
  
a. anthropocentric robotics

atri has been developing robots based on analogies
with human morphology, behavior and intelligence. these
robots are designed for tight interaction/cooperation
with humans. inside this line of research, the
following aspects received particular attention:

i. human-robot interaction – particular attention has
been paid to spoken language dialog with host/domestic
robots, including dialog management and robust spoken
language understanding. (carl project)

ii. vision-based robot learning – the main focus is
on the use of visual object learning and recognition
in the context of language acquisition.
(langg project)

iii. humanoid robotics – a 22-dof humanoid platform
was already developed, enabling further research in
control, navigation and perception.

a successful candidate should have background in at
least one of the described topics, and should contribute
to combine them, e.g. human-robot interaction with
robot learning, human-robot interaction with
humanoid robots, etc.


b. multi-robot systems

over the last decade, multi-robot systems became a
major research area in robotics, with many application
fields, spanning from rescue in disaster situations
to space robotics. multi-robot systems are a research
line in atri since its creation. work is carried out
both in simulation and with real robots:

i. simulation – study of agent architectures, team
coordination strategies and related issues in the
robocup soccer and rescue simulation leagues -
with several prizes won in the robocup world
championships. (fc   portugal   project)

ii. real robots – study of hardware/software
architectures and coordination strategies for
robotic soccer teams in the robocup middle-size league.
(cambada project)

a successful candidate is expected to contribute to
transfer methodologies, previously investigated in
simulation teams, to robot teams and/or to develop
robot teams for real-world service applications.


candidates and applications
===========================
candidates must have a solid background in intelligent
robotics, with a phd degree and 3 years of post-doctoral
experience in that area. candidates should note the
general rules of program ""ciencia 2007""
(http://www.fct.mctes.pt/ciencia2007/). the
salary is ~42500 € per year.

in support of their application, candidates must submit:
– curiculum vitae
– 2 recommendation letters
– statement letter

the application deadline is september 2, 2007

the application must be sent to: lsl at ua.pt

for more details, see:
http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=6358

__________________________________________
luis seabra lopes (lsl at ua.pt)

departamento de electrónica, telecomunicações e 
informática
universidade de aveiro - 3810-193 aveiro -   portugal  
phone: +351-234-370374 / fax: +351-234-381128"
6,2007,postdoc position in computational intelligence for its and robotics,"job summary:

applications are invited for a postdoctoral research position in the 
field of computational intelligence and information processing for its 
and robotics. phd in relevant fields, at least 3 years research 
experience and a good record of publications are mandatory. experience 
in project coordination and post-graduation student supervision are 
highly recommended.


job description/position responsibilities:

in the context of various national/international research projects, the 
institute for systems and robotics (isr-university of coimbra) is 
looking for a posdoc who will work on computational intelligence/machine 
learning methods and algorithms for perceptual and cognitive information 
processing, for intelligent autonomous vehicles (iav) and its simulation 
applications, and supervise postgraduate student projects in the fields: 
multimodal sensory information processing for perceptual modules; 
pedestrians and vehicles recognition; multiagent-based models for iav 
and its simulation; intelligent semantic information retrieval in its 
domain. there is some flexibility in how the outline of the work will be 
developed, and personal initiative is strongly encouraged. the research 
is carried out in an international context, which will enable the 
candidate to have interactions with other research teams in the fields 
of iav and its in general. additionally, the candidate is expected to 
strengthen its-related research areas in isr-uc and is expected to apply 
for research funds. the candidate will be able to collaborate in 
post-graduate teaching activities, both at msc and phd levels.

qualifications and experience:

candidates must have a phd in computer science or related field and at 
least 3 years research experience with a good record of publications. 
the ideal candidate will have good scientific knowledge and experience 
in some of the following areas: computer science, information 
processing, agent-based systems, cognitive robotics. candidates are 
expected to be experienced in c++, linux and real-time programming.

more information:

the isr-uc is a research institute, with modern laboratory facilities, 
located in the new engineering campus of the coimbra university, 
  portugal  . the isr-uc strongly promotes interaction with the 
international community.

contract conditions:

the successful candidates will receive a competitive salary in
accordance with the university regulations for a researcher. the
position is for one year, with possible contract renovation up to 5 years.
the annual gross income, before taxes, will be 3,038.06 euros x 14 months.


how to apply

enquiries about this vacancy and applications should be sent to

prof. urbano nunes
http://www.isr.uc.pt/~urbano/
institute for systems and robotics
department of electrical and computer engineering
university of coimbra—polo 2
3030-290 coimbra
  portugal  

by email to urbano at isr.uc.pt

with the following information:

identification of the candidate
curriculum vitae/resume
letters of reference
statement of purpose for the period of the contract.
closing date: 01 october 2007

for more details, including application deadlines and selection 
committee, see
http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=7255 
<http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=7255>"
7,2007,postdoc position in computational intelligence for its and robotics,"job summary:

applications are invited for a postdoctoral research position in the 
field of computational intelligence and information processing for its 
and robotics. phd in relevant fields, at least 3 years research 
experience and a good record of publications are mandatory. experience 
in project coordination and post-graduation student supervision are 
highly recommended.


job description/position responsibilities:

in the context of various national/international research projects, the 
institute for systems and robotics (isr-university of coimbra) is 
looking for a posdoc who will work on computational intelligence/machine 
learning methods and algorithms for perceptual and cognitive information 
processing, for intelligent autonomous vehicles (iav) and its simulation 
applications, and supervise postgraduate student projects in the fields: 
multimodal sensory information processing for perceptual modules; 
pedestrians and vehicles recognition; multiagent-based models for iav 
and its simulation; intelligent semantic information retrieval in its 
domain. there is some flexibility in how the outline of the work will be 
developed, and personal initiative is strongly encouraged. the research 
is carried out in an international context, which will enable the 
candidate to have interactions with other research teams in the fields 
of iav and its in general. additionally, the candidate is expected to 
strengthen its-related research areas in isr-uc and is expected to apply 
for research funds. the candidate will be able to collaborate in 
post-graduate teaching activities, both at msc and phd levels.

qualifications and experience:

candidates must have a phd in computer science or related field and at 
least 3 years research experience with a good record of publications. 
the ideal candidate will have good scientific knowledge and experience 
in some of the following areas: computer science, information 
processing, agent-based systems, cognitive robotics. candidates are 
expected to be experienced in c++, linux and real-time programming.

more information:

the isr-uc is a research institute, with modern laboratory facilities, 
located in the new engineering campus of the coimbra university, 
  portugal  . the isr-uc strongly promotes interaction with the 
international community.

contract conditions:

the successful candidates will receive a competitive salary in
accordance with the university regulations for a researcher. the
position is for one year, with possible contract renovation up to 5 years.
the annual gross income, before taxes, will be 3,038.06 euros x 14 months.


how to apply

enquiries about this vacancy and applications should be sent to

prof. urbano nunes
http://www.isr.uc.pt/~urbano/
institute for systems and robotics
department of electrical and computer engineering
university of coimbra—polo 2
3030-290 coimbra
  portugal  

by email to urbano at isr.uc.pt

with the following information:

identification of the candidate
curriculum vitae/resume
letters of reference
statement of purpose for the period of the contract.
closing date: 01 october 2007

for more details, including application deadlines and selection 
committee, see
http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=7255 
<http://www.eracareers.pt/opportunities/index.aspx?task=global&jobid=7255>"
8,2007,postdoc position in robotic sensing and/or mems,"job/fellowship reference: c2007-isr-uc-sensing-mems

main research field: engineering

sub research field: electrical engineering


job summary:
isr-uc is looking for a post doctoral researcher who will work on 
robotic sensing and/or microelectromechanical systems (mems), for the 
development of advanced sensor systems in a variety of environments:
• electronic noses for search and rescue, as well as for biomedical 
applications.
• intelligent sensor systems for intelligent environments in the home
• sensor fusion and integration

job description:
job opportunity

the institute for systems and robotics, isr—uc (http://www.isr.uc.pt) 
offers one postdoctoral research position in the field of :

robotic sensing and/or microelectromechanical systems (mems)

the institute of systems and robotics (isr-uc) is an outstanding 
research institute having a large number of national and international 
projects in a wide variety of topics ranging mobile robotics, remote 
handling, autonomous intelligent vehicles, computer vision, and automation.


position responsibilities:
------------------------------
in the context of various national and european research projects, 
isr-uc is looking for a postdoctoral researcher who will work on robotic 
sensing and microelectromechanical systems (mems), for the development 
of advanced sensor systems in a variety of environments, and supervise 
postgraduate student research projects in the fields:
• electronic noses for search and rescue in hazardous applications, as 
well as for biomedical applications. collaboration is foreseen with 
chemistry department regarding the development of selective chemical sensors
• intelligent sensor systems for intelligent environments in the home
• sensor fusion and integration

there is some flexibility in how the outline of the work will be 
developed, and personal initiative is strongly encouraged. the research 
is carried out in an international context, which will enable the 
candidate to have interactions with other research teams in the fields 
of robotic sensing and microelectromechanical systems(mems) in general.
additionally, the candidate is expected to strengthen the sensor systems 
design related research areas in isr-uc and is expected to apply for 
research funds.
the candidate will be able to collaborate in post-graduate teaching 
activities, both at msc and phd level

requirements:
-------------------
candidates must have a phd in electrical/electronic engineering, 
physics, computer science, computer engineering, or related fields and 
at least 3 years research experience with a good record of publications. 
leadership skills and experience in project coordination and 
post-graduation supervision are highly recommended. the ideal candidate 
will have good scientific knowledge and experience in one or more of the 
following areas: robotic sensing, microelectromechanical systems(mems), 
electronic noses, sensor fusion and integration, search and rescue robots.


more information:
-----------------------

isr-uc is a research institute located in the new engineering campus of 
the coimbra university. isr-uc has modern laboratory facilities with an 
area of 1200 m2. coimbra is a lively student city that offers a great 
variety of cultural and recreational activities. isr-uc strongly 
promotes interaction with the international community and research funds 
are available to sponsor travel and accommodation expenses for 
conferences and scientific events.
further information can be obtained from prof. anibal t. de almeida 
(adealmeida at isr.uc.pt).

contract:
-----------
a 5 years contract is offered according to the ciência 2007 program 
rules. the salary is
3038.06 euros x14 months per year (total yearly 42.533 euros, or about 
us$ 58.270), including social security obligations. yearly upgrades of 
the salary will be calculated according to national rules and taxes will 
be deduced according to the national law.



how to apply
----------------
to apply, please send by email to adealmeida at isr.uc.pt

detailed cv including list of publications, (send up to 3 publications 
with the application documents)
statement of purpose for the period of the contract
names and addresses of three professional references,
an interview and seminar may be requested.

closing date: 1 october 2007

the positions availability (in the number indicated below) is dependent 
of a decision from fct.



vacant posts: 1
type of contract: contrato a termo certo
job country:   portugal  
job city: coimbra
job company/institute: isr-uc, institute of systems and robotics, 
university of coimbra


application deadline: 01 outubro 2007
(the application's deadline must be confirmed on the job description)

2. organization contact data
________________________________________
organization/institute: instituto de sistemas e robótica - isr – coimbra 
- c2007b
address:
universidade de coimbra, pólo ii, pinhal de marrocos
coimbra - 3030-290
  portugal  
email: adealmeida at isr.uc.pt

website: http://www.isr.uc.pt



3. required education level
________________________________________
degree: candidates must have a phd in electrical/electronic engineering, 
physics, computer science, computer engineering, or related fields and 
at least 3 years research experience with a good record of publications.

degree field: engineering



4. required languages
________________________________________
language: english
priority: high
reading: excelent
writing: good
comprehension: good
conversation: excelent



5. required research experience
________________________________________
main research field: engineering
research sub-field: electronic engineering
years of research experience: 3 years


-- 
******************************************************************
lino marques
institute of systems and robotics
dep. of electrical and computer engineering
university of coimbra
3030-290 coimbra                            e-mail: lino at isr.uc.pt
  portugal          fax: +(351) 239 406 672  phone: +(351) 239 796 277
******************************************************************"
9,2007,post doc position on robotic sensing at isr-uc   portugal  ,"job/fellowship reference: c2007-isr-uc-roboticsensing

main research field: engineering

sub research field: electrical engineering


job summary:
isr-uc is looking for a post doctoral researcher who will work on smart 
sensors and mobile sensor networks and multimodal sensor fusion. the 
candidate will be integrated in a team working in robotics for risky 
environments, namely: demining, search and rescue, firefighting, and 
underwater.


job description:
job opportunity

the institute for systems and robotics, isr-uc (http://www.isr.uc.pt) 
offers one postdoctoral research position in the field of :

robotic sensing

the institute of systems and robotics (isr-uc) is an outstanding 
research institute having a large number of national and international 
projects in a wide variety of topics ranging mobile robotics, remote 
handling, autonomous intelligent vehicles, computer vision, and automation.


position responsibilities:
------------------------------
in the context of various national and european research projects, 
isr-uc is looking for a postdoctoral researcher who will work on sensors 
and mobile sensor networks and multimodal sensor fusion for the 
development of advanced sensor systems in a variety of environments, and 
supervise postgraduate student research projects in the fields:
• mobile robot olfaction
• intelligent sensor systems for intelligent environments in the home
• multimodal sensor fusion and integration

there is some flexibility in how the outline of the work will be 
developed, and personal initiative is strongly encouraged. the research 
is carried out in an international context, which will enable the 
candidate to have interactions with other research teams in the fields 
of robotic sensing in general.
additionally, the candidate is expected to strengthen the sensor systems 
design related research areas in isr-uc and is expected to apply for 
research funds.
the candidate will be able to collaborate in post-graduate teaching 
activities, both at msc and phd level

requirements:
-------------------
candidates must have a phd in electrical/electronic engineering, 
physics, computer science, computer engineering, or related fields and 
at least 3 years research experience with a good record of publications. 
leadership skills and experience in project coordination and 
post-graduation supervision are highly recommended. the ideal candidate 
will have good scientific knowledge and experience in one or more of the 
following areas: robotic sensing, microelectromechanical systems (mems), 
artificial olfaction, multimodal sensor fusion and integration, robotics 
for hazardous environments.


more information:
-----------------------

isr-uc is a research institute located in the new engineering campus of 
the coimbra university. isr-uc has modern laboratory facilities with an 
area of 1200 m2. coimbra is a lively student city that offers a great 
variety of cultural and recreational activities. isr-uc strongly 
promotes interaction with the international community and research funds 
are available to sponsor travel and accommodation expenses for 
conferences and scientific events.
further information can be obtained from prof. anibal t. de almeida 
(adealmeida at isr.uc.pt).

contract:
-----------
a 5 years contract is offered according to the ciência 2007 program 
rules. the salary is
3038.06 euros x14 months per year (total yearly 42.533 euros, or about 
us$ 58.270), including social security obligations. yearly upgrades of 
the salary will be calculated according to national rules and taxes will 
be deduced according to the national law.



how to apply
----------------
to apply, please send by email to adealmeida at isr.uc.pt

detailed cv including list of publications, (send up to 3 publications 
with the application documents)
statement of purpose for the period of the contract
names and addresses of three professional references,
an interview and seminar may be requested.

closing date: 15 october 2007

the positions availability (in the number indicated below) is dependent 
of a decision from fct.


vacant posts: 1
type of contract: contrato a termo certo
job country:   portugal  
job city: coimbra
job company/institute: isr-uc, institute of systems and robotics, 
university of coimbra


application deadline: 15 outubro 2007
(the application's deadline must be confirmed on the job description)

2. organization contact data
________________________________________
organization/institute: instituto de sistemas e robótica - isr – coimbra 
- c2007b
address:
isr
universidade de coimbra, pólo ii
coimbra - 3030-290
  portugal  
email: adealmeida at isr.uc.pt

website: http://www.isr.uc.pt

3. required education level
________________________________________
degree: candidates must have a phd in electrical/electronic engineering, 
physics, computer science, computer engineering, or related fields and 
at least 3 years research experience with a good record of publications.

degree field: engineering

4. required languages
________________________________________
language: english
priority: high
reading: excelent
writing: good
comprehension: good
conversation: excelent

5. required research experience
________________________________________
main research field: engineering
research sub-field: electronic engineering
years of research experience: 3 years

-- 
******************************************************************
lino marques
institute of systems and robotics
dep. of electrical and computer engineering
university of coimbra
3030-290 coimbra                            e-mail: lino at isr.uc.pt
  portugal          fax: +(351) 239 406 672  phone: +(351) 239 796 277
****************************************************************** "
