,year,subject,content
0,2005,"phd studentships in mobile robotics at ntu, singapore.","nanyang technological university, singapore

department of electrical & electronic engineering

ph.d. scholarship positions in mobile robotics

 

ph.d. positions are available within the mobile robotics group, school
of electrical & electronic engineering, ntu, singapore. each phd
scholarship position is for 3 years, and covers university tuition fees,
and a scholarship of approximately sgd 1,600.00 per month, and all
nationalities are invited to apply. subsidized housing is available on
campus.

 

the positions, under the supervision of dr. martin adams
http://www.ntu.edu.sg/home/eadams and dr. sardha wijesoma
http:/www.ntu.edu.sg/home/eswwijesoma
<http://www.ntu.edu.sg/home/eswwijesoma>  are linked to a project
entitled ""collaborative autonomous systems for built environments"" in
which several outdoor mobile robots are to navigate in built-up, outdoor
environments, for the applications of collaborative surveillance and
road cleaning. this project covers many robotics technologies from the
processing and fusion of sensor data (radar, ladar and vision),
environmental perception, image processing & computer vision, and
machine learning.

 

candidates are required to have a good honours degree in engineering,
computer science, physics or another related field and must demonstrate
a strong back ground in mathematics, programming and systems
engineering.

 

the ability to work with a highly motivated research team on both
theoretical and practical problems is essential.

 

further information regarding the position can be obtained by contacting
the supervisors at eadams at ntu.edu.sg and/or eswwijesoma at ntu.edu.sg. 

 

applicants should complete an application form downloadable from
http://www.ntu.edu.sg/personnel/adminres/staffrec/research.pdf and send
this, together with a full cv, copies of transcripts and three completed
reference reports (under confidential cover) to:

 

assoc. prof. martin adams 
nanyang technological university 
school of electrical & electronic engineering 
block s2 
nanyang avenue 
singapore 639798

 

 

 

 

************************************************************ 
martin adams 
nanyang technological university 
school of electrical & electronic engineering 
block s2 
nanyang avenue 
singapore 639798 

email:        eadams at ntu.edu.sg 
homepage: http://www.ntu.edu.sg/home/eadams/ 
tel:            ++65 6790 4361 
fax:           ++65 6792 0415 
********************************************************** 

 

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20051003/e112cf2f/attachment.html"
1,2006,graduate student scholarship and research associates in singapore,"graduate student scholarship and research associates
nanyang technological university, singapore
 
the modular robotics and locomotion group in the school of mechanical
and aerospace engineering at
nanyang technological univ (ntu) is seeking graduate students in master
and phd levels and two full time 
research associates to assist in the development of fiber-optic based
wearable human motion processing 
system.
 
for graduate study, the applications should be submitted to the
admission office of ntu online @
http://www.ntu.edu.sg/gradstudies/research+programmes/default.htm
in addition, please forward a copy of the application material to
professor i-ming chen (michen at ntu.edu.sg)
deadline of admission for july 2006 is 31 january 2006
 
for full time research associates,
the qualifications include a master in mechanical engineering/electrical
engineering/biomedical engineering 
or related discipline, with knowledge of a combination of at least two
of the following areas: fiber optics, 
embedded system design, kinematics and human motion study. the
appointment is for 2 years which may be renewed 
for an additional year. the commencing salary will depend on the
candidate's qualification and experience. 
the successful applicants will look at processing and interpretation of
the wearble fiber optical sensor data into human
anatomical movement and build the processing system into a wearable
computing platform for sensing and control
usage. he/she will be part of the team working on robotics/mechatronics
projects for entertainment and human assistive
technology and be able to access the excellent robotics research
facilities in ntu.
 
applicants can download the application form at
http://www.ntu.edu.sg/personnel/adminres/staffrec/research.pdf
 
and send all the relevant document to 
 
prof. i-ming chen 
school of mechanical and aerospace engineering 
nanyang technological university 
nanyang ave, singapore 639798
email: michen at ntu.edu.sg
research:
http://www.ntu.edu.sg/mpe/research/groups/mod_robotics/index.htm
<http://www.ntu.edu.sg/mpe/research/groups/mod_robotics/index.htm> 
personal:  http://www.ntu.edu.sg/home/michen/index.html
<http://www.ntu.edu.sg/home/michen/index.html> 
  
 
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060118/13731176/attachment.html"
2,2006,research engineer in bayesian programming,"position title:
------------------
research engineer in bayesian programming

where:
------------
grenoble (capital of the french alps), france

when:
---------
immediately, for 3 to 4 years

description of the position:
------------------------------------

you will have to develop bayesian models, programs, applications and  
experiments.
you will be a key element of a research group devoted to ""stochastic  
models for perception, inference, learning and action"".
your main mission will be to take in charge the software development  
of the group related to the starting european project bacs (bayesian  
approach to cognitive systems) and some experiments on various  
robotic platforms.
your employer will  be inria (institut national de la recherche en  
informatique et automatique) a major international institute for  
research in computer science and applied math.

example of possible models, experiment or application you may have to  
work on are :
- bayesian models of neurons and population of neurons
- bayesian models of human object perception
- bayesian models of human and rat navigation
- bayesian based autonomous navigation of mobile robots and cars
- bayesian based body and face motion tracking
- bayesian reconstruction of 3d realistic scene
- bayesian based multi-modal sensor integration and analysis
- bayesian driver assistance for enhanced vehicle safety

all this models are build using the bayesian programming formalism  
(an extension of bayes nets) and use the probt® toolbox and api to  
automate the inference and computation.
you will be the probt guru of the group and will assist researchers  
and phd student in their models and software development.

requirements:
--------------------

necessary :
- a master, an engineering degree or a phd in computer science.
- fluent in c and c++
- fluent in either french or english (if not fluent in french, at  
least some good bases are required and a strong willing to learn more  
rapidly)

plus :
- bilingual of fluent in both language
- experience of software development and maintenance
- holding a phd
- experience of robotics and/or artificial intelligence
- proficiency in probability or statistics
- experience in other computer languages and tools

additional informations:
--------------------------------

- grenoble
grenoble is 600k inhabitants city right in the middle of the french  
alps. it has a very big university and at least 10% of the population  
is made of students. grenoble activity is turned toward high  
technology industry and research. its domains of excellence are  
nanotechnology, computer sciences and electronic. all mountain  
outdoors leisure are next door (the closest ski resort is 30 minutes  
from downtown).

- emotion research group
the research group (www-laplace.imag.fr) is made of 25 persons  
(permanent researchers, engineers and phd students). it is a very  
international group as presently 6 countries are represented beside  
france  (brazil, china, india, italy, mexico & singapore). the group  
has a long experience (>15 years) of research in bayesian modeling.  
it applies theese technics to robotics, artificial intelligence,  
cognitive science and developing industrial applications. the group  
has been the leader of the european project biba (bayesian inspired  
brain and artifacts) which, after 4 years of work, is just terminated.

- bacs project:
bacs is the continuation of biba. its a new european project started  
in january for 4 years. the abstract of the project is the following:
despite very extensive research efforts contemporary robots and other  
cognitive artifacts are not yet ready to
autonomously operate in complex real world environments. one of the  
major reasons for this failure in creating cognitive
situated systems is the difficulty in the handling of incomplete  
knowledge and uncertainty.
in this project we will investigate and apply bayesian models and  
approaches in order to develop artificial cognitive systems
that can carry out complex tasks in real world environments. we will  
take inspiration from the brains of mammals including
humans and apply our findings to the developments of cognitive systems.
the bayesian approach will be used to model different levels of brain  
function, from neural functions up to complex
behaviors. this will enable us to show that neural functions and  
higher-level cognitive activities can coherently be modeled
within the bayesian framework. the bayesian models will be validated  
and adapted as necessary according to
neuro-physiological data from rats and humans and through  
psychophysical experiments on human.
the bayesian approach will also be used to develop four artificial  
cognitive systems concerned with (i) autonomous
navigation, (ii) multi-modal perception and reconstruction of the  
environment, (iii) semantic facial motion tracking, and (iv)
human body motion recognition and behavior analysis.
the conducted research shall result in a consistent bayesian  
framework offering enhanced tools for probabilistic reasoning
in complex real world situations. the performance will be  
demonstrated through its applications to drive assistant systems
and 3d mapping, both very complex real world tasks.

- inria:
(see http://www.inria.fr/inria/enbref.en.html)

- bayesian programming and probt toolbox:
bayesian programming is a methodology and a formalism to develop  
software able to deal with incomplete and uncertain information.
probt is a c++ library that implement bayesian inference and learning  
on various kind of computers and operating systems.
probt is a commercial product (www.probayes.com) but is also  
available for free for research and teaching utilization  
(www.bayesian-programming.org).

salary:
----------
27k€ <-> 37k€(according to qualifications)

contact:
-----------
pierre.bessiere at imag.fr, christian.laugier at imag.fr

_______________________________
dr pierre bessière - cnrs
*****************************
gravir lab
inria
655 avenue de l'europe
38334 montbonnot
france

mail: pierre.bessiere at imag.fr
http: www-laplace.imag.fr
tel:   +33 4 76 61 55 09
_______________________________


-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060420/e5291746/attachment-0001.html"
3,2006,postdoctoral research fellow position (humanoid robotics),"dear colleagues/researchers

 

i have an opening for a postdoctoral research fellow in the department
of mechanical engineering, national university of singapore, beginning
around aug/sept 06, in the area of humanoid robotics (simulation).  a
minimum commitment of one year is required.



the work is part of a new humanoid project in singapore aiming to create
a life-size humanoid robot with multiple capabilities.  the aims of this
work are 1) to develop a virtual humanoid robot in a simulation
environment.  this environment will enable human operator to validate
kinematics-based motion-planning algorithms and dynamics-based
behavior-control algorithms; and 2) to develop complex behaviors'
algorithms for the simulated humanoid robot, like walking on rough
terrains, running, manipulating, etc.  

 

the successful applicant will become a member of a multidisciplinary
team.  he will work closely with a few phd students to achieve the aims
of the project.  he should have good knowledge in programming skill
(e.g. c, c++, java, etc) especially in the realistic simulation of
humanoid robot's behaviors.  some background knowledge in virtual
reality will be a plus.  he will be involved in the sourcing of a
commercial multibody dynamics simulation software package.  he will then
be involved in the development of user-friendly gui for the simulation,
and the creation of a realistic simulation model for the new humanoid
robot.  the simulation environment will eventually need to be interfaced
with the actual humanoid robot and with a tele-operation system.  he
will also develop the algorithms for the complex behaviors of the robot
using the simulation environment.

 

please contact me (chewcm at alum.mit.edu <mailto:chewcm at alum.mit.edu> ) if
someone you know wishes to be considered for this position.  


chew, chee-meng, phd 
department of mechanical engineering 
national university of singapore 
tel: +65-68741337 fax:  +65-67791459 

 
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060710/8fed70f7/attachment.html"
4,2006,open phd position announcement - smart suit,"open phd position announcement
smart suit - wearable embedded human body motion processing system
modular robotics and locomotion group
school of mechanical and aerospace engineering in nanyang technological
univ (ntu), singapore
------------------------------------------------------------------------
--------------------------------------------------
 
two fully funded phd student positions are available in jan 2007 in the
modular robotics and
locomotion group in school of mechanical and aerospace engineering in
nanyang technological 
univ (ntu), singapore (contact: prof. i-ming chen) under the project
titled, ""smart suit - wearable 
embedded human body motion processing system"" in the framwork of
thematic research program 
on embedded and hybrid systems ii (ehs-ii) funded by agency for science
and technology 
research (astar), singapore. (http://www.ehs-sg.org)
 
 
project description
-------------------------------
the main objective of this project is to develop a high performance
un-tethered wearable human 
motion processing system for real-time sensing and processing of
anatomical motion data. embedded 
sensing techniques for human movement detection, embedded motion data
fusion and processing 
capability, ergonomics of the wearable system, interaction between the
wearable sensing system 
and the physical/virtual environment will be the main research issues.
major applications of this human 
motion processing system will be in the real-time control and
manipulation of virtual figures in 
interactive media, games and films, and articulated physical
biomechatronic systems, such as 
humanoid robots, exo-skeletons, and rehabilitation devices.
 
in addition to the modular robotics group, the program's consortium
includes: 
school of eee, ntu
dept of eecs, dept of me, national university of singapore
institute of infocomm research (i2r), astar
institute of microelectronics (ime, astar)
 

description of work
 -------------------------------
the two phd research works will focus respectively on 
 
1) the devepment of kinematic models of various human joints and sensor
models
for intepretation of joint movements, localization and registration of
wearable sensors on human body,
kinematic calibration of the wearble sensors, fusion of complete human
limb movement.
 
2) software architecture of human motion detection for the embedded
system, rehabilitation 
device design and control based on wearble motion sensor suit.
 
the candidates will work together with full time research staffs on the
sensor development for 
the complete system.
 

qualifications
----------------------
applicants should preferably have an msc in one of the following
disciplines:
- mechanical engineering
- robotics
- biomedical engineering
- electrical engineering
 
candidates from other disciplines are also welcome if they demonstrate
skills in the above-mentioned 
areas.  demonstrated proficiency in written/spoken english is mandatory.
the candidate will be 
requested to do some class assistance and supervise undergraduate and
master projects. the 
successful applicants will be part of the team working on
robotics/mechatronics projects for 
entertainment and human assistive technology and be able to access the
excellent robotics 
research facilities in ntu.
 
the applications should be submitted to the admission office of ntu
online @
http://www.ntu.edu.sg/gradstudies/research+programmes/default.htm
in addition, please forward a copy of the application material and cv to

professor i-ming chen (michen at ntu.edu.sg)
 
prof. i-ming chen 
school of mechanical and aerospace engineering 
nanyang technological university 
nanyang ave, singapore 639798
email: michen at ntu.edu.sg
url: http://www.ntu.edu.sg/home/michen/
research:
http://www.ntu.edu.sg/mpe/research/groups/mod_robotics/index.htm
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060907/dd94f4c4/attachment-0001.html"
5,2006,postdoctoral research fellow position,"hi, could you please send the following message to the subscribers?

 

thks

chee-meng

------------------------------------------

re:  postdoctoral research fellow position in humanoid robotics

 

dear colleagues/researchers

 

i have an opening for a postdoctoral research fellow in the department
of mechanical engineering, national university of singapore, starting
around jan/feb 2007.  the candidate is preferably experienced in area of
humanoid or legged robotics.  a minimum commitment of one-and-half-year
is required for this position.



the candidate will be involved in the development of a new bipedal robot
and the implementation of advanced locomotion behaviors for the robot.
he will work with a few postgraduate students to achieve the aims of the
project.  he should have good programming skill (e.g. c, c++, java, etc)
and experience in legged robot control.  hardware design experience for
legged robot will be an advantage.  

 

please contact me (chewcm at alum.mit.edu <mailto:chewcm at alum.mit.edu> ) if
you need more information on this position.  (website:
http://guppy.mpe.nus.edu.sg/legged_group/projects.htm)

 

thank you!  



chee-meng chew, phd

department of mechanical engineering 

national university of singapore 

tel: +65-65161337 fax:  +65-67791459 

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20061214/8e34ace1/attachment.html"
6,2008,"phd opennings at nanyang technological university, singapore","phd openings: division of control and instrumentation, school of
electrical and electronic engineering, nanyang technological university,
singapore

division of control and instrumentation at nanyang technological
university is currently looking for ph.d. students to join the exciting
research in the areas of control systems technologies including robust
control, adaptive control, intelligent control and networked control,
autonomous systems, perception and machine learning, and biomedical
instrumentation. the division hosts the research centre for intelligent
machines and co-hosts the research centre for modeling and control of
complex systems. more details of our research can be found at
http://www.ntu.edu.sg/eee/eee4.

prospective students should have a strong interest and background in the
fields of mathematical control theory and dynamical systems. students
must apply to the phd program for admission and scholarships. the
details can be found at http://www.ntu.edu.sg. the university provides
attractive scholarships for successful candidates. 

the january 2009 intake is now open for applications. 

you may send your inquiries to professor danwei wang
(edwwang at ntu.edu.sg), head, division of control and instrumentation or
professor lihua xie (elhxie at ntu.edu.sg), director, centre for
intelligent machines."
7,2008,post-doctoral research fellow (vision & control & ai),"======================================
post-doctoral research fellow (vision)
======================================
department of electrical and electronic engineering,
national university of singapore

job description:
we invite application for a research fellow position (tenuable minimum of 2
years) available in the department of electrical and computer engineering at
the national university of singapore. the research fellow will join a team
under one of our projects on computer vision. 

this project aims to develop a system which analyze and extract features
from videos or images for the communication and control of robots. areas
of research for the project include pattern recognition, artificial
intelligence, 
machine learning, and robotics.

qualifications:
- phd in engineering, usually in electrical, mechanical engineering with a
specialty in pattern recognition and computer vision.
- a background in a relevant subject such as electronics, mechanical,
robotics, computer science, physics or math.
- strong c / c++, programming skills.
- hardware development experience.
- excellent communicator, ability to learn quickly and enthusiastically.

qualified candidates are invited to express their interest in the vacancy or
ask for more detailed information.
remunerations will commensurate with qualifications and experience. to be
considered for the research fellow appointment, the following materials must
be submitted electronically by the applicant:
1. duly completed personal particular form and recommendation form.
2. brief cv (resume) including a list of publications.
3. statement of research interests and goals, including the reason for
participation in this program.
4. copies of three best research publications (if any).

for further details contact prof. shuzhi sam ge, email: srl at nus.edu.sg
position description is available at
http://robotics.nus.edu.sg/index.php?q=node/59
to find more information of our social robotics lab at
http://robotics.nus.edu.sg/



==============================================================
post-doctoral research fellow (control theory and application)
==============================================================
department of electrical and computer engineering
national university of singapore
  
we invite application for a research fellow position (tenuable minimum of 2
years) available in the department of electrical and computer engineering at
the national university of singapore. the research fellow will join a team
under one of our projects on control theory and applications.
 
qualifications:
- phd in engineering, usually in electrical, mechanical engineering with a
specialty in control.
- background in a relevant subject such as electronics, mechanical,
robotics, computer science, physics or math.
- excellent communicator, ability to learn quickly and enthusiastically
it would be a plus if the applicant possesses:
- strong c / c++, programming skills
- hardware development experience
 
qualified candidates are invited to express their interest in the vacancy or
ask for more detailed information.
remunerations will commensurate with qualifications and experience. to be
considered for the research fellow
appointment, the following materials must be submitted electronically by the
applicant:
1. duly completed personal particular form and recommendation form.
2. brief cv (resume) including a list of publications.
3. statement of research interests and goals, including the reason for
participation in this program.
4. copies of three best research publications (if any).
 
for further details contact prof. shuzhi sam ge, email: samge at nus.edu.sg
position description is available at
http://robotics.nus.edu.sg/index.php?q=node/59
to find more information of our social robotics lab at
http://robotics.nus.edu.sg/



=======================================================
post-doctoral research fellow (artificial intelligence)
=======================================================
department of electrical and electronic engineering,
national university of singapore

job description:
we invite application for a research fellow position (tenuable minimum of 2
years) available in the department of electrical and computer engineering at
the national university of singapore. the research fellow will join a team
under one of our projects on social robotics.

qualifications:
- phd in engineering, usually in electrical, mechanical engineering with a
specialty in artificial intelligence
- a background in a relevant subject such as electronics, mechanical,
robotics, computer science, physics or math.
- strong c / c++, programming skills.
- hardware development experience.
- excellent communicator, ability to learn quickly and enthusiastically.

qualified candidates are invited to express their interest in the vacancy or
ask for more detailed information.l316
remunerations will commensurate with qualifications and experience. to be
considered for the research fellow
appointment, the following materials must be submitted electronically by the
applicant:
1. duly completed personal particular form and recommendation form.
2. brief cv (resume) including a list of publications.
3. statement of research interests and goals, including the reason for
participation in this program.
4. copies of three best research publications (if any).

for further details contact prof. shuzhi sam ge, email: samge at nus.edu.sg
position description is available at
http://robotics.nus.edu.sg/index.php?q=node/59
to find more information of our social robotics lab at
http://robotics.nus.edu.sg/d319"
8,2009,research positions,"several positions of junior research engineers
 
the humanoid robotics research group in singapore has several open positions for junior research engineers, who will work on a speech-based human-robot interaction project. 

candidates with 
- good knowledge in robotics, 
- good knowledge in computer vision, 
- good knowledge in artificial intelligence, 
- strong interest in speech recognition/understanding/learning/synthesis, and 
- strong c/c++ programming skills, 
are welcome to apply.
 
qualified candidates with master degrees and good english proficiency will have the option of pursuing ph.d degrees at the nanyang technological university.

interested applicants should send cv, cover letter and two references to dr. ming xie at ming.xie at robotics.sg"
9,2009,job opening for tenure-track assistant professor in robotics,"job opening for tenure-track assistant professor in robotics

the division of control and instrumentation, school of electrical and electronic engineering, nanyang technological university, singapore has a vacancy for tenure-track assistant professor to candidates with the minimum qualification as following:

a ph.d degree from a reputable university on topics of robotics and intelligent systems or related areas; a track record of competitive research experience in terms of good journal publications and research grants; good command of english and able to teach at undergraduate and post graduate levels. 

nanyang technological university is a research-intensive university in singapore. the division of control and instrumentation, school of electrical and electronic engineering has a faculty with expertise ranging from control and applications, robotics, computer vision, machine learning, biomedical engineering and more. for information of the division, you can visit http://www3.ntu.edu.sg/eee/eee4/staff_acad.asp. 

application procedure

suitably qualified candidates are invited to submit a completed application. please refer to the guidelines for submitting an application for faculty appointment http://www3.ntu.edu.sg/eee/eee4/jobopening/guidelines.pdf.  the post applied for should be clearly stated. 

electronic submission of application is encouraged and can be forwarded to:

dr. c.c. cheah
school of electrical & electronic engineering
nanyang technological university
50 nanyang avenue
block s1
singapore 639798
singapore  
e-mail:  eee4ssr at ntu.edu.sg  

application closes when the positions are filled."
