,year,subject,content
0,2010,research positions at jozef stefan institute,"department of automatics, biocybernetics, and robotics, jozef stefan institute (jsi) in ljubljana,   slovenia  , has several research positions available in the area of cognitive robotics, robot learning, and robot vision (funded phd studentships and postdoctoral positions). the positions are related to new eu fp7 cognitive systems projects and   slovenia  n national projects (principal investigator for these projects at jsi is dr. ales ude). the research topics include

- motor and action learning in large databases of motion capture data
- observation of human activities by a humanoid visual system
- learning object categories and affordances on humanoid robots
- motor learning with dynamic systems
- robot coaching
- physical robot-robot and robot-human interaction

the above topics indicate the possible themes of research. precise research programmes will be defined based on interests and abilities of the successful candidates. their research will be conducted on state of the art robotic systems available at jsi and in collaboration with several leading european robotics and cognitive systems research groups who work with jsi on eu fp7 projects.

interested candidates holding a degree in computer science, engineering, or applied mathematics are invited to apply. desired skills include programming in c/c++ and matlab, and prior experience in fields such as robot learning, computer vision, machine learning, and autonomous robots.

to apply you should send a statement of motivation related to one of the above topics (up to one page), a curriculum vitae, scanned transcripts of grades and diplomas, and contact information of at least two referees to ales.ude at ijs.si. applications will be evaluated as they are received, until all positions are filled. the earliest possible starting date is january 1st, 2011."
1,2011,open research positions at jozef stefan institute,"department of automatics, biocybernetics, and robotics, jozef stefan institute (jsi) in ljubljana,  slovenia , is looking for two new researchers, one at a phd student level and the other at the postdoc level. the successful candidates will work in fp7 ""cognitive systems and robotics"" projects. the possible research themes include:

- imitation learning
- motor learning with dynamic systems
- learning object categories and affordances on humanoid robots
- physical robot-robot and robot-human interaction

precise research programmes will be defined based on interests and abilities of the successful candidates. their research will be conducted on state of the art robotic systems available at jsi and in collaboration with several leading european robotics and cognitive systems research groups who work with jsi on eu fp7 projects. the initial contract will be limited to at most one year with the possibility to extend it.

interested candidates holding a degree in computer science, engineering, or applied mathematics are invited to apply. desired skills include programming in c/c++ and matlab, and prior experience in fields such as robot learning, computer vision, machine learning, and autonomous robots.

for further information regarding the projects, please contact dr. ales ude (ales.ude at ijs.si). to apply you should send a statement of motivation related to one of the above topics (up to one page), a curriculum vitae, scanned transcripts of grades and diplomas, and contact information of at least two referees to ales.ude at ijs.si. applications will be evaluated as they are received, until both positions are filled. successful candidates can start working at jsi as soon as all the paper work is completed."
2,2011,"phd position in rehabilitation robotics at uclouvain, belgium","phd position in rehabilitation robotics at uclouvain, belgium

the centre for research in mechatronics at uclouvain (belgium) is 
seeking applications for a phd position in rehabilitation robotics, 
offered in the framework of a european project on a cognitive prosthesis 
design. the position should start as soon as possible, and no later than 
the 1st of february, 2012. the position is fully funded and will involve 
strong interactions with the project partners: scuola superiore 
sant'anna (pisa, italy), vrije universiteit brussel (belgium), rizzoli 
ortopedia (italy), and univerza v ljubljani (ljubljana,  slovenia ).

project topic

the goal of the project is to develop an intelligent, cognitive 
prosthesis for lower-limb amputees. this high-performance device will 
combine cutting-edge properties like energy efficient (through compliant 
elements), user-intention detection, intuitive interaction, and 
maximization of the user's safety.
ucl is mainly in charge of the controller design. this work will be 
completed in collaboration with a postdoc and will require the design of 
an advanced controller, multibody, physics-oriented simulations of the 
user/device interactions, and experimental activities (both with healthy 
and impaired participants) carried out with the group of rehabilitation 
& physical medicine (institute of neuroscience) at ucl.

this work will be validated with a novel mechatronic device relying on a 
new type of sensory integration. both will be developed by our partners, 
such that strong interactions will be required during the whole project.

requested profile

we are seeking candidates with an msc degree in mechanical/biomedical 
engineering, mechatronics or a related discipline, with a strong 
background in controls, mechanical simulation (e.g. multibody dynamics) 
and robotics. good programming skills and/or experiences in experimental 
investigations with humans are a plus. good communication skills are 
further required in this project, due to its collaborative framework. 
having the capacity to act independently and to take initiatives is more 
than welcome.

what we offer

- a highly dynamic working environment, in a friendly international 
university city
- a framework to boost intensive collaborations with the project 
partners, but also with other partners at the national and european level
- a competitive salary and social benefits
- a high-quality graduate training in mechanics and/or dynamical systems

how to apply

your application should be sent by e-mail to renaud ronsse 
(renaud.ronsse at uclouvain.be), with ""phd position in rehabilitation 
robotics"" as subject. application should include a motivation letter, 
full cv with photograph, list of publications, academic transcripts, and 
contact information of two references. short-listed candidates will be 
contacted for a telematic or physical interview.

links

centre for research in mechatronics: http://www.cerem.be
uclouvain: http://www.uclouvain.be
louvain-la-neuve: http://en.wikipedia.org/wiki/louvain-la-neuve"
3,2011,"funded phd position in computer vision and robotics at university of birmingham, uk","-----------------------------------------------------------------------------------------------------------------------------------

funded phd position available at university of birmingham for 3 years,  
to start october 2011.

a funded research student position is available at the university of  
birmingham, uk for three years in the area of computer vision and  
robotics.

the research by the candidate will focus on computer vision methods  
that will enable efficient and scalable learning and inference of  
objects and object categories in the context of robotic tasks such as  
object manipulation, grasping, and exploiting affordances. the main  
emphasis will be on developing and evaluating computational approaches  
to scalable visual recognition of 3d object classes, building on our  
previous work on compositional hierarchies
[http://vicos.fri.uni-lj.si/alesl/research/].

prospective applicants should have an exceptionally strong academic  
record, and a solid knowledge of computer science, and/or mathematics,  
physics and engineering. they must also have demonstrable interest in  
computer vision and/or pattern recognition and machine learning, as  
well as very strong programming skills.

contact: in the first instance please contact prof ales leonardis: ales.leonardis at fri.uni-lj.
  and dr jeremy l wyatt: jlw at cs.bham.ac.uk attaching a cv with your  
academic record.

----------------------------------------------------------------------------------------------------------------------------------

--
dr jeremy l wyatt
reader in robotics and artificial intelligence
school of computer science
university of birmingham
www.cs.bham.ac.uk/~jlw || +44 121 414 4788
"
4,2011,"phd/postdoc positions in the intelligent autonomous systems group, tu münchen","the intelligent autonomous systems group (department of informatics, tu
münchen) is looking for excellent doctoral and post-doctoral
researchers.


our research focuses on cognition-enabled mobile manipulation, aiming at
integrating perception, knowledge representation, reasoning, task
planning, motion planning and action execution on physical robots
performing complex, realistic tasks. recent demonstrations include
baking pancakes, preparing bavarian sausages, and mobile
pick-and-place-tasks including interaction with articulated objects like
cupboards and drawers.

as part of the pr2 beta program by willow garage, the group has received
a pr2 robot to develop the cram (cognitive robot abstract machine)
framework (http://ias.cs.tum.edu/new/research/cram). cram
is a software toolbox for the design, the implementation, and the
deployment of cognition-enabled autonomous robots performing everyday
manipulation activities. cram equips autonomous robots with lightweight
reasoning mechanisms that can infer control decisions rather than
requiring the decisions to be preprogrammed.

the ias group is integrated into the cluster of excellence ""cognition
for technical systems"", in which more than 120 researchers from
different disciplines and 5 renowned research institutes collaborate.
furthermore, the ias group is involved in several national and european
projects and collaborates with multiple renowned research groups all
over the world.

tu münchen enjoys an excellent international reputation as an academic
leader and has been consistently ranked as one of the three best
universities in germany. the munich area itself offers high quality of
living, with unparalleled out-door recreational opportunities and a
great cultural life.



about the candidate

candidates for phd positions should have a master's degree in computer
science or equivalent. expertise in one or more topics related to our
research on cognition-enabled autonomous robots is expected, e.g.
artificial intelligence, robotics, knowledge representation, task
planning, control systems engineering, probabilistic models, and
machine learning. experience in working with real robot systems is a
plus.

the candidates should have strong programming skills in more than one
language, preferably including a functional programming language, and
should be interested in programming language design concepts.

research in our group involves close collaboration with other team
members and with international partners. candidates should therefore be
willing to work in a team and to integrate their work into the complete
robotic system. software developed in the group is usually released as
open source, and candidates are expected to actively contribute to our
open-source activities.

international candidates are encouraged to apply, knowledge of the
german language is not required, though fluent english is a must.



about the position

we offer a full-time employment as scientific research staff with the
option of obtaining a doctoral degree. the successful candidates will
perform research in the context of our cognitive robot abstract machine
project, working on cognition-enabled mobile manipulation in close
collaboration with the other members of the group and international
partners. they are further expected to contribute to the group's
teaching program and will be given the opportunity to work with bachelor
and master students.

the employment is limited with the possibility of extension to four
years. the position is to be filled at the earliest date possible. the
salary will be according to the german tv-l e13 payment scheme. tu
münchen aims for a higher proportion of women. therefore, applications
from women are explicitly appreciated. severely disabled people will be
considered preferentially if qualifications are basically equal.



how to apply

applicants should provide the following material:
- motivation letter that briefly describes the candidate's background
- cv
- academic certificates
- date of availability

all documents should be submitted as a pdf file via email to michael
beetz <beetz at cs.tum.edu>, cc to moritz tenorth <tenorth at cs.tum.edu>. for
further questions please contact moritz tenorth (+49-89-289-26912,
tenorth at cs.tum.edu) or consult our website.

applicants are encouraged to contact michael beetz during iros 2011 in
san francisco or humanoids 2011 in bled,  slovenia .



related links

* intelligent autonomous systems group: http://ias.cs.tum.edu

* our robots making pancakes: http://www.youtube.com/watch?v=4usoe981e7i

* our robots preparing bavarian breakfast:
http://www.youtube.com/watch?v=gbidpqb_2im

* cognitive robot abstract machine (cram)
http://ias.cs.tum.edu/new/research/cram

* tu münchen: http://www.tum.de/

* salary calculator (in german):
  http://oeffentlicher-dienst.info/c/t/rechner/tv-l/west?id=tv-l-2011"
5,2012,postdoc and phd student positions,"department of automatics, biocybernetics, and robotics, jozef stefan institute (jsi) in ljubljana,  slovenia , is looking for two new researchers, one at a phd student level and one at the postdoc level. the successful candidates will work in fp7 ""cognitive systems and robotics"". the possible research themes include:

- imitation learning and reinforcement learning in robotics
- active vision and visual learning on humanoid robots
- physical robot-robot and robot-human interaction

precise research programmes will be defined based on interests and abilities of the successful candidates. your research will be conducted in close collaboration with prof. ales ude (http://www.ijs.si/~aude/) and in collaboration with several leading european robotics and cognitive systems research groups who work with jsi on eu fp7 projects. the initial contract will be limited to one year with the possibility to extend it after one year.

interested candidates holding a degree in computer science, engineering, or applied mathematics are invited to apply. desired skills include programming in c/c++ and matlab, and prior experience in fields such as robot learning, computer vision, machine learning, and autonomous robots.

for further information regarding the projects, please contact prof. ales ude (ales.ude at ijs.si). to apply you should send a statement of motivation related to one of the above topics (up to one page), a curriculum vitae (with bibliography), scanned transcripts of grades and diplomas, and contact information of at least two referees to ales.ude at ijs.si. applications will be evaluated as they are received, until both positions are filled. successful candidates can start working at jsi as soon as all the paper work is completed."
6,2012,phd position in compositional hierarchies for vision and manipulation,"phd studentship in school of computer science, university of birmingham, uk

a research student position is available at the university of 
birmingham, uk for three years in the area of computer vision and 
robotics.funding includes fees
and a stipend of £14k per annum.

the research by the candidate will focus on computer vision methods that 
will enable efficient and scalable learning and inference of objects and
object categories in the context of robotic tasks such as object 
recognition and categorization, manipulation, grasping, and exploiting 
affordances.
the main emphasis will be on developing and evaluating computational 
approaches to scalable visual recognition of 3d object classes, building on
the previous work on compositional 
hierarchies [http://vicos.fri.uni-lj.si/alesl/research/].

requirements:
prospective applicants should have an exceptionally strong academic 
record, and a solid knowledge of computer science, and/or mathematics, 
physics
and engineering. they must also have demonstrable interest in computer 
vision and/or pattern recognition and machine learning, as well as very 
strong
programming skills.

contact:
in the first instance please contact prof ales leonardis: 
a.leonardis at cs.bham.ac.uk <mailto:ales.leonardis at fri.uni-lj.si> and dr 
jeremy l wyatt: jlw at cs.bham.ac.uk <mailto:jlw at cs.bham.ac.uk> attaching a cv
with your academic record.

-- 
dr jeremy l wyatt
reader in robotics and artificial intelligence
school of computer science
university of birmingham
www.cs.bham.ac.uk/~jlw || +44 121 414 4788
"
7,2013,"phd positions on planning and simulation of grasping under uncertainty, centro piaggio, univ of pisa, italy","---

university of pisa, italy
research center ""e. piaggio""

two phd positions are available on the following topics:

1.  active haptic information gathering under uncertainty + grasp planning under uncertainty 

2. advanced simulation of dexterous manipulation under uncertainty 

these activities cover some tasks within the
fp7-funded project pacman ”probabilistic and compositional
representations of objects for robotic manipulation”. pacman will
develop technologies to allow robots to generalize manipulation skills
to novel objects, and to cope with the uncertainty inherent in sensor
driven manipulation. this will be achieved by employing hierarchical,
compositional representations of objects (e.g. part based
representations of shape) that incorporate both visual and haptic
information.

the appointees for the positions will work on the following topics:

1. learning the haptic characteristics of objects by in hand exploration (definition of control strategies for concurrent stable object grasping and object surface tracing / object surface rolling, frictional coefficient estimation, testing in simulation and on a real platform (kuka lwr4+ and dlr-hit hand)) + grasping under uncertainty (autonomous selection and execution of feed-forward pre-shaping hand-arm primitives within the soft-synergy paradigm, incipient grasp quality evaluation and local contact point refinement, grasp quality force optimization, grasp planning under uncertainty as a belief space planning problem)

a solid background in most of these subjects is required: efficient incremental representation of surfaces, machine learning and probabilistic methods of information propagation, grasp modeling, pomdp, strong coding (c/c++) and hardware/software integration skills.

---

2. develop efficient and realistic numerical simulations for grasping and manipulation under uncertainty (incipient grasp quality evaluation and local contact point refinement, grasp quality force optimization)

candidates for this topic should have an excellent background in: rigid-body dynamics algorithms, contact and impact modelling, nonlinear control, optimal control, experience with physics engines (adams, gazebo, openrave, bullet, ode), c/c++, parallel programming, gpgpu programming. 


references: 
(http://www.centropiaggio.unipi.it/publications)
(http://vicos.fri.uni-lj.si/alesl/research/),


phd studentship: full studentship available. candidates should contact
us for details. you should have a master's degree in
computer science or mechanical engineering, together with
strong mathematical and coding skills. you should be in the top 10% of
your graduating class.

project overview:

pacman involves the following groups:

university of pisa (www.centropiaggio.unipi.it)
university of birmingham (www.cs.bham.ac.uk/go/irlab)
university of innsbruck (iis.uibk.ac.at)

applying:
applications (cv+letters of recommendation) should be made to local unit coordinator dr marco gabiccini (m.gabiccini at ing.unipi.it) and to the principal research supervisor
prof. antonio bicchi (bicchi at centropiaggio.unipi.it). please always copy ms. maley in email: (laura.maley at centropiaggio.unipi.it)

please mark your email

""pacman phd application""


marco gabiccini, phd
assistant professor of applied mechanics and robotics
dept. of mechanical, nuclear and production engineering
university of pisa
via diotisalvi 2, 56122 pisa pi
italy
phone: +39-050-221.80.77
fax: +39-050-221.80.65
homepage: http://www.dimnp.unipi.it/gabiccini-m/
"
8,2013,"post-doc position in grasping and haptic information gathering under uncertainty, centro piaggio, univ. of pisa, italy","---

university of pisa, italy
research center ""e. piaggio""

one post-doc position working and coordinating the research on the following topics:

-  active haptic information gathering under uncertainty (learning the haptic characteristics of objects by in hand exploration)

- grasping under uncertainty (grasping hand synthesis, reach to grasp planning in a cluttered environment, reactive strategies for on-line grasp quality optimization)

these activities cover some tasks within the
fp7-funded project pacman ”probabilistic and compositional
representations of objects for robotic manipulation”. pacman will
develop technologies to allow robots to generalize manipulation skills
to novel objects, and to cope with the uncertainty inherent in sensor
driven manipulation. this will be achieved by employing hierarchical,
compositional representations of objects (e.g. part based
representations of shape) that incorporate both visual and haptic
information.

the appointee will work on the following topics:

1. grasping under uncertainty (autonomous selection and execution of feed-forward pre-shaping hand-arm primitives within the soft-synergy paradigm, incipient grasp quality evaluation and local contact point refinement, grasp quality force optimization, grasp planning under uncertainty as a belief space planning problem)

2. learning the haptic characteristics of objects by in hand exploration (definition of control strategies for concurrent stable object grasping and object surface tracing / object surface rolling, frictional coefficient estimation, testing in simulation and on a real platform (kuka lwr4+ and dlr-hit hand))

the candidate for the above topics should have a strong background in: grasping and manipulation modeling (including fingertip rolling and sliding), differential geometry and cad surface representation, nonlinear control theory, optimal control, machine learning, strong coding and hardware/software integration skills

references: (http://www.centropiaggio.unipi.it/publications)
(http://vicos.fri.uni-lj.si/alesl/research/),

research fellow: salary around 30,000 euros a year. 
appointment will be made at the
appropriate salary grade based on qualifications, skills and experience.

project overview:

pacman involves the following groups:

university of pisa (www.centropiaggio.unipi.it)
university of birmingham (www.cs.bham.ac.uk/go/irlab)
university of innsbruck (iis.uibk.ac.at)

applying:
application (cv + letters of recommendation) should be made to local unit coordinator dr marco gabiccini (m.gabiccini at ing.unipi.it) and to the principal research supervisor
prof. antonio bicchi (bicchi at centropiaggio.unipi.it). please always copy ms. maley in email: (laura.maley at centropiaggio.unipi.it)

please mark your email
“pacman postdoc application”

---


marco gabiccini, phd
assistant professor of applied mechanics and robotics
dept. of mechanical, nuclear and production engineering
university of pisa
via diotisalvi 2, 56122 pisa pi
italy
phone: +39-050-221.80.77
fax: +39-050-221.80.65
homepage: http://www.dimnp.unipi.it/gabiccini-m/"
9,2013,postdoc and phd studentship in compositional hierarchies in vision for robot manipulation: university of birmingham,"university of birmingham, uk
school of computer science

one research fellow and one phd position are available on learning
compositional visual models of objects for robotic manipulation.

we are looking for a research fellow and a phd student to work on a new
fp7-funded project pacman ”probabilistic and compositional
representations of objects for robotic manipulation”. pacman will
develop technologies to allow robots to generalize manipulation skills
to novel objects, and to cope with the uncertainty inherent in sensor
driven manipulation. this will be achieved by employing hierarchical,
compositional representations of objects (e.g. part based
representations of shape) that incorporate both visual and haptic
information.

the appointees for both positions will work to develop new computer
vision methods to enable efficient and scalable learning and inference
of objects and object categories for robot manipulation. the emphasis
will be on developing and evaluating computational approaches to scalable
visual recognition of 3d object classes, building on our previous work
on compositional hierarchies (http://vicos.fri.uni-lj.si/alesl/research/).

research fellow: starting salary between £27,854-£44,607 a year, with
potential progression to £50,186 a year. appointment will be made at the
appropriate salary grade based on qualifications, skills and experience.
the post is available for 3 years. you should have or be about to obtain
a phd on a relevant topic, have strong mathematical and coding skills,
and a strong publication record.

phd studentship: full studentship available. candidates should contact
us for details. you should have a batchelor's or master's degree in
computer science, engineering, physics or mathematics, together with
strong mathematical and coding skills. you should be in the top 10% of
your graduating class.

project overview:

pacman involves the following groups:

university of birmingham (www.cs.bham.ac.uk/go/irlab)
university of innsbruck (iis.uibk.ac.at)
university of pisa (www.centropiaggio.unipi.it)

you will work as part of a team of seven researchers on pacman at birmingham,
and around 20 researchers in pacman as a whole. the irlab at birmingham is a
lab of 20 researchers working on a range of projects within robotics.

applying:
informal enquiries should be made to project coordinator dr jeremy l
wyatt (j.l.wyatt at cs.bham.ac.uk) and to the principal research supervisor
prof ales leonardis (a.leonardis at cs.bham.ac.uk). please mark your email
“pacman fellowship enquiry” or ""pacman phd enquiry""

formal applications for the fellowship must also be submitted via the
university. to download the details and submit an electronic application
online visit: www.hr.bham.ac.uk/jobs . click on the current vacancies link.
then type the reference number into the search box to retrieve the necessary
details.

reference: 43999
closing date: 5 march 2013



-- 
dr jeremy l wyatt
reader in robotics and artificial intelligence
school of computer science
university of birmingham
www.cs.bham.ac.uk/~jlw || +44 121 414 4788"
