,year,subject,content
0,2006,open positions in korea university,"the electrical department of korea university is seeking for a contract
professor or post.doc.. korea university is the best private university in
south korea (http://www.korea.ac.kr), and the times magazine ranked the
university at 184th in the world (refer attached file for detail).

researchers with ph.d. degree in robotics can apply this position.

especially, chinese and indians are welcomed.

(1) position description
(1-1) contract professor
- ph.d. with at least one year of research experience
- salary will be around $32,000 per year
- appointment period is a six month and it can be extended up to 4 years

(1-2) post doctorial
- researcher whose post doctorial period is less than 5 years
- salary will be around $26,000 per year
- appointment period is a six month and it can be extended up to 4 years

(2) documents to be submitted
for the initial screening, send your curriculum vitae with a list of
academic articles and conducted projects.

we will ask the following documents to those who passed the first screening.

- curriculum vitae with photo, email, and phone number
- list of academic articles and conducted projects
- letters of recommendation from one referee
- summary of research plan (at least 2 pages)
- certificate of ph.d. degree and academic transcript of it

(3) contact
feel free to ask whatever you want to know to the following person.

nakju lett doh, assistant professor
electrical engineering department, school of engineering, korea university,
seoul, south korea nakju at korea.ac.kr
-------------- next part --------------
a non-text attachment was scrubbed...
name: worldrankings2005.pdf
type: application/pdf
size: 318570 bytes
desc: not available
url : http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060726/5e197ffb/worldrankings2005-0001.pdf"
1,2010,faculty position at seoul national university (department of intelligent convergence systems),"faculty position (tenure-track, all levels)
department of intelligent convergence systems,
graduate school of convergence science and technology,
seoul national university

seoul national university is one of the leading universities in korea. in an
effort to promote and pursue converging technologies, the university founded
the graduate school of convergence science and technology in march 2009. the
graduate school has four departments - nano science & technology, digital
contents convergence, intelligent convergence systems, and molecular
medicine & biopharmaceutical sciences. please refer to the website (
gscst.snu.ac.kr) for more information.

the department of intelligent convergence systems is currently looking for
active foreign faculty members. the research areas include, but are not
necessary limited to:

- artificial intelligence, robotics, machine learning, intelligent systems
- future automotive systems, smart vehicles, green vehicles
- embedded software, embedded systems
- computer vision
- software engineering

please contact jaeheung park at park73 at snu.ac.kr if you have any inquires.

best,
jaeheung park
assistant professor
department of intelligent convergence systems,
graduate school of convergence science and technology,
seoul national university"
2,2010,faculty position at seoul national university (department of intelligent convergence systems),"faculty position (tenure-track, all levels)
department of intelligent convergence systems,
graduate school of convergence science and technology,
seoul national university

seoul national university is one of the leading universities in korea. in an
effort to promote and pursue converging technologies, the university founded
the graduate school of convergence science and technology in march 2009. the
graduate school has four departments - nano science & technology, digital
contents convergence, intelligent convergence systems, and molecular
medicine & biopharmaceutical sciences. please refer to the website (
gscst.snu.ac.kr) for more information.

the department of intelligent convergence systems is currently looking for
faculty members. the research areas include, but are not necessary limited
to:

- artificial intelligence, robotics, machine learning, intelligent systems
- future automotive systems, smart vehicles, green vehicles
- embedded software, embedded systems
- computer vision
- software engineering

please contact jaeheung park at park73 at snu.ac.kr if you have any inquires.

best,
jaeheung park
assistant professor
department of intelligent convergence systems,
graduate school of convergence science and technology,
seoul national university"
3,2010,faculty positions in robotics and control systems,"tenure-track faculty positions 
http://eei.snu.ac.kr/english/about/faculty_positions.php

the department of electrical engineering and computer science (eecs) at
the seoul national university invites applications for full-time tenure
track faculty positions at all ranks, in the areas of robotics and control systems. 
other areas of electrical engineering and computer science are also considered. 

the eecs department is seeking a candidate with outstanding research and
teaching credentials who can play a major role in research. application
review for each position will begin in may 2010 and continue until the
positions are filled. each candidate must have a ph.d. degree earned by
may 2010 and will be expected to lecture in english. applicants must
hold non-korean citizenship.

please visit http://www.useoul.edu/ and http://eei.snu.ac.kr/english/
for more information on the faculty recruitment. applicants should
electronically submit applications containing a cover letter, a detailed
cv, research and teaching statements, and three professional references
at http://eei.snu.ac.kr/english/about/faculty_positions.php.

the eecs department at snu has over 60 faculty members conducting
research in wide range of areas including but not limited to, it/bio and
it/nanotechnology, computer and vlsi, systems control, instrumentation,
and automation, electric energy systems, electrophysics and
laser technology information, telecommunications and radio sciences,
semiconductor devices, and integrated circuits. faculty members are
engaged in interdisciplinary research through a number of research
centers and international collaborative research projects.

the seoul national university (snu) is the premier university in the
republic of korea with international stature. ranked 51st among the
world's best universities by the times of london in 2007, snu aims to
become one of the top ten by 2025. the university comprises 16 colleges,
a graduate school of arts and sciences, and six professional graduate
schools, altogether enrolling approximately 30,000 students. the
full-time faculty of about 2,500 offers 83 undergraduate and 98 graduate
programs, including 27 interdisciplinary programs. snu also houses 143
research centers. its vibrant main campus is located on the scenic hills
of gwanak mountain in southern seoul."
4,2011,seeking postdoc fellows,"postdoctoral or postmaster research fellows in the areas of

l  robots (surgery and rehabilitation, and service robots ) (two persons)

l  mems, biomems, microrobot, and bmi (two persons)

l  biomedical engineering (biological engineering, tissue engineering) (1
person)

department: robotics engineering department  (http://dgist.ac.kr/~robot /)

institution: daegu gyeongbuk institute of science and technology (dgist)
daegu, korea

 

the robotics engineering department at dgist is seeking several
postdoctoral or postmaster research fellows with experience/interest in
topics related to the areas listed above. like kaist, dgist is a research
oriented university funded by the government. differently from kaist,
though, it is newly founded and has only four departments (robotics, brain
science, information technology, and green energy) intended for full-scale
interdisciplinary research works. 

 

research in these areas involve strong collaboration with teams of
electrical, mechanical and software engineers as well as medical doctors
and brain scientists. therefore, the candidates have a strong opportunity
to have research experiences in a truly interdisciplinary environment. on
the same token, they are expected to have demonstrable technical expertise,
backed-up by a high quality publication record, and to possess competent
interpersonal skills and experiences working in multidisciplinary teams. 

 

candidates are expected to have a master or phd degree in mechanical
engineering, electrical engineering, material engineering, biomedical
engineering, physics, or a related field. applicants demonstrating
excellence in other related areas are also encouraged to apply. 

 

the position is available for 1 year with a possible renewal and future
career options on successful completion. salary will depend on the
candidate¹s experience. to apply, please email your cv to prof. 

pyung-hun chang (phchang at dgist.ac.kr). 

 

best regards,

pyung chang, ph. d.

head and professor

department of robotics engineering

daegu gyeongbuk institute of science and technology (dgist) daegu, korea"
5,2011,faculty position openning,"dear sir,

i understand that faculty position openings have always been a keen
interest of professionals in robotics community, i would like to post the
following announcement on the faculty position available at our department.
if there is anything of your concern regarding this, would you please let
me know so that i may adjust or comply accordingly?

 

thank you for this wonderful place of sharing opportunities.

best regards,

pyung h. chang

head of robotics engineering department, 

dgist. 

 

faculty position at department of robotics engineering 

the department of robotics engineering at the daegu gyeongbuk institute of
science & technology (dgist) is seeking outstanding candidates for multiple
tenure-track faculty positions at all ranks. like kaist, dgist is a
research oriented university fully funded by the government. differently
from kaist, though, it is newly founded and has four of very closely-knit
departments (robotics, brain science, information technology, and green
energy) intended for full-scale interdisciplinary research works. 

 

research in these areas involves strong collaboration with teams of
electrical, mechanical and software engineers as well as medical doctors
and brain scientists. therefore, the candidates have a strong opportunity
to have research experiences in a truly interdisciplinary environment. on
the same token, the applicants should have demonstrated potential for
excellence in teaching and establishing a vigorous research program. the
applicants must also have open-minded interpersonal skills for working
together in cooperative manner with their colleagues within the department
in carrying out teaching and research. successful candidates are expected
to have a strong record of research and publication in fundamentals of
robotics and/or in medical robotics application areas as the following:

 

● rehabilitation and life support robot: rehabilitation robots that help
recover or assist the motor/cognitive functions of the handicapped and
impaired persons. life support robots such as welfare assistant and home
robots that improve the quality of life of the beneficiary.

● surgical robot: advanced robotic technologies that provide advanced eye
and hands for surgeons to assist more accurate and safe surgery through the
image-guided minimally invasive surgery. surgical simulation based on
virtual and augmented reality technology helps surgeons practice surgical
skills preoperatively.

● robot design & service robot: robot design and optimization for medical
and other advanced robotic applications based on advanced robot mechanism,
sensors, actuators, control, machine vision, motion planning, navigation,
etc., and innovative service robots to improve the quality of human life.

 

● bio micro-nano robotics/bmi: exploration, diagnosis and drug delivery
for targeted areas; treatment of the brain and human body through the use
of micro/nano robots and artificial sensing systems/control of robots,
artificial prosthesis and external devices using bmi.

 

salary, incentives and rank will be commensurate with qualifications.

application procedure: applicants need to submit their application package
in electronic form (pdf) with a curriculum vitae, list of three references,
publication list, and statement of teaching and research interest to prof.
pyung h. chang phchang at dgist.ac.kr. 

 

(home pages of the department and of  respective laboratory are under
construction. although preliminary, it is available at
www.robot.dgist.ac.kr in korean; an english version will be ready soon. if
you are interested in the level of research being carried out in our
department, please may visit http://logos.dgist.ac.kr., which is also being
updated and translated in english)

 

best regards,

pyung chang, ph. d.

head and professor

department of robotics engineering

daegu gyeongbuk institute of science and technology (dgist) daegu, korea"
6,2011,"post. doc & research professor - dept. of cs, kaist, south korea","post. doc and research professor positions are available at scalable
graphics/geometric algorithm lab, dept. of computer science, kaist,
south korea.

our group is working on designing scalable collision detection and
motion planning techniques for large-scale virtual environments and
virtual prototyping problems.
more details can be found at:
http://sglab.kaist.ac.kr/~sungeui/cd_mp_2011.pdf

applicants should send a cover letter, a cv, references, any other
relevant materials (e.g., papers) to sungeui at gmail.com.

thanks.

sung-eui yoon
iwon associate professor
scalable graphics/geometric algorithm lab.
kaist

homepage: http://sglab.kaist.ac.kr/~sungeui/"
7,2011,"post. doc for designing scalable motion planning, dept. of cs, kaist","post. doc and research professor positions are available for designing
scalable motion planning techniques at scalable graphics/geometric
algorithm lab, dept. of computer science, kaist, south korea.
our group is working on designing scalable motion planning and
collision detection techniques for large-scale virtual environments
and virtual prototyping problems.more details can be found
at:http://sglab.kaist.ac.kr/~sungeui/cd_mp_2011.pdf
applicants should send a cover letter, a cv, references, any other
relevant materials (e.g., papers) to sungeui at gmail.com.
thanks.

sung-eui yoon
iwon associate professor
scalable graphics/geometric algorithm lab.
kaist

homepage: http://sglab.kaist.ac.kr/~sungeui/
"
8,2012,posting request for [cfp: urai 2012 conference],"dear robotics worldwide,

i would like to post the following cfp of urai 2012 conference.
thanks for your kind effort.

best regards,
hyun myung
_______________________________________
hyun myung, ph.d, assistant professor
urban robotics lab. (http://urobot.kaist.ac.kr)
dept. of civil & env. engg. / robotics program, kaist
tel: +82-42-350-3630, fax: +82-42-350-3610


==========================================================================
                                     call for papers 
==========================================================================
int'l conference on ubiquitous robots and ambient intelligence (urai) 2012
                             http://www.kros.org/urai2012
          daejeon convention center (dcc), daejeon, republic of korea
                                    nov. 26-28, 2012 
==========================================================================

the 9th international conference on ubiquitous robots and ambient
intelligence (urai 2012) will be held in daejeon, korea from november 26 to
28, 2012. the conference is organized by korea robotics society (kros).
  daejeon metropolitan city has well-earned reputation for the leading city
of advanced science and technology in korea. especially, ""daedeok innopolis""
previously known as ""daedeok research & development specialized zone"" is a
huge research complex with 30-year history where around 20,000 engineering
graduates are working for over 250 research institutes, universities and
high-tech companies such as electronics and telecommunications research
institute (etri), korea advanced institute of science and technology
(kaist), korea atomic energy research institute (kaeri), korea electric
power research institute (kepri), and korea institute of energy research
(kier). you can experience the latest technology of korea in daedeok
innopolis.
  furthermore, daejeon has not only many cultural attractions such as
daejeon culture and arts center, municipal museum of arts, and baekjae
cultural zone, but various kinds of experience tours such as making korean
potteries and lifting ginseng, which are within one hour's drive from
daejeon.
 
 
important dates
- submission of organized session proposals june 26, 2012
- submission of papers june 29, 2012
- proposals for tutorials/workshops july 31, 2012
- notification of acceptance august 31, 2012
- submission of final camera-ready papers september 28, 2012
(korea standard time, utc+09:00)
 

topics of interest include, but not limited to
ubiquitous robots, ambient intelligence, network-based robotics, human-robot
interaction, robot vision and audition, sensor networks and sensor fusion,
robotic agents, robot intelligence and learning, intelligent space/
environment technologies, distributed robotics, navigation and localization,
robot kinematics and dynamics, robot control, robotic mechanism and design,
control architecture and middleware, haptics and teleoperation, sensors and
actuators, medical/rehabilitation robotics, humanoid robots, field robots,
service robots, industrial robots, biorobotics and biomimetics, etc.
 
 
submission of papers
authors should submit the following types of their manuscripts written in
english or videos online through the
conference submission system at
http://www.kros.org/urai2012/02submission02.php.

- regular papers (3 to 6 pages) 
- work-in-progress papers (2 pages)
- video papers (video file and 1 page extended abstract)

accepted papers will be published in the urai 2012. proceedings that will be
included in the ieee xplore and ei compendex. if authors have problems in
submission through the website, please feel free to contact the secretariat,
via email (kros at kros.org), fax (+82-2-783-0307), or phone (+82-2-783-0306)
* urai 2012 short paper template download:
http://www.kros.org/urai2012/download.php?u=urai2012_shortpaper_template.doc


* call for papers download:
http://www.kros.org/urai2012/download.php?u=urai2012-cfp-2012-05-03.pdf "
9,2012,"faculty positions at daegu gyeongbuk institute of science & technology, korea","faculty positions at the department of robotics engineering  

 

 

daegu gyeongbuk institute of science & technology (dgist) located in daegu,
korea, around 1.5 hours ride from seoul by express train is a government-
funded research-intensive institution. dgist offers phd, master’s and
bachelor’s degree programs in the fields of science and engineering. it
opened the graduate program first in march, 2011 and will open
undergraduate school. the institute’s vision is to get international
visibility and recognition as one of the top-ranking universities in the
world. to this end dgist will concentrate its initial resources on
education and research in such selectively specified fields as robotics
engineering, brain science, information and communication engineering,
energy systems engineering and engineering materials science.

 

 

the department of robotics engineering at the dgist is seeking outstanding
candidates for multiple tenure-track faculty positions at all ranks. the
applicants should have demonstrated potential for excellence in teaching
and establishing a vigorous research program. the applicants must also have
open-minded interpersonal skills for working together in cooperative manner
with their colleagues within the department in carrying out teaching and
research. 

 

successful candidates are expected to have a strong record of research and
publication in fundamentals of robotics and/or in the following medical
robotics application areas.

 

● surgical robot: surgical robots that provide advanced eyes and hands for
surgeons to assist more accurate and safe surgery. supporting systems for
minimally invasive treatment with robotics and image guidance techniques.

● rehabilitation robot: rehabilitation robots that help recover or assist
the motor/cognitive functions of the handicapped and impaired persons.
welfare robots that improve the quality of life of the beneficiary.

 

 

salary, incentives and rank will be commensurate with qualifications.

applicants must submit cv and statement of research interests to prof.
pyung hun chang at  <mailto:phchang at dgist.ac.kr> phchang at dgist.ac.kr by
oct. 8 2012. please also submit names and contact information for three
references. prof. chang is the dean of the graduate school and the
department head of the robotics engineering at dgist.  

for more information, please visit our webpage at  <http://www.dgist.ac.kr>
http://www.dgist.ac.kr

 

 

 

 

 

 

hongsoo choi, ph. d.

assistant professor, dept. of robotics engineering, 

daegu gyeongbuk institute of science and technology (dgist)

50-1 sang-ri, hyeonpung-myeon, dalseong-gun

daegu, 711-873, korea
tel +82.53.785.6212

fax +82.53.785.6209

e-mail  <mailto:mems at dgist.ac.kr> mems at dgist.ac.kr

website:  <http://mems.dgist.ac.kr> http://mems.dgist.ac.kr 

 

 

from: hongsoo choi [mailto:mems at dgist.ac.kr] 
sent: sunday, august 12, 2012 11:18 pm
to: 'robotics-worldwide at usc.edu'
subject: re: faculty positions at daegu gyeongbuk institute of science &
technology, korea (update)

 

 

faculty positions at the department of robotics engineering  (the
application will be available on september 1, 2012)

 

 

daegu gyeongbuk institute of science & technology (dgist) located in daegu,
korea, around 1.5 hours ride from seoul by express train is a government-
funded research-intensive institution. dgist offers phd, master’s and
bachelor’s degree programs in the fields of science and engineering. it
opened the graduate program first in march, 2011 and will open
undergraduate school. the institute’s vision is to get international
visibility and recognition as one of the top-ranking universities in the
world. to this end dgist will concentrate its initial resources on
education and research in such selectively specified fields as robotics
engineering, brain science, information and communication engineering,
energy systems engineering and engineering materials science.

 

 

the department of robotics engineering at the dgist is seeking outstanding
candidates for multiple tenure-track faculty positions at all ranks. the
applicants should have demonstrated potential for excellence in teaching
and establishing a vigorous research program. the applicants must also have
open-minded interpersonal skills for working together in cooperative manner
with their colleagues within the department in carrying out teaching and
research. 

 

successful candidates are expected to have a strong record of research and
publication in fundamentals of robotics and/or in the following medical
robotics application areas.

 

● surgical robot: surgical robots that provide advanced eyes and hands for
surgeons to assist more accurate and safe surgery. supporting systems for
minimally invasive treatment with robotics and image guidance techniques.

● rehabilitation robot: rehabilitation robots that help recover or assist
the motor/cognitive functions of the handicapped and impaired persons.
welfare robots that improve the quality of life of the beneficiary.

● robot design: robot design and optimization for medical applications
based on advanced robot mechanism, sensors, actuators, control, motion
planning, navigation, etc.

 

 

salary, incentives and rank will be commensurate with qualifications.

applicants must submit application form for dgist at  <http://faculty.dgist.
ac.kr> http://faculty.dgist.ac.kr. (the application will be available on
september 1, 2012)

for more information, please visit our webpage at http://www.dgist.ac.kr
"
