,year,subject,content
0,2006,10 phd open positions  spain  ,"job offer: 10 open positions for phds students in robotics and computer vision at the university of zaragoza,  spain .

 

the students will integrate in one of the four projects:

 

1.         urus (ubiquitous networking robotics in urban settings) ist-1-045062-urus-stp

this project focuses on designing and developing a network of robots that in a cooperative way interact with human beings and the environment for tasks of guidance and assistance, transportation of goods or people, and surveillance in urban areas. the specific research objectives to develop are: (1) cooperative navigation and optimal resource allocation; (2) cooperative localization, exploration and map building; and (3) wireless communication between users, robots and the environment.

 

additional information: montano at unizar.es

 

2.         nero (networked mobile robots for service and intervention tasks). dpi2006-07928

the complex nature of tasks for mobile robotics makes necessary to develop nets of organized agents working in cooperation.  this project is related with the european project urus and we propose to work in three fields: (1) multi-robot localization and navigation. (2) perception-action techniques using range and visual information given by all the agents in the network. (3) real time communications for mobile agents.  

 

additional information: csagues at unizar.es

 

3.         slam6dof (portable systems for slam in large and complex environments) dpi2006-13578.

design of portable systems for performing slam with cameras and other sensors moving with six degrees of freedom. prototypes may be ported by people walking, bicycling, on paragliders or swimming.

 

additional information: tardos at unizar.es

 

4.         eva (biological interaction human – robot for mobility) dpi2006-15630-c02-02

this project focuses on the biological interaction human – robot. the objective is to supervise, evaluate and control machines using biological parameters of humans such as cerebral, cardiac, or respiratory activity. the team will develop brain-computer interfaces, machine learning, signal processing and control strategies to involve these parameters in the motion control paradigm of robots. the applications of this research are all situations where robots supervise humans or humans control robots based on their biological parameters. 

 

additional information: jminguez at unizar.es 

 

•           profile: computer science, electrical engineering, communications eng., mathematics, physics. 

•           tasks: the main task for the accepted candidate will be to conduct research towards his/her phd. the candidate is expected to complete the degree within 4 years. 

•           availability: starting on january 2007. 

•           salary: around 15000€/year (typical salary of a phd student in  spain ). 

•           contact: applicants should send their cvs, letter of intentions and the list of projects prioritized they are interested before oct. 5th to 

 

phd. javier minguez

robotics, perception and real time group

university of zaragoza,  spain 

jminguez at unizar.es

http://webdiis.unizar.es/grptr/

 

 

 

 

--

javier minguez

""ramón y cajal"" researcher

computer science and systems engineering

university of zaragoza,  spain 

 <http://webdiis.unizar.es/~jminguez/> http://webdiis.unizar.es/~jminguez/

 

 

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060925/c3faf87e/attachment-0001.html
"
1,2006,job offers: open positions on robotics at iri.   spain   ,"job offers: open positions on robotics at iri.

the robotics group at the institut de robòtica i informàtica industrial, 
csic-upc, barcelona, seeks qualified candidates for research in the 
fields of object recognition and manipulation, and mobile robotics.

five research positions (3 phd, 1 posdoc, 1 engineer) are available 
within the context of two european and one spanish projects.

date of call: november 11, 2006.
application deadline: december 15, 2006.
appointments start on january 2007.
duration:  12-48 months depending on position



ref pp1: phd studentship on object recognition and manipulation:

successful candidates are expected to perform research on vision-based 
recognition and cooperative manipulation of deformable objects within 
the paco+ project. the project aims at the design of a cognitive robot 
that is able to develop perceptual, behavioural and cognitive categories 
in a measurable way and communicate and share these with humans and 
other artificial agents. the candidate will benefit from exchange 
opportunities with leading research centers in humanoid robotics and 
computer vision in europe.
http://www.paco-plus.org

duration: 48 months
additional information: torras_at_iri.upc.edu



ref ur1: phd studentship on outdoor mobile robot perception and 
navigation (2 positions)

successful candidates are expected to perform research on  mobile robot 
perception, localization, navigation, and control in outdoor settings 
within the urus project. the project aims at deploying an ubiquitous 
network of sensors and robots to aid humans in urban areas for tasks of 
guidance and surveillance.
http://www-iri.upc.es/groups/lrobots/publications/sanfeliu_irosnrs06.pdf

duration: 48 months
additional information: sanfeliu_at_iri.upc.edu



ref na1: postdoctoral appointment on mobile robot navigation

the successful candidate is expected to develop and test algorithms for 
mobile robot perception, localization, navigation, and control in 
outdoor settings. the candidate will concentrate on developing 
exploration strategies for outdoor vehicle localization and mapping, and 
its integration with gis systems. the work will be developed within the 
navrob project
http://www-iri.upc.es/english/mostraproject.php?proj=45

the candidate must hold or be near completion of his/her phd degree in a 
related area. please submit along with the cv, a phd summary, and a list 
of journal publications. work permit required for non-eu residents.

duration: 12 months.
additional information: sanfeliu_at_iri.upc.edu



ref na2: research engineer appointment on mobile robot navigation

the successful candidate is expected to develop and test algorithms for 
mobile robot perception, localization, navigation, and control in 
outdoor settings. the candidate will concentrate on developing 
exploration strategies for outdoor vehicle localization and mapping, and 
its integration with gis systems. the work will be developed within the 
navrob project
http://www-iri.upc.es/english/mostraproject.php?proj=45

the candidate must hold a bachelor in science degree (or equivalent). 
work permit required for non-eu residents.

duration: 12 months.
additional information: sanfeliu_at_iri.upc.edu



general information

ideal candidates will hold a degree in computer or electrical 
engineering, mechanical engineering, computer science, mathematics, or 
related fields; should have a good background in systems theory, linear 
algebra, and algorithms, as well as excellent programming skills in c, 
c++, and matlab. a good english level is required. additional knowledge 
of catalan and/or spanish will be helpful, but not mandatory.

candidates applying for the phd positions are expected to conduct 
research towards his/her phd, and to complete the degree within 4 years.

further information on the group's research lines and history can be 
found in:
http://www-iri.upc.es/english/robotics.php

interested candidates can apply for these positions directly by email to 
treball_at_iri.upc.edu, sending a letter of motivation, a detailed cv, 
and the names of two references. please include the position reference 
number to your application.



-- 
juan andrade cetto
institut de robòtica i informàtica industrial       csic-upc
llorens i artigas 4-6, 2a pl.         08028 barcelona,   spain  
tel. +34 934010775  fax. +34 934015750     cetto at iri.upc.edu"
2,2007,25 research positions in robotics and i-t for health  spain  ,"the fatronik foundation, a non-profit private research center located in 
san sebastian,  spain  opens 25 researchers and engineers positions for 
creating a new research department dedicated to assistive technologies 
for elderly and handicapped people.

required qualifications and background are enginerring degrees and/or 
phd in:

-artificial intelligence and knowledge systems
-software engineering and systems design
-intelligent robotics and advanced control systems
-biomedical engineers with specialization in biomechanics
-biomedical engineers with specialization in biosignals
-robotic systems engineering
-hardware design and systems integration
-design and development of microcontroller and signal processing systems

*feel free to contact: jose miguel azkoitia <jmazkoitia at fatronik.com>

learn more about fatronik foundation at  
http://www.fatronik.com/en/index.php
*

-- 
= = = = = = = = = = = = = = = = = = = = = = = = = = = = =
dr. françois pierrot

lirmm univ. montpellier 2, cnrs
directeur adjoint / deputy director

section 07 du conrs / nat. evaluation committee for i-c-t
président / president 
= = = = = = = = = = = = = = = = = = = = = = = = = = = = ="
3,2007,phd/master fellowship at the university of zaragoza  spain ,"phd/master fellowship at the university of zaragoza

goal: research in real time monocular slam,
         aimed to reach the ""master en informática e ingeniería de sistemas""
         degree. the fellowship might be extended to support the full phd
         degree studies**.

duration: 18 months, 1150?/month starting november 2007.
         might be extended to 4 years for outstanding candidates**.

requirements:
         1.  degree in :electrical engineering, computer science,
             maths physic. computer science skills are appreciated.

         2. eu citizens, or residents in eu.

         3.  excellent qualifications.

environment:
        robotics, perception and real time group university of
        zaragoza, (http://webdiis.unizar.es/grptr/) a world leader group in
        robotics research,. composed of  11 permanent researchers currently
        hosting more than 15 phd students, provides an encouraging
        atmosphere for challenging research.

applications :
        contact j.m martínez montiel (josemari at unizar.es),
        (http:// webdiis.unizar.es/~josemari/) sending:

        1.  -short cv, including  official qualifications certificate.
        2.  -two references.
        3.  -motivation letter.
        4.  -closing date 15th october 2007


**there are spanish founding bodies that yearly award fellowships to
outstanding
     prospective phd students. more precisely, the candidates, will be  
supported
     to apply for:
     - (dga) ""gobierno de aragón, departamento de ciencia, tecnología y
        universidad, programa de subvenciones destinadas a la formación de
        personal investigador"", founding for 4 years, 13800?/year.

     - (fpu) ""ministerio de educación y ciencia, becas de formación de
        profesorado universitario, 4 años 13400?/año"", founding for 4 years.

-- 
_____________________________________________________________________
|dr. j. m. martinez montiel            | profesor titular             |
|d.informatica e ingenieria de sistemas| universidad de zaragoza      |
|maria de luna 1. 50018 zaragoza. spain  | josemari at unizar.es           |
|tel:(34)976761975  fax:(34)976761914  | webdiis.unizar.es/~josemari/ |
|______________________________________|______________________________|"
4,2007,"2 new positions: research assistantship and technical software developer at iri, barcelona","offer. research assistantship at iri, barcelona

date of this call: october 5, 2007
the position is to be filled immediately

offer: research assistant position available in an european project urus
(http://www-iri.upc.es/urus)
project: ubiquitous robotics networking in urban settings
deadline: october 26th, 2007
topic: perception, navigation and human robot interaction in mobile robots  
duration: 2 years
nationality: any. (work permit required for non-eu residents).

detailed information

the robotics group at the institut de robotica i informatica industrial, 
csic-upc, barcelona, seeks a qualified candidate for a research 
assistantship in the field of mobile robotics. the applicant will work 
within the european project ""ubiquitous robotics networking in urban 
settings "", which aims at developing an adaptable network robot 
architecture which integrates the basic functionalities required for a 
network robot system to do urban tasks.

further information on the group's research lines and history can be 
found in:

http://www-iri.upc.es/english/robotics.php

the ideal candidate will hold a degree in computer or electrical 
engineering, mechanical engineering, computer science, mathematics, or 
related fields. she/he should have a good background in systems theory, 
linear algebra, and algorithms, as well as excellent programming skills 
in c, c++, and matlab. a good english level is required. additional 
knowledge of catalan and/or spanish will be helpful, but not mandatory.

appointment for the research assistant position is for 24 months, 
provided that successful progress is made. additionally, and if desired, 
the candidate will have the opportunity of pursuing a phd degree under 
the guidance from one professor from our group. the starting date of the 
assistantship is immediate.

interested candidates can apply for this position directly by contacting 
at treball at iri.upc.edu, sending a letter of motivation, a detailed cv 
and academic curricula, and the names of two references.





offer. technical software developer at iri, barcelona

date of this call: october 5, 2007
the position is to be filled immediately

offer: technical software developer in an european project urus
(http://www-iri.upc.es/urus)
project: ubiquitous robotics networking in urban settings
deadline: october 26th, 2007
topic: develop software tools for network robot systems 
duration: 2 years
nationality: any. (work permit required for non-eu residents).

detailed information

the robotics group at the institut de robotica i informatica industrial, 
csic-upc, barcelona, seeks a qualified candidate for a technical 
software developer in the field of computer science. the applicant will 
work within the european project "" ubiquitous robotics networking in 
urban settings "", to give support in the software tools of the robots, 
the network system and communications.


further information on the group's research lines and history can be 
found in:

http://www-iri.upc.es/english/robotics.php

the ideal candidate will hold a degree in computer or electrical 
engineering, computer science or related fields. she/he should have good 
programming skills in c, c++, computer networks and if possible, 
communications. knowledge in english is required. additional knowledge 
of catalan and/or spanish will be helpful, but not mandatory.

appointment for the research assistant position is for 24 months, 
provided that successful progress is made. the starting date is immediate.

interested candidates can apply for this position directly by contacting 
at treball at iri.upc.edu, sending a letter of motivation, a detailed cv 
and academic curricula."
5,2008,pre/postdoc and engineer positions offered at iri in barcelona  spain  ,"pre/postdoc and engineer positions offered at iri in barcelona

the robotics group at the institut de robotica i informatica industrial, 
csic-upc, barcelona, seeks qualified candidates for a predoctoral, 
postdoctoral, and research engineer positions in the field of mobile 
robotics.

offer1. technical software developer

topic: ubiquitous robotics for urban areas
deadline: july 15, 2007
the position starts september 1, 2008
duration: 1 year, renewable for 1 more year
nationality: any. (work permit required for non-eu residents).
positions available: 2

the applicants will work within the national project project ""ubiquitous 
robotics for urban areas"", and the european project “ubiquitous robotics 
in urban settings” (http://www-iri.upc.es/urus), and will concentrate on 
developing software and hardware for  cooperation between mobile robots 
and camera sensor networks, in order to help humans in urban tasks, 
specifically in the area of assistance and guidance of people.

offer2. phd research assistantship

topic: human-robot interaction
deadline: july 15, 2007
the position starts september 1, 2008
duration: 4 years
nationality: any.

the applicant will work towards a phd degree at iri and the universitat 
politecnica de catalunya. she/he will perform research under the 
national project ""multimodal interaction in pattern recognition and 
computer vision."" (http://miprcv.iti.upv.es/), and will have the 
opportunity to perform research on any topic related with computer 
vision, human-robot interaction, and pattern recognition.

offer 3. postdoctoral fellowship

topic:  multimodal interaction in pattern recognition and computer vision
deadline: july 15, 2007
the position starts september 1, 2008
duration: 1 year, renewable up to 4 years
nationality: any.

the applicant will perform both independent and collaborative state of 
the art research at iri in mobile robotics, computer vision, human-robot 
interaction, pattern recognition, or a related field. she/he will 
perform research under the national project ""multimodal interaction in 
pattern recognition and computer vision."" (http://miprcv.iti.upv.es/)

the ideal candidates for positions 1 and 2 will hold a degree in 
computer science, computer or electrical engineering, mechanical 
engineering, mathematics, or related fields. she/he should have 
excellent programming skills in c, c++, and matlab, and a good 
background in systems theory, linear algebra, and algorithms, is 
desirable. a good english level is required.

in addition to these requisites, candidates for the postdoctoral 
appointment will hold a doctoral degree (or be near completion) in 
robotics, computer vision, or a related field; and a proven record of 
research excellence with journal and conference publications.

interested candidates can apply for theses position directly by 
contacting alberto sanfeliu at sanfeliu at iri.upc.edu, sending a letter of 
motivation, indicating the position of interest, a detailed cv and 
academic curricula, and the names of two references.




-- 
juan andrade cetto
institut de robòtica i informàtica industrial       csic-upc
llorens i artigas 4-6, 2a pl.         08028 barcelona,  spain 
tel. +34 934010775  fax. +34 934015750     cetto at iri.upc.edu"
6,2008,8 positions available in humanoidrobotics research,"pal technology is a company involved in high level research in humanoid and service robots.
our goal is to develop humanoids that can perform useful tasks in the real world. we are a young and multidisciplinary team of highly motivated engineers, that have successfully developed several prototypes. for more informations on our project visit:

www.pal-robotics.com

in june 2008 the robot reem-b was officially presented in abu dhabi.
the development team is located in barcelona,  spain .
there are several open positions in different field of research such as mechanical design, research in redundant manipulation, biped dynamic walking algorithms, electronic design, etc.

job starting in septemeber - november 2008
location: barcelona,  spain  
 
for more informations visit      http://www.pal-robotics.com/contact.html

davide faconti 
  spain  
----------------------------------------------------- 
c. paris 175, 4o 1a, 
08036, barcelona 
 spain 

tel. +34 934145347
fax: +34 932091109
mobile:  +34 666722156 
-----------------------------------------------------



      ______________________________________________ 
enviado desde correo yahoo! la bandeja de entrada más inteligente.
"
7,2008,phd studentship  spain  ,"dear moderator
would you be so kind to distribute this announcement for a phd position in
 spain ?


 a ph.d. fellowship is available in the bioengineering group of the consejo
superior de investigaciones científicas (spanish national research council) 
to work in an exciting european project to improve the stability of bipedal 
robots and lower-limb exoskeletons. 
we are searching for an outstanding phd candidate to perform research in the

context of the european project esbirro. 
http://www.iai.csic.es/users/esbirro/
please, forward this call to any person who might be interested.
note that, due to eu immigration rules, it is required to obtain 
a work/student visa for non-eu citizens.

the skills required:

scientific skills / background:
     - control engineering
     - mechanics
     - electronics
     - interest on biological systems and bioengineering
     - multidisciplinary research

technical skills / capabilities:
     - experience/education in mechanical design (proengineer, catia or
adams)
     - experience/educatin to program in c, c++

important skills:
     - ability to communicate ideas and writing skills in english
     - knowledge of spanish will be positively considered          
     - ability to work in a team
     - educational/working experience in other countries will be positively
evaluated.

application procedure:

interested applicants should send their cv by e-mail to:

a. forner-cordero, aforner at iai.csic.es and j.l. pons, jlpons at iai.csic.es

best regards

a. forner-cordero, phd

-------------------------------------------
arturo forner-cordero, phd
bioingeniería / bioengineering. instituto de automática industrial
(iai-csic)
consejo superior de investigaciones científicas / nat. research council of
 spain 
ctra de campo real km. 0,2. 28500 arganda del rey (madrid) españa
tel: +34 91 871 19 00 :: fax: +34 91 871 70 50
http://www.iai.csic.es/users/gb/
http://www.iai.csic.es/users/afornercordero/
-------------------------------------------"
8,2008,9 position avialable in humanoid robot research  spain  ,"pal technology is a company involved in high level research in humanoid and service robots.
our
goal is to develop humanoids that can perform useful tasks in the real
world. we are a young and multidisciplinary team of highly motivated
engineers, that have successfully developed several prototypes. for
more informations on our project visit:

www.pal-robotics.com

the development team is located in barcelona,  spain .
there
are several open positions in different field of research such as
mechanical design, research in redundant manipulation, biped dynamic
walking algorithms, electronic design, computer vision etc.

job starting in october - december 2008
location: barcelona,  spain 

for more informations visit      http://www.pal-robotics.com/contact.html

davide faconti 

----------------------------------------------------- 
c. paris 175, 4o 1a, 
08036, barcelona 
 spain 

tel. +34 934145347
fax: +34 932091109
mobile:  +34 666722156 
-----------------------------------------------------"
9,2008,9 position avialable in humanoid robot research  spain  ,"pal technology is a company involved in high level research in humanoid and service robots.
our
goal is to develop humanoids that can perform useful tasks in the real
world. we are a young and multidisciplinary team of highly motivated
engineers, that have successfully developed several prototypes. for
more informations on our project visit:

www.pal-robotics.com

the development team is located in barcelona,  spain .
there
are several open positions in different field of research such as
mechanical design, research in redundant manipulation, biped dynamic
walking algorithms, electronic design, computer vision etc.

job starting in october - december 2008
location: barcelona,  spain 

for more informations visit      http://www.pal-robotics.com/contact.html

davide faconti 

----------------------------------------------------- 
c. paris 175, 4o 1a, 
08036, barcelona 
 spain 

tel. +34 934145347
fax: +34 932091109
mobile:  +34 666722156 
-----------------------------------------------------"
