,year,subject,content
0,2006,phd student - open position,"dear colleague(s),

enclosed please find the announcement for an open position for a phd
student that should be filled pretty urgently.  the position concerns
the project ""peis ecology"" (www.aass.oru.se/~peis).  would it be
possible for you to distribute this call to the students of the last
year at your university -- for instance, by posting it to a student
bulletin board, or sending it to a student mailing list?

thank you!

silvia

_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/

silvia coradeschi, phd
technology department, fakultetsg 1, 
orebro university,   sweden  
tel. +46 19 303298 fax +46 19 303463
_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/
-------------- next part --------------
a non-text attachment was scrubbed...
name: announcement-2006.pdf
type: application/pdf
size: 8094 bytes
desc: not available
url : http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060228/ef0a0e0d/announcement-2006-0001.pdf"
1,2006,job announcement: postdoctoral and graduate student positions in budapest,"postdoctoral and graduate student positions available at the
computational neuroscience group, kfki, budapest, hungary

a postdoctoral and a graduate student positions in computational
neuroscience are available at the cns group budapest, to study and
model spatial navigation strategies.  the group works at the kfki
campus in budapest, hungary, as part of the research institute for
particle and nuclear physics, one of the research institutes of the
hungarian academy of sciences.  details about the group can be found
on the ""http://cneuro.rmki.kfki.hu/"" homepage.

the research will be part of the four-year european research project
""integrating cognition, emotion and autonomy"" (icea,
""http://www.his.se/icea""). the project involves cognitive scientists,
neuroscientists, psychologists, computer scientists and roboticists,
and aims at developing a cognitive systems architecture integrating
cognitive, emotional and autonomic/bioregulatory processes in the
control of robotic cognitive systems.

these positions will be focused on modelling different spatial
orientation strategies and the cooperation/competition between them.
the key aim of this work is the functional and realistic modelling of
hippocampus and other brain structures (e.g. entorhinal and
prefrontral cortex) to give an efficient navigation algorithm to be
used in real robots. the model will be built in close cooperation with
behavioral electrophysiologists and their data will be used to test
the biological reliability of the algorithm.

qualified applicants should have a doctoral degree (postdoctoral
position applicants) or b.sc. (graduate position applicants) in
computational neuroscience, computer science or a related field.

applicants for this position will be evaluated according to the
following criteria:

* experience in computational neuroscience
* programming skills
* experience in analysis of electro-physiological data
* broad interest to learn related fields
* general ability to participate in teamwork and perform tasks
* administrative and other skills that are relevant to the position

the salary will be commensurate with the hungarian academic
guidelines. for further information please contact péter érdi, group
leader, or zoltán somogyvári icea project coordinator.  applicants are
invited to send their cv, two letters of recommendation, brief list of
scientific activities and publications to péter érdi (erdi at rmki.kfki.hu),
and to zoltán somogyvári (soma at sunserv.kfki.hu) via email no later than
20 june, 2006."
2,2007,open positions cas/kth,"the centre for autonomous systems (cas) at the royal institute of technology 
(kth), stockholm,   sweden  , is looking for 1-2 postdocs. we are looking to fill 
the positions as early as possible.

the area of research would be mapping and localization, i.e. slam,  using 
combinations of range and visual sensors as input. we anticipate  that the 
applicant is someone that has had prior experience with slam but now wants to 
shift from using more traditional sensors such as laser scanners to vision.

the second position is in system integration with an emphasis on systems 
modeling and design for mobile in-door systems. the work will include 
architectures, user interface design, mapping and navigation. the main 
emphasis will be on systems design for systems with a mixture of user-driven 
and autonomous operation.

applicants should have a solid scientific record, good skills in c/c++ 
programming under linux. prior experience working with robots is a 
requirement.

to apply or ask for more information please contact:
patric jensfelt (patric at kth.se) http://www.cas.kth.se/~patric
the positions will be filled as soon as possible."
3,2007,post-doctoral positions,"dear colleague, 
could you please send the following announcement to people at your department and in general to people you think would be interested in these positions. 

thanks 

silvia coradeschi

======================================================
post-doctoral positions at orebro university,   sweden  
====================================================== 

orebro university is in a strong expansive phase and it is announcing 50 new post doctoral positions. in particular the following positions are announced in robotics and mechanical engineering.

post-doctoral position in computer science with a direction towards multi-agent system and robotics.

post-doctoral position in computer science with a direction towards computer vision.

post-doctoral position in computer science/control theory with a direction towards manipulation and learning.

post-doctoral position in mechanical engineering with a direction towards modeling and simulation.

the positions are 4 years and include both research and teaching time. applicants should have obtained their phd latest 5 years before the application date.
deadline for applications is the 27th of april 2007.

additional information can be found at:

http://www.oru.se/templates/oruextnormal____40989.aspx"
4,2007,"postdoc positions at cas/cvap, kth","the centre for autonomous systems (cas) and computational vision and 
active perception laboratory (cvap) at the royal institute of 
technology, stockholm,  sweden  invites applications for postdoc 
positions in the field of

--------------------------------------------------
sensor guided object grasping and manipulation
spatial modeling, navigation and slam
--------------------------------------------------

cas performs research in (semi-) autonomous systems including mobile
robot systems for manufacturing, domestic and field applications.
research at cvap considers all aspects of computer vision and machine 
learning.
more information can be found at:

www.csc.kth.se/cvap
www.cas.kth.se



tasks
-----
in the context of various national and european research
projects, our laboratory is looking for a postdoc who will work on i)
sensor (visual, tactile) guided object garsping and manipulation
and/or ii) spatial modeling, navigation and slam. the focus of the
research will depend on the background of the candidate and personal
initaitive. the research environment will offer possibilities
for strong international collaboration.

requirements
------------
candidates should have a ph.d. or equivalent in one of the areas of
computer science, automatic control, mathematics,
artificial intelligence or machine learaning. candidates are also 
expected to be experienced with programming in c++ and matlab.
the appointment will be full time for a period of one
year to three years.


application and further information
------------------------------------
applications should include a letter of motivation, a curriculum 
vitae, a list of publications, and the names and contact information 
of two referees. for more information, contact dani at kth.se.

the applications should be sent by email to dani at kth.se.


*******************************************************************
danica kragic
teknikringen 14, 714                     phone: +46 (0)8 790 6729
cas/cvap/nada                            fax:   +46 (0)8 723 0302
royal institute of technology            email:danik at nada.kth.se,
se-100 44 stockholm, sweden                      dani at kth.se
www: http://www.nada.kth.se/~danik"
5,2007,postdoc positions in cognitive robotics & neurocomputational modeling,"postdoc positions in cognitive robotics & neurocomputational modeling

three postdoc positions in cognitive robotics and neurocomputational
modeling are available at the university of skovde,  sweden , as part
of two eu-funded cognitive systems projects:

(a) two positions are available as part of a new three-year project
called rossi (""emergence of communication in robots through sensorimotor
and social interaction""), starting in march 2008. the project involves
cognitive neuroscientists, psychologists, computational modelers and
roboticists in italy, germany, turkey and  sweden . rossi investigates
sensorimotor grounding of concepts and language use in human-robot
interaction, and the open positions are focused on neurocomputational
modeling of the underlying neural mechanisms (canonical and mirror
neuron systems). starting date: around march 2008.

(b) one position is available as part of the four-year project icea
(""integrating cognition, emotion and autonomy"") which started january
2006 and is coordinated by our lab. the project involves ten labs in
seven countries and aims to develop cognitive-robotics architectures
integrating cognitive, emotional and homeostatic processes, based on
models of the mammalian brain. the open position is flexible, but
intended to complement/strengthen the work of 5-6 people currently
working on icea and related topics in our lab. possible focus areas
would be, for example, neurocomputational modeling of interactions
between cognition and affect/emotion/motivation, neuromodulation,
modeling of rat behavior, anticipation/prediction/simulation of
behavior. starting date: as soon as possible.

informal enquiries can be directed to tom ziemke at tom.ziemke at his.se.
interested candidates should send a cv, a brief statement of research
interests, and representative publications."
6,2008,two posdoctoral positions at kth,"royal institute of technology (kth)
school of computer science and communication (csc)
centre for autonomous systems (cas)
computational vision and active perception laboratory (cvap)

applications are invited for two postdoctoral positions, starting as
soon as possible after march 2008. the posts are to work on major eu
funded projects due 2012: grasp (emergence of cognitive grasping through 
emulation, introspection, and surprise), and cogx (cognitive systems that 
self-understand and self-extend).

the first post will be concerned with sensor (visual, tactile) guided
object grasping and manipulation with specific consideration on object grasping 
and manipulation ontologies.  the second post is concerned with spatial 
modeling and navigation. the focus of the research will depend on the 
background of the candidate and personal
initaitive. the research environment will offer possibilities for a
strong international collaboration, supervision of graduate students
and teaching.

cas performs research in (semi-) autonomous systems including mobile
robot systems for manufacturing, domestic and field applications.
research at cvap considers all aspects of computer vision and machine
learning.

more information can be found at:
www.csc.kth.se/cvap
www.cas.kth.se


requirements
------------
candidates should have a ph.d. or equivalent in one of the areas of
computer science, automatic control, mathematics, artificial
intelligence or machine learaning. candidates are also  expected
to be experienced with programming in c++ and matlab. the appointment
will be full time for a period of one year to three years.

application and further information
------------------------------------
applications should include a letter of motivation, a curriculum
vitae, a list of publications, and the names and contact information
of two referees. for more information, contact dani at kth.se.

the applications should be sent by email to dani at kth.se and they will
be processed as soon as they are submitted.


*******************************************************************
danica kragic
teknikringen 14, 709                     phone: +46 (0)8 790 6729
cas/cvap/nada                            fax:   +46 (0)8 723 0302
royal institute of technology            email:danik at nada.kth.se,
se-100 44 stockholm, sweden                      dani at kth.se
www: http://www.nada.kth.se/~danik"
7,2008,postdoc_position_in_robotics_in_uk,"research position in robotics

post-doctoral research associate
robotics research group, department of computer science,
aberystwyth university, wales, uk
£22,332 - £33,780
applications are invited for the post of postdoctoral research associate 
for a project on robot interaction in the context of sensory-motor 
learning. this is a three year ec fp 7 funded project with 5 other 
partners (see http://www.rossiproject.eu). the successful applicant 
should have a doctorate in a relevant field, excellent software 
engineering skills, and good writing and communication skills. for 
informal enquiries contact: prof. mark lee, email: mhl at aber.ac.uk, 
phone: +44 (0)1970 622420 (direct).

ref: cs.07.09
closing date: 20 june 2008

this project is entitled ""rossi; emergence of communication in robots 
through sensorimotor and social interaction"", and focuses on the 
development of communication between robots and humans 
(http://www.rossiproject.eu).
in particular, the project is addressing the question of how critical it 
is for communicating agents to share the same general view of the world. 
  agents possessing different sensory and motor systems may have 
different views of the world and therefore may have difficulties in 
communicating. we are exploring to what extent and which aspects of 
world models must be shared in order to facilitate communication between 
robots and humans.  we wish to increase understanding of the 
requirements of affordance based world models, shared models and 
communication provided by such models, based on understanding of 
objects, actions, and processes in their environment. the focus of this 
project is the construction of robots that are able to process simple 
commands and to respond appropriately by interacting with different 
kinds of objects and entities in their environment. this project has 6 
partners in italy, germany,  sweden  and turkey, involving psychologists, 
neuroscientists, computer scientists and robotics engineers. we are 
involved in all stages but especially the implementation of the models 
in a robotic manipulation system and the testing and experimentation 
with real application tasks.

we wish to appoint a post-doctoral research associate who will take 
major responsibility for the programme of research in the context of our 
robotics team.  this post is available on a three-year fixed-term 
contract. we expect to appoint for a start date of 1 march 2008.

- applicants should have a doctorate in computer science, artificial 
intelligence, engineering, or a related scientific field, and be able to 
demonstrate research experience.
- the post requires excellent software skills for the implementation and 
running of a range of experimental components.
- the successful applicant will also be involved in writing scientific 
documents and papers and will be expected to travel and give 
presentations as necessary.

for informal enquiries contact mark lee:
mhl at aber.ac.uk
+44 (0)1970-622420
for further details of the post and an application form please see the 
link below:
http://www.aber.ac.uk/human-resources/en/vacancies.shtml


ref: cs.07.09
closing date: 20 june 2008

note: please put the post reference on the front of your envelope and on 
your application form.  completed applications forms should be signed 
and returned to the operations team by fax or post. e-mail attachments 
will not be accepted.

bilingual institution which operates a welsh language scheme.
committed to equal opportunities.

operations team: vacancies at aber.ac.uk /
tel:  01970 621591 /
fax:  01970 622975


-- 

---------------------------------------------------------------------
martin huelse, dr. rer. nat.

intelligent robotics group               email:   msh at aber.ac.uk
department of computer science,          web:     aml.somebodyelse.de
university of wales,                     office:  +44 (0)1970-62 2441
aberystwyth, ceredigion, sy23 3db,       lab:     +44 (0)1970-62 2403
united kingdom.                          fax:     +44 (0)1970-62 8536
---------------------------------------------------------------------"
8,2008,a postdoc position and 3 phd student positions,"********************************************************************
**          aass learning systems lab, örebro university:         **
** postdoc position, pollution monitoring with mobile gas sensors **
********************************************************************

this postdoc position is immediately available at the aass learning systems lab, 
university of örebro,  sweden . its runtime is initially limited to 18 months 
fully funded within the new eu project dhrs-cim (project leader: dr. achim j. 
lilienthal).

the particular contributions expected in the dhrs-cim project are to develop (1) 
2d and 3d gas source tracking algorithms that are reliable and time-efficient 
under outdoor conditions and (2) advanced gas distribution models that aid 
prediction of gas propagation, sensor planning and gas source tracking. the 
project work might include a short research visit of one of our dhrs-cim 
partners.

the employed senior researcher will be part of the mobile robot olfaction group 
at the aass research centre, which currently consists of two senior researchers 
and two phd candidates. two further phd positions related to pollution 
monitoring with mobile gas sensors are currently announced within a second 
european project diadem and can be fixed from 1st of september 2008 on. 
supervision of these phd candidates will be a part of the duties in this 
position.

this position does not include teaching duties.

topic: 
------
""pollution monitoring with mobile gas sensors""

location:
---------
aass learning systems lab, örebro university,  sweden 

closing date: 
-------------
applications can be sent immediately and will be considered until the position 
is filled.

contact:
--------
dr. achim lilienthal (e-mail: achim.lilienthal at tech.oru.se).

full call: 
----------
the full position announcement is available as a pdf under 
http://www.aass.oru.se/research/learning/announcements/postdoc_position-dhrs_cim.pdf. 

the dhrs-cim project: 
---------------------
this is a marie curie iapp (industry-academia partnerships and pathways) project 
funded by the european union (call: fp7 people-2007-3-1-iapp). the general 
objective is to combine forces of leading industrial and academic organizations 
in europe in the field of ""disaster management"" in order to develop an 
intelligent decision support system for humans to manage chemical incidents. 

prerequisites and application process:
--------------------------------------
interested candidates with a phd in a relevant field can apply by sending a 
letter of motivation along with their documents (cv, copy of phd diploma, 
documentation of the scientific skills, including a list of publications, key 
papers and at least two academic references) by e-mail to achim lilienthal 
(achim.lilienthal at tech.oru.se).

it is not necessary to be familiar with the swedish language but proficiency in 
written/spoken english is mandatory.

for further information please contact achim lilienthal 
(achim.lilienthal at tech.oru.se). 


the research environment:
-------------------------
the university of örebro (http://www.oru.se) is a young university currently 
enrolling more than 14000 students. it is located in örebro, a city with 100'000 
inhabitants, which is situated in central  sweden  at 59°16'n 15°13'e. more 
information about örebro can be found, for example, at 
http://en.wikipedia.org/wiki/örebro).

the centre for applied autonomous sensor systems (aass research centre, 
http://aass.oru.se) carries out multi-disciplinary research at the intersection 
of robotics, machine learning, artificial intelligence, computer vision, 
computer science, and measurement technology. the research and human environment 
at aass is young and enthusiastic. researchers come from different countries 
and have different scientific and cultural backgrounds. aass also frequently 
hosts international researchers and is involved in several international 
projects. this means that enrolled phd students will have the opportunity to 
travel and to cooperate with people in other countries.

the learning systems lab is one of three research groups within aass. our 
research is recognized world-wide with its focus generally on the development of 
algorithms and robotic/sensor systems for real-world tasks. major directions are 
mobile robot olfaction, robotic map learning, safe operation in dynamic shared 
environments, and dexterous manipulation and motion learning. further 
information can be found on this web site. currently, the staff of the learning 
systems lab includes 6 phd students, 5 postdocs and 3 professors. 

more information:
-----------------
full call: 
  http://www.aass.oru.se/research/learning/announcements/postdoc_position-dhrs_cim.pdf

contact person: 
  dr. achim lilienthal,
  e-mail: achim.lilienthal at tech.oru.se, 
  web page: http://www.aass.oru.se/research/learning/amll.html)

learning systems lab: 
http://www.aass.oru.se/research/learning/index.html

aass: 
www.aass.oru.se



--------------------------------------------------------------------------------

***********************************************************
**      aass learning systems lab, örebro university:    **
** phd opportunity, 3d sensing for autonomous navigation **
***********************************************************

a new phd position is immediately available at the aass learning systems lab, 
university of örebro,  sweden  under the supervision of dr. achim j. lilienthal.

the major part of the phd studies can be dedicated to research in the area of 3d 
sensing for autonomous navigation. the aim is to investigate robot navigation 
based on 3d range sensing for the case of a single robot or a team of robots 
with or without the context of an environment that is equipped with stationary 
sensors in a wireless network (ambient intelligence). 

the enrolled phd student will be involved in ongoing projects at the aass 
learning systems lab for which the results of the work are relevant. this 
includes the eu project dustbot (http://www.dustbot.org, 
http://www.aass.oru.se/~dustbot/), the recently started project . 
(http://www.aass.oru.se/research/learning/./) and a pre-study on underwater 
navigation. 

apart from working towards the phd thesis, the enrolled phd student will be 
involved in the project work of the mentioned projects, which is expected to 
include occasional research visits of our european partners.

topic: 
------
""3d sensing for autonomous navigation""

location:
---------
aass learning systems lab, örebro university,  sweden 

closing date: 
-------------
applications can be sent immediately and will be considered until the position 
is filled.

contact:
--------
dr. achim lilienthal (e-mail: achim.lilienthal at tech.oru.se).

full call: 
----------
the full position announcement including practical information about phd studies 
in  sweden  is available as a pdf under 
http://www.aass.oru.se/research/learning/announcements/phd_position-3d_sensing_for_navigation.pdf. 

dustbot project: 
----------------
the aim of the dustbot project is the development of a demonstration system for 
the management of urban hygiene using a network of autonomous and cooperating 
robots embedded in an ambient intelligence infrastructure. the robots will 
operate in partially unstructured environments (such as pedestrian areas) where 
they do vacuum-cleaning and transport small quantities of garbage. 

further information can be found at http://www.dustbot.org.

. project: 
--------------
. (multiple autonomous fork-lift trucks for loading and transportation 
applications) is a collaborative project between the aass research centre at 
örebro university, the intelligent systems lab at halmstad university and 
industrial partners from danaher motion, stora enso logistics and linde material 
handling.

the purpose of the project is to develop a demonstrator platform for a fully 
autonomous fork-lift truck that handles heavy products in an industrial setting. 
the autonomous trucks should be able to work safely together with other 
autonomous trucks and with manually driven trucks. they should be able to pick 
up (load) products, unload them, store them in containers or train wagons and 
possibly even stack them. the trucks should be able to do this with a speed that 
is comparable to the speed of trucks driven by humans.

the . project is co-sponsored by the kk-foundation.

prerequisites and application process:
--------------------------------------
apart from interest in the topic, a strong theoretical background and solid 
programming skills, applicants should have the equivalent of a masters degree in 
an appropriate field (for example: physics, applied mathematics, robotics, 
computer science). it is not necessary to be familiar with the swedish language 
but proficiency in written/spoken english is mandatory.

to apply for the position, please send a motivation letter along with an updated 
cv (including at least two academic references) by e-mail to achim lilienthal 
(achim.lilienthal at tech.oru.se).

the research environment:
-------------------------
the university of örebro (http://www.oru.se) is a young university currently 
enrolling more than 14000 students. it is located in örebro, a city with 100'000 
inhabitants, which is situated in central  sweden  at 59°16'n 15°13'e. more 
information about örebro can be found, for example, at 
http://en.wikipedia.org/wiki/örebro).

the centre for applied autonomous sensor systems (aass research centre, 
http://aass.oru.se) carries out multi-disciplinary research at the intersection 
of robotics, machine learning, artificial intelligence, computer vision, 
computer science, and measurement technology. the research and human environment 
at aass is young and enthusiastic. phd students come from different countries 
and have different scientific and cultural backgrounds. aass also frequently 
hosts international researchers and is involved in several international 
projects. this means that enrolled phd students will have the opportunity to 
travel and to cooperate with people in other countries.

the learning systems lab is one of three research groups within aass. our 
research is recognized world-wide with its focus generally on the development of 
algorithms and robotic/sensor systems for real-world tasks. major directions are 
mobile robot olfaction, robotic map learning, safe operation in dynamic shared 
environments, and dexterous manipulation and motion learning. further 
information can be found on this web site. currently, the staff of the learning 
systems lab includes 6 phd students, 5 postdocs and 3 professors. 

more information:
-----------------
full call: 
  http://www.aass.oru.se/research/learning/announcements/phd_position-3d_sensing_for_navigation.pdf

contact person: 
  dr. achim lilienthal,
  e-mail: achim.lilienthal at tech.oru.se, 
  web page: http://www.aass.oru.se/research/learning/amll.html)

learning systems lab: 
http://www.aass.oru.se/research/learning/index.html

aass: 
www.aass.oru.se

phd studies at aass: 
http://www.aass.oru.se/positions/faq.html



--------------------------------------------------------------------------------

*********************************************************************
**        aass learning systems lab, örebro university:            **
** phd opportunities, pollution monitoring with mobile gas sensors **
*********************************************************************

two exciting new phd positions will be available from 1st of september 2008. the 
3-year phd positions under the supervision of dr. achim j. lilienthal are fully 
funded within new eu project on distributed information acquisition and 
decision-making for environmental management.

topic: 
------
""pollution monitoring with mobile gas sensors""

location:
---------
aass learning systems lab, örebro university,  sweden 

closing date: 
-------------
applications can be sent immediately and will be considered until the position 
is filled.

contact:
--------
dr. achim lilienthal (e-mail: achim.lilienthal at tech.oru.se).

full call: 
----------
the full position announcement including practical information about phd studies 
in  sweden  is available as a pdf under 
http://www.aass.oru.se/research/learning/announcements/phd_positions-diadem.pdf. 

diadem project: 
---------------
the objective of the diadem project (distributed information acquisition and 
decision-making for environmental management) is to provide methods and tools 
that will support environmental management, particularly in industrial settings. 
this will be achieved by means of developing a system that supports seamless 
integration of efficient gas detection and gas monitoring with advanced decision 
support systems. the combination of rich domain expertise and relevant context 
information with advanced planning systems will contribute to prevent chemical 
air pollution and to mitigate consequences of catastrophic chemical incidents.

the diadem consortium consists of 9 partners from 6 european countries (belgium, 
denmark, the netherlands, germany, romania, and  sweden ), including four academic 
partners, three companies and two environmental protection agencies. 

phd studies:
------------
the major part of the work can be dedicated to research in the area of pollution 
monitoring with mobile gas sensors, particularly to develop (1) advanced gas 
distribution models that aid prediction of gas propagation, sensor planning and 
gas source tracking; (2) algorithms for sensor planning so as to use mobile gas 
sensors in an optimal way; and (3) distributed gas source tracking algorithms. 
apart from working towards the phd thesis, the enrolled phd student will be 
involved in the project work, which is expected to include occasional research 
visits of our european partners.

prerequisites and application process:
--------------------------------------
apart from interest in the topic, a strong theoretical background and solid 
programming skills, applicants should have the equivalent of a masters degree in 
an appropriate field (for example: physics, applied mathematics, robotics, 
computer science). it is not necessary to be familiar with the swedish language 
but proficiency in written/spoken english is mandatory.

to apply for the position, please send a motivation letter along with an updated 
cv (including at least two academic references) by e-mail to achim lilienthal 
(achim.lilienthal at tech.oru.se). applications can be sent immediately and will be 
considered until the position is fixed. 

the research environment:
-------------------------
the university of örebro (http://www.oru.se) is a young university currently 
enrolling more than 14000 students. it is located in örebro, a city with 100'000 
inhabitants, which is situated in central  sweden  at 59°16'n 15°13'e. more 
information about örebro can be found, for example, at 
http://en.wikipedia.org/wiki/örebro).

the centre for applied autonomous sensor systems (aass research centre, 
http://aass.oru.se) carries out multi-disciplinary research at the intersection 
of robotics, machine learning, artificial intelligence, computer vision, 
computer science, and measurement technology. the research and human environment 
at aass is young and enthusiastic. phd students come from different countries 
and have different scientific and cultural backgrounds. aass also frequently 
hosts international researchers and is involved in several international 
projects. this means that, particularly in the diadem project, enrolled phd 
students will have the opportunity to travel and to cooperate with people in 
other countries.

the learning systems lab is one of three research groups within aass. our 
research is recognized world-wide with its focus generally on the development of 
algorithms and robotic/sensor systems for real-world tasks. major directions are 
mobile robot olfaction, robotic map learning, safe operation in dynamic shared 
environments, and dexterous manipulation and motion learning. further 
information can be found on this web site. currently, the staff of the learning 
systems lab includes 6 phd students, 5 postdocs and 3 professors. 

more information:
-----------------
full call: 
  http://www.aass.oru.se/research/learning/announcements/phd_positions-diadem.pdf

contact person: 
  dr. achim lilienthal,
  e-mail: achim.lilienthal at tech.oru.se, 
  web page: http://www.aass.oru.se/research/learning/amll.html)

learning systems lab: 
http://www.aass.oru.se/research/learning/index.html

aass: 
www.aass.oru.se

phd studies at aass: 
http://www.aass.oru.se/positions/faq.html

 "
9,2009,"post-doctoral position in computer/robot vision, linköping university,  sweden ","post-doctoral position in computer/robot vision
linköping university,  sweden 

starting date : immediately

duration : 12 months (optional prolongation to 24 months)

salary (gross income) : 30.000 sek (about 3000 euros) /month. taxation
about 32%, health care included, low housing costs in linköping

scientific context : this post-doctoral position is offered in context
of the diplecs (dynamic interactive perception-action learning in
cognitive systems) project, http://www.diplecs.eu. the diplecs project
is an fp7 eu project focusing on basic research in the area of
cognitive system design and computer vision. a summary of the first
results is available at http://www.cvl.isy.liu.se/information/job/summary.pdf
. the particular focus for this position is on obstacle avoidance
using structure-from-motion on a small robotic vehicle (an e-maxx 3905
with a high-end laptop, a fire-wire camera, and an xsens imu). the
researcher is expected to be both practical and scientifically minded,
and willing to publish results at conferences and in journals.
creative contributions and modifications to the problem formulation
are highly encouraged.

environment : the computer vision laboratory (cvl) has a long history
in the area of signal processing for computer vision, cognitive
vision, and robotics. for instance, both the double-angle
representation of orientation and the structure tensor originate here.
the cvl team has a broad range of competences, e.g. in feature
extraction, object recognition, motion estimation, stereo, tracking,
robot control, and machine learning. cvl has coordinated the recently
successfully completed eu fp6 project cospal, http://www.cospal.org,
and currently coordinates the eu fp7 project diplecs. the relatively
small team of researchers at cvl has a tradition of tight cooperation,
with a particularly open climate for discussions, mutual support, and
exchange of code and expertise.

required qualifications : experience with one or more of: projective
geometry,
machine learning, and control theory. experience of programming (c++
and matlab).

academic background: 5 years higher education (university's degree or
engineering equivalence). a ph.d. in the field of computer vision,
preferably image sequence processing or analysis.

contacts for additional information : applicants should send a cv
including a list of publications, a statement of research interests,
and names and contact information of 2 referees electronically to
michael felsberg: mfe at isy.liu.se, http://www.cvl.isy.liu.se/~mfe/,
until february 13, 2009.

professor michael felsberg             tel:   +46 13 282460
computer vision laboratory             fax:   +46 13 138526
linköping university                   email: mfe at isy.liu.se
se-581 83 linköping,  sweden             http://www.cvl.isy.liu.se/~mfe/
-- 
per-erik forssén         | postdoctoral fellow
dept of computer science | http://www.cs.ubc.ca/~perfo/
suite 201                | mailto:perfo at cs.ubc.ca
2366 main mall           | lab phone: +1 (604) 827 3987
vancouver, bc v6t 1z4    | skype: per-erik_forssen
canada"
