,year,subject,content
0,2005,"open phd position announcement at ai lab, university of zurich","----------------------------------

open phd position announcement

artificial intelligence laboratory
university of zurich, switzerland

----------------------------------

one fully funded phd student position will be available from
1st of october, 2005 at the artificial intelligence laboratory,
university of zurich, switzerland (lab director: rolf pfeifer, project
leader: fumiya iida).

this is a position in a newly established project called ""from
locomotion to cognition"" funded by the swiss national science
foundation. the goal of the project is twofold: first, we want to make
inroads into the fundamental question of how the low-level dynamics
(such as dynamic legged locomotion) can be related to higher-level
cognitive or symbolic processes, or stated differently how cognition can
be “grounded” in embodiment. second, we will show that by providing an
appropriate framework to approach this philosophical issue, we can
actually design better robots. in this sense, we hope to make
theoretical contributions to artificial intelligence and cognitive
science, but also to make progress in very practical engineering terms.
for experimental work of this project, candidates are expected to have a
strong motivation in designing/building physical mechanical systems, and
basic programming skill for control, simulation and data analysis.

applicants should have a msc in one of the following disciplines (but
other areas are also possible):

* mechanical, electronic engineering and/or robotics
* physics, biology and/or biomechanics
* embodied cognitive science

proficiency in writing/spoken english is mandatory (preferably
native-level). phd students will be requested to do class assistance and
communicating with leading scientists world wide as a part of the job.

to apply for the position, please send a letter of motivation along with
a cv and two academic references to rolf pfeifer (pfeifer at ifi.unizh.ch).
for further information, please contact: fumiya iida (iida at ifi.unizh.ch).

deadline for applications: 30.11.2005
(we will close this call as soon as we fix the position.)

for more information:
university of zurich: www.unizh.ch
artificial intelligence laboratory: www.ifi.unizh.ch/ailab/



-- 
fumiya   iida

artificial intelligence laboratory
department of informatics, university of zurich
andreasstrasse 15, ch-8050 zurich, switzerland
office: and2.05

phone:  +41-44-635 43 54
fax;  +41-44-635 45 07
url: http://www.ifi.unizh.ch/ailab/people/iida/
e-mail: iida at ifi.unizh.ch"
1,2005,"postdoc, ph.d. openings, swiss fed. inst. tech. (eth), zurich","the institute of robotics and intelligent systems at the swiss federal institute of technology (eth), zurich has immediate openings for a postdoc and two ph.d. students in the areas of microrobotics and nanorobotics. please see our website www.iris.ethz.ch for more details.

prof. dr. bradley nelson
swiss federal institute of technology (eth), zurich
professor of robotics and intelligent systems

eth zürich
institut für robotik und intelligente systeme (iris)                   www.iris.ethz.ch
tannenstrasse 3, cla h15.2                                                 tel:    +41 44 632 55 29
ch-8092 zürich, switzerland                                                  fax:  +41 44 632 10 78

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20050907/fedc9250/attachment.html
"
2,2005,"open phd position announcement at ai lab, university of zurich","----------------------------------

open phd position announcement

artificial intelligence laboratory
university of zurich, switzerland

----------------------------------

one fully funded phd student position will be available immediately or 
upon agreement at the artificial intelligence laboratory, university of 
zurich, switzerland (lab director: prof. dr. rolf pfeifer, project 
leader: gabriel gomez).

this is a position in a project called ""robotcub (robotic open 
architecture technology for cognition, understanding and behaviors)"" 
funded by the european commission through unit e5 ""cognition"". the 
project's main goal is to study cognition through the implementation of 
a 54 degree-of-freedom humanoid robot. this is an open project (e.g., 
open distribution of robot platform, open source software development).

the candidates are expected to work on topics such as cognitive 
development, neural networks, learning, sensorimotor coordination 
(reaching, grasping, exploration, manipulation), object affordance, etc. 
they are expected to have a strong motivation in designing/building 
physical mechanical systems, and programming skills for control, 
simulation and data analysis.

applicants should preferably have an msc in one of the following 
disciplines:

* mechanical engineering
* electronic engineering
* robotics

candidates from other disciplines are also welcome if they demonstrate 
skills in the above-mentioned areas.

proficiency in writing/spoken english is mandatory (preferably 
native-level). phd students will be requested to do some class 
assistance and communicate with leading scientists world wide as part of 
the job.

to apply for the position, please send a letter of motivation along with 
a cv, certificates, and two academic references to rolf pfeifer 
(pfeifer at ifi.unizh.ch) with cc to claudia wirth (wirth at ifi.unizh.ch). 
for further information, please contact gabriel gomez (gomez at ifi.unizh.ch).

deadline for applications: 20.12.2005
(we will close this call as soon as we fix the position.)

for more information please refer to
university of zurich: www.unizh.ch
artificial intelligence laboratory: www.ifi.unizh.ch/ailab/
robotcub project: http://www.robotcub.org/

-- 

gabriel gomez

*************************************
gabriel gomez
ph.d. candidate
artificial intelligence laboratory
department of informatics
university of zurich
andreasstrasse 15,
ch-8050 zurich,
switzerland
tel: + 41 1 635 67 22
*************************************"
3,2005,phd studenships available,"the idiap research institute (http://www.idiap.ch) seeks qualified
candidates for phd positions in the field of brain-computer interfaces.
the applicant will work in the framework of european and swiss projects
related to noninvasive brain-actuated control of robots (i.e., the use
of brain signals to control a wheelchair and a robot arm).

the ideal candidate will hold a degree in computer science, biomedical
engineering, or related fields. she or he should have good background in
intelligent/adaptive robotics and statistical machine learning, as well
as excellent programming skills in c/c++. knowledge of physiological
signal processing is a plus.

appointment for the phd position is for a maximum of 4 years, provided
successful progress, and should lead to a phd dissertation. annual gross
salary ranges from 36,000 swiss francs (first year) to 40,000 swiss
francs (last year). starting date is immediate.

idiap is an equal opportunity employer and is actively involved in the
european initiative involving the advancement of women in science. idiap
seeks to maintain a principle of open competition (on the basis of
merit) to appoint the best candidate, provides equal opportunity for all
candidates, and equally encourages both females and males to consider
employment with idiap.

although idiap is located in the french part of switzerland, english is
the main working language. free english and french lessons are provided.

idiap is located in the town of martigny (http://www.martigny.ch) in
valais, a scenic region in the south of switzerland, surrounded by the
highest mountains of europe, and offering exciting recreational
activities, including hiking, climbing and skiing, as well as varied
cultural activities. it is within close proximity to montreux (jazz
festival) and lausanne.

interested candidates should send a letter of motivation outlining
qualifications for the position, along with their detailed cv and names
of 3 references to jobs at idiap.ch. more information can also be obtained
by contacting josé del r. millán (jose.millan at idiap.ch).

-- 
josé del r. millán
senior researcher, idiap research institute
professor, swiss federal institute of technology lausanne (epfl)
idiap. rue du simplon 4. 1920 martigny. switzerland
tel: +41-27-7217.770   fax: +41-27-7217.712
jose.millan at idiap.ch"
4,2006,"job opening: research on humanoid robots in freiburg, germany","the humanoid robots group at albert-ludwigs-university of freiburg, 
germany, has immediate openings for two phd-student/researcher/post-doc 
positions. these positions are funded by the german research council (dfg).

our research centers on the development of humanoid robots that are able 
to improve their behavior through learning. this includes the design of 
robot hardware, as well as algorithms for perception and behavior 
control. application areas are robocup soccer and intuitive multimodal 
communication with humans as a museum guide.

applicants should have an excellent degree at the diplom/master level in 
computer science or a closely related area. research experience in one 
or more of the areas autonomous mobile robots, machine learning, 
computer vision or speech processing is an advantage.

the positions can be filled immediately. the initial contract will be 
limited to two years. remuneration is according to the german public 
employee pay scale bat iia. part-time employment is possible.

the closing date for this opening is march 31st, 2006. please send you 
application (preferably electronically as pdf, including cv, list of 
publications, certificates, transcripts, and the names of two academic 
references) to:

dr. sven behnke, computer science institute, university of freiburg,
georges-koehler-allee 52, 79110 freiburg, germany,
phone: +49 761 203-7404, fax: -8222,
email: behnke at informatik.uni-freiburg.de,
web: http://www.nimbro.net

the university of freiburg aims to increase the percentage of women in 
research and teaching, and therefore encourages female candidates 
meeting the above qualifications to apply.

with its 215.000 inhabitants, freiburg is one of germany's most popular 
university cities. freiburg is situated on the western slopes of the 
black forest, close to france and switzerland, and is especially 
well-known for its mild climate.

the albert-ludwigs-university (founded in 1457) is among germany's 
oldest universities. approximately 21.500 students study at one of the 
few top universities which were selected recently by dfg to participate 
in its excellence initiative.

best regards,

sven behnke.
http://www.informatik.uni-freiburg.de/~behnke"
5,2006,two postdoc positions in biologically-inspired robotics at epfl,"dear colleagues,

i would be most grateful if you could transmit the add below for postdoc 
positions in my group at epfl to any of your phd students who might be 
interested.

many thanks,

auke ijspeert

the biologically inspired robotics group (birg, http://birg.epfl.ch/) in 
the school of computer and communication sciences at epfl (lausanne, 
switzerland) anticipates (95% sure) to have *two open postdoc 
positions*: one in modular robotics (position a), and the other in 
biologically inspired amphibious robotics and control of locomotion 
(position b).

*position a: modular robotics*

this position is part of a new project in collaboration with prof. aude 
billard and prof. pierre dillenbourg on the use of modular robots for 
creating adaptive furniture. the goal of the project is to design and 
control a set of robotic building blocks that can be used to generate 
robots capable of locomotion and reconfiguration. among other things, 
the robots should serve as adaptive furniture, i.e. stools/chairs/sofas 
capable of moving and changing shape. candidates need to have a phd 
degree related to robotics. the ideal candidate for this position should 
have a background in robotics, in particular in mechanical design and in 
control. good programming skills and a strong interest in human-computer 
interaction are also needed. the responsibility of the postdoc will be 
to help designing the physical modules (in particular the connection 
mechanisms) as well as to develop reconfiguration algorithms (with 
simulated robots, as well as real modules, such as the yamor modules). 
starting date: as soon as possible (e.g june 2006).

*position b: biologically inspired amphibious robotics and control of 
locomotion*

this position is part of a project which aims at constructing and 
controling amphibious robots with multiple degrees of freedom, and at 
using inspiration from biology, in particular the concept of central 
pattern generators (cpgs), for controling their locomotion. the type of 
robots we envision are snake and salamander-like robots, see 
http://birg.epfl.ch/page53468.html for an example of our amphibious 
snake robot. the responsibility of the postdoc will be to participate to 
the design of the next generation of the robots (we aim at adding 
muscle-like actuator with useful visco-elastic properties), and to 
design adaptive locomotion controllers based on cpgs. candidates need to 
have a phd degree related to robotics. the ideal candidate for this 
position should have a background in robotics, in particular in 
mechanical design, locomotion control, and learning algorithms, and be 
interested in using robots as tools to understand biology. starting 
date: november 2006 (or as soon as possible after that).

*how to apply:
*
the application should consist of a motivation letter (explaining to 
which of the two positions you would like to apply, and why you feel 
qualified for that project), and a full cv with publication list. two 
(or more) letters of reference should be sent directly by the referees 
to prof. auke ijspeert (emails are preferred).

*deadline and starting date:*

applications are invited from today (20 april 2006), and will be 
considered continuously until the positions are filled.
*
**contact:*

information concerning the type of research carried out by the group can 
be found at http://birg.epfl.ch/
please send your application and any inquiry by email to

prof. auke jan ijspeert <http://birg.epfl.ch/page27899.html>, 
auke.ijspeert -at- epfl.ch
school of computer and communication sciences
epfl, swiss federal institute of technology, lausanne
epfl-ic-isim-grij inn 237 <http://plan.epfl.ch/?room=inn237>
station 14
ch 1015, lausanne, switzerland
www: http://birg.epfl.ch/

-- 
-----------------------------------------------------------------
prof auke jan ijspeert 
snf (swiss national science foundation) assistant professor
school of computer and communication sciences, epfl

epfl-ic-isim-grij
epfl, swiss federal institute of technology, lausanne
station 14
ch 1015 lausanne, switzerland 

office: inn 237     tel: +41 21 693 2658,    fax: +41 21 693 3705
www: http://birg.epfl.ch             email: auke.ijspeert at epfl.ch

adjunct assistant professor,
department of computer science, university of southern california
-----------------------------------------------------------------

-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060420/39b6ab34/attachment.html"
6,2006,"phd student opening at the swarm-intelligent systems group, epfl","the swarm-intelligent systems group is looking for a phd student in the field of structural dynamics and control.

in order to span wide rivers economically, suspension and cable-stayed bridges with large free spans are required. such structures are suscepible to vibrations due to strong winds and, presently, these vibrations are their main limiting design factor. 
the main objective of this project is to investigate vibration control strategies using distributed, adjustable, and actively actuated winglets mounted on the bridge deck. the project is highly interdisciplinary and combines knowledge from the fields of structural and fluid dynamics, distributed structural sensing, actuation, and control. 
the work is subdivided into a theoretical part dealing with numerical simulation, and an experimental part for the verification of control strategies using a bridge model in a wind channel. applicants must hold a university degree (msc), possibly in mechanical engineering or micro-engineering. a strong knowledge in mechanics and control theory, as well as experimental skills are required. 
the project is a co-operation between the swiss federal laboratories of materials testing and research (empa) (http://www.empa.ch/) and the école polytechnique fédérale de lausanne (epfl) (http://www.epfl.ch). 
it will be co-supervised by prof. a. martinoli (swarm-intelligent systems group, epfl, http://swis.epfl.ch), prof. m. parlange (laboratory of environmental fluid mechanics and hydrology, epfl, http://eflum.epfl.ch/index.en.php, and dr. daniel gsell (structural engineering research laboratory, empa, http://www.empa.ch/plugin/template/empa/626/*/---/l=2). aspects of structural dynamics and aero-elasticity will be overseen by empa researchers, while distributed control, sensing and actuation, and theoretical and experimental fluid dynamics will be overseen by epfl faculty. 

if this project interests you and you are motivated by the prospect of working in a small team within an interdisciplinary scientific environment, please contact prof. martinoli (alcherio.martinoli at epfl.ch) for further information, or send a detailed application.

this job posting is also available at http://www5.epfl.ch/swis/page2209.html."
7,2006,phd position at epfl: indoor flying robot for search and rescue,"---------------------------------------------------------------
open phd position announcement
indoor flying robot for search and rescue

laboratory of intelligent systems (lis)
swiss federal institute of technology lausanne (epfl)
---------------------------------------------------------------

one funded phd student position is available immediately or upon  
agreement at the laboratory of intelligent systems, swiss federal  
institute of technology lausanne (lab director: prof. dario floreano,  
project leader: jean- christophe zufferey) to work on the micro- 
mechatronic development of a novel indoor flying robot for search and  
rescue operations.

the candidate is expected to develop innovative aerodynamic and micro- 
mechatronic solutions, including design, prototyping, integration of  
sensors and electronics, as well as characterization of the system.  
the candidate must have a strong motivation for aerodynamics, micro- 
engineering, and system integration. she or he must also have a  
systematic and rigorous approach to system design and characterization.

applicants should preferably have an msc in one of the following  
disciplines:

- aerodynamics
- micro-engineering
- electronic engineering
- material engineering
- robotics

candidates from other disciplines are also welcome if they  
demonstrate skills in the above-mentioned areas. proficiency in  
writing/spoken english is mandatory. phd students will be requested  
to do some class assistance and supervise undergraduate and master  
projects.

the candidate will join a young and enthusiastic team with several  
activities in aerial robotics that featured on top international  
media and scientific magazines. the laboratory offers access to state- 
of-the-art facilities ranging from micro-machining to printed circuit  
realization as well as collaboration with companies in micro-robotics.

to apply for the position, please send a letter of motivation along  
with a cv, certificates, and two academic references to jean- 
christophe.zufferey at epfl.ch.

for more information please refer to:
swiss federal institute of technology lausanne: http://www.epfl.ch
laboratory of intelligent systems: http://lis.epfl.ch



**********************************
prof. dr. dario floreano
laboratory of intelligent systems
swiss federal institute of technology (epfl)
building ele, station 11
ch-1015 lausanne, switzerland

voice: +41 21 693 5230
secretary: +41 21 693 5966
fax: +41 21 693 5859
dario.floreano at epfl.ch
http://lis.epfl.ch
**********************************
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060524/bb035611/attachment-0001.html"
8,2006,senior position at the swiss ai lab idsia,"we are seeking an outstanding researcher (professor or postdoc)
with experience / interest in topics such as: sequence learning,
adaptive robotics, universal ai, probabilistic models, recurrent
networks, etc. candidates are expected to build their own little
research group by acquiring grants from swiss or eu funding
agencies.

(previous idsia seniors include marco dorigo, father of the
widely used artificial ants (working with luca gambardella),
and marcus hutter, father of the asymptotically fastest
algorithm for all well-defined problems.)

salary: commensurate with experience - roughly sfr 85,000
per year, or us$ 70,000 as of may 2006. low taxes.

interviews possible during the ai 50 summit in
ascona (near idsia), july 9-14, 2006

details: http://www.idsia.ch/~juergen/senior2006.html

juergen schmidhuber
tu munich & idsia
http://www.idsia.ch/~juergen/whatsnew.html
-------------- next part --------------
a non-text attachment was scrubbed...
name: not available
type: text/enriched
size: 983 bytes
desc: not available
url : http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060613/45798b52/attachment.bin"
9,2006,phd position in eye-bots for swarmanoids,"---------------------------------------------------------------
open phd position announcement
swarm of indoor flying eye-bots: design and prototyping

laboratory of intelligent systems (lis)
swiss federal institute of technology lausanne (epfl)
---------------------------------------------------------------

one funded phd student position is available immediately or upon  
agreement at the laboratory of intelligent systems,
swiss federal institute of technology lausanne (lab director: prof.  
dario floreano) in the framework of the swarmanoid
project, a future and emerging technologies (fet-open) project funded  
by the european commission.
the swarmanoid project is a follow-up of the successful swarm-bots  
project (http://www.swarm-bots.org).

project description
-------------------
the main objective of the swarmanoid project is the design and  
manufacturing
of a ""swarmanoid"", an innovative robotic system made of a swarm of
heterogeneous autonomous robots acting and interacting in the 3d  
space. flying
eye-bots, climbing and grasping hand-bots, and walking and transporting
foot-bots will be the robotic units of the swarm. each unit will be  
designed to
be autonomous and to have self-reconfiguration capabilities, as well  
as to be
able to cooperate and self-assemble with the other units to perform  
collective
task solution.

in addition to the laboratory of intelligent systems, the project's  
consortium includes:
dr. mondada (lsro, epfl), prof. dorigo (iridia, ulb, belgium),
prof. gambardella (idsia, lugano, switzerland), and prof. nolfi (cnr,  
rome, italy).

description of work
  -------------------
the phd research work will focus on the development of the eye-bots.  
eye-bots
will be small robots equipped with sensing abilities (most likely  
vision) that will
live mainly in the air or in the ceilings of building and provide  
sensing and navigation
information for foot-bots and hand-bots. eye-bots should be able to  
fly, attach to
the ceilings, and possibly to other eye-bots. the candidate will work  
together with
another phd candidate whose work will focus on control and sensing of  
the eye-bots.

applicants should preferably have an msc in one of the following  
disciplines:
- micro-engineering
- electronic engineering
- robotics
- aerodynamics

candidates from other disciplines are also welcome if they  
demonstrate skills in the above-mentioned areas.
demonstrated proficiency in written/spoken english is mandatory. the  
candidate will be requested to do some
class assistance and supervise undergraduate and master projects.

the candidate will join a young and enthusiastic team with several  
activities in aerial robotics that featured on top
international media and scientific magazines. the laboratory offers  
access to state-of-the-art facilities ranging from
micro-machining to printed circuit realization as well as  
collaboration with companies in micro-robotics.
the laboratory developed and is developing several types of  
autonomous flying robots for indoor and outdoor environments.
there are thus several synergies with other projects.

annual salary is approximately 45k chf (with small adjustments based  
on age and experience).

to apply for the position, please send a letter of motivation along  
with a cv, certificates, and two academic references to
dario.floreano at epfl.ch.

for more information please refer to:
swiss federal institute of technology lausanne: http://www.epfl.ch
laboratory of intelligent systems: http://lis.epfl.ch


**********************************
prof. dr. dario floreano
laboratory of intelligent systems
swiss federal institute of technology (epfl)
building ele, station 11
ch-1015 lausanne, switzerland

voice: +41 21 693 5230
secretary: +41 21 693 5966
fax: +41 21 693 5859
dario.floreano at epfl.ch
http://lis.epfl.ch
**********************************
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20060722/f46e7923/attachment-0001.html"
