,year,subject,content
0,2007,postdoc positions in cognitive robotics & neurocomputational modeling,"postdoc positions in cognitive robotics & neurocomputational modeling

three postdoc positions in cognitive robotics and neurocomputational
modeling are available at the university of skovde,  sweden , as part
of two eu-funded cognitive systems projects:

(a) two positions are available as part of a new three-year project
called rossi (""emergence of communication in robots through sensorimotor
and social interaction""), starting in march 2008. the project involves
cognitive neuroscientists, psychologists, computational modelers and
roboticists in italy, germany, turkey and  sweden . rossi investigates
sensorimotor grounding of concepts and language use in human-robot
interaction, and the open positions are focused on neurocomputational
modeling of the underlying neural mechanisms (canonical and mirror
neuron systems). starting date: around march 2008.

(b) one position is available as part of the four-year project icea
(""integrating cognition, emotion and autonomy"") which started january
2006 and is coordinated by our lab. the project involves ten labs in
seven countries and aims to develop cognitive-robotics architectures
integrating cognitive, emotional and homeostatic processes, based on
models of the mammalian brain. the open position is flexible, but
intended to complement/strengthen the work of 5-6 people currently
working on icea and related topics in our lab. possible focus areas
would be, for example, neurocomputational modeling of interactions
between cognition and affect/emotion/motivation, neuromodulation,
modeling of rat behavior, anticipation/prediction/simulation of
behavior. starting date: as soon as possible.

informal enquiries can be directed to tom ziemke at tom.ziemke at his.se.
interested candidates should send a cv, a brief statement of research
interests, and representative publications."
1,2008,postdoc_position_in_robotics_in_uk,"research position in robotics

post-doctoral research associate
robotics research group, department of computer science,
aberystwyth university, wales, uk
£22,332 - £33,780
applications are invited for the post of postdoctoral research associate 
for a project on robot interaction in the context of sensory-motor 
learning. this is a three year ec fp 7 funded project with 5 other 
partners (see http://www.rossiproject.eu). the successful applicant 
should have a doctorate in a relevant field, excellent software 
engineering skills, and good writing and communication skills. for 
informal enquiries contact: prof. mark lee, email: mhl at aber.ac.uk, 
phone: +44 (0)1970 622420 (direct).

ref: cs.07.09
closing date: 20 june 2008

this project is entitled ""rossi; emergence of communication in robots 
through sensorimotor and social interaction"", and focuses on the 
development of communication between robots and humans 
(http://www.rossiproject.eu).
in particular, the project is addressing the question of how critical it 
is for communicating agents to share the same general view of the world. 
  agents possessing different sensory and motor systems may have 
different views of the world and therefore may have difficulties in 
communicating. we are exploring to what extent and which aspects of 
world models must be shared in order to facilitate communication between 
robots and humans.  we wish to increase understanding of the 
requirements of affordance based world models, shared models and 
communication provided by such models, based on understanding of 
objects, actions, and processes in their environment. the focus of this 
project is the construction of robots that are able to process simple 
commands and to respond appropriately by interacting with different 
kinds of objects and entities in their environment. this project has 6 
partners in italy, germany,  sweden  and turkey, involving psychologists, 
neuroscientists, computer scientists and robotics engineers. we are 
involved in all stages but especially the implementation of the models 
in a robotic manipulation system and the testing and experimentation 
with real application tasks.

we wish to appoint a post-doctoral research associate who will take 
major responsibility for the programme of research in the context of our 
robotics team.  this post is available on a three-year fixed-term 
contract. we expect to appoint for a start date of 1 march 2008.

- applicants should have a doctorate in computer science, artificial 
intelligence, engineering, or a related scientific field, and be able to 
demonstrate research experience.
- the post requires excellent software skills for the implementation and 
running of a range of experimental components.
- the successful applicant will also be involved in writing scientific 
documents and papers and will be expected to travel and give 
presentations as necessary.

for informal enquiries contact mark lee:
mhl at aber.ac.uk
+44 (0)1970-622420
for further details of the post and an application form please see the 
link below:
http://www.aber.ac.uk/human-resources/en/vacancies.shtml


ref: cs.07.09
closing date: 20 june 2008

note: please put the post reference on the front of your envelope and on 
your application form.  completed applications forms should be signed 
and returned to the operations team by fax or post. e-mail attachments 
will not be accepted.

bilingual institution which operates a welsh language scheme.
committed to equal opportunities.

operations team: vacancies at aber.ac.uk /
tel:  01970 621591 /
fax:  01970 622975


-- 

---------------------------------------------------------------------
martin huelse, dr. rer. nat.

intelligent robotics group               email:   msh at aber.ac.uk
department of computer science,          web:     aml.somebodyelse.de
university of wales,                     office:  +44 (0)1970-62 2441
aberystwyth, ceredigion, sy23 3db,       lab:     +44 (0)1970-62 2403
united kingdom.                          fax:     +44 (0)1970-62 8536
---------------------------------------------------------------------"
2,2013,faculty position in me at ozyegin university,"faculty position in mechanical engineering at ozyegin university, istanbul, turkey

the department of mechanical engineering at ozyegin university, istanbul, turkey invites applications for faculty positions to start in fall 2013. while the department is primarily seeking applicants at assistant professor level, applicants at other ranks with exceptional records of research will also be considered. applicants must have a ph.d. in mechanical engineering or a closely related field. although candidates in all areas of mechanical engineering will be considered, we are particularly looking for candidates with research interests in:

* computational methods in mechanical engineering (computational fluid dynamics, computational mechanics),
* fluid mechanics,
*dynamic systems and robotics.

successful candidates are expected to build a strong, externally-funded research program and make significant contributions to the department’s research activities.

the department of mechanical engineering at ozyegin university was established in 2010 and has 5 core and two associated faculty members. the mechanical engineering department offers both the msc and phd degrees, and is very active with over $3m externally funded research projects from eu-fp7, tubitak, santez, and several industry-based programs. in addition, potential candidates should have a marked interest in teaching in both undergraduate and graduate level courses and actively involved in the education mission of the department. applications consisting of a cover letter, a complete curriculum vitae, statements of teaching and research interests, and the addresses of four references (including email address) should be addressed to prof. m. pinar menguc (submitted electronically to ms. ayse genc (ayse.genc at ozyegin.edu.tr, department secretary).

ozyegin university was officially founded on may 18, 2007 with the mission of contributing to social development by producing creative, original and applicable knowledge through its modern education system, its innovative structure integrated with life and its academic programs focused on the service sector. ozyegin university has already built a strong academic environment with distinguished faculty members, as over 60% of the ozyegin universityfaculty have graduated from top 100 universities around the world, while 85% came from global top 200 universities. ozyegin university moved to its cekmekoy campus in september 2011 and since then the total area of its facilities reached over 136,000 m^2. the department is housed in a modern engineering building equipped with seven mechanical engineering laboratories."
3,2013,phd and ms positions - ozyegin university robotics lab,"phd and ms positions - ozyegin university, istanbul, turkey

multiple open positions are available for masters and doctoral students under a eu fp7 grant and a tubitak grant in the robotics lab at ozyegin university, istanbul, turkey. the positions are fully funded for the duration of graduate studies, including tuition fees and stipend.

both projects are in the area of surgical robotics. the research will involve development of mechatronic systems, advanced motion control, development of novel sensors for intelligent control strategies. the students will work in related areas of their bachelors’ degrees. bachelors or masters in electronics engineering, mechanical engineering, computer science is required.

ozyegin university robotics lab (ozurobotics.ozyegin.edu.tr) is equipped with state-of-the-art robotic hardware and software. the university has excellent facilities that support original research. despite being 5 years old, last year school was ranked 4th among 174 universities in turkey by the ministry of science, industry and technology.

for pre-evaluation please send an application e-mail with your (1) cv with links to online version of papers, thesis, capstone project reports, (2) if available gre, toefl, ales, uds, etc. scores (3) a brief statement of purpose. send e-mails to assist. prof. ozkan bebek, ozyegin university, mechanical engineering department, ozkan.bebek {[at)} ozyegin.edu.tr.
students should also submit official applications to the graduate school of engineering. http://ozyegin.edu.tr/akademik-programlar/fen-bilimleri-enstitusu/basvuru?lang=en-us

deadline for applications is july 26th."
4,2013,"faculty position (assistant professor) on ""robotics"" at bahcesehir university, istanbul, turkey, at the mechatronics department","dear colleagues,

 

we encourage applications from researchers in robotics for an immediately
available faculty position on ""robotics"" at the mechatronics department of
bahçeşehir university. please check the position 

description included below.

 

best regards,

 

günter hommel.

 

____________________________________________

prof. em. dr.-ing. dr. h.c. guenter hommel

real-time systems and robotics

technische universitaet berlin

             and

bahcesehir university istanbul

mailto:guenter.hommel at bahcesehir.edu.tr 

http://pdv.cs.tu-berlin.de/leute/hommel.html

____________________________________________

 

faculty position: 

 

the department of mechatronics engineering of the bahçeşehir university
(bau), college of engineering (istanbul, turkey) invites applications for a
faculty position (at the level of assistant professorship) in robotics to
begin in january 2014. candidates with proven expertise in robotics and one
or two years of postdoctoral experience will be well suited for this
application. expertise can be proven by relevant publications and attractive
project results.

 

the successful candidate will join the collaboration with prof. oussama
khatib at the robotics laboratory of stanford university on a joint research
program. his or her first task will be to establish a robotics lab at bau
with equipment compatible with that of the project partner. he or she shall
spend up to six months in stanford in the beginning of his or her
appointment.

 

in this collaboration the candidate is expected to advise and guide ph.d.
students working in that project and teach students in the field of
robotics. teaching skills and experience in fund raising are also valued.

 

bahçeşehir university is a privately funded university. teaching language is
english. as an international university in turkey, bau is committed to
providing global learning opportunities for its students at home and around
the world. bau runs satellite campuses and exchange programs worldwide.
campuses are in berlin, boston, rome, hong kong, silicon valley, toronto,
and washington. the college of engineering is located in beşiktaş, directly
at the bosporus. ferries leave from an own port for galata in the old center
of the city where another campus is located. more information can be found
on:

http://www.bahcesehir.edu.tr/ 

 

the university is an equal opportunity employer. all qualified applicants
will receive consideration for employment without regard to race, color,
religion, gender, gender identity or expression, sexual orientation,
national origin, genetics, disability, age, or veteran status.

 

applications should be submitted by email to 

 

        prof. dr.-ing. günter hommel,
mailto:guenter.hommel at bahcesehir.edu.tr 

 

and must include: 1) cover letter, 2) complete curriculum vitae, 3)
publication list and description of projects 4) statement of academic
interests and 5) names and contact information of four referees."
5,2013,faculty positions in mechatronics engineering (sabanci university),"full-time faculty position openings in mechatronics engineering program,
sabanci university, istanbul, turkey

the faculty of engineering and natural sciences (fens) at sabanci
university invites applications for multiple full-time faculty positions at
the mechatronics engineering program (
http://fens.sabanciuniv.edu/mechatronics/eng/) beginning fall 2014.
applications are sought in interdisciplinary fields relevant to
mechatronics engineering combining mechanical engineering and electrical
engineering. the successful candidate is expected to develop an
externally-funded internationally-recognized research program, and to
contribute through teaching of undergraduate and graduate courses, service
to faculty of engineering and natural sciences in sabanci university and
science and engineering as a scholar. candidates must hold a ph.d. degree
in a related discipline and have a strong research background. applicants
must provide a cover letter, current curriculum vitae, statements of
research and teaching plans, and at least three professional references,
including addresses, e-mail and telephone numbers.

sabanci university, a privately funded premier academic institution,
started instruction in the 1999-2000 academic year in its new
state-of-the-art campus located in suburban istanbul. the university offers
12 undergraduate programs and 23 graduate programs in three faculties
(faculty of engineering and natural sciences, faculty of arts and social
sciences, school of management). the university aims at establishing a high
standard of academic excellence and a research-oriented atmosphere both for
its faculty and for its students, while nurturing productive relationships
particularly with the industries in the region which constitute the
industrial heartland of turkey. the medium of instruction is english.
detailed information about sabanci university is available at the web
site: http://www.sabanciuniv.edu/en

the applicants should submit their materials through the online application
system at: https://crm.sabanciuniv.edu/acadcv/application.php"
6,2015,open faculty positions at  stanford-bahcesehir university robotics lab," bahcesehir university (bau, http://www.bahcesehir.edu.tr/) is seeking to hire full-time faculty at the rank of assistant professor in the field of robotics. applicants are expected to hold a doctoral degree in mechanical or mechatronics engineering, computer science or in a discipline related to robotics, and are required to have a record of quality research, teaching and scholarship. successful applicants will be affiliated with the stanford-bau robotics lab (http://robotics.bahcesehir.edu.tr/). the recruited faculty member is expected to: ?         collaborate with existing faculty members, ?         pursue external funding to support research, ?         teach classes to support the undergraduate and graduate programs, ?         develop new courses, ?         advise and recruit graduate students, although applicants from all fields of robotics are welcome to apply, having prior research experience in machine learning and/or human-robot interaction is a plus. *stanford-bau robotics lab* stanford-bau robotics lab was established as a part of the research cooperation agreement signed by bau and prof. oussama khatib?s robotics lab at stanford university in 2014. the agreement involves joint academic activities between the two parties in the field of robotics, including faculty and graduate student exchanges, joint research projects, and scientific workshops. the lab is dedicated to conducting multi-disciplinary research on a variety of frontiers in robotics that fall under the theme of ?human centered robotics? including virtual dynamic simulations, robot dynamics and control, robot learning, human-robot interaction, haptics and tele-operation. the lab is very well equipped with several manipulators (including a kuka iiwa lightweight arm), grippers (including an anthropomorphic hand), haptic systems, and mobile robotic platforms. *to apply:* please email a single pdf document to berke.gur at eng.bahcesehir.edu.tr  including: - cover letter indicating past relevant experience, motivation and start date, - detailed academic cv, - research and teaching statements, - copies of selected published research, - a list of at least three references (collaborators, research supervisors familiar with your research experience). --  dr. m. berke g?r assist. prof. bahcesehir university department of mechatronics engineering ciragan cad. no: 4-6 d-527 besiktas-istanbul turkey 34349 +90 (212) 381-0556"
7,2016,faculty position at agu," dear colleagues, at abdullah gul university, we are hiring new faculty members and robotics is one of the fields we are interested in. i would be very glad if you encourage your new phd graduates to apply. thank you. dr. faruk kececi _____________________________ abdullah gul university (agu) invites applications from qualified academics for 4 tenure-track full time assistant professor faculty positions in the department of mechanical engineering. the candidate is expected to have a phd in mechanical engineering or in a closely related field with an expertise in one or more of the following areas: robotics, design, fluid dynamics, manufacturing and thermal sciences; however, other research areas will also be considered for exceptional candidates. successful candidates will be expected to initiate and maintain externally funded research programs, be committed to teaching excellence and student mentorship at both undergraduate and graduate levels, and be involved in service to the university and the profession. about agu: agu is a recently established state university in kayseri, turkey with a strong foundation support that significantly supplements the state-provided resources. the university aspires to stimulate innovation and creativity in addressing global problems and to provide added value to society through focused cooperation projects that involve students, faculty, and for- and non-profit organizations. to this end, the university places great emphasis on interdisciplinary research, university-industry collaboration, and innovative teaching. having a strong community of international faculty and students with a rich multicultural atmosphere is an integral part of the university's vision. agu, with an english medium of instruction, admitted its first students in the fall semester of the 2013- 2014 academic year. the benefits of working at agu also include eligibility for state pension and other advantages that accrue from being an employee of the state. the university offers internationally competitive salaries and benefit packages, thanks to the support of the agu foundation. applicants should submit a cover letter, curriculum vitae, statements of research and teaching (only 1 page each), contact information of three professional references to mefacultysearch at agu.edu.tr as one pdf file and indicate the field of expertise in the subject line of the email. all applications received before november 1st, 2016 will get full consideration and the positions are open until filled. detailed information about the university can be found at www.agu.edu.tr for further questions: dr. kececi head of mechanical engineering department abdullah gul university mefacultysearch at agu.edu.tr -- view this message in context: https://urldefense.proofpoint.com/v2/url?u=http-3a__robotics-2dworldwide.1046236.n5.nabble.com_jobs-2dfaculty-2dposition-2dat-2dagu-2dtp5714699.html&d=dqicag&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=ebvvs_vwghla-eiyp9m-tuy87hmbdy6m7y5cf9foijg&s=qtc1jy3ymbsfh8o8lui20xidr227znbruc_j-zjua4k&e=  sent from the robotics-worldwide mailing list archive at nabble.com."
8,2017,"phd openings in biomechatronics lab.  ozyegin university, istanbul turkey"," biomechatronics laboratory in ozyegin university, istanbul has 3 funded phd openings with a start in fall (september) 2017 for those who have profound interest in both fundamental and applied robotics research. we are looking for highly motivated candidates with an msc in appropriate engineering disciplines. candidates should be willing to play leading key roles in the following high-risk high pay-off projects. project 1: comrade: a *co*llaborative *m*obile *r*obot *a*rm that learns impe*d*anc*e* critical tasks from humans funded by: eu h2020 msca project info: currently, fixed base industrial robot arms are extensively employed in factories. although these systems perform given tasks in an agile and dexterous manner, they only operate in robot-specific special environments where the robots are statically placed in a caged cell and continuously repeat carefully pre-engineered actions. as expected, they remain stationary for decades and cannot be easily reconfigurable; thus, decreasing the degree of transformability in production lines. considering the fact that industrial manufacturing experiences a paradigm shift from mass production to mass customization, current-day factories must improve the reconfigurability aspect of automated manufacturing lines. in response to this matter, the 4th industry revolution, industry 4.0, dictates the use of multi-tasking non-stationary robots which should safely work in human environments that require no robot-specific arrangements. it is also anticipated that the robot must possess cognitive abilities so as to learn certain tasks from humans with no engineering expertise. research theme [eu1]: whole-body motion control of a mobile manipulator: appropriate candidate background:  master degree in mechanical / mechatronic / control / electrical engineering, strong background in dynamic system control and control theory, system modeling, dynamics, matlab, c/c++ mathematics. the student will be implementing whole body motion control techniques (e.g. [1]) that synergistically combine the omni-wheeled mobile base motion with the multi-dof manipulator (ur-3), while the robot tool is physically interacting with the environment. the robot should be able to mechanically transparent (zero-impedance) [2] for interference-free human-robot physical interaction. research theme [eu2]: human-to-robot skill transfer for the impedance-critic task execution appropriate candidate background: master degree in computer science, strong background in machine learning, matlab, c/c++ mathematics. knowledge on fundamentals of robot manipulators is a plus. the student will develop new algorithms that enables a mobile manipulator to effectively learn impedance critical tasks (drilling, screwing, etc.) by means of physical interactions with a human and acquire human?s abilities via human-to-robot skill transfer for subsequent autonomous task execution [3]. human-in-the-loop robot learning will be key to this phd theme. -- project 2: development of a self-balancing and physically compliant lower body exoskeleton robot for 3d walking support funded by: tubitak (scientific and technological research council of turkey) info: the purpose of this project is to design and implement a new generation lower body exoskeleton robot that could be used to provide robot-aided walking support for those who suffer paraplegia or similar pathological lower body diseases. in line with this purpose, the main objective of this project is to develop and synergistically integrate new technologies for a novel lower body exoskeleton robot that has advanced capabilities, such as, providing 3d walking support with no auxiliary tools, active self-balancing, and possessing competent actuator units. research theme [tr1]: motion planning and real-time controller synthesis for the exoskeleton-supported paraplegia walking appropriate candidate background: master degree in mechanical / mechatronic / control / electrical engineering, strong background in dynamic system control and control theory, system modeling, dynamics, matlab, c/c++ mathematics. the state-of-the-art exoskeletons mostly actuate hip and knee joints through flexion/extension; therefore, the users must actively engage their upper body via crutches to maintain balance. recently, a self-balancing exoskeleton system (xor) was developed [4]. thus, this project will follow the footsteps of xor project, and pave the way for next generation lower body exoskeletons. -- general info: the research environment requires mastering the english language in writing, speaking and reading. gradually increasing turkish language ability will make your life more enjoyable in istanbul, but not required. biomechatronics lab. @ ?z? is a young and vibrant research group that is strongly tied to several international laboratories, e.g., toyota technological institute - japan, italian institute of technology ? italy, computational neuroscience labs. atr ? japan, ijs - institut ""jozef stefan"" -  slovenia , and more. the eu h2020 comrade project will be conducted with a strong collaboration with dr. ales ude (ijs) and dr. erhan oztop (?z?). prospect students should send their cv, transcript, publications (if any), master thesis (if completed) and motivation letter to: barkan.ugurlu at ozyegin.edu.tr via e-mail. please make sure to indicate [phdozu] in the subject field, and express the research theme in which you show interest. references: [1] dietrich et al. ?whole-body impedance control of wheeled mobile manipulators?, autonomous robots, vol. 40, no. 3, march 2016. [2] *ugurlu* et al. ?proof of concept for robot-aided upper limb rehabilitation using disturbance observers?, ieee transactions on human-machine systems, vol. 45, no.1, february 2015. [3] peternel et al. ?teaching robots to cooperate with humans in dynamic manipulation tasks based on multi-modal human-in-the-loop approach?, autonomous robots, vol. 36, no. 1, january 2014. 4 *ugurlu* et al. ?variable ankle stiffness improves balance control: experiments on a bipedal exoskeleton?, ieee transactions on mechatronics, vol. 21, no. 1, february 2016. -------------------------------- barkan ugurlu, ph.d. marie sk?odowska-curie fellow dept. of mechanical engineering ozyegin university 34794 istanbul, turkey --------------------------------"
9,2017,masters scholarships in deep learning &  robotics: istanbul technical university," dear all, there are two 2-year masters-level scholarships available at the istanbul technical university department of computer engineering in the application of deep learning and computer vision to robot problems. the scholarship is targeted at those doing or wishing to do their thesis at our university on this topic. please feel welcome to email for more information: djduff at itu.edu.tr some more information: https://urldefense.proofpoint.com/v2/url?u=https-3a__www.linkedin.com_pulse_masters-2dscholarships-2ddeep-2dlearning-2drobotics-2ddamien-2djade-2dduff&d=dwidaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=acjfkqgv_iripumosy0gwb1-mthxxd0qjzuuymksplm&s=tfbvxpbj0on0ngk7miiqynpq97gbyo9untfaupsc8i8&e=  best regards, damien jade duff --  department of computer engineering istanbul technical university office: eeb 2316, maslak campus phone: +90 212 2853608 web: https://urldefense.proofpoint.com/v2/url?u=http-3a__djduff.net&d=dwidaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=acjfkqgv_iripumosy0gwb1-mthxxd0qjzuuymksplm&s=bq-jkdgv9whpytliobao-tzabvw1bv2yjhw2ukvul_q&e= "
