,year,subject,content
0,2008,"positions at interactive robots and media laboratory, uaeu","ee/cs/interactive media positions at irml, uae

http://www.hafeet.uaeu.ac.ae/irml/

interactive robots & media laboratory
united arab emirates university
asst. prof. nikolaos mavridis
director, irml
phd, mit media laboratory

position grades:
- faculty members
- visiting phd students
- full-time engineer / computer scientist
- summer internship

the interactive robots & media laboratory (irml) at uaeu is seeking
engineers
and/or computer scientists to take part in exciting research projects.

the lab
-------
http://www.hafeet.uaeu.ac.ae/irml/
core research areas include (but are not limited to):
conversational humanoid robotics, language grounding, as well as human-robot
interaction.

the lab is equipped with multiple robots (mobile tour guide robots,
manipulator arms,
mini vehicles), state-of-the-art full-body motion capture, cybergloves and
wireless 6dof
sensors, as well as advanced vision systems.

furthermore, irml has continuous access to color 3d printing and 3d
scanning,
as well as to a machine shop, and microcontroller / electronics labs,
for prototyping novel interactive devices. in terms of computational
resources,
a high-performance grid computer with 1t flop will soon be available for
use.

there is also close contact with numerous world-class institutions
and companies in the field, across three continents.

finally, a world-class humanoid conversational robot project is under
development (the ""ibnsina"" robot, named after the famous muslim polymath),
with collaborations from leading figures from the us, japan, and more.


desired qualifications
----------------------
- relevant background in cs, ee, or interactive media
- degree depending upon position grade (bs, ms, phd)
- coding experience/expertise (c++ / matlab / java)
- engineering / real world troubleshooting skills
- interest and experience in one or more of the following technical areas:
        human-robot interaction, ai, computer vision, language processing,
- interest in cognitive science and philosophy advantageous
- team working skills
- most importantly, desire, imagination, systematicity and persistance
        in order to create the interactive robots and media of the future

furthermore, there is the possibility of visiting phd students:
i.e. annual residence at the lab and thesis readership / co-advising
 for students already pursuing a phd at other universities.

salary
------
depending on grade, most positions include free housing and zero tax.
more than one and a half months of holidays per year.

the university
--------------
uaeu is the oldest university in the country, and has recently been ranked
as the second best research university in the arab world. it is a
fully-fledged
university consisting of ten colleges and having more than 15000 students.
the college of it of uaeu has recently moved to an ultra-modern
futuristically-
equipped building, and is currently undergoing rapid expansion.

the place
---------
al ain is strategically located in one-hour driving distance from
both dubai and abu dhabi, and is a beautiful oasis city of half a million,
and a favourite cultural retreat for residents of the uae. it has an
international airport, two ultra-modern shopping malls with ice-skating
facilities, various recreational facilities, and a picturesque traditional
city centre, among many other attractions.

dubai, being easily accessible by car from al ain (one hour), is a vibrant
liberal multicultural city, the main commercial hub of the middle east,
and one of the most enjoyable places to visit, where imagination is realized
everyday through projects that exist nowhere else in the world:
the tallest building in the world (under construction),
the most luxurious hotel in the world (burj al arab),
man-made island communities in the shapes of palms visible from
space, rich shopping malls with artificial skiing centers.
the world's finest cultural and artistic events also abound.
in short, there are excellent opportunities for an exciting cosmopolitan
lifestyle,
in an exotic multicultural environment, where nothing is impossible.

dr. nikolaos mavridis
phd, mit media lab
asst. professor of it, uaeu
nikolaosm at uaeu.ac.ae
-------------- next part --------------
an html attachment was scrubbed...
url: http://duerer.usc.edu/pipermail/robotics-worldwide/attachments/20080318/9d673502/attachment-0001.html"
1,2009,"phd scholarships for interactive and social robots and media at irml, dubai","generous phd scholarships for interactive and social robots and media at
irml, dubai

the interactive robots and media lab of the uaeu, next to dubai, home of the
microsoft-chosen ""facebots"" social robotics project, (recently covered on
bbc and media of more than 20 countries worldwide), as well as ""ibnsina"",
the world's first arabic speaking humanoid, part of the ibnsina interactive
theatre installation, is accepting applications for phd students, as part
of the college of it of uaeu.

successful applicants will embark upon a phd program which consists of
graduate courses as well as research, culminating upon a thesis consisting
of original work. phd students will be provided with a generous stipend of
the order of 2000eu($3000)/month, plus free accomodation, and numerous other
services.

*desired qualifications*
- relevant background (bachelors or masters in cs, ee, interactive media or
other field)
- coding experience/expertise (for example, c++ / matlab / java)
- engineering / real world troubleshooting skills
- interest and experience in one or more of the following technical areas:
       human-robot interaction, ai, computer vision, nlp, social networks
- interest in cognitive science and philosophy advantageous
- team working skills
- most importantly, desire, imagination, systematicity and persistence in
order to create the interactive robots and media of the future

*the irml lab*
http://irml.uaeu.ac.ae/ <http:///>
core research areas include (but are not limited to):
interactive and social robotics and media, humanoid robotics, robotics and
media for the arts and digital cultural heritage
the lab is equipped with multiple robots (the ibnsina humanoid robot and
interactive theatre, mobile tour guide robots, manipulator arms, mini
vehicles), state-of-the-art full-body motion capture, cybergloves and
wireless 6dof sensors, as well as advanced vision systems.
furthermore, irml has continuous access to color 3d printing and 3d
scanning, as well as to a machine shop, and microcontroller / electronics
labs, for prototyping novel interactive devices. in terms of computational
resources, a high-performance grid computer is available for use, as well as
multiple workstations. there is also close contact with numerous world-class
institutions and companies in the field, across three continents.

*the university*
uaeu is the oldest university in the country, and has recently been ranked
as the second best research university in the arab world. it is a
fully-fledged university consisting of ten colleges and having more than
15000 students. the college of it of uaeu has recently moved to an
ultra-modern futuristically-equipped building, and is currently undergoing
rapid expansion, with eyad abed of umaryland (mit/berkeley graduate) having
just assumed our deanship.

*the place*
al ain is strategically located in one-hour driving distance from both dubai
and abu dhabi, and is a beautiful oasis city of half a million, and a
favourite cultural retreat for residents of the uae. it has an international
airport, four ultra-modern shopping malls with ice-skating facilities,
various recreational facilities, a picturesque traditional city centre, and
a spectacular mountain, among many other attractions. dubai, being easily
accessible by car from al ain (one hour), is a vibrant liberal multicultural
city, the main commercial hub of the middle east, and one of the most
enjoyable places to visit, where imagination is realized everyday through
projects that exist nowhere else in the world: the tallest building in the
world (under construction), the most luxurious hotel in the world (burj al
arab), man-made island communities in the shapes of palms visible from
space, rich shopping malls with artificial skiing centers. the world's
finest cultural and artistic events also abound. in short, there are
excellent opportunities for an exciting cosmopolitan lifestyle, in an exotic
multicultural environment, where nothing is impossible.

dr. nikolaos mavridis
phd, massachusetts institute of technology
ass.professor of intelligent systems, uaeu
nmav at alum.mit.edu"
2,2010,"robotics job vacancies at khalifa university, abu dhabi","hello,

can i please request for this advertisement (below) to be circulated to the robotics worldwide mailing list?

many thanks


lakmal




khalifa university employment

faculty and postdoctoral researchers in robotics at khalifa university, abu dhabi

a new research group in robotics is currently being established in the faculty of engineering at the khalifa university, abu dhabi, uae. we have a number of job opportunities, at both faculty and postdoctoral level, in the general area of robotics. candidates with experience in  (i) medical/bio robotics, (ii) autonomous navigation and (iii) autonomous grasping and manipulation, will be particularly welcome.

khalifa univeristy: khalifa university of science, technology and research (kustar) is a new, multi-cultural, co-educational institution supported by the government of emirate of abu dhabi, united arab emirates. degrees are offered at bachelors, masters and doctoral levels in the main engineering disciplines, including electronic engineering, mechanical engineering, computer engineering and biomedical engineering. kustar has a grand vision to be recognized as one of the leading universities in the world. it is committed to attracting, developing and retaining a diverse workforce that strengthens the university's leadership in research and education.

highly competitive, tax free, salary and benefits will be offered to the right candidates.

main duties: the successful candidates will join the faculty of engineering at kustar and pursue research in robotics. they will have the opportunity to initiate and lead funded projects and work in interdisciplinary teams.  they will teach undergraduate and graduate courses in engineering and perform administrative work.

required qualifications: applicants must have a ph.d. degree (or equivalent) and a proven ability to do excellent scientific research in robotics, as evidenced by their publications.  for faculty positions, candidates should have demonstrated potential for quality teaching.

please send your cv, including a list of publications, quoting reference ku-139 (faculty vacancies) or ku-140 (postdoctoral vacancies), to: careers at kustar.ac.ae. full consideration is guaranteed for applications received before september 15th, 2010.

for more information please contact professor lakmal seneviratne, head of robotics  group, at lakmal.seneviratne at kustar.ac.ae



dr. lakmal seneviratne
professor of robotics,  (abu dhabi campus)
khalifa university of science, technology & research (kustar)
p.o.box 127788, abu dhabi, uae
t: +971-(0)2-4018069
f: +971-(0)2-4472442
e: lakmal.seneviratne at kustar.ac.ae"
3,2011,post-doc opening — ai in supervisory control of a humanoid robot,"masdar institute’s interactive artificial intelligence laboratory (mii- 
ai)
computing and information science program
masdar institute of science and technology

the mii-ai lab in the computing and information science program at the  
masdar institute of science and technology is looking for a postdoc  
with expertise at the intersection of artificial intelligence and  
human-robot interaction.  the masdar institute of science and  
technology is a new us-style, graduate research institution being  
established in abu dhabi, uae in partnership with mit.  the institute  
is graduating its first class of msc students this summer, and will  
begin a phd program in the fall.  the institute’s goal is to become a  
world-class research institute at the graduate level focused on  
advanced energy and sustainable technologies.  for more information  
about masdar institute, please see www.masdar.ac.ae.

in this project, we are concerned with developing ai and human-robot  
interaction technologies that allow a user to effectively interact  
with a remote humanoid robot to perform a challenging task in a  
dynamic and complex environment.  we are particularly interested in  
developing capabilities that allow everyday end-users to imbue robots  
with intelligent, highly customized, skills that the user can utilize  
in real-time operations.  application areas include exploration of  
hydrothermal vents in the ocean floor, maintenance of deep-water oil  
wells, power plant maintenance, space exploration, search and rescue,  
and other remote sensing activities.

applicants with experience or demonstrated ability in some or all of  
the following research areas will have an advantage: machine learning,  
learning from demonstrations, human-robot interaction, human-robot  
interfaces, computer vision/image processing, data fusion/sensor  
fusion, probabilistic models, supervisory control, and other areas of  
artificial intelligence.  strong programming skills are also important.

the successful applicant should demonstrate the capability and desire  
to develop their own research project (within the topic) that meets  
their own strengths and interests.  applicants should send a cv and a  
1-2 page research statement to jacob crandall (jcrandall at masdar.ac.ae  
or jcrandal at mit.edu).  the research statement should describe the  
applicant’s background and interests as they relate to this research  
project.

compensation for postdoctoral associates at masdar institute is very  
competitive, with salaries typically upwards of $68,000 (usd) per  
year, plus full health insurance benefits.

-----------------------------------------------------------
jacob crandall
assistant professor
masdar institute of science and technology"
4,2013,faculty and postdoctoral researchers for robotics institute from khalifa university (abu dhabi - uae),"khalifa university employment
﻿
faculty and postdoctoral researchers in robotics

the khalifa university robotics institute (kuri) has a number of job opportunities, at both faculty and postdoctoral level, in the general area of robotics. these positions offer the opportunity to join a vibrant and expanding robotics research group (http://www.kustar.ac.ae/research/ra/kuri/robotics_institute.aspx).  candidates with experience in (i) aerial robotics (uavs) (ii) marine robotics (rovs and auvs) (iii) ground vehicles (ugvs), (iv) robots for manufacturing and (v) medical robotics will be particularly welcome although applicants with experience in all areas of robotics will be considered.



khalifa university

khalifa university (ku) of science, technology and research is a new, multi-cultural, co-educational institution supported by the government of emirate of abu dhabi, united arab emirates (http://www.kustar.ac.ae/).

degrees are offered at bachelors, masters and doctoral levels in the main engineering disciplines, including electrical engineering, computer engineering, mechanical engineering, aerospace engineering, and biomedical engineering. kustar has a grand vision to be recognized as one of the leading universities in the world. it is committed to attracting, developing and retaining a diverse workforce that strengthens the university's leadership in research and education.

highly competitive, tax free, salary and benefits will be offered to successful candidates.

main duties:

the successful candidates will join the faculty of engineering at ku and pursue research in robotics. they will have the opportunity to initiate and lead projects and work in interdisciplinary teams.  they will teach undergraduate and graduate courses in engineering and perform administrative work.

required qualifications:

applicants must have a ph.d. degree (or equivalent) and a proven ability to do excellent scientific research in robotics, as evidenced by their publications.  for faculty positions, candidates should have demonstrated potential for quality teaching.

please apply your cv, including a list of publications, and motivation letter at (http://www.kustar.ac.ae/) in the option ""careers"".

for more information please contact to dr. jorge dias ,  jorge.dias at kustar.ac.ae ,  +971(0)2 501 8556
dr. jorge manuel miranda dias
associate professor, electrical and computer engineering department
khalifa university of science, technology & research (kustar)
p.o. box: 127788, abu dhabi, uae
t : +971-(0)2-5018556
f : +971-(0)2-4472442
e : jorge.dias at kustar.ac.ae"
5,2013,faculty and postdoctoral (abu dhabi - uae) - robotics institute from khalifa university,"khalifa university employment

faculty and postdoctoral positions for robotics institute

robotics institute from khalifa university (kustar, abu dhabi - uae) has a number of job opportunities, at both faculty and postdoctoral level, in the general area of robotics. these positions offer the opportunity to join a vibrant and expanding robotics research group.  candidates with experience and key expertise in robot vision, autonomous robotic systems, cognitive robotics, artificial perception, multi-sensor fusion and robot control, will be particularly welcome for develop projects for autonomous aerial, marine and ground robotics.

khalifa university (ku) of science, technology and research is a new, multi-cultural, co-educational institution supported by the government of emirate of abu dhabi, united arab emirates (http://www.kustar.ac.ae/). khalifa university offers academic degrees at bachelors, masters and doctoral levels in the main engineering disciplines, including electrical engineering, computer engineering, mechanical engineering, aerospace engineering, and biomedical engineering. kustar has a grand vision to be recognized as one of the leading universities in the world with a strong research activity. kustar is committed to attracting, developing and retaining a diverse workforce that strengthens the university's leadership in research and education.

highly competitive, tax free, salary and benefits will be offered to successful candidates

main duties:
the successful candidates will join the faculty of engineering at ku and pursue research in robotics. they will have the opportunity to participate, initiate or lead projects in interdisciplinary teams.  they will teach undergraduate and graduate courses in engineering.

required qualifications:
applicants must have a ph.d. degree and a proven ability to do excellent scientific research in robotics, as evidenced by their publications.  for faculty positions, candidates should have demonstrated potential for quality teaching and research leadership.

please apply your cv, including a list of publications, and motivation letter at (http://www.kustar.ac.ae/) in the option ""careers"".

for more information please contact to dr. jorge dias ,  jorge.dias at kustar.ac.ae ,  +971(0)2 501 8556

dr. jorge manuel miranda dias
associate professor, electrical and computer engineering department
khalifa university of science, technology & research (kustar)
p.o. box: 127788, abu dhabi, uae
t : +971-(0)2-5018556
f : +971-(0)2-4472442
e : jorge.dias at kustar.ac.ae"
6,2014,-,"the robotics institute at khalifa university (kuri) seeks applicants for
multiple faculty and postdoctoral researcher vacancies in robotics. we are
specially interested in candidates with experience in one of the following
areas of robotics: aerial robotics (uavs), unmanned ground vehicles (ugvs),
marine robotics (rovs and auvs), manufacturing automation and biomedical
robotics.


 khalifa university has established the ku robotics institute (kuri) with a
mission to be an internationally recognized centre of excellence for
robotics research.  kuri has already hired an initial core of
internationally renowned robotics scientists, and it is now expanding the
group to strengthen the university's leadership in robotics research and
education.

successful candidates will join the faculty of engineering and pursue
research in robotics at kuri, which offers an uniquely collaborative
scientific research environment and outstanding research facilities. you
will have the opportunity to initiate and lead projects and work in
interdisciplinary teams.


 khalifa university offers a highly competitive, tax free compensation and
benefits package, commensurate with the successful candidate’s background
and experience.


 for more information. . .


 about the positions and to apply, please visit:

http://careers.kustar.ac.ae/kustar/vacancydetail.aspx?vacancyid=76177<https://mail.kustar.ac.ae/owa/redir.aspx?c=mjyoteiqsk2n_ln0wbakfgosiwx7r9eiftpkgxvgbnnsucctoxptkd0ne0q_oan0-iz1z1hida8.&url=http%3a%2f%2fcareers.kustar.ac.ae%2fkustar%2fvacancydetail.aspx%3fvacancyid%3d76177>(faculty
vacancies)

or
http://careers.kustar.ac.ae/kustar/vacancydetail.aspx?vacancyid=76080<https://mail.kustar.ac.ae/owa/redir.aspx?c=mjyoteiqsk2n_ln0wbakfgosiwx7r9eiftpkgxvgbnnsucctoxptkd0ne0q_oan0-iz1z1hida8.&url=http%3a%2f%2fcareers.kustar.ac.ae%2fkustar%2fvacancydetail.aspx%3fvacancyid%3d76080>(postdoctoral
vacancies)


 about the khalifa university robotics institute, please visit:

http://www.kustar.ac.ae/pages/khalifa-university-robotics-institute-kuri/4702<https://mail.kustar.ac.ae/owa/redir.aspx?c=mjyoteiqsk2n_ln0wbakfgosiwx7r9eiftpkgxvgbnnsucctoxptkd0ne0q_oan0-iz1z1hida8.&url=http%3a%2f%2fwww.kustar.ac.ae%2fpages%2fkhalifa-university-robotics-institute-kuri%2f4702>


 or contact


 lakmal seneviratne
(lakmal.seneviratne at kustar.ac.ae<https://mail.kustar.ac.ae/owa/redir.aspx?c=mjyoteiqsk2n_ln0wbakfgosiwx7r9eiftpkgxvgbnnsucctoxptkd0ne0q_oan0-iz1z1hida8.&url=mailto%3alakmal.seneviratne%40kustar.ac.ae>
)"
7,2015,fully funded multiple phd/msc 	opportunities in 3d printing at masdar institute," the advanced materials and multi-functional structures (am2s) group at masdar institute invites applications for phd positions to work on a multi-disciplinary collaborative project funded by masdar, abu dhabi. successful candidate(s) will work in the institute center for energy (ienergy) and will be based in mechanical and materials engineering (mme) department at masdar institute. these positions warrant regular communication with the international collaborative team and the students will have the opportunity to have a stint at mit or university of tokyo.  we are looking for two phd and two masters students to work on the development of novel 3d printing systems for prototyping advanced composite materials and structures relevant to a wide array of fields such as  biomaterials, aerospace, infrastructure, automotive, construction, etc.  the candidate will work as a part of an inter-disciplinary team to develop novel 3d printing systems and is expected to have the following background .         masters in electrical/electronics/mechatronics/robotics/instrumentation or relevant background. .         strong background and experience in programming. .         experience in electronic circuit board and controller design. .         experience in system integration and interfacing of xyz motion control.  desired skills:  .         established track record evident by publications in top quality journals.  .         excellent verbal and written communication skills. .         positive attitude, flexibility, willingness and desire to work in a multidisciplinary international research group. .         demonstrated ability to formulate, plan and conduct research with specific objectives and milestones.  .         demonstrated ability to work autonomously and in team-oriented research environment. .         strong analytical skills, inter-personnel skills, and innovative thinking.   about masdar institute masdar institute  <http://www.masdar.ac.ae/> (www.masdar.ac.ae) is the world's first graduate-level university dedicated to providing real-world solutions to issues of sustainability. the institute's goal is to become a world-class research-driven graduate-level university, focusing on advanced energy and sustainable technologies. the institute, which was created in collaboration with the massachusetts institute of technology (mit), integrates theory and practice to incubate a culture of innovation and entrepreneurship, working to develop the critical thinkers and leaders of tomorrow. masdar institute is situated in masdar city (www.masdar.ae), an emerging global clean-technology cluster that aims to be one of the world's most sustainable urban developments, powered by renewable energy and providing students and researchers with a unique opportunity to live and learn in a true ""living laboratory"" environment.   application submittal information  *	the guidelines for msc/phd application can be found at <http://masdar.ac.ae/admissions> http://masdar.ac.ae/admissions *	the admission requirements are provided at <http://masdar.ac.ae/admissions/admissions-requirement> http://masdar.ac.ae/admissions/admissions-requirement prospective candidates who meet the admission requirements are requested to contact dr. s kumar ( <mailto:kshanmugam at masdar.ac.ae> kshanmugam at masdar.ac.ae) to obtain further details on the project and instructions to complete the online application.     "
8,2016,"scholarships for masters in  mechatronics available at the american university of sharjah, uae"," the american university of sharjah, has multiple openings for masters positions in mechatronics starting in fall 2016. candidates should have a bachelors degree in computer engineering, electrical engineering, mechanical engineering or a related field. interested candidates can use this link to apply: https://urldefense.proofpoint.com/v2/url?u=http-3a__info.aus.edu_apply-5fonline-5fgraduate-3futm-5fcampaign-3dapply-2520online-2520-2d-2520graduate-26utm-5fmedium-3dwebsite-26utm-5fsource-3dapply-5fwebpage&d=cwibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=ok87kvcv7nncrtdkhm3ep5cwjjtotmwfkxt3b6be6xy&s=gyonvio_dkpah2xxhha0w4c7tlbpan_9la9qgyau5ge&e=  regards *lotfi romdhane* professor | mechanical engineering director | mechatronics engineering graduate program college of engineering tel +971 6 515 2497 mobile +971 52 6782502 fax  +971 6 515 2979 american university of sharjah po box 26666, sharjah united arab emirates https://urldefense.proofpoint.com/v2/url?u=http-3a__www.aus.edu&d=cwibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=ok87kvcv7nncrtdkhm3ep5cwjjtotmwfkxt3b6be6xy&s=umei2d3dge1eogjy6leu9vgeeu2pzv37vrgfmomaqhu&e=  lromdhane at aus.edu"
9,2016,"scholarships for masters in  mechatronics available at the american university of sharjah, uae"," the american university of sharjah, has multiple openings for masters positions in mechatronics starting in fall 2016. candidates should have a bachelors degree in computer engineering, electrical engineering, mechanical engineering or a related field. interested candidates can use this link to apply: https://urldefense.proofpoint.com/v2/url?u=http-3a__info.aus.edu_apply-5fonline-5fgraduate-3futm-5fcampaign-3dapply-2520online-2520-2d-2520graduate-26utm-5fmedium-3dwebsite-26utm-5fsource-3dapply-5fwebpage&d=dqibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=-e9wvpq_cqcnwnhqfdn4hsxmeklc3kt0km2yn22xnhg&s=b6oyjpdyxgq464m1h4bgnf4stfvovpyxg6gyfzgrje0&e=  regards *lotfi romdhane* professor | mechanical engineering director | mechatronics engineering graduate program college of engineering tel +971 6 515 2497 mobile +971 52 6782502 fax  +971 6 515 2979 american university of sharjah po box 26666, sharjah united arab emirates https://urldefense.proofpoint.com/v2/url?u=http-3a__www.aus.edu&d=dqibaq&c=clk7kqutwtaveovigvi0nu5bouhhpn0h8p7csfnc_gi&r=0w3solp5fswiywf2rl6rss8mcefamfepafdtohgtfyi&m=-e9wvpq_cqcnwnhqfdn4hsxmeklc3kt0km2yn22xnhg&s=f8hv8x0vujljieqvfczowjjkn47gdgtrbuzvb77coam&e=  lromdhane at aus.edu"
