,academia,industry,managerial positions,research,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,posdoc,engineer,manager,research,,,,,
1,pos doc,technician,leader,scientist,,,,,
2,pos-doc,operator,chair,discover,,,,,
3,postdoc,designer,supervisor,explor,,,,,
4,post doc,architect,officer,investigat,,,,,
5,post-doc,mechanic,director,examin,,,,,
6,phd,machinist,superintendent,experiment,,,,,
7,ph.d,specialist,,analys,,,,,
8,doc,expert,,,,,,,
9,prof,software,,,,,,,
10,lecture,developer,,,,,,,
11,faculty,programmer,,,,,,,
12,msc,coder,,,,,,,
13,masters,,,,,,,,
14,academ,,,,,,,,
15,grad,,,,,,,,
16,student,,,,,,,,
