,africa,antarctica,asia,australia/oceania,europe,north america,south america,Unnamed: 7
0,algeria,antarctica,afghanistan,american samoa,albania,antigua and barbuda,argentina,
1,angola,,armenia,australia,andorra,bahamas,bolivia,
2,benin,,azerbaijan,fiji,armenia,barbados,brazil,
3,botswana,,bahrain,kiribati,austria,belize,chile,
4,burkina faso,,bangladesh,marshall islands,azerbaijan,canada,colombia,
5,burundi,,bhutan,micronesia,belarus,costa rica,ecuador,
6,cape verde,,brunei,nauru,belgium,cuba,guyana,
7,cameroon,,cambodia,new zealand,bosnia and herzegovina,dominica,paraguay,
8,central african republic,,china,palau,bulgaria,dominican republic,peru,
9,chad,,cyprus,papua new guinea,croatia,el salvador,suriname,
10,comoros,,georgia,samoa,cyprus,grenada,uruguay,
11,democratic republic of the congo,,india,solomon islands,czech republic,guatemala,venezuela,
12,republic of the congo,,indonesia,tonga,denmark,haiti,,
13,djibouti,,iran,tuvalu,estonia,honduras,,
14,egypt,,iraq,vanuatu,finland,jamaica,,
15,equatorial guinea,,israel,,france,mexico,,
16,ethiopia,,japan,,georgia,nicaragua,,
17,gabon,,jordan,,germany,panama,,
18,gambia,,kazakhstan,,greece,saint kitts and nevis,,
19,ghana,,kuwait,,hungary,saint lucia,,
20,guinea,,kyrgyzstan,,iceland,saint vincent and the grenadines,,
21,guinea-bissau,,laos,,ireland,trinidad and tobago,,
22,ivory coast,,lebanon,,italy,united states of america,,
23,kenya,,malaysia,,kazakhstan,,,
24,lesotho,,maldives,,latvia,,,
25,liberia,,mongolia,,liechtenstein,,,
26,libya,,myanmar,,lithuania,,,
27,madagascar,,nepal,,luxembourg,,,
28,malawi,,north korea,,malta,,,
29,mali,,oman,,moldova,,,
30,mauritania,,pakistan,,monaco,,,
31,mauritius,,palestine,,montenegro,,,
32,morocco,,the philippines,,the netherlands,,,
33,mozambique,,qatar,,north macedonia,,,
34,namibia,,russia,,norway,,,
35,niger,,saudi arabia,,poland,,,
36,nigeria,,singapore,,portugal,,,
37,rwanda,,south korea,,romania,,,
38,sao tome and principe,,sri lanka,,russia,,,
39,senegal,,syria,,san marino,,,
40,seychelles,,tajikistan,,serbia,,,
41,sierra leone,,thailand,,slovakia,,,
42,somalia,,timor-leste,,slovenia,,,
43,south africa,,turkey,,spain,,,
44,south sudan,,turkmenistan,,sweden,,,
45,sudan,,united arab emirates,,switzerland,,,
46,tanzania,,uzbekistan,,turkey,,,
47,togo,,vietnam,,ukraine,,,
48,tunisia,,yemen,,united kingdom,,,
49,uganda,,,,vatican city,,,
50,zambia,,,,,,,
51,zimbabwe,,,,,,,
52,eritrea,,,,,,,
53,etswatini,,,,,,,
